part,cid,title,duration_seconds,url
81,29818619846,编剧视角拉片《蝴蝶效应》！反转 结构 悬疑 脑洞...这部电影值得你再刷N遍,3144,https://www.bilibili.com/video/BV1eE411F73t/?p=81
82,29819538208,编剧视角拉片《小丑》从内耗走向癫狂，从边缘跨上“神坛”「影史现象级」是怎样炼成的？,2605,https://www.bilibili.com/video/BV1eE411F73t/?p=82
83,29820388979,编剧视角拉片《危情时速》：神级叙事+真实事件改编，影视从业者不可错过的一部电影！,2887,https://www.bilibili.com/video/BV1eE411F73t/?p=83
84,29820649585,编剧视角拉片是枝裕和《比海更深》：文艺片的“克制叙事”高级在哪？怎么学？,2778,https://www.bilibili.com/video/BV1eE411F73t/?p=84
85,29820912258,编剧视角拉片烧脑神作《致命ID》,2265,https://www.bilibili.com/video/BV1eE411F73t/?p=85
86,29821110472,编剧视角拉片《生死狙击》！男频爽片创作要点,1422,https://www.bilibili.com/video/BV1eE411F73t/?p=86
87,29821305201,编剧视角拉片《千与千寻》！,1635,https://www.bilibili.com/video/BV1eE411F73t/?p=87
88,29821437004,编剧视角拉片《摔跤吧爸爸》9分励志体育佳作，为苦难中的亿万女性发声！,1970,https://www.bilibili.com/video/BV1eE411F73t/?p=88
89,29817505131,编剧视角拉片韩国喜剧【金氏漂流记】两个孤独灵魂的相互救赎！,4744,https://www.bilibili.com/video/BV1eE411F73t/?p=89
90,29821570920,编剧视角拉片励志电影《肖申克的救赎》一,1037,https://www.bilibili.com/video/BV1eE411F73t/?p=90
91,29821699723,编剧视角拉片励志电影《肖申克的救赎》二,1915,https://www.bilibili.com/video/BV1eE411F73t/?p=91
92,29821895749,编剧视角拉片励志电影《肖申克的救赎》三,2632,https://www.bilibili.com/video/BV1eE411F73t/?p=92
