part,cid,title,duration_seconds,actual_duration_seconds,state,file,bytes,sha256,independent_subtitles,url
11,167870818,第五课-剧本的正义5.1,1488,1487.330317,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.1.mp4,158218880,856c51029752ff06089982e4a14aa9ec79ebcb7886cb30cdc6907ddec6d5d40f,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=11
12,167874116,第五课-剧本的正义5.2,1182,1181.686054,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.2.mp4,119278242,967eaacb9181b7632b1d035fd179641ae582b15b91a3aff685316f279973449c,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=12
13,167877064,第六课-剧本的格式6,1850,1849.74737,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第六课-剧本的格式6.mp4,122936115,6c081651506265a9544cea6b2c2553118bbf5ce94b6a5b3f1022e8a5669b09d0,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=13
14,167881562,第七课-拿事儿说话7,1185,1184.751088,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第七课-拿事儿说话7.mp4,80610658,a47234aa7cfe8959b10811d58570889c01f483c3fc71b99cb362e5ad4a787c50,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=14
15,167884665,第八课-勾勒画面8.1,2318,2317.327596,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.1.mp4,144797348,bd5aa89f3394a71240e23e971eabf08aef3485ba549e00ae14b246cd0a8caba3,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=15
16,168276930,第八课-勾勒画面8.2,1623,1622.447234,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.2.mp4,104819981,564cc97ef0d711c6cd75be5045ec721bb304a93fc5e8c7897dba8ee65d59ff0d,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=16
17,168277841,第八课-勾勒画面8.3,1993,1992.85195,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.3.mp4,132906614,baa383e01087d9ca72129049a3cddbe5e7c22fa0e7805b0cf79845eaffa56212,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=17
18,170763096,第九课-谈谈人物9.1,2564,2563.691315,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第九课-谈谈人物9.1.mp4,126435892,19d92692647c258e01a062c54abf94f54f70297ecd063630a3fb9a820823b389,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=18
19,170789570,第九课-谈谈人物9.2,2018,2017.465102,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第九课-谈谈人物9.2.mp4,103430174,caa48c8a16b489750a2671015ecfe35d2fb30bfe1c930e594b49f65870a5b558,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=19
20,171645463,第十课-复杂叙事10.1,2252,2251.940204,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第十课-复杂叙事10.1.mp4,112333444,78a430657540cc3792eaed6a70534904cb185179122cdd03dea8dbf44e83c15f,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=20
21,171668148,第十课-复杂叙事10.2,1427,1426.610136,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第十课-复杂叙事10.2.mp4,73218192,bc09ce03da5493738b3d07a2e9e8d336cb80cafccccd07caaabe05d35cd9a1ad,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=21
22,173862838,十一课-类型片11.1,1901,1900.62229,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.1.mp4,119131193,af64702ef007143c1b946c5531ec334bdd3be1badba6a8613b545534f90cfeb8,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=22
23,173863407,十一课-类型片11.2,1909,1908.517075,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.2.mp4,127979426,41efb3d590247c7d836559ed90329a54fab5cf3206deab265f8f956f8ca0b720,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=23
24,173861080,十一课-类型片11.3,1357,1356.601973,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.3.mp4,99457793,fc4117928e8c7289d35b3f020c84db35f75745bf2751c73cd2377619f28762ef,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=24
25,174056852,十二课-小蝌蚪找妈妈12.1,1594,1593.44551,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.1.mp4,122164786,8edd6c88edf1b3a2c7b070c7eaf31a503928e12334f0da4c3d06927138c15c3b,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=25
26,174057044,十二课-小蝌蚪找妈妈12.2,1704,1703.275896,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.2.mp4,124518440,91bad7ec7532d5fd236f88532ee03800dcabb3f143ac29d77912756952b79535,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=26
27,174057108,十二课-小蝌蚪找妈妈12.3,1908,1907.147098,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.3.mp4,138404429,40c08b3f8edaae7f9ce37287988988813cd36ad94f1456974cf6404ade85d541,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=27
28,177384361,十三课-电视剧13.1,1867,1866.512177,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.1.mp4,92467774,0e8f0e3f7b8bdd76c4e2fec2fb16e999e3d1414fe6c7e329d7ef5ea83320cbe4,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=28
29,177383899,十三课-电视剧13.2,1489,1488.282336,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.2.mp4,74928949,ad67524f07dcd68e3f2de61641b1029028807e0a8de0f8749362855b82a64d27,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=29
30,177384367,十三课-电视剧13.3,1816,1815.451497,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.3.mp4,94854935,d25b5de88a8be6fc90d552eb6a87eed2d0425a27213d956c7342de3d3367678b,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=30
31,177384393,十三课-电视剧13.4,1723,1722.455578,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.4.mp4,90649506,b4364df80510c0d3f45082ef2eab0950c0bec0217f3ac625baa4e18e0de215d5,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=31
32,181727234,十四课-场景与对白14.1,2449,2448.84542,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十四课-场景与对白14.1.mp4,170675773,9000277988599c352f30c945e3a51a41786519224203aa462fbab5f748225a8f,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=32
33,181763918,十四课-场景与对白14.2,2956,2955.57449,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十四课-场景与对白14.2.mp4,205991678,800ec7bda7b267df2fe58fab6bffbedfb02cc0095e8dd2a88d56fd052256146e,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=33
34,190273161,十五课-节拍器15.1,1931,1930.877891,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.1.mp4,103084693,d49a311f98b6c59bacf3ffb0d0b83ca8a42243b82736f58d18da082d7169b6c2,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=34
35,190303059,十五课-节拍器15.2,2302,2301.76,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.2.mp4,127305308,85079d1274510a69db6f670e573915fcf7ac5665dbb50afaf09ef9e9d8fd2dbf,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=35
36,190316428,十五课-节拍器15.3,1148,1147.23,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.3.mp4,69264664,2582c41c032bc237c6c96322b07fc14ef3a4bf4f85756beeefd6ee39b0418f57,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=36
37,190331356,十五课-节拍器15.4,1447,1446.595,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.4.mp4,82147190,5993c16f3eec2afdf25ecafef65aae2c7fd176910841918808ea61c1547e2c84,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=37
38,202189245,十六课-悬念与反转16,3658,3657.0261,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十六课-悬念与反转16.mp4,184389849,db7c58257802fa24aeafcbfdad84fbb4ab9c0926098c76857f174557d5586ed2,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=38
39,202545835,十七课-新手跳坑17,3201,3200.916531,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十七课-新手跳坑17.mp4,158027699,7e96b07bb4336f97344f4d269a0f50aef4acdee1f14cca603b3c0b7014cca47d,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=39
40,207918303,十八课-拿人的开场18.1,3065,3064.243878,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十八课-拿人的开场18.1.mp4,162382357,670b8270f8a8d58d02158771a2bc8485347be0a00ab27eb37417f2e8abb96072,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=40
41,207918389,十八课-拿人的开场18.2,5217,5216.199592,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十八课-拿人的开场18.2.mp4,298602400,1de95aafd44f9c72013abe2ab006e43cd7a6f080b8dd85e31f0140acb3a72827,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=41
42,212090316,十九课-怎么撰写项目提案19,2636,2635.157167,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十九课-怎么撰写项目提案19.mp4,134496429,846214c5522ff7377c4490541b10f00db6bd8b623156173664efa58ef834a955,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=42
43,227072905,二十课-编剧拉片20,4218,4217.6425,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十课-编剧拉片20.mp4,321741911,e4033027c4ed5f08d60c527e2f9eef2120480a49d99f9a029e5b32cbdcdca59c,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=43
44,239866710,二十一课-谈几个进阶问题（上）21.1,2478,2477.738333,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十一课-谈几个进阶问题（上）21.1.mp4,164809920,2c4065db4fc85fdbd08c25467365d74189ee3bd1549ec71dc4c3125230d86107,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=44
45,239868634,二十一课-谈几个进阶问题（下）21.2,2113,2112.767667,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十一课-谈几个进阶问题（下）21.2.mp4,151761916,7218b44713d213a0b0ababfd15f7dc3b1924ac6a12c289a9f0a91079a5f3a688,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=45
46,252711256,二十二课-G潮上不去？（上）22.1,2560,2559.551833,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十二课-G潮上不去？（上）22.1.mp4,178988901,b9d0ff82a460b8618adf925555bb1cff7133306552c95ebbcc96a31dda09aa1a,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=46
47,252782284,二十二课-G潮上不去？（下）22.2,2910,2909.290333,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十二课-G潮上不去？（下）22.2.mp4,245758750,c5b00bc3f40ff535ee4f4bb781625da9ad51d8accfd7bd056bfff98f83264eef,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=47
48,254049644,二十三课-怎么写喜剧？(上）23.1,2562,2561.301167,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十三课-怎么写喜剧？(上）23.1.mp4,187870902,e43a8971541575554c55e0ec652878c2de1d30e268e7588de3e64cf43012df1a,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=48
49,254051910,二十三课-怎么写喜剧？（下）23.2,2945,2944.789167,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十三课-怎么写喜剧？（下）23.2.mp4,250587663,16a6f9c95ec2f426edb770a451755933236fe758ef37a86ffbe8424da1115e26,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=49
50,266235698,二十四课-剖析烂片24,4619,4618.410333,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十四课-剖析烂片24.mp4,344468864,774a1d8c55812c91f96f24ab9a32657b62696624a831da7476a8052c2e16f732,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=50
51,272336072,二十五课-观影情绪节拍表25,3108,3107.711667,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十五课-观影情绪节拍表25.mp4,252265976,8d0dd3fc95304c6fc43a7fca9a2ad7bcbf8648183da4304a92f968a78f957044,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=51
52,275889704,二十六课-从容应对文艺凡尔赛26,4305,4304.021,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十六课-从容应对文艺凡尔赛26.mp4,205495054,26150ee339509a4bdbd1e8756b2dc5035c4d9a9bd3ca7f07d2ab3fc6a21c37e7,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=52
53,310082561,二十七课-剧本的叙事视角27,3868,3867.839667,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十七课-剧本的叙事视角27.mp4,190326940,f0ecf56d1f05f4b424a7b60bf033d85568f5890a493708b1a8d3adf5678a2b68,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=53
54,327535922,二十八课-编剧课科目三28,5411,5411.797,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十八课-编剧课科目三28.mp4,416989744,bcad727ba5dbaf6c7b7e9c834751ddb8c7354f9345c5c80ee3488096ad21b493,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=54
55,333133917,二十九课-剧情要有攻击性29,2223,2222.357,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十九课-剧情要有攻击性29.mp4,120581774,5dbba6748263f98bf2986a913d53726633244ab0c966296176e408575f056ba0,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=55
56,383686698,三十课-人类为什么需要影视剧30,5042,5041.706333,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十课-人类为什么需要影视剧30.mp4,386077642,df5e7224ccbb7655819337cfd86025020819fb337506d6ed565b7dd82c40a016,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=56
57,385383259,三十一课-单元剧的创作理念31,4062,4061.439667,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十一课-单元剧的创作理念31.mp4,279714852,a53067980ceaa87d4bfa2eecad08783ac7ffbf6f17581e9b3f3be875f9e2e19b,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=57
58,425876128,三十二课-跟《鱿鱼游戏》学写强设定,4911,4910.903651,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十二课-跟《鱿鱼游戏》学写强设定.mp4,355693685,cb227f0ec42dc29efb775e77f20bed696f23f44f514f2dcede65574289570107,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=58
59,542014362,三十三课-怎样克服拖延症,2536,2535.018167,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十三课-怎样克服拖延症.mp4,108620364,4827174ce92498b86f2e7ca0b0742251b65068466be7edd563d64114d256639e,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=59
60,713227009,三十四课-查理小三角创作法,2844,2843.754333,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十四课-查理小三角创作法.mp4,180329806,8614f394e619f763777124605d5e11513d1729eb103aa78fc7c94ead6810a2d9,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=60
61,1118879677,《让子弹飞》直播拉片,6398,6397.817098,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/《让子弹飞》直播拉片.mp4,138874247,58d008f275c0f9dfab57f4ad5cc3213bbeced83da1c7942df3385192786b0b1c,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=61
62,1348722777,查理老师告诉你，短剧为什么这么火！,951,950.34771,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/查理老师告诉你，短剧为什么这么火！.mp4,37244202,a05e26501fa760e344bcfcecd91528ecaf88b0947cbb593adade74e0aad894e5,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=62
63,30110452996,职业编剧怎么用ai写剧本,1854,1853.884558,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/职业编剧怎么用ai写剧本.mp4,62144559,e8a0cce7392a0e7b334644569ce766a65f96d9c487e52f33b53be53d88890266,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=63
64,26532774570,如何写好单场戏，让每一集都有钩子？,2709,2708.751859,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/如何写好单场戏，让每一集都有钩子？.mp4,98462439,a5fec8e260dc6770cd43873e873cc7d4a6a8fdcbafdfe8fc067456af4a13f61c,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=64
