P003 第一课-劝学1.2
[00:11:46.918–00:11:55.308] 对吧电视剧呢你是在家里躺着或坐沙发上捧这个pad，捧这个手机看。
[00:11:56.774–00:11:59.532] 那你可不是看里面的人物吗？你要他。
[00:12:00.006–00:12:04.108] 绵长温柔陪伴啊，它等于电视剧。
[00:12:05.094–00:12:07.020] 讲究的是陪伴。
[00:12:10.918–00:12:15.372] 对吧他讲究的是陪伴，然后呢，他又是人物驱动。
[00:12:16.230–00:12:18.508] 那你说来一个人物陪伴你。
[00:12:20.134–00:12:20.684] 这是啥？
[00:12:22.758–00:12:29.644] 这是爱情呀，对不对？所以看电视剧其实是谈恋爱的一种体验，明白吗？
[00:12:30.278–00:12:30.828] 明白吗？
[00:12:31.750–00:12:32.524] 那电影呢？
[00:12:34.630–00:12:35.788] 电影你花钱。
[00:12:36.358–00:12:37.324] 买两个装。
[00:12:37.862–00:12:38.668] 的享受。
[00:12:40.454–00:12:41.036] 这是什么？
[00:12:42.246–00:12:44.108] 如果电视剧是恋爱。
[00:12:44.966–00:12:45.900] 电影就是。
[00:12:47.014–00:12:47.628] 就是嫖娼。
[00:12:48.678–00:12:49.548] 就是这种区别。
[00:12:54.246–00:12:54.860] 所以。
[00:12:55.558–00:12:56.748] 那体验肯定不一样。
[00:12:57.606–00:12:58.956] 电影更讲究服务。
[00:12:59.526–00:13:00.940] 他需要让你指挥票价。
[00:13:01.574–00:13:02.540] 而电视剧呢。
[00:13:03.046–00:13:04.140] 他更让你牵挂。
[00:13:05.222–00:13:07.340] 让你欢喜，让你愁，让你忧。
[00:13:10.022–00:13:15.980] 但是这几年啊我们说至少从好莱坞来说，电视剧的制作规格。
[00:13:16.870–00:13:19.820] 和他讲故事的方式已经接近电影了。
[00:13:20.678–00:13:27.212] 或者是跟电影一样。你看有有几部美剧像罪夜之奔开始的，它就是完整的电影结构。
[00:13:27.686–00:13:32.940] 然后后来什么权力的游戏呀、西部世界呀，这些完全就是电影规格呀。
[00:13:35.654–00:13:37.484] 你看这种电视剧，那。
[00:13:38.022–00:13:47.372] 有点像你本来打算谈个恋爱，对吧？这个隔壁王阿姨给你介绍了个对象，处挺好，然后到了那一天。
[00:13:47.846–00:13:48.620] 一呀哎呀。
[00:13:49.286–00:13:49.772] 姑娘。
[00:13:50.726–00:13:52.108] 你会的挺多。
[00:13:53.350–00:13:54.220] 不收钱吧。
[00:13:54.854–00:14:06.636] 姑娘什哥，这是爱情啊，对吧？多惊喜，为什么？因为他他以前也是搞电影的呀，对吧？退役下来的。
[00:14:07.174–00:14:09.004] 所以说电影的电视剧啊。
[00:14:09.638–00:14:18.284] ，咱们不必呃搞得那么呃从咱们编剧的角度，咱们不用不用不要去搞那么多区别，不要搞那么多歧视。
[00:14:18.918–00:14:30.828] 你一个故事出来之后，他适合做电影就做电影，适合做编视呃电视剧，就做电视剧。因为说到底咱们编剧来说，咱们编剧啊，我给编剧有个定义啊。
[00:14:31.782–00:14:33.068] 要讲故事的人。
[00:14:36.390–00:14:41.740] 讲故事的人，因为不管是电影还是电视剧，他不都是讲故事嘛。
[00:14:42.662–00:14:44.780] 然后他讲故事讲的是什么的故事？
[00:14:45.286–00:14:47.852] 他们的文学依据都是编剧的剧本。
[00:14:48.646–00:14:58.124] 等于你才是最初最早最和这个故事，最原始的形态是你讲的，你其实就是个讲故事的人。
[00:14:58.982–00:15:02.732] 对吧讲故事，我们说讲故事的人。
[00:15:04.294–00:15:05.516] 这个事情这个。
[00:15:06.790–00:15:08.268] 这个定义没有那么简单的。
[00:15:08.902–00:15:13.452] 这个事儿可不小，为啥呢？我这里给大家讲点题外话故事。
[00:15:15.302–00:15:16.076] 故事啊。
[00:15:17.702–00:15:24.684] 前几年我看了一本书，那本书很流行的呃人类简史，你们可能也听过由瓦尔克拉利写的。
[00:15:25.158–00:15:26.476] 他里也有一个观点。
[00:15:27.494–00:15:29.868] 说故事是人类历史的起点。
[00:15:31.558–00:15:32.716] 它是个起点。
[00:15:34.086–00:15:37.932] 什么意思呢？就是人从讲从讲故事开始。
[00:15:39.014–00:15:39.852] 还成人的。
[00:15:40.326–00:15:43.596] 他把这次称为人类的第一次认知革命。
[00:15:46.182–00:15:51.212] 咱们小时候课本上咋说的，说人跟动物的区别是使用工具。
[00:15:52.134–00:15:58.828] 但后来这种观点啊慢慢的好像呃被大家抛弃了。为啥？因为动物其实也会啊。
[00:15:59.430–00:16:09.868] 我去年看那个地球脉动，那星星拿着一根棍儿，蘸上点那个那个诱饵插到蚂蚁窝里掉蚂蚁吃。
[00:16:10.886–00:16:15.596] 工具啊它会动物也会，那猴子还会拿石头砸椰子呢。
[00:16:17.830–00:16:24.268] 所以由阿尔塞拉利提出这个观点，大家普遍认可说人跟动物的区别其实是可以讲故事。
[00:16:25.606–00:16:26.188] 故事。
[00:16:27.206–00:16:29.708] 而且他有个很直接的证据，就是说。
[00:16:30.886–00:16:32.524] 我们以前普遍认为。
[00:16:33.158–00:16:50.924] 呃，人类是由这个人类变过来的，这个大家都认可。但是原本的观点认为人是由不同的人类变来的。像咱们中国这一块的，就是由这个山顶洞物人啊、北京人变来的，这是以前的观点。欧洲人就是尼安德特人变的。
[00:16:52.518–00:16:54.412] 但是后来人类学家发现一个问题。
[00:16:55.366–00:17:08.876] 说其实地球上通通过DNA发现，地球上所有的现存的人都是八九万年前从那个智人来的，非洲的一针叫智人，他们走出非洲。
[00:17:09.510–00:17:11.788] 横扫全球，干掉了其他所有的人。
[00:17:12.806–00:17:16.524] 那他是为什么这么牛逼，这么厉害，能把其他人都干掉呢？
[00:17:17.734–00:17:19.404] 人类简史上说就是因为。
[00:17:19.910–00:17:23.404] 他经历了第一次认知革命，或者说他会讲故事。
[00:17:24.486–00:17:34.316] 他会讲故事，把其他人干掉。那你说呃呃治人就到处溜达，看到别的人就叨叨叨叨叨叨给人讲故事，就给人叨叨死了嘛。
[00:17:34.790–00:17:38.220] 显然不是这样的那我们就说讲故事的定义。
[00:17:38.854–00:17:41.868] 在这里讲故事就是虚构啊。
[00:17:45.862–00:17:48.268] 就说他们开始拥有了虚构能力。
[00:17:51.270–00:17:52.236] 导致了他们。
[00:17:53.702–00:17:54.956] 一下子变猛了。
[00:17:55.494–00:17:56.652] 可以干掉其他人类。
[00:17:57.190–00:18:08.556] 其实啊从考古发现，当时智人在这个进化这这个战这个这条路上并不占优势。欧洲的尼安德特人是最厉害的，为啥？
[00:18:09.542–00:18:10.476] 首先他个儿大。
[00:18:11.974–00:18:16.012] 个大他又有劲儿啊，他高啊，对吧？其次呢。
[00:18:17.222–00:18:18.284] 他脑容量还大。
[00:18:18.918–00:18:21.356] 人又聪明，等于是又高又聪明。
[00:18:22.598–00:18:23.500] 你怎么跟人打？
[00:18:24.710–00:18:25.292] 而且。
[00:18:25.766–00:18:31.724] 呃，还有证据显示，尼安德特人当时已经有衣服了，人家会做衣服了。
[00:18:32.486–00:18:33.292] 穿着皮袄。
[00:18:33.894–00:18:38.796] 你治人还光着腚呢，你都好意思统治地球，人家有衣服。
[00:18:40.454–00:18:51.436] 所以说当时从计划的角度来讲，年安德特人是最最最最占优势的，但是他唯独就差了这个，他不会讲故事，就被致灭了，就是说他不会虚构。
[00:18:52.326–00:18:56.588] 不够直观的话，我再给你说啊，假设来智人从非洲走出来了。
[00:18:57.158–00:18:57.644] 对吧。
[00:18:58.374–00:18:59.244] 走到欧洲。
[00:19:00.038–00:19:11.852] 走到一个狭这个山河坡河边跟尼安德特人狭路相逢，就要干一下子。这一条河就够一只呃，在这儿呃抓鱼吃饭呃，洗澡喝水的。
[00:19:13.062–00:19:13.996] 那就要干一下子。
[00:19:16.262–00:19:17.612] 为什么智然能赢呢？
[00:19:19.206–00:19:20.876] 首先，致人人多。
[00:19:22.726–00:19:26.316] 尼安德特人一针最多就能滑落三五十个。
[00:19:26.982–00:19:27.756] 怎么花啦的？
[00:19:28.390–00:19:32.652] 兄弟姐妹、媳妇、孩子爹妈。
[00:19:33.382–00:19:35.404] 一个大家族呗，就这点人了。
[00:19:36.870–00:19:39.340] 你通过血原凝凝聚。
[00:19:40.262–00:19:40.876] 团队。
[00:19:41.670–00:19:42.860] 智人则不一样。
[00:19:43.686–00:19:46.156] 智人通过虚构来凝聚团队。
[00:19:47.078–00:19:51.020] 比如说他们聊咱们几个，咱们这一堆。
[00:19:51.622–00:19:53.228] 都是一个村的。
[00:19:54.150–00:20:00.108] 对吧或者说咱们这一堆这一堆都是狮子的儿女。
[00:20:01.286–00:20:04.108] 就是他们有一个，比如说他们有一个共同的一个logo。
[00:20:04.710–00:20:05.900] 那他们就是一伙的。
[00:20:06.566–00:20:13.196] 或者说咱们这一堆儿对吧？祖上都是喝某一条河的水长大的。
[00:20:13.734–00:20:15.468] 我们就是黄河儿女。
[00:20:16.454–00:20:22.892] 他就有故事，他就能圈更多的人。这更多的人支持人人想想哎，也是哈，那咱们就应该一伙。
[00:20:23.686–00:20:25.228] 他就用到这个虚构能力。
[00:20:25.926–00:20:27.052] 他就圈的人更多。
[00:20:27.526–00:20:28.556] 第二，还有一点。
[00:20:29.606–00:20:30.924] 他们可以布置战术。
[00:20:32.230–00:20:33.708] 就是你虚构这个。
[00:20:34.886–00:20:37.420] 不光是可以虚构故事，还可以虚构。
[00:20:38.054–00:20:40.044] 假设比如说来。
[00:20:41.062–00:20:43.148] 明天要干仗了，智人这就开会啊。
[00:20:43.622–00:20:45.420] 说来明天你们几个。
[00:20:46.694–00:20:47.628] 左右包抄。
[00:20:48.358–00:20:55.660] 你们几个从后面掏，我带着你们从正面冲，对吧？你们几个娘们搁家做饭。
[00:20:56.422–00:21:00.652] 一上一上午可能打不完，我们得带点呃中饭。
[00:21:01.222–00:21:02.092] 安排的明白。
[00:21:03.526–00:21:05.548] 你再看那个尼安德特人那边。
[00:21:06.502–00:21:07.308] 三十几个人。
[00:21:09.574–00:21:12.620] 也也在那围一堆，点着火烤肉吃。
[00:21:13.606–00:21:16.748] 假设你穿越过去，你想救他们，你跟他们说哎。
[00:21:17.254–00:21:21.548] 别吃了，这吧是啥时候了，还有心思吃，咱们研究研究战术吧。
[00:21:22.118–00:21:23.276] 明天等。
[00:21:23.750–00:21:26.828] 智人来了以后，骂你这句话一说。
[00:21:27.366–00:21:34.348] 尼安德他人马上炸包了，治人治人哥打仗对吧？来干吧，为什么他们不懂你在说假设。
[00:21:36.102–00:21:37.324] 他们就跟动物一样。
[00:21:38.246–00:21:40.524] 就听到什么就反应什么。
[00:21:41.222–00:21:42.540] 他没有这个假设的能力。
[00:21:43.846–00:21:48.556] 所以你看他从人数上，从战术上都吃亏，你穿着貂。
[00:21:49.126–00:21:51.404] 也没有用，穿个皮袄也没有用。
[00:21:52.646–00:22:06.508] 你别看知人光的定，他通过一个认知能力，在所有的其他都在劣势的情况下，通过讲故事统治全球，这就是讲故事的魅力。好吧，这是个题外话。我就说我们编剧是讲故事的人。
[00:22:07.782–00:22:09.932] 我们开创了人类的历史。
[00:22:10.790–00:22:14.188] 我们还在书写人类的现在，我们必将。
[00:22:15.014–00:22:19.308] 走向人类的未来。好吧，这就是我们编剧工作的魅力。
