P022 十一课-类型片11.1
[00:03:17.574–00:03:21.708] 我之前给你们举过例子，我说这个这个创作者有点像这个这个。
[00:03:22.214–00:03:23.468] 汽车的设计师。
[00:03:24.134–00:03:24.524] 对吧。
[00:03:25.062–00:03:25.804] 你可以这么想。
[00:03:26.342–00:03:27.276] 商业片啊。
[00:03:27.814–00:03:28.908] 啊，就是量产车。
[00:03:29.766–00:03:31.020] 量产车什么目的？
[00:03:31.718–00:03:32.620] 服务消费者啊。
[00:03:33.926–00:03:34.732] 性价比。
[00:03:35.398–00:03:37.676] 这个驾驶体验安安全程度。
[00:03:38.630–00:03:39.340] 各方面的。
[00:03:40.198–00:03:40.876] 油耗。
[00:03:41.606–00:03:42.060] 知道吧。
[00:03:42.534–00:03:47.916] 他是全是为了这个消费者，为了这个驾驶者去考虑。
[00:03:49.862–00:03:51.468] 文艺片上就像概念车。
[00:03:52.262–00:03:56.748] 概念车显然不是为了上路，为了那个那个那个消费者服务的。
[00:03:57.318–00:03:59.116] 他是为了创作这个服务的。
[00:04:00.102–00:04:05.548] 创作者在概念车上实验一些新的技术，拓展一些新的领域。
[00:04:06.598–00:04:10.892] 尝试一些新材料、新技术、新能源。
[00:04:12.102–00:04:12.748] 新设计。
[00:04:13.286–00:04:13.964] 新思路。
[00:04:14.758–00:04:15.724] 是这个目的的。
[00:04:16.614–00:04:20.620] 所以其实啊你说设计概念车的那些设计师。
[00:04:21.318–00:04:23.724] 它一定是量产车设计的倍儿6啊。
[00:04:24.422–00:04:28.748] 对吧他必然是大师呀，才能再去拓展一下子。
[00:04:29.254–00:04:30.668] 我最烦哪一种啊？
[00:04:31.270–00:04:41.868] 就那一种小青年导演啥片子都没拍过，量产车一个也造不出来。但是说我是搞文艺片的，所以哎呀，我搞文艺，你搞什么文艺呀？
[00:04:42.342–00:04:48.396] 就文艺片成了烂片的避避风港了，你明白吗？就哦拍不好的就叫文艺片。
[00:04:49.094–00:05:01.644] 拍烂了的商业片就叫文艺片吗？不是这么想，你得有点追求啊。首先你必须是量产车大师了，手拿把掐了，你才去实验，才去探索。
[00:05:02.150–00:05:02.668] 对吧。
[00:05:03.206–00:05:24.092] 真正搞文艺片的啊，我没有搞过文艺片，我是搞商业片的。但我对真正搞文艺片的是非常尊重，非常敬佩的。为啥呢？是因为我们在这里搞商业片，很功利的在服务观众嘛，追求故事最精彩，追求观众最最最最爽，是我们的很功利的目标。
[00:05:24.454–00:05:27.788] 然后人家搞文艺片的人呢，就在替我们。
[00:05:28.518–00:05:33.484] 探索边界，寻找新的版图，他在探地图，你懂我意思吧？
[00:05:34.118–00:05:36.812] 我们当然其实应该尊重人家，敬佩人家。
[00:05:37.830–00:05:39.180] 这才是搞文艺片的。
[00:05:40.006–00:05:41.068] 而不是那种。
[00:05:42.054–00:05:48.684] 对吧啥片子都没拍过，然后片子拍不好，拍的很烂，然后觉得自己在搞文艺。
[00:05:49.958–00:06:11.452] 快算了吧，对吧？你是拍不好就说拍不好，不会就说不会你那个文艺片没有价值，你啥也没探索，你知道吗？或者是你用了一些别人文艺片里用，有些是仿文艺片，有这样的导演，他那文艺片也有点文艺调调，但你用的方法是别人文艺片里面用过的。
[00:06:12.102–00:06:13.388] 那用你用吗？
[00:06:13.990–00:06:19.820] 你探索什么玩意，人都探完了，这这个地图人探完了，你又去探一下，说自己搞。
[00:06:21.062–00:06:25.996] 所以在这里多说了这么几句，为什么？就我不希望咱们的呃。
[00:06:26.566–00:06:28.044] 咱们班的同学。
[00:06:28.774–00:06:33.036] 藏着一块文艺片的大旗啊，做自己的遮羞布。
[00:06:33.862–00:06:34.572] 不要这样。
[00:06:35.110–00:06:45.740] 你先把观众服务好，服务观众的片子就是商业片。因为观众就是顾客嘛，你服务他们就这就是商业，这本身就是商业了。
[00:06:46.534–00:06:49.676] 你就先把商业片做好，先把观众伺候好。
[00:06:50.342–00:06:52.524] 等你哪天功成名就。
[00:06:53.094–00:07:02.796] 这这个一肚子这个这个心得体会，无处触发，对吧？想要这个探索点新领域，发明点新方法就像。
[00:07:03.366–00:07:03.820] 人家。
[00:07:04.518–00:07:05.708] 那个那个。
[00:07:06.182–00:07:07.148] 詹姆斯卡梅隆。
[00:07:07.878–00:07:08.684] 你能说。
[00:07:09.446–00:07:11.116] 人家没探索新方法吗？
[00:07:11.622–00:07:20.844] 电影圈有多少新手段，新方法，发明专利是人家搞出来的，人家一直在探索，不耽误人家的片子好看。
[00:07:21.382–00:07:22.444] 你明白这个道理吗？
[00:07:23.206–00:07:25.836] 不耽误人家的片子好看，人家的片子拍的。
[00:07:26.534–00:07:29.228] 又好看又探索，又商业又文艺。
[00:07:30.022–00:07:32.684] 所以我多说这么几句，就是告诉大家。
[00:07:33.190–00:07:34.476] 少提这个话。
[00:07:35.782–00:07:40.716] 擦了就别提了，懂这意思吗？别提了，以后别说这种话。
[00:07:41.222–00:07:43.724] 别说搞文艺，就把把片子拍好。
[00:07:44.326–00:07:45.164] 服务好观众。
[00:07:45.702–00:07:46.188] 好吧。
[00:07:46.694–00:07:48.684] 所以说这显然不是我们说的。
[00:07:49.478–00:07:50.764] 电影的分类方法。
[00:07:51.942–00:07:53.324] 那电影还有怎么分类的？
[00:07:54.246–00:07:57.516] 还有一种分类。我们说视频网站上的种分类方法。
[00:07:57.990–00:07:59.052] 啊，咱们经常看到啊。
[00:08:00.102–00:08:10.636] 也是很多人理解电影类型是那么去理解的。我们说你打开一个视频网站，你看他他他怎么分，他往往啊，你看啊喜剧片。
[00:08:11.782–00:08:13.868] 一种类别动作片。
[00:08:15.142–00:08:15.820] 一种类别。
[00:08:16.326–00:08:18.380] 然后还有什么爱情片。
[00:08:19.590–00:08:20.588] 是吧也有吧。
[00:08:21.382–00:08:22.988] 还有什么恐怖片？
[00:08:24.774–00:08:27.308] 恐怖片后面还接个惊悚片。
[00:08:28.102–00:08:30.220] 是吧战争篇。
[00:08:30.726–00:08:32.076] 科幻片。
[00:08:34.694–00:08:36.556] 反正很多类吧很多类。
[00:08:40.102–00:08:42.028] 你说这种分类方式是怎么分的？
[00:08:45.414–00:08:46.700] 这种分类方式是怎么？
[00:08:48.934–00:08:50.092] 这种分类方式科学吗？
[00:08:51.558–00:08:53.292] 我告诉你这种方式是怎么分的啊？
[00:08:54.470–00:08:56.364] 他是从观看的角度。
[00:08:58.470–00:08:59.852] 他是从观看的角度。
[00:09:00.838–00:09:02.252] 从观众的角度分的。
[00:09:02.918–00:09:03.564] 这么分的。
[00:09:04.518–00:09:14.284] 你设想一下，你看电影这个东西啊其实是个很新的艺术形式，就出来100来年，对吧？在这100来年的发展过程中。
[00:09:15.014–00:09:21.772] 你回想一下这个小历史，你就了解了这个片子它是怎么来的。因为电影啊是在电影院放。
[00:09:22.662–00:09:23.308] 买票。
[00:09:24.326–00:09:24.972] 然后呢。
[00:09:25.798–00:09:27.340] 观众跑到电影院去看电影。
[00:09:28.422–00:09:29.804] 选择看什么电影呢？
[00:09:31.718–00:09:32.972] 还要通过这个电影的。
[00:09:33.446–00:09:34.028] 签名。
[00:09:35.206–00:09:35.820] 海报。
[00:09:37.190–00:09:37.932] 预告片。
[00:09:38.822–00:09:41.100] 和一些简单介绍来进行选择。
[00:09:42.278–00:09:43.052] 所以呢。
[00:09:43.654–00:09:51.020] 他在接受了一些初步的信息之后，他对这个影片就已经开始有一些期待。
[00:09:52.486–00:09:53.932] 有一些认知和期待。
[00:09:55.014–00:10:02.988] 这其实是什么呢？就是你这个片子传达出来的信息等于是给观众的一种承诺。
[00:10:04.742–00:10:20.396] 就造就了从宣传的角度和从期待的角度，慢慢两方面力量综合形成了这样一些信息化的分类。它其实是从观看承诺的角度分的。比如说我今天带着女朋友去看。
[00:10:21.158–00:10:24.076] 然后呢就会想看一个爱情片子。
[00:10:25.638–00:10:34.252] 爱情片、片名、海报、预告片、解样信息一一看你就知道哪个片子是爱情片了，不会有错的不会有错的。
[00:10:34.822–00:10:35.276] 对吧。
[00:10:36.806–00:10:44.108] 然后你就带女朋友进去看，这就是一种承诺，一种期待。然后进去之后，这个爱情片它一定是有浪漫元素的。
[00:10:45.126–00:10:46.444] 一定会让你感动。
[00:10:46.982–00:10:49.868] 一定会有男女主角的拥问。
[00:10:50.662–00:10:52.332] 这是度是最基本的承诺。
[00:10:53.350–00:11:05.132] 对吧你不可能就是说今天看一个海报，一个男的光着膀子，一身肌肉摆着这么一个姿势。然后你误认为这是一个爱情片，不可能的，他一定是个动作片儿，而且进去的之候，你一定要看他大。
[00:11:05.798–00:11:06.796] 他不打就不行。
[00:11:08.006–00:11:08.428] 对吧。
[00:11:09.414–00:11:15.692] 这就是一种从承诺的角度去去去分的。所以他其实是在观看。
[00:11:16.710–00:11:18.220] 电影的这个习惯中。
[00:11:18.982–00:11:22.924] 电影院的这个宣传中形成的这种分类。你说这种分类科学吗？
[00:11:24.006–00:11:25.260] 这个分类也不可学。
[00:11:25.766–00:11:27.788] 因为啥？因为他很多时候没法分。
[00:11:28.710–00:11:29.996] 对吧没法分。
[00:11:30.630–00:11:33.132] 一个喜剧片同时是一个动作片，这不太正常了。
[00:11:34.118–00:11:36.012] 成龙的片子全是喜剧加动作。
[00:11:36.934–00:11:37.836] 里面还有爱情。
[00:11:38.982–00:11:39.532] 是不是？
[00:11:40.038–00:11:41.004] 他往往都有啊。
[00:11:41.574–00:11:43.340] 你说周星驰的片子来。
[00:11:44.358–00:11:45.420] 百变星军。
[00:11:45.926–00:11:47.596] 喜剧科幻吧。
[00:11:48.550–00:11:49.164] 是不是？
[00:11:49.862–00:11:55.724] 那个那个呃功夫喜剧动作吧，美人鱼喜剧。
[00:11:56.390–00:12:12.652] 惊悚吧啊，恐怖哎，你说恐怖片和惊悚片啊，这两种类型我以前还研究过，那我老说那是恐怖跟惊悚，它是程度上的问题吗？一种比另一种更吓人吗？后来发现啊他分是怎么分的啊？就恐怖片啊。
[00:12:13.574–00:12:20.876] 他就分来自非自然的力量滚啊什么的，妖啊什么的，他就滑在恐怖片里面。
[00:12:21.478–00:12:38.956] 然后惊悚片呢就是比如杀人狂魔呀，那种连环杀人案呀，就人为的是惊悚的，超自然啊，它就归在恐怖片里边。爱情片也有爱情片还有一种爱以前那种爱情片，后面接一类分类叫情爱片。哎呀，妈呀。
[00:12:39.462–00:12:42.284] 情爱片就比爱情片啊更暧昧一点。
[00:12:42.950–00:12:49.004] 我也仔细观摩了一些片子，我我总结出来了，就是只亲嘴的算爱情片。
[00:12:49.798–00:12:53.196] 脱裤子的就叫情爱片了，他是这么分的。
[00:12:54.150–00:12:56.620] 然后这些分类全都卡不上的。
[00:12:57.382–00:12:59.372] 他最后扔一个大包打包。
[00:12:59.974–00:13:06.060] 叫人家剧情片有没有有没有这种分类剧情片。所以你说这种分类方式能科学吗？
[00:13:07.110–00:13:09.484] 对不对？能科学吗？就是。
[00:13:11.046–00:13:18.444] 你什么都分不了的，你个人归剧情片了，这是肯定不行的这就这种分类方式啊，它其实是。
[00:13:19.014–00:13:20.524] 应用于市场的。
[00:13:21.190–00:13:23.020] 针对于观众期待。
[00:13:24.774–00:13:26.124] 所以这种分类方式啊。
[00:13:26.918–00:13:29.388] 是海报的分类方式，我感觉更像是。
[00:13:31.334–00:13:33.452] 就是满足观众的期待。
[00:13:35.974–00:13:41.036] 你观众选择你这个片子想看什么？你给观众承诺了什么？
[00:13:42.502–00:13:43.404] 就是这种分类。
[00:13:44.358–00:13:47.052] 就好比你说那个。
[00:13:49.446–00:13:51.020] 我们说李连杰的片子。
[00:13:51.526–00:13:54.252] 只要出现李连杰的脸，那就一定是动作片。
[00:13:55.718–00:13:57.164] 这是你给观众的承诺。
[00:13:57.702–00:14:05.516] 所以你看他前几年拍了一个片子，跟文章的演什么父子情之类的嘛，反正就是完全不打的嘛，纯文艺的。
[00:14:06.566–00:14:09.324] 这个片子呃票房就不好，效果就不太好。
[00:14:10.214–00:14:10.700] 为啥呢？
[00:14:12.774–00:14:21.932] 他为啥要拍这个片子？他肯定是上了年纪打不动了，那想转型，而且当了这么多年演员，他肯定也是。
[00:14:22.694–00:14:27.212] 动作戏的演员都有这个这个执念，非要证明一下自己演技好。
[00:14:28.166–00:14:29.036] 可以演戏。
[00:14:29.606–00:14:30.764] 可以演文戏。
[00:14:31.558–00:14:32.652] 但其实啊。
[00:14:34.022–00:14:39.916] 他演文戏不成功，并不是演技不好，跟演技没有关系。
[00:14:40.518–00:14:54.700] 是因为你给观众的承诺已经固定了，观众去看你的时候就想看你打，这是你给观众的承诺，观众把你归在动作片里面了，就永远归在里面了。你这张脸出来。
[00:14:55.302–00:14:56.364] 就把你归在。
[00:14:56.998–00:15:04.108] 动作片里面了，顾人众怀着看动作片的心情去电影院，然后没有看到动作，他就一定不满意。
[00:15:04.838–00:15:06.060] 不是你演技不好。
[00:15:07.334–00:15:08.684] 而且也不用去转型。
[00:15:09.318–00:15:09.708] 对吧。
[00:15:10.342–00:15:11.788] 你就像你你。
[00:15:12.390–00:15:13.420] 你是奥利奥。
[00:15:14.310–00:15:21.612] 对吧然后你你你你觉得我奥利奥多牛啊，我这么有钱，我这么有技术，对吧？我要做轮胎。
[00:15:23.782–00:15:26.156] 对吧我不做饼干，我要生产一款轮胎。
[00:15:27.462–00:15:29.036] 我要跟米其林较一较劲。
[00:15:30.246–00:15:40.044] 有可能你做的轮胎也不错，因为你毕竟有钱，对吧？你收购一个好的轮胎厂，雇点牛逼的工程师也可能牛逼，但我们就是不买。
[00:15:40.550–00:15:52.044] 不用你的轮胎，就怕开着开着，中间裂开流出来一层白的奶油，你知道吧？就他对你的印象就是你就做饼干就挺好的。
[00:15:52.550–00:15:57.612] 不是说你不好，不是说你演技不好，他给观众一种承诺。所以说。
[00:15:58.086–00:16:06.124] 这种分类方式啊，从观众角度这种分类方式啊，更像是对海报的分类，也不算是对故事的分类。
[00:16:08.230–00:16:09.292] 我觉得也。
[00:16:10.022–00:16:11.596] 没用没用。
[00:16:14.598–00:16:18.860] 对，咱没用啊，我是这个意思啊，对咱写故事没用。
[00:16:22.502–00:16:24.620] 那咱今天讲类型片。
[00:16:25.478–00:16:30.956] 讲一个什么分类方式呢？我推荐给大家一种分类思路。
[00:16:31.782–00:16:34.476] 之前我也说过这个这个牛排。
[00:16:35.718–00:16:36.364] 叫。
[00:16:36.838–00:16:38.348] 布莱克斯奈德。
[00:16:39.750–00:16:45.868] 是这位好莱坞编剧他的一种分类方式，他有一套教材叫救猫咪。
[00:16:47.942–00:16:49.292] 我前面给大家讲过，对吧？
[00:16:50.630–00:16:57.804] 讲做人物的那里，我给大家讲过旧猫咪这个概念，它那套教材就叫救猫咪，它这个门派啊就叫救猫咪。
[00:16:59.750–00:17:01.068] 他是什么门派呢？
[00:17:03.110–00:17:07.500] 他算比较功利的那种，他下手挺狠的，下死手啊。
[00:17:08.166–00:17:12.524] 他认为所有的好莱坞影片可以分10个10个大类。
[00:17:13.318–00:17:14.444] 他可以分成10类。
[00:17:15.078–00:17:20.236] 然后呢呃给每一类找规律，硬性的说这这必须这么做必须这么做。
[00:17:20.934–00:17:22.572] 他是这么一个一个。
[00:17:23.046–00:17:26.284] 一个算是教育学家吧，剧本教育家。
[00:17:26.886–00:17:27.660] 很有名啊。
[00:17:28.486–00:17:32.236] 呃，他学生很多的在好莱坞很多的，得过很多大奖。
[00:17:32.998–00:17:41.356] 然后呃咱国内我也说过那个呃徐徐峥导演呀、宁浩导演啊，明显是他这个流派。
[00:17:43.174–00:17:46.540] 人家没明说啊，但咱能看出来，明显是这个流派。
[00:17:47.558–00:17:59.276] 这流派没什么不好，挺好的。但是我一直不推荐咱们现在去去研究它的教材，为啥呢？他适用于专业人士这么说吧。
[00:17:59.942–00:18:01.420] 就你已经很熟练了。
[00:18:01.926–00:18:06.412] 知道故事的各种套路了，然后再根据它的分类。
[00:18:07.142–00:18:12.908] 去进一步的强化自己的技巧，更规范自己的行为。
[00:18:13.990–00:18:14.668] 创作行为。
[00:18:15.622–00:18:17.580] 是这么一个作用。我认为啊。
[00:18:19.014–00:18:20.204] 当然有很多人骂他。
[00:18:20.934–00:18:25.452] 有很多人不同意救猫咪的观点啊，特别是那种老学究。
[00:18:26.246–00:18:39.084] 这就学院派啊是不太待见他的，认为他离经叛道。我说一下我的观点吧，我没有完全赞同就猫咪所有的理论。我也认为它的分类有些地方呢确实也不严谨。
[00:18:39.622–00:18:40.908] 不能完全涵盖。
[00:18:41.414–00:18:46.924] 但是老学究批判救猫咪的时候，我是果断的占救猫咪的。
[00:18:47.462–00:18:48.620] 我站队救猫咪的。
[00:18:49.222–00:18:51.820] 为啥呢？因为老学就批判他的更没有道理。
[00:18:53.862–00:18:58.092] 有很多传统观点认为他颠覆了一些。
[00:18:59.686–00:19:02.060] 莎士比亚、亚里士多德他们的理论。
[00:19:03.462–00:19:04.652] 觉得这个这个。
[00:19:05.286–00:19:06.540] 他有点哗众取宠。
[00:19:08.518–00:19:09.228] 这么说吧。
[00:19:10.822–00:19:14.284] 我们如果认认可剧本创作是一门技术。
[00:19:15.814–00:19:20.460] 那我们就要认可技术是在不断的发展和完善的。
[00:19:21.926–00:19:23.820] 就是文艺的人啊。
[00:19:24.582–00:19:25.580] 愿意从古。
[00:19:26.342–00:19:28.172] 就认为古代的人什么都是对的。
[00:19:28.678–00:19:38.636] 孔子说的什啥都对，对吧？这个这个上古的一些理论很玄妙，你慢慢去参悟他永远对。
[00:19:39.142–00:19:47.692] 就是有这种观点，但是理性的人啊，像像我们这种理科出身的人啊，我们不崇拜古，我们崇拜心。
[00:19:48.454–00:19:51.020] 越往后的东西，它是越。
[00:19:51.590–00:19:56.332] 越完善越先进的对吧？这是理性的认识。
[00:19:57.382–00:20:00.588] 你如果认可剧本是一门技术。
[00:20:01.926–00:20:03.468] 那就是新的比旧的好。
[00:20:04.614–00:20:06.284] 因为他在发展，他在完善。
[00:20:06.758–00:20:10.604] 我曾经跟中戏的一个老师一起喝茶的时候。
[00:20:11.462–00:20:13.388] 他也是那种老学究。
[00:20:13.958–00:20:15.404] 他就说啊这个。
[00:20:16.806–00:20:23.564] 莎士比亚如何如何，对吧？他就会说这个，然后就是说啊现在这些什么理论哗众取宠。
[00:20:24.038–00:20:27.916] 都不对，这这这个老祖宗的东西都给忘了。
[00:20:28.518–00:20:29.132] 这个这个。
[00:20:29.862–00:20:33.260] 但是呢我就觉得他很矛盾。我说那老师您认为剧本创作。
[00:20:33.926–00:20:43.820] 他是一门手艺吗？因为我们搞剧本的人都喜欢自称手艺人，自称匠人精神嘛，觉得这个词很啊很洋气，我们是匠人。
[00:20:44.518–00:20:46.156] 说老师，你觉得我们是匠人？
[00:20:46.950–00:20:50.476] 他说是呀，我们当然是匠人呀，我们有匠人的精神呀。
[00:20:51.046–00:20:53.548] 我说老师，既然咱们是匠人，是一门手艺。
[00:20:55.110–00:20:59.020] 那么为什么新的手艺会比旧的手艺差呢？
[00:20:59.654–00:21:06.668] 然后就掰扯不明白，老师就说对吧？那个中西的老师他就说呃古代的好。
[00:21:07.334–00:21:18.156] 然后我就问老师，我说那老师咱们这样去理解这个问题啊，既然他是一个咱是匠人，然后呢，剧本这个手艺是一门技术，对吧？
[00:21:19.046–00:21:24.428] 我们类比一下，我特别爱用比喻说服别人。我说我们类比一下老师。
[00:21:25.062–00:21:25.932] 假设啊。
[00:21:26.854–00:21:27.628] 您现在。
[00:21:30.150–00:21:31.212] 被蛇给咬了。
[00:21:32.710–00:21:33.932] 中毒了毒舌。
[00:21:35.014–00:21:35.724] 然后呢。
[00:21:36.646–00:21:37.900] 来了两个大夫。
[00:21:39.078–00:21:41.484] 一个是华佗穿越过来了。
[00:21:43.654–00:21:44.172] 对吧。
[00:21:44.678–00:21:45.612] 拿着一把刀。
[00:21:46.246–00:21:47.564] 说要刮骨疗伤。
[00:21:50.054–00:21:50.956] 一个呢。
[00:21:51.430–00:21:53.100] 是咱们出门右拐。
[00:21:53.894–00:21:57.996] 北京市长安区第三人民医院外科副主任。
[00:21:59.494–00:22:03.948] 刘大夫，咱也不知道叫什么名字，肯定不是什么大师是吧？刘大夫。
[00:22:04.646–00:22:09.612] 我说一个是医学界的泰山北斗吉的大叔大师啊。
[00:22:10.214–00:22:10.956] 一个呢。
[00:22:11.910–00:22:12.972] 无名小贝。
[00:22:14.214–00:22:16.972] 拿着一根针管说我来给你打一针。
[00:22:18.822–00:22:20.620] 我说老师，你现在腿很疼啊。
[00:22:21.190–00:22:22.444] 中了蛇毒了呀。
[00:22:23.238–00:22:25.516] 一个华佗，一个刘大夫。
[00:22:26.214–00:22:26.988] 你选谁？
[00:22:28.166–00:22:34.604] 老师陷入了沉默，想揍误我，我赶紧打个圆场说折过去。
[00:22:35.142–00:22:42.444] 啥意思呢？就是你既然认可剧本技术呃手艺，它是个技术。
[00:22:43.206–00:22:52.012] 那你就要认可他他在不断的发展，咱就要理性一点，对吧？刘大夫那一针绝对比华佗好使。
[00:22:53.190–00:22:56.524] 华佗在他的那个时代，有可能是。
[00:22:57.670–00:22:58.380] 一哥。
[00:22:59.142–00:22:59.852] 大牛。
[00:23:00.870–00:23:06.476] 这个毋庸置疑，他的地位毋庸置疑，对吧？但是咱们不能。
[00:23:07.238–00:23:09.996] 华佗对医学界的贡献当然也比刘大夫大。
[00:23:11.110–00:23:13.996] 但是他技术在发展，你明白这个意思吗？
[00:23:15.014–00:23:22.156] 就说句大逆不道的话，我认为易中天教授的学问有可能就是比孔子的学问大，明白这个意思吧？
[00:23:23.942–00:23:25.132] 就是他在发展。
[00:23:26.150–00:23:27.020] 不能认为。
[00:23:27.526–00:23:31.724] 这个这个剧本有一定的文艺性，咱们就去盲目的就说。
[00:23:32.198–00:23:34.476] 哎呀，古代的人说的都是有道理的。
[00:23:35.686–00:23:49.964] 所以说这个施奈德教授这是呃不是施耐德教授呢，说易中天教授说查了，斯奈德先生他不一定是教授啊，斯奈德先生这个救猫咪的理论他当然有纰漏，因为他也在探索嘛。
[00:23:51.942–00:23:52.652] 但是。
[00:23:53.446–00:23:55.724] 他一定是比较先进的。
[00:23:56.230–00:24:04.940] 一定是比较先进的。我们来可以研究一下，我们今天就来研究一下，我表明我的立场就是他如果跟老学球干起来了，我站他。
[00:24:05.414–00:24:13.228] 但是如果周下周周遭没有人，咱们今天没有外人，就咱们聊我跟你说救猫咪。
[00:24:13.702–00:24:14.988] 分成10个类型。
[00:24:15.494–00:24:16.812] 也不是特别严谨。
[00:24:17.286–00:24:18.444] 也不是特别严谨。
[00:24:18.918–00:24:23.372] 但是很有用，为啥呢？它不是从观众观看的角度分的。
[00:24:25.318–00:24:28.044] 明白吗？这个道理吧？就他不是按照。
[00:24:28.614–00:24:34.476] 这个这个你的观看习惯，你的海报习惯去分的，它是从故事。
[00:24:36.230–00:24:37.292] 从创作。
[00:24:38.310–00:24:46.412] 角度分的。也就是说从咱们自己的角度，从咱们编剧的角度，他去分我们有几有这10种创作思路。
[00:24:48.614–00:24:50.316] 哎，你这么理理解。
[00:24:50.982–00:24:54.924] 他这套东西它就是有用的，它是10种。
[00:24:55.558–00:24:56.780] 创作思路啊。
[00:24:59.462–00:25:04.396] 所以我从这个角度去理解救猫咪它这10个类型。
[00:25:05.862–00:25:06.732] 我觉得哎。
[00:25:07.974–00:25:11.052] 是有用的，因为它比这10种创作思路。
[00:25:11.846–00:25:19.436] 每种设了几条规矩，你再发现你的故事好，差不多是贴更贴这种类型的时候。
[00:25:21.222–00:25:22.316] 你可以有一个。
[00:25:23.142–00:25:24.108] 呃，行为准则。
[00:25:24.646–00:25:25.516] 不出缸。
[00:25:26.054–00:25:29.068] 不出杆，不出大错，就这样。
[00:25:30.214–00:25:35.148] 十类故事创作思路。我为什么说是故事创作思路？
[00:25:37.126–00:25:38.124] 就是我说的。
[00:25:39.302–00:25:42.284] 如果说这是10个类型的电影不够严谨。
