P091 编剧视角拉片励志电影《肖申克的救赎》二
[00:03:08.198–00:03:12.012] 然后这次它并没有湿结，非常强硬啊非常强硬。
[00:03:12.774–00:03:14.796] 你也可以理解为他的一个成长。
[00:03:15.366–00:03:16.236] 然后。
[00:03:16.742–00:03:37.820] 这个姐妹团被狱警打成了残废，也就是说他刚才不是帮助过那个狱警吗？这里狱警回馈他，把姐妹团打成了残废，这是好几场戏啊，这是好几场戏，但是是同一个节拍。第16拍46分钟，伙伴们一起找石头送给安迪，甚至还送给他免费的美女海报啊。
[00:03:38.214–00:03:40.076] 我们说这一拍也是很有用的。
[00:03:40.550–00:03:44.108] 展现了安迪已经获得了大家的认可。
[00:03:44.614–00:03:47.436] 所以说一小场戏我们单独把它拎出来。
[00:03:47.910–00:04:03.148] 然后第十七排实际是第17拍，实际是第48分钟点狱长查房，这场戏也是一场单独的节拍，为什么呢？因为它看似是一场小小的危机。我们在看戏的时候啊会觉得是一场小危机。
[00:04:03.622–00:04:07.148] 但是呢其实这场小危机有个非常重要的作用。
[00:04:08.230–00:04:24.716] 就是通过典狱长严格的查房来展现安迪，其实没有搞什么小动作啊，来展现安迪，又是一次这个这个拿捏我们观众啊，又是一次挑逗我们观众，让我们观众认为他其实没有搞什么小动作，对吧？
[00:04:26.118–00:04:47.804] 然后从典狱长的角度呢，实际是在试探安迪，因为他想要开始用安迪给他干活了啊，他想要开始试探安迪可不可靠了。然后在这里呢还做了一个很重要的伏笔。第1七拍这里还有一个很重要的伏笔，就是圣经啊，圣经伏笔救赎之道就在其中，这是一个很重要的伏笔啊。
[00:04:48.134–00:04:58.924] 呃，我们待会儿全部都拉完了之后，我们来讲一下圣经这个伏笔啊，十八拍是51分钟51分钟啊。我们说安y。
[00:04:59.462–00:05:00.556] 开始。
[00:05:01.094–00:05:04.876] 给典狱长打工了啊，去到图书馆啊，去到图书馆。
[00:05:05.478–00:05:08.492] 就去图书馆打工了，就开始成为一个文职人员了。
[00:05:09.638–00:05:20.972] 在这里啊，当然还那个另外一个比喻又兑现，又出现了一下，就是老布和那只鸟啊，老布和乌鸦这个比喻又出现了一遍。1八拍这场戏很重要的是。
[00:05:21.510–00:05:37.964] 他接到了第一单咨询订单啊，而且两个人非常煞有介事的坐下谈，而且还摘一下帽子，非常这里展现什么呢？展现安迪的知识得到了尊重啊。记住第十八拍非常重要，安迪第一次得到了尊重。
[00:05:38.790–00:05:40.460] 十九拍55分钟。
[00:05:40.966–00:05:44.012] 安迪的世迹啊在监狱广为传颂。
[00:05:44.806–00:05:59.180] 同时呢他也开始申请经费改善图书馆。当然了，狱警告诉他，这件事情是没什 impossiblepos啊，不可能做到的事情，但是他不管啊，他不管他呢就是要申请经费改善图书馆。同时呢也。
[00:05:59.686–00:06:05.612] 开始帮所有的预警以及典狱长报税啊，典狱长报税这个成为。
[00:06:06.726–00:06:07.692] 成为了一名。
[00:06:08.774–00:06:12.204] 监狱会计师啊，第二十拍二十拍。
[00:06:12.742–00:06:24.716] 也就是第57分钟老布发疯了啊，这一场戏单独单独说写一下，因为是老布的结局啊，老布发疯了啊，虽然是好多场戏，但是讲的是老布的结局。
[00:06:25.222–00:06:47.292] 老布是一种人啊，大家记住老布是一种人。老布发疯了啊，老布因为即将要出狱，所以发疯了，他没有办法面对外面的世界，也离不开这个监狱啊。呃，在临走之前，他放飞了他的小鸟啊，让他的小鸟获取去自由，然后他自己走出了监狱，面对外面未知的世界啊，我们最终呢承受不住自杀了啊。当然这一切。
[00:06:47.654–00:07:02.572] 这一切从监狱的视角我们是怎么知道的呢？是因为老布写信回来告诉大家的啊，这场戏挺长的，有8分钟啊，有8分钟。但是讲的是老布的结局。我们说老布作为一个这么不重要的角色，只出现了这么两三次。
[00:07:03.046–00:07:17.516] 在这里花了8分钟讲他的死亡，为什么嘞？是因为他是监狱有罪之人，其中的一种典型代表，他的结局是一种典型结局，明白吗？这个待会儿你看通过一部哎。
[00:07:18.502–00:07:21.452] 同学们刚刚刚讲到第二0拍。
[00:07:22.374–00:07:23.532] 有没有？
[00:07:24.518–00:07:25.676] 有没有？
[00:07:26.918–00:07:35.308] 慢慢的感觉这个片子的类型啊、四目啊，一句话故事啊全都要全都要呼之欲出啦。
[00:07:36.710–00:07:37.644] 第2十1趴。
[00:07:39.270–00:07:42.764] 也就是第65分钟65分钟。
[00:07:43.238–00:07:47.852] 换个词儿说叫一个点啦。同学们，这部电影一个点啦。
[00:07:48.614–00:07:49.580] 该那啥了啊。
[00:07:50.278–00:07:51.756] 21趴65分钟。
[00:07:52.454–00:08:08.620] 地获得了拨款，获得了捐赠，6年的坚持，获得了回报。而且呢还获得了音乐唱片，播放了莫扎特，品尝到了最自由的味道。美好的音乐这个音乐呀。
[00:08:09.158–00:08:20.652] 让人铭记，因为他说问别人问他，你放音乐值得吗？他说值得，因为音乐是就是希望，音乐是关不住的，你的肉体可以被关注。
[00:08:21.126–00:08:25.644] 对吧你的嘴巴可以被关注，胃可以被关注，音乐是关不住的，它是字眼。
[00:08:26.438–00:08:28.972] 我们说在这里他品尝到了自由。
[00:08:29.542–00:08:34.220] 但也因此被关了两周的禁闭啊，我们说你看。
[00:08:34.726–00:08:40.364] 你可以理解是这样，第21趴也就第65分钟，也就是这个电影的。
[00:08:40.934–00:08:44.748] 一个钟头这个位置啊一个点中间这个位置。
[00:08:45.254–00:08:48.620] 安迪在监狱混到了巅峰了。
[00:08:50.022–00:08:56.812] 就安迪作为一个在监狱里混的人，在肖申克这个监狱里混的人，他现在是人生巅峰。
[00:08:57.734–00:08:59.468] 可以他可以跟。
[00:09:00.198–00:09:11.628] 狱警平起平坐，他可以自由的走动，他甚至都敢放音乐啊，他还有钱，他还那个呢是图书馆馆长，他还是会计师混到巅峰了。
[00:09:12.230–00:09:12.812] 65。
[00:09:13.606–00:09:15.788] 65分钟啊，混到巅峰了来。
[00:09:16.390–00:09:20.300] 下面进入第22趴啊，也就是第73分钟。
[00:09:21.062–00:09:21.612] re。
[00:09:22.118–00:09:41.452] 申请假释，再次被拒，希望再次破灭。我们记得啊开场就有red申请假释这么一场戏，这里在故事终点刚刚过完，red再一次申请假释，然后呢再次被拒。这时候的red已经入狱30年整安y是入狱十年整。
[00:09:42.054–00:09:42.572] 同学们。
[00:09:43.238–00:09:45.708] 安迪一共在监狱蹲了多少年？
[00:09:46.374–00:09:48.236] 在监狱一共蹲了20年。
[00:09:48.838–00:09:52.012] 同学们，安迪在监狱一共蹲了20年。
[00:09:52.838–00:09:59.948] 在故事终点的时候是十年啊，这里red入狱30年，安迪入狱1年啊。
[00:10:02.118–00:10:10.028] 在这里呢，安迪赠送给red一个口琴，一个代表希望的口琴。但是red不肯。
[00:10:10.790–00:10:11.372] 演奏。
[00:10:12.742–00:10:20.684] 肯演奏，甚至到了晚上夜深人静，只有他一个人的时候，他尝试把口把这个口琴含在嘴里。
[00:10:21.254–00:10:21.996] 依然不敢。
[00:10:24.326–00:10:31.564] 然后呢，red也回赠了安迪玛丽莲梦露啊，代表一个新的时代的美女啊，玛丽莲梦露。
[00:10:32.166–00:10:41.036] 然后两个人呢在晚上都陷入了思考啊，陷入了迷失，陷入了思考啊。
[00:10:41.606–00:10:43.852] 第23趴76分钟。
[00:10:44.742–00:10:47.756] 安迪再次获得拨款。
[00:10:48.614–00:11:10.012] 扩建图书馆。与此同时，典狱长也在此期间利用安底搞的这个这个呃所谓的这个狱警叫囚犯再造运动。因为他囚犯在教育嘛，他在一直在这个监狱里面搞囚犯在教育。典狱长也利用他搞的这个囚犯再教育。
[00:11:10.374–00:11:14.124] 开始发了大财啊，利用这些监狱的免费劳动力发了大财。
[00:11:14.886–00:11:20.172] 然后呢，安y就一直在帮他洗钱啊，一直在帮他洗钱。
[00:11:20.742–00:11:25.420] 嗯，这在这里也交代了那些账本呀、保险柜呀这些东西。
[00:11:25.990–00:11:41.676] 也用安迪和red的一场对话交代了洗钱的细节啊，也成为了伏笔啊。就是安y向red介绍他是怎么洗钱的。red因为完全外行嘛，完全听不懂，所以把这里用这场戏。
[00:11:42.214–00:11:48.492] 呃，把洗钱过程交代一下，同时也是一个很重要的伏笔。然后来到24场。
[00:11:49.254–00:12:02.956] 24趴啊，就是第84分钟啊，这里你看没趴分钟数就很多了啊，又来新人了啊，又来了一个新人。这个新人呢汤米这个汤米呢显然是一个舍牛啊。
[00:12:03.462–00:12:04.556] 84分钟。
[00:12:05.222–00:12:06.860] 新人汤米来到。
[00:12:07.366–00:12:08.268] 来到了。
[00:12:09.478–00:12:22.892] 监狱快速融入融入集体。与此同时呢，与之对比的安迪已经成为了监狱的老油条。为什么说他为什么说他成为了监狱的老油条呢？因为他对这个t米说的话。
[00:12:23.398–00:12:36.236] 就像red当年对他说的话一样啊，就像当他呃就是当年red对新人的他20年前对他说的话一样，t米拜了安迪为师啊，安迪决定帮助汤米。
[00:12:37.126–00:12:41.004] 安迪决定帮助汤米拿到一个中学文凭。
[00:12:41.606–00:12:42.828] 为了重新做人。
[00:12:43.462–00:12:53.612] 两人成为了师徒啊然后呢这个汤米啊进步神速，那这个汤米跟着安迪学了一年，一年之后已经准备好了参加考试啊就是。
[00:12:54.182–00:13:03.980] 两人有这么一年的一个师徒关系，这么这个一年用了6分钟来交代啊，但是其实是一拍啊，一个节拍，二4场啊是一个节拍。
[00:13:05.414–00:13:06.508] 第25拍。
[00:13:07.046–00:13:09.388] 第25拍来到90分钟。
[00:13:10.054–00:13:10.956] 这个汤米呀。
[00:13:11.814–00:13:14.380] 忽然想到了一个重要的线索。
[00:13:15.302–00:13:18.988] 这个重要的线索可以证明安迪是被冤枉。
[00:13:19.718–00:13:21.004] 我们说这场戏非常重要。
[00:13:21.510–00:13:23.660] 安迪发现了一个。
[00:13:24.326–00:13:27.468] 新的希望，也就是说，安迪。
[00:13:28.166–00:13:31.468] 发现了一个可以获得自由的希望。
[00:13:32.358–00:13:33.772] 但是典狱长。
[00:13:34.406–00:13:41.196] 并不打算帮他还把他关了一个月禁币。这里也强调了一下，说从来没有人被关过一个月禁币这么长。
[00:13:41.766–00:13:46.572] 记住这里有个时间点啊，这里打了一个时间点，这是安迪入狱的第。
[00:13:47.078–00:13:50.252] 19年下一拍第26拍。
[00:13:51.334–00:13:52.236] 第二十六拍。
[00:13:53.126–00:13:55.820] 也就是第94分钟，汤米。
[00:13:56.454–00:13:57.292] 获得了。
[00:13:57.766–00:13:58.636] 高中文凭。
[00:13:59.334–00:14:05.772] 主角安y的徒弟，我们的小汤米获得了中学文凭。
[00:14:06.886–00:14:07.564] 但是。
[00:14:08.998–00:14:09.900] 却被典狱长。
[00:14:10.374–00:14:11.468] 杀人灭口。
[00:14:12.102–00:14:14.508] 那我们的安迪能怎么办呢？
[00:14:15.462–00:14:17.804] 我们的安底没有任何办法。
[00:14:18.406–00:14:23.084] 只能被迫继续替典狱长做坏事。
[00:14:23.622–00:14:25.740] 整个故事来到了。
[00:14:26.278–00:14:27.052] 灵魂黑夜。
[00:14:28.710–00:14:29.996] 下一排第。
[00:14:30.534–00:14:31.308] 27拍。
[00:14:32.742–00:14:33.452] 2十7盘。
[00:14:34.822–00:14:37.036] 在故事的第100分钟。
[00:14:37.606–00:14:39.308] 安迪出来了安迪出来。
[00:14:40.550–00:14:43.724] 安利关禁闭出来之后，忏悔自己。
[00:14:44.550–00:14:47.084] 也宣告自己赎罪结束。
[00:14:48.102–00:14:50.540] 他认为他所犯的错误。
[00:14:51.014–00:14:53.868] 在这20年里已经全部。
[00:14:54.502–00:14:55.180] 还给了。
[00:14:55.814–00:15:02.796] 上利，而且安迪向red发出了出狱以后的邀请，告诉你，你到时候来找我。
[00:15:03.334–00:15:07.756] 然后但是这个red很悲观，他听不懂安迪在说什么，他以为安迪疯了。
[00:15:08.326–00:15:13.548] 但是安迪非常坚持告诉他，你到时候到哪棵树下找哪颗石头。
[00:15:14.534–00:15:16.876] 来找我，然后第二8拍。
[00:15:17.766–00:15:25.804] 107分钟第28拍的107分钟，大家都开始担心这个安迪感觉他是不是疯了，要自杀了。
[00:15:26.406–00:15:33.164] 甚至发现安弟还要了根绳子，对吧？发现安弟还要了根绳子，以为他肯定要自杀了。
[00:15:33.734–00:15:44.812] 我们说在大高潮戏来临之前，这个创作者再次虚晃一枪是吧？再次虚晃一枪，让我们以为安迪要自杀。然后第29拍。
[00:15:45.350–00:15:59.660] 来到第108分钟啊来到第108分钟，安迪拿走了啊，拿走了，就来到了故事的大高潮汐啊，大高潮系，安迪拿走了典狱长的。
[00:16:00.390–00:16:06.732] 账本呀、皮鞋呀在一个雨夜啊，趁着雨夜打雷，逃出了肖申克。
[00:16:07.526–00:16:08.940] 然后这一段叙述。
[00:16:09.414–00:16:20.620] 用了一个倒叙，用了一个倒叙，就是先查查寝，发现它没了，然后再去回忆越狱过程。
[00:16:21.094–00:16:21.740] 然后。
[00:16:22.694–00:16:39.084] 甚至也回忆了安迪这19年，从第一次开始挖通道，一直到现在，其实他一直在努力，一直在留有退路。我们说第108分钟是整个故事的大高潮戏，我们来看一下啊，我们来看一下。
[00:16:43.078–00:16:43.468] 个大学。
[00:17:24.582–00:17:25.100] 卖怎么事？
[00:17:46.342–00:17:50.316] 2245,,好 show.
[00:17:51.622–00:17:53.580] Don't make me come down there, I'll you show for you.
[00:17:56.934–00:18:02.732] Let me behind got把 me来 you me.
[00:18:04.678–00:18:05.836] Oh myO的 god.
[00:18:14.470–00:18:19.628] 山。
[00:18:20.934–00:18:34.188] just wasn't here. don't say that to me. don say that to me again, but sorry he wasn't I can see that he, they got blind, you say I I he sir about you blind you see the friends there. I should do see right there. do friend.
[00:18:35.238–00:18:37.676] 你不是 like job3 reason求别人的 morning人。
[00:18:38.310–00:18:43.980] I want him found now tomorrow now after breakfast now yes.
[00:18:45.094–00:18:46.668] 不了。
[00:18:49.158–00:18:50.732] I you all the time. You biggest Steve you are.
[00:18:51.366–00:18:52.876] 立马是在山上等等，我想。
[00:18:54.886–00:18:55.948] 老二这明头。
[00:18:56.454–00:19:05.548] I wind then window on the wall Maybe she knows. What are there funny bridge like not.
[00:19:06.182–00:19:07.116] She different。
[00:19:07.718–00:19:09.548] 该 what this is.
[00:19:10.438–00:19:14.188] 别，去来。
[00:19:20.454–00:19:21.868] 名场面啊明场面。
[00:19:25.382–00:19:27.628] 第一次看这场戏，那必须鸡皮疙瘩。
[00:19:31.494–00:19:34.316] 1966 and a Du frame escaped from Shahen prison.
[00:19:35.462–00:19:40.300] All they found the animals a mud set of prison clothes, a bar of soap, and oldry, family worn down to the oven.
[00:19:42.694–00:19:46.348] Thinking it would take a man 600 years to come through the wall with it. Oh landed less.
[00:19:48.070–00:19:53.132] 回到他当时第一次发现墙皮松啊，回到他当时19年前第一次发现。
[00:19:55.494–00:19:58.444] Oh, and love Ge. I imagine appeal to this metic nature.
[00:19:59.014–00:20:01.004] it是 mountain doing there.
[00:20:01.766–00:20:03.052] 第二个觉得3里该始人太。
[00:20:03.878–00:20:05.292] 诶，嘴了没事。
[00:20:10.310–00:20:12.716] I said in prison a man do knows anything to deep mind occupied.
[00:20:14.278–00:20:23.500] Turns out and his favorite I was building his wall I didnt emphasize yard, I hadn' at the time. I guess at the time it was killed and he decided he be adjust about vomit.
[00:20:34.982–00:20:36.748] 起。
[00:20:39.302–00:20:42.828] And it did like it was sold, but those shoes to a high mirror shine.
[00:20:44.262–00:20:48.812] didn't notice I mean, seriously, how often do you really look at man shows.
[00:21:50.502–00:21:56.140] And crawl to freedom through 500 yards of shitsnel foul as I can't even imagine.
[00:21:57.670–00:22:02.732] 500 yards that' the length of five football fields, just shy half a mile.
[00:22:30.054–00:22:31.596] 来接着说啊。
[00:22:32.070–00:22:49.068] 我们说同学说哎呀，老师这场戏啊，其实挺这个镜头挺俗的呀，下大雨，然后张开双手大大雨冲刷我吧。说这种戏我们在偶像剧里经常见到说这个场会不会有点俗啊，人家是祖宗。
[00:22:49.990–00:22:52.364] 在学他嘛，明白吗？
[00:22:53.894–00:23:03.532] 就后面的戏都在学他呀，明白这个道理吧？所以说这场戏在当年啊那还是很震撼的啊，当年还是很震撼的啊。
[00:23:04.038–00:23:12.844] 呃，另外呃讲一个细节啊，同学们这场这场戏就是第29趴啊，第29趴从108分钟开始的全剧的。
[00:23:13.510–00:23:15.788] 大高潮系啊大高潮系。
[00:23:16.326–00:23:20.332] 说几个细节吧啊，我们说安迪为什么会带上棋盘啊？同学。
[00:23:21.158–00:23:24.172] 他刻了一堆一堆石头棋子儿，同学们看到没有？
[00:23:24.678–00:23:26.476] 他刻了一堆石头棋子儿。
[00:23:27.142–00:23:33.484] 那些石头棋子儿按理说挺沉的，同学们他还带，不是他不光带了石头棋子儿，他还带了。
[00:23:34.118–00:23:36.492] 还带了一本圣经。
[00:23:38.950–00:23:50.700] 带着的累赘挺多的。按理说如果是我的话，就带着那个带着那个典狱长的账本实际就行了，你知道吧？带着典狱长的账本还不行啊，是吧？为什么要带这么多？
[00:23:51.398–00:23:53.420] 很沉的东西啊，零碎的东西。
[00:23:54.886–00:24:02.476] 这个确实值得一说啊，为什么呢？因为通篇安底都在追求希望。
[00:24:03.174–00:24:03.724] 和自由。
[00:24:04.774–00:24:13.036] 我们说通篇安地在整个故事中，在整个的20年当中，他都在追求希望和自由。
[00:24:13.510–00:24:17.612] 我们随便回忆一下，他追求了几几次希望和自由啊。比如说。
[00:24:18.310–00:24:26.892] 他为什么要搞雕刻？最开始的时候为什么为什么搞搞雕刻？最开始的搞雕刻不是为了越狱。他第一次要锤子的时候，不是为了越狱。
[00:24:27.494–00:24:32.876] 是认他认为一个有尊严的人应该有自己的爱好。
[00:24:33.414–00:24:41.036] 一个有尊严的一个自由的人，应该有自己的爱好，爱好是别人抹杀不了的。就像他后来为什么鼓励red去吹口琴。
[00:24:42.278–00:24:46.188] 他觉得一个人的爱好是一个人不同于区别于其二人的地方。
[00:24:46.918–00:24:51.596] 是我们的自由。后来他为什么去听音乐是吧？也追求自由。
[00:24:52.166–00:24:52.972] 他为什么要？
[00:24:53.478–00:24:58.444] 在工作之后获得一瓶啤酒，他为什么要帮助那个很坏的。
[00:24:59.046–00:25:10.860] 呃，那个那个警卫，然后呢去换取别人付给他的报酬，别人付给他啤酒作为报酬是吧？自由。所以说他通篇啊一直在追求自由和希望。
[00:25:11.334–00:25:26.956] 那他最后这一个大招追求最大的这个自由和希望的时候，他是不能撇下他之前的成果的啊，他不能撇下他的信仰。因为下棋音乐都是他的信仰，包括圣经啊，都是他的信仰，甚至。
[00:25:27.974–00:25:44.172] 换把自己残破的圣经留给了留给了典狱长，把典狱长那本那本完整的圣经给拿走了。所以说这些都是代表希望啊，代表他对是自由的向往，所以他都得带走啊，都得带。
[00:25:45.318–00:25:50.316] 我们先把节拍讲完先把节拍讲完，笔记接着记啊，笔记接着记。
[00:25:50.886–00:25:52.108] 第三十拍。
[00:25:52.806–00:25:56.332] 第30拍从第109分钟开始。
[00:25:56.838–00:25:59.308] 也就是这个故事的结局。
[00:25:59.942–00:26:19.868] 第30拍第109拍第109分钟开始来到故事的结局。安迪呢西装革履的来到银行，非常潇洒的取走了存款，也举报了典狱长。然后呢，接到举报典狱那个狱警伏法，典狱长自杀。
[00:26:19.974–00:26:25.132] 然后red通过明信片得知安迪已经去到了墨西哥。
[00:26:25.702–00:26:38.348] 然后安y的故事成为了监狱的传说，成为了大家的偶像。我们说这是这个故事的结局。从第109分钟开始，这个结局持续了17分钟。
[00:26:39.014–00:26:41.932] 这个结局持续了17分钟。
[00:26:42.662–00:26:48.172] 安迪到银行去取走钱，举报典狱长典狱长伏法。
[00:26:48.902–00:27:01.324] 典狱长自杀，然后明信片得知安迪已经去到墨西哥成为监狱的传说和偶像。我们说这一这一整坨戏是一个节拍，因为它是剪在一块儿的，它是混捡在一块儿的。
[00:27:01.862–00:27:05.388] 我们说这里讲的就是安迪的结局。
[00:27:05.958–00:27:11.756] 他刚才大高潮戏是逃出监狱，但是结局需要安放一下观众的情绪。
[00:27:12.230–00:27:14.444] 这是第3十盘。按理说。
[00:27:15.558–00:27:16.524] 按理说。
[00:27:16.998–00:27:25.164] 一部电影，一部以安迪为主角的电影到这里就结束了，30拍就结束了。
[00:27:25.734–00:27:26.380] 但是。
[00:27:27.110–00:27:27.884] 加了。
[00:27:28.678–00:27:41.900] 加了一拍加了一拍啊，这里是安y的结局啊，有同学说他拆了好几个拍，没问题，你可以拆开。因为有十几分钟呢，你可以拆，没问题。我给你拆的是编剧的思路。
[00:27:42.470–00:27:46.956] 你有可能拆的是导演思维啊，你有可能拆的是导演思维，没有问题。
[00:27:47.558–00:27:56.844] 我给你拆的是编剧思维，这场戏就是结局，这一坨戏就是结局，都是为观众安放情绪的这一坨戏全都是完成了一个任务。
[00:27:57.350–00:27:57.900] 就是。
[00:27:58.694–00:27:59.180] 就是。
[00:27:59.814–00:28:00.716] 安迪的结局。
[00:28:01.254–00:28:05.324] 然后这个故事他还有第31盘。
[00:28:05.798–00:28:07.564] 还有red的结局。
[00:28:08.294–00:28:09.292] 第31拍。
[00:28:10.086–00:28:15.404] 是从126分钟开始，我们说也很长这个。
[00:28:16.102–00:28:36.604] 作者用了一大段篇幅去讲readd的结局。因为red作为这个故事的讲述者，作为这个旁白的主人啊，作为旁白的主人，这个电影的创作者或者电影的导演认为他配得上有自己的结局，配得上有自己的人物弧线，配得上也有属于自己的。
[00:28:36.774–00:28:40.684] 肖申克的救赎，所以来到第31排。
[00:28:41.190–00:28:43.724] 第126分钟re。
[00:28:44.198–00:28:46.348] 再次申请保释。
[00:28:46.918–00:28:54.892] 我们说啊re再次申请保释，我们看一看re三次申请保释都在什么位置，同学们别说年份。
[00:28:55.558–00:28:56.780] 在故事的第一场。
[00:28:57.414–00:28:58.764] 在故事的正中间。
[00:28:59.430–00:29:01.196] 故事的最后一场牛不牛？
[00:29:01.670–00:29:04.172] 故事的第一场，故事的正中间。
[00:29:04.806–00:29:09.036] 故事的最后一场，red作为一个不是主角的人。
[00:29:09.894–00:29:13.100] 对吧其实是这个故事的视角人物讲述者。
[00:29:13.606–00:29:24.588] 竟然拥有三场这么牛逼的戏，竟竟然拥有三个这么好的位置，用它打脸了，你看看厉不厉害？
[00:29:25.222–00:29:29.580] 在这里呢，red再次申请保石，再次呼应。
[00:29:30.054–00:29:34.188] 出场戏，我们说一头一尾要一样啊，戏谑的态度啊。
[00:29:34.822–00:29:38.348] 呃，获得了批准，用信谑的态度获得了批准啊。
[00:29:38.886–00:29:41.836] 呃，也是一场名场面，他呢一样。
[00:29:42.534–00:29:58.572] 呃，走了一个全过程，也来到老布打工的超市，也一样不能适应社会。但是不同的是什么呢？他和安迪有约定，他跟老布最大的区别就是他有希望，他有安迪对他的承诺，他有安迪和他的约定，他有安迪送他的口琴。
[00:29:59.046–00:30:01.228] 然后他找到了这个信物。
[00:30:01.734–00:30:03.916] 找到了这个信物，然后呢。
[00:30:04.518–00:30:07.884] 来到墨西哥的小岛，跟安迪团聚了。
[00:30:08.870–00:30:20.556] 我们说这场戏长达10分钟，red竟然拥有自己长达10分钟的一个情绪安放男配角儿，你可以理解为男2号。
[00:30:21.126–00:30:26.956] 男二号也行，男配角也行，但他绝对够不上双男主啊，绝对够不上双男主。
[00:30:27.782–00:30:32.076] 男配角也好，呃，关于他是不是双赞注，待会儿我们可以辩论一下子。
[00:30:32.646–00:30:39.404] 男配角啊拥有一个自己属于自己的长达10分钟的情绪安放。
[00:30:40.102–00:30:45.004] 而且这里再次通过它那么有磁性的旁白啊。
[00:30:45.766–00:30:49.740] 再次狠狠的点题，又讲了好几个京剧，觉得人啊。
[00:30:50.342–00:30:53.740] 人生你可以忙着死，也可以忙着活。
[00:30:54.310–00:30:59.788] 一定要充满希望，充满希望是吧？狠狠的点题啊，狠狠的点题。
[00:31:00.326–00:31:02.892] 我们说这就是这故事啊。
[00:31:03.430–00:31:23.612] 31个节拍从编剧角度啊从编剧角度。当然同学们跟我有个正-1的出入啊，正-1的出入都没有问题啊。同学们，如果你拉着节拍跟老师拉的节拍有个正-十的出入都没有问题啊，都没有任何问题，无非就是颗粒度的问题啊，老师只是告诉大家。
[00:31:23.782–00:31:33.356] 编剧的颗粒度应该在这个程度。因为我们是按照你脑子里面想1一场一坨一坨细的时候是这么想的啊，是这么想的。
[00:31:33.894–00:31:45.964] 我们先来探讨几个问题啊探讨先节拍拉完了，我们先来探讨几个问题，待会儿再聊一句话故事，待会儿再聊故事类型，待会儿再聊谁是主角，待会儿再聊。
[00:31:46.598–00:31:49.964] 不。
