P054 二十八课-编剧课科目三28
[00:06:35.334–00:06:38.124] 随便举个例子啊，比如说当众演讲。
[00:06:39.846–00:06:41.548] 对于大多数人来说。
[00:06:42.150–00:06:43.564] 就是个恐慌区。
[00:06:45.030–00:06:45.932] 就是个恐慌区。
[00:06:47.078–00:06:50.540] 那么我们说这三个区它就是固定的吗？当然不是。
[00:06:51.302–00:06:52.044] 当然不是。
[00:06:52.998–00:07:00.524] 所以学习的意义就在这里。学你如果坚持学习，每天能够勇敢的走进学习区。
[00:07:01.190–00:07:07.340] 你的舒适区就会越来越大。因为有一部分学习区会变成你的舒适区。时间长了以后啊。
[00:07:08.454–00:07:14.284] 然后呢，由于你学习区的外延不断的扩大，会导致你的恐慌区也越来越小。
[00:07:18.470–00:07:21.868] 举例子来说啊，就说我们这个学习这个读和写。
[00:07:27.334–00:07:28.716] 读书和写作。
[00:07:31.750–00:07:32.908] 他是在学习区的。
[00:07:34.406–00:07:36.300] 对吧比如说我们小时候。
[00:07:37.030–00:07:39.020] 刚开始学读书的时候，同学们。
[00:07:42.374–00:07:43.276] 你会读书吗？
[00:07:44.454–00:07:45.068] 你不会。
[00:07:45.830–00:07:47.084] 你只会念书。
[00:07:48.742–00:07:51.564] 同学们回忆一下，我们上小学一年级的时候。
[00:07:52.486–00:07:56.012] 每次读课文，老师要求我们朗读。
[00:07:57.286–00:07:57.804] 为什么？
[00:07:58.918–00:08:02.412] 是因为读书还没有进入你的舒适区。
[00:08:04.646–00:08:08.332] 你只能把它念出来，然后通过听觉去吸收。
[00:08:10.118–00:08:13.516] 但是到小学二三年级的时候呢，老师就开始让你默睹。
[00:08:15.430–00:08:23.468] 因为你通过朗读时不断的练习，不断的学习，你把念书纳入舒适区了。
[00:08:24.710–00:08:26.124] 把念书纳入书室去了。
[00:08:29.478–00:08:31.244] 然后小学的时候写作文。
[00:08:32.582–00:08:43.724] 一年级写日记随便写，不要求字数。二三年级呢开始要求个什么100字200字，对吧？然后上初中开始什么300字、500字。
[00:08:44.294–00:08:46.764] 对吧上高中什么800字1000字。
[00:08:48.486–00:08:58.636] 慢慢的把写作也从你的学习区纳入舒适区了。同学们，你回忆一下呀，你回忆一下，你们20岁以前你在学校的时候。
[00:08:59.302–00:09:00.524] 念书和写作。
[00:09:01.286–00:09:03.500] 会让你这么难受吗？
[00:09:04.678–00:09:09.164] 你那时候天天念书，天天看书，天天写写作，天天写字。
[00:09:09.926–00:09:12.236] 但是呢对于我们大多数人来说啊。
[00:09:13.222–00:09:14.540] 从学校出来以后。
[00:09:15.110–00:09:16.076] 毕业了以后。
[00:09:19.270–00:09:21.900] 就把你之前拓展的这些学习区啊。
[00:09:22.502–00:09:23.692] 又都给退出去了。
[00:09:25.158–00:09:27.628] 你又通过长时间的归缩。
[00:09:28.582–00:09:30.636] 8、念书和写作。
[00:09:31.526–00:09:32.204] 环到。
[00:09:33.158–00:09:33.868] 学习区里了。
[00:09:34.758–00:09:35.596] 不舒适了。
[00:09:36.870–00:09:41.868] 你看你现在我问同学们，假设你现在是1个25岁以上的人，我问你。
[00:09:42.758–00:09:45.100] 你现在还能完整的看完一本书吗？
[00:09:46.950–00:09:48.140] 恐怕早就不能了。
[00:09:48.742–00:09:50.476] 或者也很多年没有看过。
[00:09:53.350–00:09:55.532] 因为你看书你已经不舒适了。
[00:09:57.094–00:09:58.316] 你看着不得劲儿了。
[00:09:59.558–00:10:00.844] 你看着犯困了。
[00:10:03.686–00:10:04.172] 同理。
[00:10:05.446–00:10:06.188] 你现在。
[00:10:06.886–00:10:07.724] 写作的时候。
[00:10:08.390–00:10:10.316] 你也觉得不舒适啦。
[00:10:12.134–00:10:13.004] 想当年。
[00:10:13.830–00:10:15.532] 高中的时候啊写作文。
[00:10:16.038–00:10:18.028] 每次语文考试不都得写吗？
[00:10:18.598–00:10:20.172] 甚至英文考试也得写呀。
[00:10:22.694–00:10:23.692] 你写的好吗？
[00:10:24.422–00:10:28.012] 你写的并不好，但你不照样写吗？硬着头皮在写吗？
[00:10:28.486–00:10:29.004] 对不对？
[00:10:30.182–00:10:30.892] 所以啊。
[00:10:31.782–00:10:34.124] 本质上其实没有什么拖延件儿。同学们。
[00:10:35.398–00:10:38.412] 就是因为现在你在舒适区里呆着。
[00:10:40.070–00:10:40.972] 没人治你。
[00:10:43.686–00:10:44.492] 我跟你说啊。
[00:10:45.862–00:10:47.596] 你再懒再拖延。
[00:10:48.294–00:10:49.868] 老虎来了，你拔腿就好。
[00:10:50.630–00:10:51.212] 就是啊。
[00:10:51.686–00:10:52.844] 因为你要逃命呀。
[00:10:53.894–00:11:01.708] 所以说大部分人啊在长大了以后啊，在舒适区里呆着，这当然不怪大家啊，因为在舒适区里呆着是人的本能。
[00:11:03.014–00:11:04.876] 人本身就是这么设计出来的。
[00:11:06.022–00:11:06.572] 至于。
[00:11:07.334–00:11:11.628] 有些杠精同学就要说，那人本身就是这么设计出来的那我就这样活着呗。
[00:11:12.710–00:11:14.924] 但问题是人本身设计的时候啊。
[00:11:15.526–00:11:16.588] 寿命是很短的。
[00:11:17.894–00:11:21.420] 人本身设计的时候，远古的时候人只能活30岁呀。
[00:11:22.342–00:11:27.212] 对不对？你如果人只能活30岁，那你在舒适区里待一生其实也是可以的。
[00:11:28.422–00:11:30.508] 反正大家人与人之间也没有什么差别。
[00:11:31.430–00:11:32.524] 但是现在人。
[00:11:33.510–00:11:43.500] 人类社会的发展，科技的发展本身就是个逆天改命的过程嘛，我们都他妈撑到七八十岁了，能活七八十岁了。所以他很多事情就已经。
[00:11:44.966–00:11:46.508] 跟天性相违背了。
[00:11:47.430–00:11:53.004] 天性要求你舒适，要求你懒惰，但是社会要求你学习，要求你恐慌呀。
[00:11:54.566–00:11:57.900] 我刚才说来恐慌区，比如说当众演讲就是恐慌区。
[00:11:58.982–00:12:00.300] 对于大多数人来说就是。
[00:12:01.990–00:12:02.956] 对于我来说啊。
[00:12:03.622–00:12:04.908] 以前也是恐慌区。
[00:12:05.734–00:12:11.596] 你当众演讲，你怎么可能不紧张，怎么可能不头晕，怎么可能不嘚瑟呢？
[00:12:12.230–00:12:14.956] 怎么可能不低血糖，两眼一滑想晕倒呢？
[00:12:15.590–00:12:18.188] 不可能的，当众演讲肯定恐慌。
[00:12:19.142–00:12:19.852] 但是。
[00:12:20.742–00:12:21.996] 你就不当做演讲了吗？
[00:12:23.686–00:12:25.196] 你就不挑战这件事情了吗？
[00:12:27.366–00:12:35.180] 就是通过不断的练习，把这件事情把当当中演讲，比如说杨本在这儿纳入进你的学习区里。
[00:12:39.302–00:12:40.428] 现在演讲。
[00:12:41.158–00:12:45.708] 面对，比如说8000人一个大场子演讲就在我的学习区里。
[00:12:46.662–00:12:52.588] 我不可能很舒适，我也得精心的准备，反复的练习，甚至夜不能寐。
[00:12:53.254–00:12:54.668] 很紧张嘛，对吧？
[00:12:55.206–00:12:56.876] 但是绝不至于恐慌。
[00:12:57.542–00:13:04.012] 撅在那里是不太会的对吧？所以说你看这就是我说学习的意义。
[00:13:05.318–00:13:12.940] 当然了，特别牛逼的那种人，世界上可能也有那种人，就学习特别牛逼，舒适区扩得越来越大。
[00:13:13.446–00:13:22.540] 把当做演讲都纳入自己的舒适区里了，张嘴就来对吧？面对几千人张嘴就来叨叨叨叨叨叨几个小时。
[00:13:23.302–00:13:24.716] 可能也有这种人啊。
[00:13:25.830–00:13:26.732] 可能也有这种人。
[00:13:27.750–00:13:28.620] 我觉得应该有。
[00:13:29.158–00:13:30.124] 应该有应该有。
[00:13:31.078–00:13:34.636] 这个题外话啊，咱们就说咱们的学习来，你现在。
[00:13:36.262–00:13:37.580] 躺在自己的舒适区里。
[00:13:39.686–00:13:40.428] 这件事情。
[00:13:44.614–00:13:45.548] 咱咋解决？
[00:13:46.694–00:13:47.884] 不解决肯定不行啊。
[00:13:49.126–00:13:50.124] 不解决肯定不行。
[00:13:51.654–00:13:52.812] 所以咱们这节课呀。
[00:13:53.670–00:13:55.564] 就来解决这个问题。
[00:13:56.998–00:13:59.276] 咱们在编剧学习这条路上。
[00:13:59.910–00:14:02.668] 大家勇敢的走出自己的舒适区。
[00:14:05.414–00:14:06.284] 我们写起来。
[00:14:08.358–00:14:08.972] 咱们。
[00:14:09.830–00:14:10.540] 上路。
[00:14:11.078–00:14:14.380] 咱们科目三好不好？
[00:14:14.982–00:14:17.484] 这节课啊咱们就上科目三。
[00:14:23.334–00:14:23.820] 科目3。
[00:14:25.638–00:14:26.508] 必须得上路了。
[00:14:29.286–00:14:30.508] 科目三啥意思呢？
[00:14:31.110–00:14:32.076] 就是大家要。
[00:14:32.870–00:14:34.828] 上车了要自己写了。
[00:14:35.526–00:14:37.036] 那肯定就不舒适了。
[00:14:37.958–00:14:38.348] 对吧。
[00:14:39.686–00:14:40.716] 肯定就不舒适了。
[00:14:42.918–00:14:43.596] 但是。
[00:14:48.646–00:14:50.156] 老师的意义是什么呢？
[00:14:51.174–00:14:52.236] 老师的意义。
[00:14:53.126–00:14:54.508] 就是尽可能的。
[00:14:55.142–00:14:56.204] 让学习。
[00:14:56.966–00:14:57.836] 变得舒适。
[00:14:59.462–00:15:03.692] 这也是为什么好的课程你能听进去的原因。
[00:15:04.166–00:15:06.700] 明明是在讲知识，但是呢。
[00:15:07.174–00:15:13.964] 你似乎感受到了一些舒适对吧？他也不可能完全舒适啊，完全舒适，那有点扯淡了。
[00:15:14.790–00:15:18.732] 那说明你可能没听知识，光听扯淡了是吧？
[00:15:19.750–00:15:21.260] 就好的课程呀。
[00:15:21.894–00:15:22.924] 是力求把。
[00:15:23.750–00:15:24.588] 学习。
[00:15:25.638–00:15:28.396] 变得相对舒适，我们只能这么说。
[00:15:29.254–00:15:31.564] 所以这节课咱们是科目三。
[00:15:32.198–00:15:34.636] 肯定是要你进入学习区的。
[00:15:35.462–00:15:36.844] 但是咱们也尽量。
[00:15:39.430–00:15:40.588] 我先让你舒适一会儿。
[00:15:41.254–00:15:43.244] 先给大家讲几个案例。
[00:15:47.494–00:15:50.188] 也就是你们比较喜欢听的拉片。
[00:15:51.878–00:15:55.692] 讲几个案例，这节课呢我给大家找了。
[00:15:56.838–00:15:57.580] 几个片子。
[00:15:58.054–00:16:00.620] 我们用这几个片子为模型。
[00:16:01.126–00:16:04.364] 进行一组命题作文的练习，好吧。
[00:16:05.286–00:16:06.060] 第一个片子。
[00:16:10.438–00:16:13.452] 绿野仙踪我就不写全了啊。绿野仙踪。
[00:16:15.110–00:16:16.300] 1939年。
[00:16:17.254–00:16:19.116] 应该是美国迪斯尼出的吧。
[00:16:20.230–00:16:22.764] 反正是39年啊，美国的。
[00:16:23.654–00:16:25.868] 一个电影叫绿野仙踪。
[00:16:27.462–00:16:29.644] 大家可以先看一下，然后呢。
[00:16:30.726–00:16:33.388] 再继续听这节课的内容啊。
[00:16:34.118–00:16:36.268] 你们可以暂停先去找那个片子看一下。
[00:16:36.774–00:16:38.668] 这个片子是39年的。
[00:16:40.774–00:16:44.300] 可以说是公路片的开山鼻祖吧。
[00:16:45.414–00:16:46.892] 很标杆性的一个片子啊。
[00:16:47.526–00:16:56.236] 之所以讲这个片子呢，是因为这个片子年头够久，当时呢还处于一个雏形状态。雏形状态呢它就干净了。
[00:16:56.966–00:16:58.252] 他就结构。
[00:16:58.854–00:16:59.788] 一目了然。
[00:17:00.454–00:17:04.300] 我们用几句话来说清楚这个故事的内容。
[00:17:05.222–00:17:06.092] 绿野仙踪。
[00:17:06.854–00:17:10.732] 的主角叫陶乐斯，对吧？
[00:17:11.814–00:17:12.844] 陶乐斯呢。
[00:17:13.574–00:17:14.476] 生活在。
[00:17:16.134–00:17:20.236] 一个农场里，对吧？跟他叔叔和他婶儿生活在一个农场里。
[00:17:21.478–00:17:23.564] 呃，没有爸爸妈妈生活在农场里。
[00:17:25.222–00:17:34.636] 然后因为这个这个他这个小狗啊在外面惹事，惹了这个镇上的这个一个有权有势的一个恶毒的。
[00:17:35.110–00:17:36.780] 女性吧，恶毒的妇女。
[00:17:37.478–00:17:39.468] 然后这个恶毒的妇女呢就来。
[00:17:40.102–00:17:44.844] 要毁灭人道毁灭这个这个小狗对吧？就是一。
[00:17:45.382–00:17:46.092] 抓狗队的。
[00:17:47.046–00:17:49.964] 要把这个小狗抓走，然后陶乐斯呢很害怕。
[00:17:51.142–00:17:52.396] 好，很害怕就是。
[00:17:53.350–00:17:55.116] 就想逃离这个。
[00:17:55.654–00:17:57.452] 农场想离家出走。
[00:17:58.758–00:18:00.108] 离家出走呢。
[00:18:01.926–00:18:10.092] 好死不死，赶上了这个龙卷风啊，我们知道美国啊龙卷风挺多的，因为它这个大陆啊南北通透，一马平川。
[00:18:10.662–00:18:11.596] 很容易刮大风。
[00:18:12.582–00:18:14.316] 然后就是遭遇了龙卷风。
[00:18:16.742–00:18:22.252] 美国因为经常遭遇龙卷风呢，所以他们每一家每户有地下室，就是专门躲风用的。
[00:18:22.950–00:18:28.940] 其他人呢都躲进地下室了，他因为离家出走，在外面逛悠，没有没有及时躲起来。
[00:18:29.510–00:18:30.764] 就被龙卷风给。
[00:18:31.750–00:18:32.140] 吹走。
[00:18:33.478–00:18:34.636] 吹到哪儿去了呢？
[00:18:35.238–00:18:36.236] 吹到了一个。
[00:18:38.726–00:18:39.756] 奇幻的世界里。
[00:18:41.318–00:18:42.828] 吹到了一个奇幻的世界里。
[00:18:46.118–00:18:46.828] 然后故事。
[00:18:47.654–00:18:49.868] 基本上是从这里开始展开的。
[00:18:50.534–00:18:53.164] 在这个奇幻的世界里，陶乐斯。
[00:18:55.654–00:18:56.748] 我们说他的。
[00:18:58.182–00:18:58.604] 欲望。
[00:18:59.366–00:18:59.916] 只回家。
[00:19:01.446–00:19:03.084] 对吧他的欲望是回家。
[00:19:06.502–00:19:13.132] 然后他得到一个什么线索呢？就是人家告诉他，在路的尽头，在某个地方有个大法师。
[00:19:14.054–00:19:14.956] 有个大法师。
[00:19:15.846–00:19:18.124] 这个大法师呢可以帮助你回家。
[00:19:19.174–00:19:22.668] 然后呢，他就一路去寻找这个大法师。
[00:19:23.334–00:19:25.452] 我们说基本上就是这么一个故事脉络。
[00:19:25.926–00:19:28.140] 详细说的话，那就是陶乐斯。
[00:19:29.542–00:19:31.148] 首先来到的是。
[00:19:32.294–00:19:34.092] 那个国家叫什么，我忘了啊。
[00:19:34.822–00:19:36.204] 叫小人国吧。
[00:19:36.838–00:19:38.508] 好吧，就全小儿国。
[00:19:39.014–00:19:41.324] 他降落在小儿国，然后嘞。
[00:19:41.990–00:19:44.588] 嗯，降落的时候压死了一个。
[00:19:45.926–00:19:46.860] 女巫。
[00:19:47.494–00:19:49.388] 就意外搞死了一个女巫。
[00:19:50.310–00:19:54.156] 然后降落在这个小儿国，然后这个女巫呢有个亲姐们儿。
[00:19:55.526–00:19:59.692] 有个姐妹儿，然后呢就是我们的对手对手女巫。
[00:20:03.398–00:20:05.036] 就要找陶乐斯报仇。
[00:20:05.862–00:20:08.140] 所以他形成了一个反派力量。
[00:20:09.446–00:20:13.132] 然后陶乐斯要回家，就要去找一个叫。
[00:20:14.054–00:20:16.972] 呃，欧Z国的一个大法师，对吧？
[00:20:19.398–00:20:23.692] 找这个大法师呢有有一个路径，就是一条黄砖路。
[00:20:24.390–00:20:33.836] 很简单很干净的一个路径，叫黄砖路，对吧？一条黄路黄砖路。然后他的对手呢就是这个女巫这个反派。
[00:20:35.014–00:20:36.876] 然后上路之后。
[00:20:38.054–00:20:47.404] 上路之后，他依次遇到了三个伙伴，这个熟悉绿野仙踪的同学都都都知道啊。第一个嘛稻草人是吧？稻草人。
[00:20:48.454–00:20:49.484] 然后稻草人。
[00:20:50.086–00:20:55.372] 听说他要去找大法师，决定跟他一块儿走，为啥呢？
[00:20:56.774–00:20:58.636] 稻草人说，我恩没有脑。
[00:20:59.270–00:21:01.676] 对吧我是个草包呀，我没有大脑。
[00:21:02.278–00:21:03.212] 他去找。
[00:21:03.974–00:21:07.212] 办法师去找找大脑，对吧？
[00:21:08.422–00:21:09.132] 然后嘞。
[00:21:10.950–00:21:17.068] 遇到的第二个伙伴是一个铁皮人是吧？一个铁皮人，铁皮人呢？
[00:21:17.702–00:21:27.244] 说我那我也去，我想找一颗心，对吧？我想找一颗心。然后呢，第三个伙伴呢是狮子，对吧？
[00:21:31.430–00:21:33.388] 狮子好啊。
[00:21:34.502–00:21:42.092] 呃，狮子这个狮子是个怂狮子，胆小的狮子，对吧？所以他是想。
[00:21:42.790–00:21:43.980] 去找勇气。
[00:21:45.190–00:21:46.572] 对吧找勇气。
[00:21:48.998–00:21:50.508] 就是遇到了这么三个伙伴。
[00:21:51.814–00:21:55.628] 然后带着这个三个伙伴，那肯定一路上。
[00:21:56.198–00:22:04.812] 一路上肯定需要有各种阻碍，对吧？我们说阻碍阻力分三种嘛，环境的阻碍，他们肯定也有环境的阻碍呀什么。
[00:22:05.478–00:22:17.548] 这个毒苹果呀，这个这个啥环境这个又渴又累呀，这种环境上的阻碍。因为凡是这个路程那必然遥远而坚险啊，然后对手的阻碍就是那个那个。
[00:22:18.054–00:22:23.724] 这个坏女巫包括坏坏女巫，还有马仔呢飞猴飞天猴子，对吧？
[00:22:24.454–00:22:30.476] 不是磕这恶啊磕这恶是飞天别问飞天小龙霸了啊，反正就飞飞天猴子。
[00:22:31.526–00:22:33.772] 也经常来捣乱对手。
[00:22:34.694–00:22:39.564] 然后这个这个这个自己也有阻碍呀，这几个人都都都挺无能的对吧？
[00:22:40.870–00:23:01.148] 然后呢呃在故事终点的位置是找到了大法师，对吧？我们说虚假的胜利，先找到大法师，但是呢大法师不肯帮他们，因为他找到大法师，他是为了回家。然后呢，他们三个也各自有各自的目标。我们说这是个主角群，主角群需要有同样一个行动员。
[00:23:01.318–00:23:01.708] 对吧。
[00:23:02.918–00:23:03.820] 主角群。
[00:23:05.414–00:23:08.332] 找到了大法师，但是大法师不不帮他们。
[00:23:09.094–00:23:10.476] 没有帮他们实现愿望。
[00:23:11.078–00:23:15.532] 提出了一个新的条件。我们说这这里是故事终点嘛，对吧？
[00:23:16.102–00:23:20.364] 故事是终点的时候，我们说有时候呃故事终点。
[00:23:20.838–00:23:27.404] 一般是伪胜利或者伪失败，对吧？在这里是一个伪胜利，就是找到了大法师。但是大法师呢没有。
[00:23:27.942–00:23:28.972] 没有实现他们的。
[00:23:29.446–00:23:33.644] 愿望，而是重新跟他们谈了个条件。我们说这叫加大赌注。
[00:23:34.278–00:23:36.204] 大瓦师跟他们谈了一个什么条件呢？
[00:23:36.966–00:23:37.356] 说。
[00:23:38.150–00:23:41.900] 你们把这个女巫的那个扫帚调整。
[00:23:42.470–00:23:43.084] 给我弄来。
[00:23:43.654–00:23:46.444] 弄来之后，我就门就帮你就提了一个很。
[00:23:47.430–00:23:48.460] 很具象的条件。
[00:23:49.446–00:23:54.988] 他们一路奔，就是在躲这个人啊，因为这个人很凶的嘛，要搞死他们嘛，对吧？
[00:23:55.558–00:23:57.420] 然后要要要要搞死他。
[00:23:58.950–00:24:01.804] 呃，但是这时候他们需要去主动去找他了。
[00:24:02.278–00:24:07.436] 要干他，所以呢这三个人调整方向去找这个女巫。
[00:24:07.974–00:24:11.052] 就又往女巫的方向走，然后经过。
[00:24:11.622–00:24:13.804] 呃，这个这个过关斩将。
[00:24:14.982–00:24:16.972] 把女巫消灭，拿到了。
[00:24:17.542–00:24:24.940] 约定的条件达成了约定的条条件，拿到了那个扫帚，然后回来找这个大法师，结果发现这个大法师呢。
[00:24:25.542–00:24:32.140] 狗屁不会，假的，根本不是个法师，就是个凡人，对吧？就是个凡人，是个大忽悠。
[00:24:34.374–00:24:35.148] 然后这个。
[00:24:36.038–00:24:36.972] 就回不了家了。
[00:24:37.638–00:24:46.988] 回不了家了，但是这个大忽悠呢说，哎呀，你跟这个稻草人说，你找什么大脑呀，你不就是想要智慧吗？你看你在这一路上。
[00:24:47.494–00:24:58.572] 你用你的智慧解决了很多问题啊，其实你有智慧呀，然后跟这个铁皮人说，你要什么心啊，你其实不就想关心别人吗？要心不就是为了善良。
[00:24:59.238–00:25:12.524] 你本来就很善良呀，你不善良的话，你会保护陶乐斯吗？对不对？然后又跟这个狮子说，你不要这个勇气，你就是个勇敢的人呀。你看你在与女巫的战斗中。
[00:25:13.542–00:25:16.716] 你表现的多勇敢啊，你现在已经有勇气了。
[00:25:18.982–00:25:25.580] 然后呢，至于那个陶乐斯想回家这件事情，他当然努力了一下，做了一下尝试就是。
[00:25:26.790–00:25:27.788] 就用热气球吧。
