P024 十一课-类型片11.3
[00:03:32.806–00:03:40.620] 被制度化跟这个又很接近很接近的。被制度化是什么？我们来先说一下它的要素。首先。
[00:03:41.094–00:03:42.220] 要有一个群体。
[00:03:44.006–00:03:45.356] 因为你被制度了嘛。
[00:03:45.958–00:03:49.100] 就说一个个体被一种制度给束缚了。
[00:03:51.974–00:03:53.356] 首先你要有一个群体。
[00:03:54.310–00:03:55.532] 你是个啥样的群体？
[00:03:56.902–00:03:57.356] 对吧。
[00:03:59.174–00:04:00.844] 为什么能束缚住个人呢？
[00:04:01.798–00:04:03.180] 就首先你得有一个群体。
[00:04:03.750–00:04:04.588] 然后呢。
[00:04:08.262–00:04:10.764] 要有一个选择，主角有一个选择。
[00:04:11.494–00:04:12.300] 在个人。
[00:04:13.286–00:04:17.548] 和这个群体之间，他要做出一个选择。然后最后呢。
[00:04:18.534–00:04:20.268] 他要做出抗争和牺牲。
[00:04:26.054–00:04:26.956] 抗争的牺牲。
[00:04:27.910–00:04:29.900] 怎么去理解啊？我还是举例子吧。
[00:04:30.502–00:04:31.468] 飞跃风人怨。
[00:04:34.950–00:04:35.756] 崔悦峰人员。
[00:04:37.798–00:04:38.380] 教父。
[00:04:41.574–00:04:43.180] 飞越风人院是一个正常人。
[00:04:44.358–00:04:45.516] 被关在了风瑞院里。
[00:04:46.534–00:04:49.260] 这个群体就是一群疯子，一疯人员。
[00:04:50.502–00:04:52.012] 然后他要做出一种选择。
[00:04:52.614–00:04:54.412] 就是我是跟他们一块装疯呢。
[00:04:54.918–00:04:57.420] 还是要保持我的认知和理性。
[00:04:58.310–00:05:02.060] 然后做出抗争，做出牺牲，就他要冲出去，他要跑出去。
[00:05:03.046–00:05:04.268] 当然了，他没成功。
[00:05:05.446–00:05:05.932] 被人。
[00:05:06.694–00:05:07.852] 弄成白痴了。
[00:05:09.222–00:05:09.836] 教父。
[00:05:10.406–00:05:11.116] 一个群体。
[00:05:11.654–00:05:13.772] 就是他的家族整个这个。
[00:05:14.278–00:05:22.700] 西西利这黑手党的这个家族庞大的家族，严密的家族制度传统习惯。
[00:05:23.910–00:05:24.684] 行为模式。
[00:05:25.382–00:05:25.996] 这个群体。
[00:05:26.918–00:05:29.228] 被呃教父的主角是那个那个。
[00:05:30.022–00:05:35.116] 呃，迈克柯里昂嘛对吧？迈克是主角，用他的视角来讲的话。
[00:05:36.326–00:05:38.028] 他面对的群体就是这个家族。
[00:05:38.598–00:05:41.708] 那他的个人选择就是我我是离开这个家族。
[00:05:42.982–00:05:43.468] 去。
[00:05:44.998–00:05:45.964] 做一个正常人。
[00:05:46.534–00:05:50.060] 做一个平民，对吧？还是回到这个家族。
[00:05:50.950–00:05:52.140] 就成为黑社会。
[00:05:52.774–00:05:54.316] 迈克上来就有这个选择吧。
[00:05:55.014–00:05:58.828] 而且这个选择当时开始的时候是一半一半的很宽容的。
[00:05:59.302–00:06:09.420] 就他家里人是希望他呃别碰生意，别碰这些杀人的东西，大哥二哥来碰就可以了，对吧？你不要碰这些东西，就上来这个选择是完全给到你的。
[00:06:10.438–00:06:13.292] 但是出事情是出在他父亲受重伤。
[00:06:14.214–00:06:15.756] 父亲被人暗杀。
[00:06:17.158–00:06:19.372] 所以他最做出了牺牲，就我去。
[00:06:20.294–00:06:21.452] 女朋友也掰了吗？
[00:06:21.926–00:06:23.628] 他最心爱的女人也掰了吗？
[00:06:24.166–00:06:26.060] 等于他做出的牺牲都是很外化的。
[00:06:27.590–00:06:28.428] 做出了牺牲。
[00:06:29.830–00:06:30.380] 决定。
[00:06:32.838–00:06:33.900] 投身家族。
[00:06:35.302–00:06:38.220] 服务群体。所以你看啊被制度化啊。
[00:06:38.726–00:06:44.748] 也跟那些很接近是吧？它不像前5个，前5个真的很容易理解。
[00:06:45.542–00:06:50.348] 后5个我为什么写在这边？那那个斯戴德先生不是按照这个顺序讲的。
[00:06:51.142–00:07:00.780] 我为什么把这些放在这儿？因为这些确实费解，它有细微的区别。但是你我们今天既然要讲究猫咪，就从它的角度去理解这10个故事。
[00:07:02.054–00:07:09.612] 1个故事类型，它不一定是电影类型。我说过啊，我说过一个片子有可能跨两个类型。
[00:07:10.150–00:07:13.900] 他有可能是两个类型之间，有可能是两个类型都有。
[00:07:14.534–00:07:19.020] 有可能是两个类型并列，也有可能是两个类型前后都有可能。
[00:07:20.294–00:07:22.348] 这是1种讲故事的。
[00:07:23.302–00:07:26.636] 出发点，它每一种最起码给你打的几个点。
[00:07:27.366–00:07:28.972] 我们说打这个点是很重要的。
[00:07:29.606–00:07:30.956] 打这个点是很重要的。
[00:07:32.422–00:07:43.212] 不要觉得斯耐德先生打这几个点，你觉得啊哎他不就每一种说了三个要求嘛？简单的嘞，绝对不是这样的绝对不是这样的。我们说爱情片来。
[00:07:44.998–00:07:47.116] 我说这几年爱情片越来越少了吧。
[00:07:47.910–00:07:52.236] 但是去年年底有一部的又要说了，我们单位那个办个喜剧。
[00:07:54.086–00:07:54.860] 那个爱情片。
[00:07:55.334–00:07:59.500] 他就是个爱情片，它叫半个喜剧，另外半个就是爱情。
[00:08:00.550–00:08:01.356] 他就是爱情片。
[00:08:01.830–00:08:02.540] 他从节构上。
[00:08:03.206–00:08:09.004] 这几年爱情片越来越少，就是因为爱情片不好做，他非要做非要做，他就是没做好。
[00:08:09.574–00:08:13.036] 我们说没说好，就是因为他这个要素都做做的不做的不行。
[00:08:13.606–00:08:14.540] 要素做的不行。
[00:08:16.582–00:08:19.564] 然后就导致不行来爱情边的要素是什么？
[00:08:20.582–00:08:28.140] 我们说他说的是就他说的是主角零件和勾，我说就两个，就是这两个人彼此需要。
[00:08:29.798–00:08:32.236] 彼此离不开，彼此需要。但是。
[00:08:32.774–00:08:33.484] 有个沟。
[00:08:38.150–00:08:40.268] 半个喜剧里面男女主角彼此需要吗？
[00:08:42.950–00:08:43.468] 不太需要。
[00:08:46.182–00:08:47.084] 你没做出来。
[00:08:48.038–00:08:49.644] 没有做出来，他们俩是。
[00:08:50.534–00:08:51.468] 必须在一块儿。
[00:08:52.038–00:08:55.852] 没有做出来，他们俩是天造地设的一双，没有做出来。
[00:08:56.582–00:08:57.356] 上来。
[00:08:58.886–00:08:59.788] 就是那种。
[00:09:00.870–00:09:03.884] 欢喜冤家只做出了一点欢喜冤家的感觉。
[00:09:07.078–00:09:08.460] 就说首先你这个。
[00:09:08.966–00:09:10.380] 两个人之间的这个。
[00:09:11.078–00:09:13.100] 引力就没做出来。
[00:09:14.598–00:09:17.836] 我们说一般爱情应该做什么样的引力，这个男的。
[00:09:20.870–00:09:24.748] 没有人一个人瞧得起她，然后这个女的送来了温暖。
[00:09:25.702–00:09:29.196] 哎，让观众马然觉得天哪，这是天使啊。
[00:09:29.798–00:09:31.404] 对吧没有一个人屌他呀。
[00:09:32.582–00:09:52.508] 或者这个男的不敢跟任何女孩说话，一辈子没有跟任何一个女的说过话，因为特别的腼腆。但是看到这个女孩的时候，竟然痴痴的望着人家，一上来就给观众一种我天哪，别别不行了，别错过，错过这个再没了，对吧？你以为你必须给营造给观众一种他俩，必须在一块的那种。
[00:09:52.838–00:09:53.548] 那种感觉。
[00:09:54.534–00:09:59.596] 或者是从行为上一个残缺，一个是零件，就是要特别明确。
[00:10:02.598–00:10:05.612] 但是你这个半个喜剧杀来这个男女主角。
[00:10:08.902–00:10:10.572] 没有在一起的。
[00:10:11.814–00:10:13.580] 必要的证据。
[00:10:14.630–00:10:16.012] 你让观众就很难。
[00:10:16.998–00:10:21.868] 其他俩特别揪心，然后你这个没有，然后你勾也没做好。
[00:10:22.886–00:10:25.420] 就你男女主角之间要有一个沟壑吧。
[00:10:26.726–00:10:28.620] 我之前说过啊，我说沟壑啊。
[00:10:29.094–00:10:33.324] 为什么这几年爱情销越来越少？是因为沟壑不好做，前面这个能做到了。
[00:10:34.566–00:10:39.756] 一男一女必须在一块其实能做到的，有很多方法的有很多方法的。
[00:10:40.486–00:10:40.876] 对吧？
[00:10:41.478–00:10:47.116] 比如说这两个人莫名的来电，就是那种一天见面10次。
[00:10:47.622–00:10:50.764] 有很多作种片子啊，就你不停的跟这个人偶遇。
[00:10:51.878–00:10:59.084] 你就是在强烈的暗示观众，他俩必须在一块，必须在一块，天造地设，妻视怨旅，上辈子也在一块儿。
[00:11:01.446–00:11:06.348] 明白这个意思吗？就是说让观众认为这一男一女必须在一块儿是有办法的。
[00:11:07.206–00:11:13.516] 但是这个勾啊是特别不好做了特别不好做了。一般做钩都是做生死。
[00:11:14.982–00:11:15.948] 生死钩啊。
[00:11:16.742–00:11:20.460] 就这个沟壑得是生死的程度，才能让观众真的。
[00:11:20.934–00:11:21.516] 着急。
[00:11:21.990–00:11:22.668] 真的。
[00:11:23.334–00:11:25.388] 哎呀，难受说哎呀，不行不行不行。
[00:11:26.086–00:11:27.468] 呃呦，我我。
[00:11:28.134–00:11:29.580] 这个这个勾太大了。
[00:11:30.150–00:11:36.652] 我给你举个例子嘛，就是说如果一男一女要在一块儿，假设这个爱情片啊，你跟观众说这一男一女。
[00:11:37.158–00:11:45.932] 相爱哎呀，在一块就好了。然后观众认可了。观众说，哎呀，我就是想让他俩在一块儿，然后你跟观众讨价还价说，但是如果他俩在一块儿。
[00:11:48.934–00:11:49.804] 得死一个。
[00:11:50.406–00:11:57.100] 然后观众马上就揪心了，觉得啊哦我天哪，为什么爱情多魔，对吧？观众就会揪心。
[00:11:57.670–00:11:59.884] 这就是沟壑得到这个程度。
[00:12:00.838–00:12:04.652] 我给你量化一下啊，你如果跟观众说哎，他俩在一块儿。
[00:12:06.150–00:12:08.812] 这男的得瞎一只眼，女的得瘸一条腿。
[00:12:09.638–00:12:14.092] 观众麻雅说，那在一起呀，爱情最大了，一只眼睛算什么？
[00:12:15.398–00:12:17.324] 观众一定这么说，为什么？
[00:12:18.310–00:12:21.356] 因为观众看惯了生死沟壑了，他会觉得。
[00:12:21.926–00:12:24.684] 缺条腿怕什么？另外一条腿拄着拐走了。
[00:12:25.830–00:12:47.036] 实际在现实生活中，你说你要跟一个人在一块，你必须瞎一只眼，他必须瘸条腿。你们俩他妈的绝对不会你们俩双方握一下手，再见，对吧？不啰嗦，没有必要，干嘛呀，对不对？瞎一只眼瘸条腿，但是在戏里瞎一只眼瘸条腿这个。
[00:12:47.398–00:12:54.444] 沟壑太小了，观众不买账，观众希望是大沟深沟深不见底得死人。
[00:12:55.974–00:12:56.748] 那你说。
[00:12:57.414–00:12:59.116] 这个呃呃。
[00:12:59.750–00:13:01.228] 半个喜剧里面的勾是啥？
[00:13:02.982–00:13:12.940] 是这个男的，如果跟这个女女主在一块，他有可能会得罪他的朋友，得罪他的朋友会有一个什么后果呢？北京户口就拿不着了。
[00:13:14.726–00:13:19.084] 就说一段伟大的爱情败给了北京户口，明白这个意思吗？
[00:13:20.294–00:13:23.564] 在现实生活中可以的在现实生活中啊。
[00:13:24.134–00:13:27.500] 一个户北京户口好几十万呢，就如果要买的话。
[00:13:29.222–00:13:41.580] 那你说你为了一个好几十万，你有可能会掂量一下，哎，算了，反正也刚认识，对吧？再找找吧，再找个别的嘛，没有必要的一棵树上吊死。但是在戏里观众不买账。
[00:13:42.662–00:14:01.516] 观众会觉得我的天哪，就你这儿还叭叭给我讲真爱呢。然后因为一个北京户口在这犹豫，在这缩，还叭叭给我讲一个两个小时的故事，我才不看呢。就这个问题你这个勾啊浅互相之间又没有必要的在一块，然后沟又很浅，你这个偏台看什么？
[00:14:03.270–00:14:05.964] 明白吗？所以说这爱评生还是特别难弄。
[00:14:06.566–00:14:07.948] 我说爱情片的勾啊。
[00:14:08.454–00:14:12.748] 我之前课上给大家讲过爱情片的沟啊，我见过最大的沟啊。
[00:14:13.478–00:14:17.420] 我见过爱情片里面最大的沟是啥沟呢？
[00:14:17.958–00:14:24.076] 就男女主角要在一块儿之间，两个人之间有条沟，最大一条沟是琼瑶阿姨挖的。
[00:14:25.158–00:14:27.532] 求瑶阿姨挖的那条沟叫梅花烙。
[00:14:29.094–00:14:45.548] 我们说一般男女之间男女之间的沟是生死，罗密欧与朱丽叶两家有仇，对吧？两家是生死仇，你们俩在一块儿，那得死人，最后他俩确实对吧？也也也也那啥了，也死了。然后呢，梁山伯与祝英台。
[00:14:46.374–00:14:51.020] 对吧那不能在一块，在一块儿得死人，然后俩都死，这沟就够深的了。
[00:14:52.646–00:14:56.428] 都没有穷瑶阿姨挖的狠。梅花落什么剧情回忆一下。
[00:14:58.278–00:14:59.148] 没话唠说。
[00:14:59.686–00:15:02.636] 这个男主角和女主角相爱。
[00:15:03.398–00:15:06.700] 男主角是什么人呢？男主角是贝勒也。
[00:15:09.798–00:15:13.100] 贝勒也，女主角是民间女子。
[00:15:14.246–00:15:15.596] 但其实是什么呢？
[00:15:16.102–00:15:18.668] 是当年男主角的妈。
[00:15:19.270–00:15:20.396] 是个妃子吗？
[00:15:21.286–00:15:25.676] 生了一个女孩，一看，我操女孩，但是她要争宠。
[00:15:26.310–00:15:32.748] 在皇帝那儿争宠上位，然后呢就用让他身边的丫鬟换了一个男孩。
[00:15:34.918–00:15:38.188] 报告给皇上说，我给你生了个太子。
[00:15:39.142–00:15:49.164] 自己不就母凭子贵吗？就上位。但是这个女孩呢一这是自己身上掉下来的肉呀，又舍不得她又觉得我以后。
[00:15:49.734–00:15:50.252] 我的。
[00:15:50.790–00:15:57.100] 一有朝一日，对吧？我把那老头熬死，我得把我闺女可能得找回来什么的，对吧？
[00:15:57.574–00:16:00.268] 然后就拿起梅一个梅花簪子。
[00:16:00.870–00:16:09.068] 在火上一烤，在这个小婴儿的肩膀上烙了一个梅花状的疤，梅花形状的疤。
[00:16:10.246–00:16:14.988] 落在这个小女孩，然后肩膀上，然后把小女孩送出宫，送到民间去抚养了。
[00:16:15.622–00:16:32.268] 自此之后杳无异信，然后他就带着这个小男孩母平子贵，然后就升为什么，对吧？然后这小子就是贝这是贝勒爷呀，这呃不不叫贝勒爷，叫太子啊，对吧？叫太子呃呃，是皇上的对，皇子是太子。
[00:16:32.998–00:16:34.828] 然后就就叼起来了。
[00:16:35.878–00:16:48.332] 好死不死呢，太子到民间去打猎，他们清朝那个那个太子不都喜欢打猎嘛？打猎之后与这个民间一个女孩相识，相恋，相知相爱。
[00:16:48.838–00:16:55.276] 坠入爱河，开始的时候呢也没啥，觉得那十八九的大小伙子看上一个小妞。
[00:16:56.198–00:17:00.428] 谈个恋爱很正常，他妈也觉得没啥，后来结果一不小心。
[00:17:01.382–00:17:02.476] 一不小心。
[00:17:03.014–00:17:06.092] 这个这个看到这个女孩的肩膀完了。
[00:17:06.982–00:17:07.884] 梅花烙。
[00:17:08.838–00:17:15.660] 这是自己的亲女儿，明白这个意思吧？亲女儿和自己掉包的这个假太子。
[00:17:16.902–00:17:17.484] 谈恋爱。
[00:17:19.910–00:17:21.324] 能让他们俩人在一块儿吗？
[00:17:22.438–00:17:23.820] 能让他们俩在一块儿吗？
[00:17:24.326–00:17:27.916] 他们俩要是在一块，这件事情穿帮了以后。
[00:17:29.574–00:17:30.956] 这不是死一个人啊。
[00:17:31.462–00:17:47.564] 是死全家呀，双方死全家这个女孩，这个女孩的爸妈这个男孩，这个太子这个这个太子他妈和当年经手的这些所有丫鬟婆子全部得死。就这件事情严重到这种程度。
[00:17:49.094–00:17:51.724] 所以我这我说这个梅花道这个戏啊。
[00:17:52.422–00:17:56.652] 好看不好看，另说。但是琼瑶阿姨挖的这条沟。
[00:17:57.350–00:18:00.108] 是爱情片历史上最深的沟。
[00:18:01.318–00:18:02.988] 现象级大深沟。
[00:18:04.070–00:18:08.460] 就是爱我爱我请死全家，爱我，咱俩死全家。
[00:18:09.094–00:18:10.156] 就到这种程度。
[00:18:11.878–00:18:13.932] 所以说这是爱情片。
[00:18:15.590–00:18:18.732] 然后这10种类型是10种故事。
[00:18:19.782–00:18:20.556] 他每一种。
[00:18:21.990–00:18:23.660] 的这个元素。
[00:18:24.326–00:18:30.796] 都是有用的。我就想跟大家说这个，你要理解这种元素对我们写故事是有帮助的。
[00:18:31.334–00:18:39.788] 你看一下打眼，看一下你的故事，大概属于哪种类型。然后你去看一看它这几种元素，你有没有完成任务。
[00:18:40.390–00:18:45.260] 说说很简单，有些人就是做不到。前些年我还看过一个鬼屋片啊。
[00:18:46.374–00:18:47.116] 鬼屋片。
[00:18:47.590–00:18:51.820] 那个片名我不记得了，是个烂片，苏有朋演的。
[00:18:52.582–00:18:54.220] 几年前，苏有朋演的一个。
[00:18:54.822–00:18:58.156] 就是恐怖片在一个山顶的别墅里。
[00:18:59.110–00:19:05.132] 连环法死人啊，反正反正呃恐怖片那个片子啊，我们说鬼屋片就三个元素。
[00:19:05.990–00:19:23.820] 他当然有十虚列吧元素那些，但是有三样东西是人家鬼屋片里面列出来的，你必须要做好的，一是一个空间，啥叫空间？密闭空间锁定空间，你跑不掉的空间，这叫空间。二是有一股神秘力量，要你命。
[00:19:24.582–00:19:25.388] 要你命啊。
[00:19:26.726–00:19:27.180] 3。
[00:19:27.718–00:19:28.492] 是有原罪。
[00:19:29.734–00:19:39.852] 是有原罪。我们说中国的恐怖片啊很少很少了，拍不太好。为什么一般是蛇在这儿，一般是蛇在这儿，折在力量上。
[00:19:40.390–00:19:42.060] 因为我们不允许有。
[00:19:43.078–00:19:43.916] 超自然的力量。
[00:19:45.286–00:19:50.796] 所以你看中国的恐怖片最后全部解释为精神分裂或者是一场梦。
[00:19:51.622–00:19:52.492] 或者是。
[00:19:53.030–00:19:54.700] 某个女疯子的想象。
[00:19:55.494–00:19:58.220] 对吧或者是就是一场误会。
[00:19:59.366–00:20:07.372] 这就没有劲儿，你知道吗？这个力量首先这个超自然的力量，它就没有力量。就这么说吧，你就三缺一了，你就瘸腿的。
[00:20:09.190–00:20:11.052] 所以中国的恐怖片一般都不好看。
[00:20:11.590–00:20:19.532] 但是恐怖片呢其实是高需，市场上还是需要的。所以你三缺一就三缺一了。另外两条腿支棱着。
[00:20:20.294–00:20:33.708] 也走呗，也给大家看一看吧。但是那个我看过那个苏有朋的那个主演的那个那那个电影，为什么那么烂，那么不好看呢？就这个首先肯定是折了，对吧？然后呢，他把这个也给折了。
[00:20:36.262–00:20:37.356] 把空间也给折了。
[00:20:38.022–00:20:38.732] 为啥呢？
[00:20:39.526–00:20:46.156] 就是我看这个片子了，他们不是在一个别墅里面，然后别墅里面发生非常恐怖的事件，不停的死人嘛。
[00:20:47.910–00:20:48.812] 不停的死人。
[00:20:49.958–00:20:56.556] 我从头到尾就想问一个事儿，就是你们都吓成这样了，为什么没有一个人想一想开门走呢？
[00:20:57.350–00:20:58.508] 你能不能就走？
[00:20:58.982–00:21:00.716] 你回家去行不行？
[00:21:01.446–00:21:03.660] 是没有二路汽车了，还是。
[00:21:05.190–00:21:07.564] 还是还是谁给你栓在这儿了？
[00:21:08.294–00:21:08.748] 对吧。
[00:21:09.734–00:21:15.596] 你电锯惊魂那是直接拴在那儿了，懂我意思吧？侏罗纪公园那是整个岛。
[00:21:16.678–00:21:26.892] 都是恐龙，你没有地方逃，无处可逃，这才叫空间，这才叫锁住你密闭你你才能让你害怕呀。
[00:21:28.166–00:21:38.892] 对吧你不能说这儿有个鬼屋，哇，天哪，太吓人了。哎呀，我哥们儿死了，哎呦，我兄弟也死了，哎呦，我喜欢的女孩也死了。我天哪，我怎么吓死那你回家呀。
[00:21:39.910–00:21:40.940] 就出去啊。
[00:21:41.446–00:21:42.764] 咦，奇怪吧。
[00:21:43.270–00:21:45.036] 鬼屋这么强，人你出去啊。
[00:21:45.894–00:21:47.788] 对不对？你干嘛在这里？
[00:21:48.614–00:21:49.868] 所以那种片子就很烂。
[00:21:50.726–00:21:53.388] 就是这个问题，他就连这最基本的他都做不到。
[00:21:55.142–00:21:58.188] 直好几条腿啊就没法看了这种片子。
[00:21:59.558–00:22:05.996] 所以说是这十0个类型好吧，我们这节课呢就是讲这些十个类型一定要。
[00:22:07.718–00:22:08.588] 理解。
[00:22:09.446–00:22:10.572] 他每一种类型。
[00:22:12.134–00:22:14.476] 人家那个着力点是什么意思？
[00:22:15.334–00:22:16.428] 其实是有用的。
[00:22:17.318–00:22:18.828] 其实也是真的有区别的。
[00:22:19.334–00:22:20.972] 但是呢也不用去迷信。
[00:22:23.494–00:22:25.036] 给大家提供一种新的思路。
[00:22:28.870–00:22:29.740] 行，我先说到这儿。
