P055 二十九课-剧情要有攻击性29
[00:02:43.590–00:02:45.708] 还有这个更重要的是有招聘会。
[00:02:46.214–00:02:55.084] 因为咱们这个学员规模大了之后吧，有很多影视公司，大的影视公司呢会跟咱合作，在咱的学习群里招聘。
[00:02:55.878–00:02:59.564] 呃，当然也是通过考试呀、面试呀这种方式。
[00:03:00.998–00:03:06.956] 我们很多同学就就通过这些招聘会已经入行了嘛。所以说这个学习群的作用还是。
[00:03:08.422–00:03:09.676] 作用很很大的啊。
[00:03:10.566–00:03:13.484] 这个这个你们有兴趣的话，就可以参加这些。
[00:03:14.182–00:03:20.108] 学习群因为都是同学们自主在运营啊，包括咱们学习群还成立影视公司了。
[00:03:20.742–00:03:23.372] 对吧因为这个这个班委会啊。
[00:03:24.070–00:03:26.476] 呃，现在这个。
[00:03:28.678–00:03:33.740] 人群足够大以后啊，资源也是很多的。所以嗯其实。
[00:03:34.342–00:03:37.932] 实机也成熟了。所以班委会呢成立了一个影视公司。
[00:03:38.726–00:03:39.276] 嗯。
[00:03:40.774–00:03:43.564] 还是那句话，同学们自己运营。
[00:03:44.486–00:03:53.196] 去办同学们的事儿，因为涌现出来很多优秀的同学又本你的商业化呀，这开发呀，是不是？所以呢成立一个影视公司。
[00:03:54.726–00:04:03.020] 嗯，我参与投资了，对吧？我投资，然后让同学们去去去整，我就不直接参与经营了，毕竟是同学们自己的事情。
[00:04:04.326–00:04:08.204] 所以说这么多呢，意思啥呢？就是咱们这个学习交流群，你。
[00:04:08.838–00:04:15.660] 你如果是这个这是这一行的人，或者是爱好者，是学生，你可以可以加进去。
[00:04:16.454–00:04:17.388] 看看能够。
[00:04:17.926–00:04:20.044] 能够得到些什么样的帮助吧，好吧。
[00:04:20.838–00:04:22.028] 啊，说回咱的作业。
[00:04:22.854–00:04:25.804] 这个交作业的这些同学，我看了一下啊。
[00:04:27.238–00:04:29.388] 嗯，有共性的问题。
[00:04:29.990–00:04:32.268] 所以这节课给大家讲一个这个。
[00:04:33.670–00:04:35.468] 算是剧本修改的小技巧。
[00:04:36.294–00:04:37.804] 叫关于剧本的。
[00:04:38.502–00:04:39.052] 攻击性。
[00:04:42.662–00:04:43.308] 剧本的攻击性。
[00:04:44.198–00:04:46.668] 这是修改技巧，你得先有剧本啊。
[00:04:47.174–00:04:53.068] 你得先写呀，对吧？上节课这个练习就是这个意义呀，你大家你得先写个东西出来。
[00:04:55.174–00:05:07.276] 有同学问啊，说老师你上节课给我们规定的太死了，先怎么样对吧？再怎么样，先是现状，然后远方的召唤痛打看门狗上路之后获取你缺失的东西什么。
[00:05:07.878–00:05:08.940] 1234的。
[00:05:09.414–00:05:16.652] 给我们整的限制太严格了，用我们山东篮球名宿巩小斌的名言啊，就是你怎么这么娇情啊。
[00:05:17.318–00:05:21.196] 你怎么这么狡条对吧？这句话在网上很火啊。
[00:05:23.622–00:05:24.844] 为什么这么教条呢？
[00:05:25.574–00:05:26.540] 啥意思呢啊？
[00:05:27.462–00:05:29.484] 上礼拜也有同学跟我讨论过这个问题。
[00:05:29.958–00:05:32.972] 我也是用篮球跟他解释这个事儿的。
[00:05:33.446–00:05:35.724] 就这个同学也跟我说，他说老师你看啊。
[00:05:36.198–00:05:37.420] 那个什么什么片子啊。
[00:05:38.854–00:05:41.772] 从剧本的角度，按照您的理论来说。
[00:05:42.918–00:05:44.620] 不太合格，因。
[00:05:45.190–00:05:46.380] 有巨大的漏洞。
[00:05:46.918–00:05:49.484] 但是呢你看人家哎票房不错哦。
[00:05:50.118–00:05:51.596] 对吧票房很好。
[00:05:52.134–00:05:53.484] 老师，你怎么看待这个问题？
[00:05:54.246–00:05:57.996] 是不是故事结构？有时候讲故事的逻辑，讲故事的方法。
[00:05:58.662–00:05:59.564] 也没那么重要。
[00:06:00.614–00:06:02.572] 这位同学给我提出这么一个问题。
[00:06:03.526–00:06:05.132] 我当时是咋回答他的呢？
[00:06:05.606–00:06:07.756] 因为他是个男孩啊，我就用篮球给他。
[00:06:08.262–00:06:11.596] 解释这个问题。我说你现在啊问我这个问题，就像。
[00:06:12.326–00:06:14.156] 你跑过来跟我说，老师。
[00:06:15.494–00:06:16.908] 你看过埃弗森打球。
[00:06:19.622–00:06:21.004] 艾弗森打球老猛了。
[00:06:21.958–00:06:24.812] 但是埃弗森好像不符合老师你说的要求。
[00:06:25.638–00:06:26.476] 你看艾弗森。
[00:06:27.366–00:06:28.140] 个儿不高。
[00:06:28.614–00:06:32.332] 是吧老师你说打篮球最好个儿高，对吧？艾弗森个儿不高，然后嘞。
[00:06:34.598–00:06:37.196] 突破形式比较单一，就爱往右涂。
[00:06:37.830–00:06:39.244] 对吧基本不往左突。
[00:06:39.846–00:06:40.460] 然后呢。
[00:06:41.382–00:06:43.948] 不怎么爱打配合团队意识呢？
[00:06:44.646–00:06:45.388] 不怎么强。
[00:06:45.990–00:06:46.988] 最重要的是什么？
[00:06:47.558–00:06:49.420] 艾弗森啊不爱训练。
[00:06:50.598–00:06:54.476] 哎，第二天有比赛，今天晚上照样去夜店喝大酒。
[00:06:55.270–00:07:02.572] 然后呢，异常砍个四五十分，我呃，然后我就跟这个同学说，我说你现在提的这个问题啊，就是这么个情况。
[00:07:05.478–00:07:11.436] 你觉得教练你说的是不是不对呀？你看艾弗森多猛，我要像艾弗森一样打球。
[00:07:12.166–00:07:13.036] 我说那你咋想？
[00:07:14.278–00:07:16.748] 你就打算从此以后不训练。
[00:07:17.478–00:07:18.796] 然后呢，不配合。
[00:07:19.622–00:07:20.396] 不讲战术。
[00:07:21.478–00:07:22.252] 不练技术。
[00:07:24.230–00:07:26.028] 比赛之前呢去喝大酒。
[00:07:27.142–00:07:29.516] 然后这样妄图用这种方式。
[00:07:30.918–00:07:33.324] 去参加比赛去击败艾弗森吗？
[00:07:36.550–00:07:37.580] 是不是这么个道理？
[00:07:38.662–00:07:42.252] 我就跟他说，我说你现在最大的问题就是你不是艾弗森。
[00:07:43.494–00:07:45.100] 你认为自己是f森。
[00:07:46.278–00:07:47.052] 这就是问题。
[00:07:47.654–00:07:49.644] F森那叫什么？首先。
[00:07:51.398–00:07:53.292] 他有绝对的天赋。
[00:07:54.118–00:07:54.732] 第二。
[00:07:55.686–00:08:11.468] 他也并没有完全不训练啊，同学们啊完全不训练能运球能投篮吗？对不对啊？所以同学们一定要参加训练，一定要参加练习，不要认为自己天赋异禀，自己是F3，谁都得训练。而且咱话说回来啊。
[00:08:13.030–00:08:14.412] 我不会因为。
[00:08:15.302–00:08:18.412] 要求严格而扼杀任何1个F3的同学们。
[00:08:18.886–00:08:22.156] 咱们的同学中如果出了1个F3，我一眼就能看出来。
[00:08:24.422–00:08:25.420] 你如果。
[00:08:26.086–00:08:31.884] 第二天有比赛，你今天晚上就是违反我纪律，就是不训练，就是去喝大酒了。
[00:08:32.550–00:08:33.388] 我第二天。
[00:08:33.926–00:08:35.116] 也会让你上场的。
[00:08:36.518–00:08:39.116] 因为我知道有你在我能赢球，明白吗？
[00:08:39.686–00:08:41.132] 所以同学们不要去。
[00:08:41.798–00:08:46.988] 通过一些个例去去质疑我们的训练，去质疑我们的方法。
[00:08:47.910–00:08:48.332] 懂吗？
[00:08:49.222–00:08:55.628] 我们被质疑最多的啊，就在我的私信当中被质疑最多的。其实是我早期说的那个。
[00:08:57.510–00:08:59.020] 就女儿那个你们记得吗？
[00:08:59.622–00:09:00.588] 我说你看啊。
[00:09:01.062–00:09:03.436] 一般电影里面啊英雄都是救女儿。
[00:09:04.262–00:09:06.668] 女儿老婆老娘。
[00:09:07.174–00:09:10.860] 救女的不救男的对吧？然后啊。
[00:09:11.430–00:09:12.428] 很多同学就。
[00:09:13.158–00:09:17.100] 当时因为那个是比较早期的一个理论是吧？在早期的课程里面。
[00:09:17.574–00:09:19.884] 很多人听到那儿呢，就觉得这个老师过于教条。
[00:09:20.582–00:09:24.844] 对吧就不服啊，老想跟我辩论辩论，老想跟我争。
[00:09:26.086–00:09:29.420] 然后就甚至你看咱们上节课讲的菊次郎的夏天。
[00:09:30.246–00:09:31.788] 菊次郎带的是小男孩啊。
[00:09:32.646–00:09:34.252] 不是小姑娘，对吧？
[00:09:35.046–00:09:39.788] 这个这个很多同学就说你看老师，你是不是有点过于绝对了呢？
[00:09:44.166–00:09:45.164] 这个情况啊。
[00:09:45.862–00:09:47.468] 我还是跟大家讲。
[00:09:49.030–00:09:51.276] 女孩更能引起。
[00:09:51.814–00:09:55.148] 观众的共情它是个概率的问题。
[00:09:56.454–00:09:58.956] 你写女孩对你的片子。
[00:09:59.462–00:10:08.076] 打动人的几率更高是这么个意思。所以我推荐大家在练习的时候，或者是在你人生前几部作品的时候。
[00:10:08.774–00:10:09.868] 尽量的去。
[00:10:11.398–00:10:14.060] 既可以写男孩，又可以写女孩的时候，你写女孩。
[00:10:14.758–00:10:19.596] 这个计量呢我当时讲的时候，我也说过，有点无耻。
[00:10:20.198–00:10:21.420] 但是他真的很有用。
[00:10:22.054–00:10:22.444] 懂吧？
[00:10:26.630–00:10:29.420] 我可以给大家讲一个我真实经过的案例。
[00:10:30.310–00:10:32.396] 帮助大家理解为什么女孩。
[00:10:32.998–00:10:35.756] 会比男孩好讲一个真实的故事啊。
[00:10:38.310–00:10:39.404] 我年轻的时候。
[00:10:41.350–00:10:42.348] 二十五六岁吧。
[00:10:42.854–00:10:45.452] 20二十四五岁。
[00:10:47.462–00:10:50.060] 大学刚毕业没多久，刚进入社会。
[00:10:51.014–00:11:00.108] 挣了点钱，就刚进入社会的时候，算是挣了点钱吧，还谈不上第一桶金，就是挣了点钱脱贫了，这么去理解吧。
[00:11:00.678–00:11:01.580] 就是脱贫了。
[00:11:03.142–00:11:04.524] 就刚脱贫的时候啊。
[00:11:05.798–00:11:08.556] 人有点发飘。
[00:11:09.030–00:11:11.148] 有点发飘呢就会干点什么事呢？
[00:11:11.718–00:11:13.196] 就会去附庸风雅。
[00:11:16.390–00:11:17.068] 做慈善。
[00:11:18.438–00:11:22.060] 你知道吗？就觉得你知道要忆苦思甜呀。
[00:11:22.566–00:11:25.228] 毕竟咱也是穷苦出身嘛。
[00:11:26.022–00:11:34.668] 小时候家里条件不好，就觉得现在自己有钱了呢，就有点钱了呢，就想哎呀做点慈善，帮助一些贫困的小朋友。
[00:11:35.910–00:11:41.068] 当然盖不起希望小学了，但是能资助一些贫困的小孩，然后就去网上。
[00:11:41.926–00:11:42.892] 找了一个机构。
[00:11:43.846–00:11:44.300] 呃。
[00:11:46.694–00:11:49.420] 具体机构名我就不说了啊，咱也不能打广告。
[00:11:50.086–00:11:53.900] 叫什么什么花，反正这种花呢是一听就是。
[00:11:54.566–00:11:57.580] 西藏藏区高原上的花，你就知道它是。
[00:11:59.654–00:12:05.964] 资助那些西部的小朋友嘛，对吧？资助那些西部贫困地区的小朋友读书的一个。
[00:12:06.566–00:12:07.276] 这么一个平台。
[00:12:08.294–00:12:09.548] 然后我就去那个。
[00:12:10.118–00:12:11.148] 当时是用网站。
[00:12:11.718–00:12:15.212] 十几年前嘛还没有智能手机，在网站上呢就。
[00:12:17.574–00:12:23.436] 我就发现一个问题，就说你虽然写的是这个资助西部资助少数民族。
[00:12:24.070–00:12:24.940] 这个这个。
[00:12:26.022–00:12:33.324] 小朋友，但是呢上面的这个被资助对象啊，因为你可以自选，你知道吧？每个小孩的信息你可以自选。
[00:12:33.926–00:12:35.308] 我发现全是些。
[00:12:36.998–00:12:37.772] 汉族小朋友。
[00:12:39.718–00:12:42.220] 就是看名字，你就能看出来他是些汉族小朋友。
[00:12:43.078–00:12:44.236] 我就觉得有点奇怪。
[00:12:46.150–00:12:47.276] 我就联系他的客服。
[00:12:48.070–00:12:48.684] 我说诶。
[00:12:49.190–00:12:50.284] 咱们这个不是。
[00:12:51.654–00:12:56.844] 西藏的一个一个一个一个组织嘛，为什么这个上面的小朋友都是。
[00:12:57.638–00:12:58.124] 汉族校。
[00:12:58.822–00:12:59.212] 问他。
[00:12:59.942–00:13:09.036] 然后这个工作人员给我的回复是，他说资助藏族小朋友的话，你得礼拜一上午10点钟登录我们的网站。
[00:13:09.766–00:13:12.716] 为啥呢？因为我们每个礼拜一。
[00:13:13.478–00:13:14.092] 上新。
[00:13:16.550–00:13:17.644] 上新之后呢。
[00:13:18.758–00:13:19.276] 你的抢。
[00:13:23.270–00:13:26.124] 你过了礼拜一呢肯定就没了，你就抢不到了。
[00:13:27.270–00:13:28.812] 然后我就啊那就我就。
[00:13:32.006–00:13:33.356] 到了下一个礼拜一。
[00:13:33.990–00:13:34.636] 10点钟。
[00:13:35.142–00:13:38.060] 登录那个网站去蹲去蹲这个事儿。
[00:13:38.726–00:13:41.196] 然后等到10点1刷新果然上新了。
[00:13:41.734–00:13:42.380] 一大片。
[00:13:43.558–00:13:45.260] 藏族小朋友的名字。
[00:13:46.854–00:13:50.988] 然后呢，我还在这选呢，刷新了一下网页，我就发现。
[00:13:52.102–00:13:54.348] 所有的藏族小女孩。
[00:13:55.014–00:13:55.564] 全都没了。
[00:13:57.574–00:14:02.092] 然后再一刷新，再一犹豫，所有的藏族小男孩又都没了。
[00:14:03.686–00:14:06.444] 然后再过了一会儿呢，再再一看。
[00:14:07.142–00:14:09.420] 汉族小女孩也都没了。
[00:14:11.462–00:14:13.292] 最后剩下的全是。
[00:14:13.830–00:14:14.508] 汉族小南。
[00:14:16.294–00:14:17.932] 也就是它的顺序是什么呢？
[00:14:18.406–00:14:20.524] 他被摘牌的顺序是什么呢？
[00:14:21.926–00:14:22.828] 藏族小女孩。
[00:14:23.366–00:14:36.780] 藏族小男孩，汉族小女孩，汉族小男孩，年龄小的小孩，年龄大的小孩，基本上是从藏汉女男小大这么一个顺序被选走的。
[00:14:41.126–00:14:42.700] 这个事情对我刺激挺大的。
[00:14:43.558–00:14:45.516] 我当时就突然觉得自己。
[00:14:46.758–00:14:47.916] 好丑陋我。
[00:14:49.030–00:14:50.124] 明白这个意思吧？
[00:14:51.558–00:14:55.852] 本来是想做一件好事儿，自己挣了点钱，挺骚包的对吧？想。
[00:14:56.582–00:14:57.612] 资助一下人家。
[00:14:58.470–00:14:59.308] 但是呢。
[00:15:03.206–00:15:04.652] 全都是去抢。
[00:15:05.542–00:15:06.668] 藏族小女孩。
[00:15:09.702–00:15:10.572] 为什么同学们？
[00:15:11.590–00:15:12.908] 就是虚荣心呀。
[00:15:13.734–00:15:26.572] 你跟别人聊天聊起来的时候，哎，你也资助小朋友啊啊，对呀，我也资助西部的小朋友。那你资助那个小朋友叫什么名字呢？你说啊我那个一个叫柴旦卓玛，一个叫格桑平错。
[00:15:27.398–00:15:35.692] 你就很有面子，你知道吗？然后你就问，那你资助的叫什么名字呢？嗯，我那个一个叫陈浩南，一个叫赵山河。
[00:15:37.542–00:15:43.468] 听名字就一听就不是听名字就一听就好像不是很需要帮助的样子嘛。
[00:15:44.262–00:15:44.812] 对吧。
[00:15:47.206–00:15:50.540] 就啥意思呢？就是你去资助小朋友。
[00:15:51.366–00:15:52.044] 依然。
[00:15:52.966–00:15:53.804] 也是从。
[00:15:55.366–00:15:56.236] 弱小的。
[00:15:57.638–00:15:59.820] 女孩的年龄小的入手。
[00:16:00.454–00:16:01.964] 这就是我说的。
[00:16:02.726–00:16:05.964] 共情更愿意共情这种明白吗？
[00:16:06.630–00:16:09.644] 我承认这个很无耻，但是。
[00:16:10.630–00:16:12.396] 对于商业片来说，他就是这样的。
[00:16:14.950–00:16:19.084] 然后后来我就我也觉得自己这样做很不好。
[00:16:19.590–00:16:20.620] 我就把那个。
[00:16:23.814–00:16:25.676] 那个网站上滞销的。
[00:16:26.694–00:16:27.852] 差不多20个。
[00:16:28.486–00:16:32.140] 大龄男性汉族小朋友。
[00:16:32.998–00:16:34.444] 我一把都给包圆了。
[00:16:35.590–00:16:39.660] 自助了，我那时候一下是摘盘了2020个左右吧。
[00:16:40.582–00:16:45.580] 其实不贵啊，就是他们当年的生活费，一个月的生活费，学费就几百块钱。
[00:16:46.598–00:16:49.388] 资助了20个，一个月也不到1万块钱。其实。
[00:16:51.558–00:16:58.316] 现在想想当时真的是非常的可笑啊非常的可笑。但是社会就是这样，很现实。
[00:16:59.750–00:17:04.940] 所以呃我在课上呢经常给大家讲这些规矩啊，讲这些。
[00:17:06.822–00:17:07.916] 技法什么的。
[00:17:09.030–00:17:11.372] 我们同学一定要知道这件事情。
[00:17:12.070–00:17:17.772] 就是董其超说过嘛，写书法他讲过要熟而后生嘛，熟后生。
[00:17:18.534–00:17:19.244] 对吧。
[00:17:24.038–00:17:25.164] 就熟而后生。
[00:17:25.798–00:17:38.092] 啥意思呢？就是你开始练的时候啊，你要熟悉的掌握这种技法，掌握各种规矩。然后呢，等到你真写的时候呢，你再把这些技巧再忘掉。
[00:17:38.726–00:17:41.900] 像没有从来没有学过一样去写。
[00:17:42.822–00:17:43.372] 就可以了。
[00:17:44.070–00:17:55.532] 打篮球不也是这样吗？刚才说打篮球，我训练你们打篮球，教你们三步上篮，教你们怎么挡拆，教你们怎么打配合，怎么下快攻。但是真正上篮上了场以后。
[00:17:56.326–00:17:57.612] 打球的还是你呀。
[00:17:58.566–00:18:05.196] 明白吧？就是你熟练掌握那些技能以后啊，真正上了场之后，你不需要再背了。
[00:18:05.734–00:18:07.468] 不需要再背那些技巧啦。
[00:18:08.166–00:18:22.700] 对吧你要是他妈从驾校出去，每次上路还要再背一下，哎呀，左脚离合右脚油门，那你这这就完了，对吧？所以说手后生就是这个道理。你在训练的学习的时候啊，尊重这些技巧。
[00:18:23.750–00:18:24.652] 执行这些技巧。
[00:18:27.526–00:18:28.492] 肯定是没毛病的。
[00:18:30.022–00:18:30.540] 所以说。
[00:18:31.174–00:18:32.876] 给大家多说这么几句啊。
[00:18:34.246–00:18:35.500] 回到咱们这课的内容。
[00:18:36.390–00:18:42.156] 同学们交交上来的这些作业啊，我发现有一个普遍的问题就是缺乏攻击性。
[00:18:42.886–00:18:47.436] 缺乏攻击性。这节课呢给大家讲讲剧本攻击性的。
[00:18:52.870–00:18:56.556] 增强剧本攻击性的一些小技巧，好吧。
[00:19:00.742–00:19:07.148] 增强剧本攻击性啊，它不是一个新的知识。咱们之前呢都讲过，只不过呢。
[00:19:08.198–00:19:26.028] 你没有从这个角度去思考过这个问题，我相当于这节课给大家提供一个新的角度去去去去修改你的剧本，或者是去加强你的剧本。好吧，从攻击性这个视角去研究一下你的剧本。我们说首先。
[00:19:27.686–00:19:30.316] 剧本攻击性攻击你的剧本啊。
[00:19:31.110–00:19:34.764] 有几个来源，其实咱们之前讲过了，就是阻力的来源。
[00:19:38.278–00:19:39.308] 攻击员。
[00:19:41.062–00:19:42.892] 就是你主力的几个来源。
[00:19:45.286–00:19:47.052] 阻力来自哪三方面来着？
[00:19:48.582–00:19:49.228] 环境。
[00:19:50.182–00:19:50.828] 对吧。
[00:19:52.518–00:19:54.028] 环境对手。
[00:19:55.590–00:19:56.428] 和你自己。
[00:19:58.182–00:19:58.732] 我们说。
[00:19:59.366–00:20:00.844] 阻力一般来自于。
[00:20:01.542–00:20:02.316] 这三个方面。
[00:20:03.110–00:20:05.516] 那么你的攻击员其实也在这三个方面。
[00:20:06.150–00:20:07.276] 环境，比如说。
[00:20:11.686–00:20:12.524] 自然环境。
[00:20:13.638–00:20:24.428] 是吧大自然啊，这是个大环境呀，就我们都处在自然环境当中，大自然这个环境还有社会环境，对吧？作为一个人，你在社会里面那立社会环境啊。
[00:20:25.574–00:20:26.796] 还有这个这个这个。
[00:20:27.846–00:20:30.572] 更具体一点呢，你这个主角所处的这个。
[00:20:32.102–00:20:38.380] 他身处的这个地方，其实是个场景，这个环境对吧？有时候一个场景。
[00:20:39.206–00:20:41.772] 他所经历的这些场景也是你的环境。
[00:20:42.662–00:20:44.748] 也就是说在环境。
[00:20:45.286–00:20:47.212] 这些都是可以。
[00:20:48.326–00:20:49.196] 带来攻击的。
[00:20:50.694–00:20:55.084] 你剧本缺乏攻击性啊，你的剧本就缺乏看点，看点少。
[00:20:56.102–00:20:57.068] 曲线不够。
[00:20:57.862–00:20:58.860] 跌宕起伏。
[00:20:59.942–00:21:01.356] 那么从环境的角度来。
[00:21:02.502–00:21:04.044] 大自然是不是可以给你的？
[00:21:05.318–00:21:06.092] 带来攻击。
[00:21:07.334–00:21:13.164] 对吧咱不说山崩地裂，下个雨刮个风很常见吧。你看很多电影里面。
[00:21:13.798–00:21:15.148] 这个关键时刻就下大雨。
[00:21:15.718–00:21:17.772] 就自然环境其实是要攻击你的呀。
[00:21:18.470–00:21:25.580] 对不对？然后社会环境不友好，这个也非常常见嘛，对吧？然后场景环境都会给你带来困扰。
[00:21:26.854–00:21:27.916] 这是也给你带来困扰。
[00:21:29.510–00:21:31.692] 然后我们说对手攻击你。
[00:21:32.582–00:21:35.692] 这个太正常了吧，对手就是专门来攻击你的呀。
[00:21:37.734–00:21:40.620] 那显然这也是一个重要的攻击攻击点。
[00:21:41.286–00:21:49.164] 在这里我们强调一下啊，因为我看了很多同学的这个作业啊，这个这个对手啊呃不要把对手理解为坏人啊，同学们。
[00:21:49.958–00:21:51.980] 千万不要把对手理解为坏人。
[00:21:52.582–00:21:53.996] 对手其实更。
[00:21:55.014–00:21:58.412] 更确切的一种理解，它其实是你的。
[00:21:59.046–00:22:00.044] 第。
[00:22:02.726–00:22:03.916] 一相关方。
[00:22:04.518–00:22:05.068] 对不对？
[00:22:05.542–00:22:15.852] 他是跟你利益对冲呀，我们不是说过那个那个我不是药神里边，周一围是最大的对手。但周一威人家不是坏人呀，人家是人民警察呀，人家做的事情是。
[00:22:16.518–00:22:20.428] 是无比正确的呀，他只不过跟你利益对冲。
[00:22:20.902–00:22:26.412] 懂吧？所以利益相关方、利益对冲方都是你的对手。
[00:22:27.142–00:22:36.364] 我不是还说过吗？我说你的伙伴啊，他如果自己有个事儿，他自己的这个事儿肯定与主角的主线目标相冲。
[00:22:37.030–00:22:41.068] 那他在那件事情上其实就是跟你利益。
[00:22:41.670–00:22:42.252] 相冲了。
[00:22:43.014–00:22:49.900] 他就在那件事情啊，你的伙伴转化成你的对手了，甚至你的爱情都可以转化成你的对手啊。
[00:22:50.758–00:22:55.916] 所以你的攻击员有很大一部分来自对手，这个很容易理解，对吧？
[00:22:56.646–00:23:05.484] 但是我们需要强调一下你的对手呃，你现在弄的不是很好，对手有几点要求啊，首先跟你利益相冲，这是肯定的。然后嘞。
[00:23:06.150–00:23:08.844] 一定不要把对手写的很傻。
[00:23:09.958–00:23:13.228] 因为对手的智商代表主角的智商。
[00:23:14.854–00:23:17.644] 对手智商低，主角智商就低。
[00:23:18.278–00:23:21.164] 这个一定要记住，你们去看那些抗日神剧。
[00:23:22.022–00:23:30.156] 那里面那些日本鬼子，那那都啥智商，对吧？日本鬼子如果要那个智商的话，咱需要八年抗战吗？
[00:23:31.238–00:23:35.660] 对不对啊？你把对手写的那么傻，你不是在侮辱对手。
[00:23:36.710–00:23:37.740] 你是在侮辱。
[00:23:38.950–00:23:41.164] 主角你是在侮辱你自己。
[00:23:41.798–00:24:00.940] 所以对手一定要高智商，对手对你的攻击一定要有层次，而且要逐级上升。我说过，对手做事情，对手要有自己的理念，有有自己的计划，对吧？而且这计划最好分不明确123，我先干嘛再干嘛再干嘛，有三步。
[00:24:01.414–00:24:05.516] 而且就对手这三步走就体现了他的层层逼近嘛。
[00:24:06.054–00:24:07.692] 他这三步啊最好都实现。
[00:24:09.862–00:24:15.564] 你明白这意思吧？对手的计划分三步，你不能在第一步啪就给他把计划。
[00:24:17.254–00:24:21.484] 熄灭了不可以，1二三步，他最好三步都实现了。
[00:24:22.022–00:24:26.956] 才能把主角逼向绝境嘛。所以这个关于这个对手啊，大家一定要。
[00:24:27.622–00:24:36.140] 注意一下，好吧，首先呢跟你利益对冲，然后呢，他要有智商，有目标，有计划，对吧？然后才能逐急破继。
[00:24:37.158–00:24:37.708] 明白吗？
[00:24:38.246–00:24:45.932] 然后自身这个也比较容易理解，对吧？就是你自己自己攻击你自己啊，你自己攻击。
[00:24:46.726–00:24:56.428] 自残嘛当然不是字面意义上的自残啊，就比如说你自己犯错了，对吧？你自己犯错了，或者你自己。
[00:24:56.966–00:25:04.780] 害怕了对吧？犯犯错误了，或者是害怕了，对吧？或者是犹豫了。
[00:25:05.478–00:25:08.556] 或者是这个这个季度了，或者是这个这个这个。
[00:25:09.158–00:25:18.028] 呃，误解了选择错误了，判断失误了，这些都是你自己给你自己带来的呃攻击。
