P074 编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧
[00:04:20.902–00:04:35.308] 栽赃的这么一个事儿啊，相当于发现了一个栽赃这么一个情况。然后呢，主角在女儿跟伙伴的共同刺激下，决定查一下真相，记不记得伙伴是谁啊？在这里刺激他的乔杉是吧？伙伴。
[00:04:36.102–00:04:51.628] 和女儿对他共同的刺激必须维权这个事儿。然后第六拍第13分钟调查第一个线索，也就是宠物店的店员啊交涉失败，同步呢也继续交代女儿这个乐团钢笔丢失事件啊。
[00:04:52.806–00:04:55.116] 然后来到第七拍，第16分钟。
[00:04:55.974–00:05:03.820] 他回到回到这个胡同里的家，呃，他的生存环境第一次出现了啊呃正常写一般会从这写起。同学们。
[00:05:04.678–00:05:13.676] 你自己想一想啊，第七排才回到家，如果是正常编剧写啊，很有可能就是从家里起床往外走。
[00:05:14.150–00:05:31.884] 开始一天的交代，然后开着破车出去，然后去参加女儿文艺汇演啊。在这里他放在第七排，然后呢同步交代女儿那边看她的直播。我们说女儿这条辅线啊，跟父亲这条线相互呼应。嗯，女儿这条线严格来说啊。
[00:05:32.678–00:05:34.860] 这个故事的主角肯定是。
[00:05:35.366–00:05:55.452] 平安哥，然后女儿这条线跟他相呼应，处理的是一样的事情。但是呢他不是主角。我们说像极了金石漂流记这故事的小府线是用来干啥的。在这个故事里面，平安哥这条线阻止韩露千坟，帮寒露恢复名誉。
[00:05:55.782–00:06:05.324] 制止网络谣言是平安哥这条线，他女儿制止校园里面的谣言。哎，你看也是制止谣言，事情是一样的。
[00:06:05.926–00:06:20.844] 但是呢那条线它不是主线呀，那怎么办嘞？那又一样，那没关系吧，就是他女儿，然后两个人呢互相帮助，互相沟通。然后那条线呢戏份少一点，起到一个点缀和呼应的作用。
[00:06:21.638–00:06:35.468] 另外，在这个戏里，大危机发生在女儿身上，也就是灵魂黑夜啊，主角这里当然也有灵魂黑夜，走投无路没有办法了。但是呢由于造成实际实质性的大伤害。
[00:06:35.974–00:06:37.164] 所以把灵魂黑夜。
[00:06:37.766–00:06:38.380] 放在。
[00:06:39.590–00:06:40.204] 女儿身上。
[00:06:40.870–00:06:49.964] 所以你可以理解在这种情况下啊，故事的主线和那个所谓的主线，实际上讲的是同一件事儿，都是恢复名誉。
[00:06:50.534–00:07:04.748] 对吧都是澄清事实。呃，刚才说第七拍第16分钟，这里啊，女儿看父亲的直播，两个人发生关联啊。然后嘞，大家呃他们发现寒露的这个谣言啊开始发酵了啊，寒露的谣言开始发酵了，然后。
[00:07:05.350–00:07:10.892] 诱惑他放弃寒露这件事情。同时呢给他的诱饵是什么呢？帮女儿。
[00:07:11.654–00:07:23.660] 这个治那个胎记啊，这里把那个胎记的伏笔点了，然后然后说动了，先给它抹去吗，说动了以后呢，明天上午就挖坟，来到第八拍，也就是第22分钟。
[00:07:24.390–00:07:44.796] 我们这个平安哥啊到孤儿院查找韩璐的亲人，因为马上就要挖坟了嘛，他到孤儿院去查找韩璐的亲人，看到了韩璐和男朋友的照片，在确认韩璐没有亲人之后，对吧？那就是去再看最后一眼，就签坟呗。来到第九拍，也就第23分钟正式开始迁坟。
[00:07:46.022–00:07:59.596] 然后平安哥发现了一个问题，就是隔壁这个冯总的弟弟呀，也就是葬在隔壁的这个照片的人啊，也就是为什么嫌弃韩璐要迁坟呢？是隔壁这个冯总嫌弃韩璐已坐台的。
[00:08:00.582–00:08:03.244] 就认为韩璐以前是坐台的，所以要把弟弟牵走。
[00:08:03.718–00:08:10.636] 但是呢平安哥发现了一个问题，这个所谓的冯总的弟弟的照片就是韩璐生前的男朋友。
[00:08:11.878–00:08:12.396] 那么就。
[00:08:13.478–00:08:33.404] 兑现了刚才这个伏笔，也明白了为什么韩露选择葬在这儿呢？就是想跟男朋友葬在一起。那你看这事儿就不一样了。对，我们的主角决定要制止这件事情，也就是说正式上路来到第十拍啊，故事的第二部分。
[00:08:33.478–00:08:38.124] 我们的主角启程去找冯总交涉啊，这里是正式上路了。
[00:08:38.598–00:08:45.548] 想理清楚事情的缘由，然后呢争取到了4天的时间来查这个事情啊，第1一拍第30分钟。
[00:08:46.022–00:08:53.260] 再次到宠物店找tony，然后获取了下一个线索，也就是第二个线索扮演吉祥物的大猩猩和哥斯拉。
[00:08:55.046–00:08:57.708] 然后第十2拍32分钟。
[00:08:58.822–00:09:06.540] 另外一条故事线，女儿那里纠结要不要帮同学伸冤，但是呢被要挟了，要挟的点肯定还是那个胎记嘛。
[00:09:07.494–00:09:10.444] 第十三拍来到第34分钟去接女儿。
[00:09:11.142–00:09:19.276] 接女儿啊又聊起寒露事件，再次得到女儿的认可，应该做正确的事儿。你看啊他一这个缺能量了就去找女儿是吧？
[00:09:20.486–00:09:30.220] 十四拍第36分钟。第二个线索呢指向了自己的妹妹啊，找到妹妹，获得了下一个线索杨玉婷这么。
[00:09:31.878–00:09:53.020] 第15拍42分钟被妹妹强制去检查这个性病啊。女儿呃因为妹妹怀疑她跟着这个坐台小姐有一腿嘛，线索再次指向一个姓金的董事长，然后来到第16拍45分钟，外部的环境持交代了一下外部环境啊，持续的恶化，包括平安哥的老板。
[00:09:53.222–00:09:59.788] 啊，种种外部环境都对主线任务不利。这里单独拉一盘啊，交代了一下外部环境，你也可以不拉。
[00:10:00.870–00:10:02.540] 第17拍48分钟。
[00:10:03.142–00:10:19.756] 来找这个下一个线索，这个所谓的金董事长跟这个金董事长呢反复摩擦，反复交涉，线索指向了小F小F呢在指向一个帖子，锁定了最终的线索叫完美先生421。
[00:10:21.382–00:10:25.644] 第1八拍来到58分钟，外部环境压力。
[00:10:26.118–00:10:27.116] 继续参加。
[00:10:27.686–00:10:40.908] 然后呢，同时也引起了对手的注意，对手加紧了危险，对手是谁啊？在这个故事里面，主角行动线的对手是谁啊？对，冯总是吧？我们来看一下啊，58分钟，这里外部环境持续恶化。
[00:10:42.502–00:10:51.948] 好，我们说啊外部环境持续恶化。同时其实还有一件事情是交代了平安哥也开始被网报了啊。因为这个故事的主题是网报。
[00:10:52.710–00:10:59.788] 呃，来到第19拍啊，59分钟，平安哥的妹妹也就是这个这个这个这个李雪琴这个角色啊。
[00:11:00.582–00:11:01.228] 魏如意。
[00:11:01.894–00:11:09.164] 呃，四又完美先生以蛇出洞，想要引蛇出洞，然后呢锁定了对方的大本营是一个一个一个一个网吧。
[00:11:10.310–00:11:16.940] 20拍来到60分钟，女儿呢又交代女儿那条线在同情这个受害者，由于要不要挺身而出。
[00:11:17.638–00:11:23.980] 然后呢，父女两个人通过直播，通过互相发信息，交叉，互相叙互相交叉的叙事啊。
[00:11:24.582–00:11:33.644] 21拍65分钟，我们刚才交代了这个对手急了啊步步紧逼，那65分钟对手得逞了。
[00:11:34.662–00:11:35.660] 雨夜千坟。
[00:11:37.670–00:11:51.948] 65分钟记不记得故事的正中间故事的终点啊呃就理论上的终点啊，在这个里面不是正中间冯总雨夜千坟，同时呢平安哥还不知情，还在那劝女儿也要做正确的事情。我们说这是故事的终点。
[00:11:52.454–00:12:01.164] 这个没毛病吧，千坟雨夜千坟是故事终点。这个大家应该在这个故事里面，应该所有人都找对了。有没有人找错了，我看一看来。
[00:12:01.926–00:12:02.764] 有没有人？
[00:12:03.654–00:12:22.796] 故事终点讲错找错了啊，来到第三部分，第22拍，也就是第68分钟，他发现人家冯总啊并没有动寒露的很，而是把自己的弟弟牵走了，是吧？你不是这个你不是不签吗？那我们签人家这个冯总也挺讲究的，没干坏事儿，对吧？
[00:12:23.462–00:12:26.924] 但是平安还是不想放弃，产生了一个新的目标。
[00:12:27.750–00:12:31.852] 平安产生这个新的目标，简直就是蹬鼻子上脸呀。
[00:12:32.518–00:12:37.612] 很多很多这个同学是不是在这儿有点失开始失去共情。人家冯总。
[00:12:38.854–00:12:48.108] 把自己的弟弟牵走了还不行吗？是不是人家不想折腾，但是我们这个非亲非故这个这个平安哥啊，呃不不抛弃，不放弃。
[00:12:48.838–00:12:58.124] 来到第23拍，也就是第70分钟，寺庙里正在做法事啊，平安哥平安哥过来交涉，交涉不成，把人家骨灰抢走了啊。
[00:12:58.694–00:13:19.580] 第24分钟啊，第24盘73分钟再次上路。我们说故事终点以后调整目标啊，它这里调整目标再次调已调整了目标了，就是情侣坟不能拆，然后来再次上路，就带这个骨灰盒开车去内蒙寻找寻找中真相。同时啊网络上就持续发酵，因为彻底成了网红事件了嘛。
[00:13:19.878–00:13:20.844] 各种谣言四起。
[00:13:21.350–00:13:23.564] 我们说这里再次上路就再配Bgm。
[00:13:24.134–00:13:33.292] 同学们啊，每次上路都配BGM商业片都是这么玩的，记不记得再看一眼啊，看一眼它是不是真的商业片再上路配BGM啊。
[00:13:34.054–00:13:42.156] 但确实是王党好，，造型也诙谐，事态也拿捏，所以呃走的应该是黑红的路线，但黑红也是红。
[00:13:42.822–00:13:46.924] 啊这种这种人其实见得多了啊，一茬接一茬的互联网没有机名。
[00:13:58.150–00:14:18.204] 他抱走的不是方丈，是方丈怀里的骨灰盒，是有过前科的还打了等还婆我云白露。
[00:14:19.462–00:14:40.188] 一杯酒两甲饮三五来兜顶讲世界第一。
[00:14:40.262–00:14:49.836] 光看到大能了吗？那警察不也挺眼熟吗？这里面客串的很多人都是都是有点来头的啊来。
[00:14:50.662–00:15:10.940] 其实是第25part来到74分钟，女儿在他的鼓舞下，也走进了校长室，伸张正义，进行了核实，澄清了事实，也承认了的确是他做的。第26拍76分钟，平安哥来到网吧，找到这个所谓的完美先生421，然后一场追逐戏，对方逃脱了。
[00:15:12.294–00:15:18.252] 27拍79分钟，女儿在学校里被人报复，被人霸凌了。
[00:15:19.462–00:15:34.700] 第28拍，平安哥遇到一个网红粉丝啊，就是杨迪演的那个角色呃，能提供新的线索。因为421不是跑了吗？能提供新的线索，给421下个套。第29拍来到第82分钟。
[00:15:35.590–00:15:40.492] 得到了女儿被欺负的消息，还被拍了视频，准备往回赶。
[00:15:41.382–00:15:45.548] 然后30拍84分钟啊，车抛锚。
[00:15:46.246–00:15:47.180] 就往回奔跑。
[00:15:48.518–00:16:02.156] 露宿荒野，嗯，这里就营造了一个灵魂黑夜的一个感觉吧，是吧？车也坏了啊，天也黑了，荒野奔跑，女儿被欺负哭喊啊。
[00:16:02.790–00:16:03.692] 灵魂黑燕。
[00:16:04.806–00:16:07.116] 来来到第四部分。
[00:16:07.654–00:16:09.324] 来到护事的第四幕。
[00:16:10.022–00:16:11.628] 第31拍。
[00:16:12.486–00:16:13.868] 也就是第85分钟。
[00:16:14.374–00:16:28.876] 再次遇到了那个所谓代表寒露的白马，然后追着追赶白马，找到了下一个希望，找到了牧民也找到了手机信号。第32拍86分钟联系上了女儿。
[00:16:29.446–00:16:42.732] 女儿她自己在那灵魂黑夜呢，人家女儿已经熬过去了，并没有很难过。女儿成长了，所以她从女儿处又获得了认可，获得了鼓励。她认为自己应该继续战斗。
[00:16:43.238–00:17:05.340] 第33盘来到88分钟，得到了421的新线索，还有半个小时就要逃跑了。在这里这最后高潮了吧，最后马上高潮了啊，加了一个时间锁，就是还有半小时，对方就要逃掉了。同时呢对手也追过来了，也就是那个玛丽啊冯总也逼近追过来了，然后夺车逃脱啊，夺车逃脱。
[00:17:05.734–00:17:20.876] 那第34拍来到第89分钟，被警车追赶啊，追车系，然后追到火车站，冲冲创安检，冲破安检。第35拍93分钟，遇到这个421再次开始追逐戏。
[00:17:22.790–00:17:24.684] 也就是所谓的高潮戏。
[00:17:25.318–00:17:40.236] 然后呢，但是这个追逐戏实在是用的太多了啊，动不动就追逐，动不动就追逐。那咋整呢？在这一场就加了一个直播视角，对吧？杨迪也跟着追手机视角、航拍视角，各种视角配合这个直播。
[00:17:40.806–00:17:47.276] 实际上呢这个高潮戏确实有点乏力，对吧？因为又是追逐，他们前面都追了好几回了。
[00:17:48.102–00:17:48.524] 来。
[00:17:49.414–00:17:57.772] 同时呢因为被这个这个这个高潮戏嘛，就所有对手也都到齐了啊，都把人聚一聚得了。呃，这个事儿不够人来凑。
[00:17:58.374–00:18:02.252] 36拍95分钟抓到了这个目标。
[00:18:03.302–00:18:05.676] 对手和警察也都赶到了啊，都带走了。
[00:18:06.598–00:18:08.140] 实际上就是任务完成了嘛。
[00:18:09.190–00:18:18.444] 但是任务完成嗯，不过瘾，第37拍第96分钟必须审问一下这个421啊，交代一下这个421所谓的作作案动机。
[00:18:18.918–00:18:25.260] 交代一下韩露的清白，顺便呢上一上价值，斥责一下这个网络这个付费啊，网络谣言这些事情。
[00:18:26.342–00:18:28.428] 第38拍98分钟。
[00:18:29.062–00:18:31.628] 平安跟冯总啊两个人一笑泯恩仇。
[00:18:32.294–00:18:53.212] 网络上呢也回归了正能量啊，这个这个这个因为这部电影啊毕竟还是要主旋律啊，因为有一个结局，所以网络上竟然也回归了正能量，所有人呢突就突然网络上的网民突然就都回归了正能量啊，突然就很善良。而且全民直播全民流量时代，又开始给网络唱赞歌，其实就是想说。
[00:18:53.670–00:19:14.396] 网络是两面的啊，这个这个有好的一面，也有坏的一面回归主题。第39part第100分钟啊，过生日接孩子放学，路边呢吃蛋糕啊第40part103分钟得到了韩璐预定的生日礼物，就韩璐提前几个月。
[00:19:14.790–00:19:34.716] 呃，因为要死了，提前几个月给这个这个平安哥嗯预定了生日礼物，然后配合着这个旁白，配合着这个音乐搞了一场烟花秀。哎呀，这也是国我们编剧的一个问题啊，一道要煽情，一道要最后弄一个美好的画面，就是烟花秀，咋整？
[00:19:34.918–00:19:50.540] 这个事儿吧就停留在90年代啊，停留在90年代的一种手法吧，就是烟花秀。然后到这里正文结束啊，40拍正文结束啊，105分钟啊然后。
[00:19:51.366–00:19:58.540] 最后又给了一个彩蛋啊，41拍107分钟。彩蛋呢里边有两个事情，一个事情就是。
[00:19:59.078–00:20:03.564] 这个孤儿这个女这个韩璐啊小时候就见过平安哥。
[00:20:04.102–00:20:15.628] 小时候他过生日的时候，就特别想喝一瓶可乐啊，当年就是年轻的善良的呃，平安哥曾经给他买过可乐，所以他是认得平安哥的。
[00:20:16.454–00:20:17.836] 你小孩认得大人吗？
[00:20:18.406–00:20:30.220] 嗯讲了一下韩露为什么这么执着于平安哥帮他，以及平安哥跟韩露特殊的这种情感关联，这是彩蛋的第一个作用。
[00:20:30.758–00:20:34.380] 彩蛋的第二个作用呢就是呃。
[00:20:35.270–00:20:39.244] 纪念了一下呃我们共同的好朋友。
[00:20:40.006–00:21:02.236] 赵英俊就是洒哥啊，因为洒哥前几年去世了啊，大鹏啊嗯徐峥哥呀，包括老薛啊薛之谦，我们几个跟洒哥关系都非常好啊，静静一下洒哥，我们先回到学习状态啊，我们先来看一下这个故事的主题吧。
[00:21:04.166–00:21:25.948] 我们说这个故事的主题有是网络暴力啊，遭受网络暴力的都是哪些人？同学们在这个故事当中，娘这个故事的创作者啊忘穿讲的是当前网络暴力这个情况啊，因为网络暴力确实对人的伤害非常大。对在这个戏里面都哪些人遭遇了所谓的网络暴力。
[00:21:28.070–00:21:29.132] 当然有寒路。
[00:21:29.638–00:21:41.100] 是吧当然我们的男主角啊，当然还有那个女儿，主要是讲这三个人啊，那这个故事的主题还是非常符合啊当前社会的一个很直接的一个东西啊。
[00:21:42.214–00:21:58.892] 我今天还看了一篇文章，说到底互联网是不是一场，是不是让人类走了一场弯路啊？有一些人在反思啊，特别2019年就开始有各种各样的研究和文章说互联网到底是不是人类的一场倒退啊有这样的一个说法。
[00:21:59.430–00:22:00.460] 嗯，同学们。
[00:22:01.414–00:22:22.364] 在这件事情上，我还是比较有发言权的啊。这个我们可以多说几呃，可以随便闲说闲扯几句。嗯，因为绝大部分人啊实际在生活当中会遭遇暴力，但是遭遇的到遭遇大面积的网络暴力其实没有那么明显啊。嗯，同学互联网对我的帮助很大。
[00:22:22.886–00:22:43.036] 我我甚至认为啊嗯没有如果没有互联网，可能我的人生路径会完全不一样。确实你如果在互联网上得利，或者是你在互联网上有一定的影响力，那么对你的暴力啊，那也是呃绝对是满满当当啊他是相伴相生的。所以说。
[00:22:43.302–00:23:03.964] 不能说呃因为吃到了互联网的红利呃，但是呢不愿意面对这个互联网的这个这暴利啊，你光光吃红利，不不吃暴利肯定是不可以的。网络暴力你根本呃阻止不了啊。很多同学由于你们没有被网络暴力暴力过。所以你们有很多时候啊。
[00:23:04.326–00:23:15.820] 根本体会不到什么叫网络暴力，甚至无意间都会参与网络暴力。包括我自己啊，我给大家举个最简单的例子。同学们，我给大家举个最简单的例子啊，网络暴力其实杀人于无形。
[00:23:16.806–00:23:22.316] 比如说恒大歌舞团的那几个女孩子，有人在乎真相吗？
[00:23:23.526–00:23:26.412] 有人在乎他们几个做过些什么事情吗？
[00:23:26.982–00:23:31.308] 有人在乎他们是真正是什么样的人吗？
[00:23:31.814–00:23:32.844] 没有吧。
[00:23:33.510–00:23:36.844] 但是他们几个人几乎就被网络毁掉了吧。
[00:23:37.382–00:23:39.884] 你觉得他们以后还能见人吗？
[00:23:40.934–00:23:42.860] 他们的生活现在是什么样的呢？
[00:23:43.558–00:24:03.932] 我们所有人都沉浸在一种正义当中，觉得应该谴责他们，应该骂他们，应该让他们体无完肤，应该拔他们。因为这个这个恒大欠了上万亿，对吧？因为但是有没有人真的关心真相呢？就那几个女孩子，而且那件事情是好几年以前的事情，但是没有人觉得。
[00:24:04.358–00:24:25.852] 没有觉人觉得真相重要，对吧？全都去全都去恨不得置他们于死地。当然了，大家会觉得哎，我就是转发了几下，我就是评论了几下，不会，但就是因为所有人集体的网报他们，他们几个活不成，你有没有想过这件事情，如果发生在你身上，你身边所有的人都认为你是一个。
[00:24:25.926–00:24:33.100] 你可能活不下去了，就所以网络暴力其实无处不在啊无处不在。
[00:24:33.702–00:24:53.756] 我们大部分时候是参与者，是施暴者。我们大部分时候啊，我们每个人都是施暴者来看一下这个故事的问题。有没有同学觉得这个故事的人物动机不够。这个故事我们说平安哥是吧？是一个刑满释放的目地消愁为了。
[00:24:54.310–00:25:00.044] 伸张正义啊，宁愿自己不要钱，不要工作，也要伸张正义，而且人家都躲了。
[00:25:01.286–00:25:21.852] 我走了，啊还要去继续追击总计问题。然后再思考一个问题，也是你们经常会犯的一个问题啊。同学们就是咱们有很多新手啊写剧本容易前半段长，后半段短，也就是一二目比较长，三四目比较短。然后一二目长呢。
[00:25:22.118–00:25:43.644] 是是因为写了一些无关紧要的阻力。比如说平安哥去找他妹妹拿一个线索，你说一个人去找自己的亲妹妹拿一个线索，会有很大的阻力吗？理论上不会，而且即便是会也不在主线去清商。但是在这里是写了很。
[00:25:43.846–00:25:53.804] 多的媳妇，比如鬼屋，比如送他去医院检查性病，然后平安哥去找下一个线索，贾斌啊这个角色。
[00:25:54.726–00:26:13.196] 贾编不见他们有理由吗？也没有理所以说这种不推进剧情的搞笑戏啊，替比较好写，所以就造成编剧在这里恋战啊，恋战。很多同学说那不写怎么办？你在主线剧情上写创意。
[00:26:13.958–00:26:26.700] 这才是本事。我没有说不能这么写，但是不要在这里浪费太多的篇幅。导致第一第一二目冗长且不紧张，因为也。
[00:26:27.526–00:26:48.188] 你你你你到底急不急，对吧？你急还在那玩鬼屋，这些而且绕容易造成分段非常的割裂。你们同学们你有没有想过去找李雪琴，去找贾边，去找尹正都没有关系。这几场戏之间都没有关系。也就是李雪琴跟着跟到了下一场。但是李雪琴。
[00:26:48.262–00:26:52.236] 那个鬼屋队伍到后面竟然不用，对吧？
[00:26:52.774–00:27:12.700] 李雪琴那个鬼屋的队伍，鬼屋的设定，后面为啥不用呢？然后我们再说三四目对吧？三四目的招数乏力，每一次要解决问题，全是追逐。到了第三幕，第四幕，由于要提节奏，不能停下来搞笑了，所以全都做成了追逐席。
[00:27:12.774–00:27:14.124] 追车就追了三四次。
[00:27:14.662–00:27:16.684] 对吧腿追追了两回吧。
[00:27:17.286–00:27:23.372] 至少两回，说不定都是三回，寺庙里追了一回，然后网吧里腿就追追了一回。
[00:27:24.006–00:27:46.684] 火车站腿着追追了一回，是不是这就这就三次了，然后车坏了，又腿着奔跑。我们说三四目招式法力。有同刚才有同学说，哎呀，我是为了场景丰富，多设计点戏。那你在这设计啊，对不对？你在这设计的又紧张又搞笑，又多点场景，多点元素，那多好，真的到主回到主线剧情上了，出事就是个追。
[00:27:47.110–00:27:49.676] 嘎嘎就是个撵。然后我们再来看一下啊。
[00:27:50.246–00:27:56.396] 有同学说因为反派能力太弱了，对吗？那肯定也有方方面面的原因嘛，所以要去设计，要去改嘛。
[00:27:56.902–00:28:19.068] 还有一个头重脚轻的问题啊，就是女儿的成长给早了，女儿在哪里决定要去拯救她的同学啊？是第二幕啊，抢完骨灰那里，我看到了第25分，然后前面女儿鼓励她做正确的事情，也应该放在第三幕。前面啊我们说他聊起憨豆事件，得到女儿的认可，放在第二幕了。
[00:28:20.198–00:28:23.532] 那里放早了，他前面得不到女儿的认可。
[00:28:24.070–00:28:31.340] 后面得到女儿的认可，反而把女儿坑了，这个节奏才接得紧，这也是个问题，好吧。
[00:28:31.814–00:28:32.236] 来。
[00:28:32.966–00:28:36.844] 那我们就探讨一下这个片子，从这种情况下。
[00:28:37.542–00:28:49.868] 当然了，我们不得不承认啊，还是要说这个片子非常好，是大鹏导演非常优秀的一部作品，但是里面肯定有问题啊，肯定有问题，不这不怕聊，都是熟人可以聊啊。
[00:28:50.566–00:29:10.812] 我们说他的票房和评分都没有达到我认为应该有的高度，怎么去补救都有哪些地方有问题。同学们，坦白说，我说一下我跟大鹏导演的观点啊，坦白说我们俩从个人角度都认为为平安这个角色的动机没有问题。
[00:29:11.174–00:29:23.084] 但是我们俩结合市场也都认为自己过于自信了。因为男人仅凭讲义气或者一句承诺就去做这么多事情。
[00:29:23.590–00:29:26.188] 是我们男性观众的一种自我意淫。
[00:29:26.694–00:29:31.148] 很难推而广之。所以说这是我说人物动机我们其实是可以调的。
[00:29:32.038–00:29:34.092] 那有调有哪几个地方？
[00:29:35.142–00:29:39.404] 我提几个我我跟大鹏导演当时探讨过的问题，大家一块儿去思考。
[00:29:40.326–00:29:43.308] 第一个问题，你们一起跟我思考一下啊。
[00:29:43.942–00:29:44.620] 第一个问题。
[00:29:45.158–00:29:46.540] 喜剧演员扎堆儿。
[00:29:47.494–00:29:48.172] 到底好不好？
[00:29:48.710–00:29:51.500] 这个戏由于是全员喜剧演员。
[00:29:52.166–00:29:56.044] 所以才造就了一2目，他们经常会停下来搞笑。
[00:29:57.126–00:30:17.948] 所以才造就了玛丽根本不给力，就玛丽根本不上劲儿，威胁不了，没有威胁。这是我们探讨的第一个问题。就是如果再来一次还要不要全员喜剧演员？同学们，我为什么跟你们说这部片子，我跟你们讲有个好处，是因为我跟大鹏导演探讨过这些问题。
[00:30:18.150–00:30:26.060] 所以全都是非常实操，非常发自内心的创作者发自内心的问题是吧？这是第一个问题。
[00:30:26.918–00:30:28.620] 这么多喜剧演员扎堆儿。
[00:30:29.766–00:30:30.540] 下次怎么弄？
[00:30:31.462–00:30:32.172] 第二个问题。
[00:30:32.806–00:30:36.876] 韩璐要不要真的做过台？因为如果韩璐真的做过台。
[00:30:37.446–00:30:44.044] 那这个故事的转折，这个故事的牺牲，就这个故事后面的写法就是完全不一样。
[00:30:45.254–00:30:45.804] 而且。
[00:30:46.822–00:30:47.564] 坐过台。
[00:30:48.102–00:30:49.324] 你们就能网报人家吗？
[00:30:50.022–00:31:10.236] 做过台就没有资格捐款吗？做个台就一辈子是个坏人吗？是吧？其实都可探讨，就韩璐要不要真的做过台。对？这件事情我们也仔细的复盘过，你们也可以想一想，我们又下结论啊，因为都是讨论，喜剧演员也带来了很多的呃那个那个票房呀，所以说。
[00:31:10.310–00:31:16.652] 要不要全员喜剧演员，本来也是一个探讨的问题啊？第三。
[00:31:17.190–00:31:18.092] 皮安哥。
[00:31:18.758–00:31:20.108] 可不可以？
[00:31:20.742–00:31:25.196] 喜欢海璐，解决个动机问题，解决个执着的问题。
