P056 三十课-人类为什么需要影视剧30
[00:08:52.134–00:09:01.612] 他的这个这个心情就确实受到了一定的打击，但是也有那种心态好的，脸皮比较厚的同学，就老师，你就给我找个亮点呗。
[00:09:02.822–00:09:07.756] 我说这硬找吗？他说你找个亮点给我点信心啊，我说可能就是。
[00:09:08.358–00:09:22.124] 但是就是真没有啊，对吧？同学们一定保持好的心态啊，写东西这个东西这玩意儿吧，你就得练，没有说一蹴而就的，说第一个就就一定。
[00:09:22.790–00:09:36.140] 你写的第一个就很好，这个几率非常之小非常之小。你人生写的第一个剧本就能让我夸，让我觉得好。这个那我就是在骗你的对吧？这个很难的。
[00:09:36.838–00:09:39.148] 就像我上礼拜去去去去。
[00:09:39.750–00:09:41.388] 去去学学打拳。
[00:09:41.926–00:09:43.532] 我去健身房学了一节。
[00:09:44.134–00:09:44.588] 大拳。
[00:09:46.054–00:09:49.420] 道理也是这样，跟咱们学编剧差不多，就是什么呢？
[00:09:50.086–00:09:50.444] 就。
[00:09:51.238–00:09:55.756] 咱们那些同学拿句来给我看的那些同学啊，就是自以为自己很能打。
[00:09:57.094–00:10:01.740] 他可能也在学校也打过仗，可能也是个小霸凌，对吧？挺牛逼的。
[00:10:02.502–00:10:03.532] 混小混混。
[00:10:04.230–00:10:06.348] 但问题是你在马路上再能打。
[00:10:07.142–00:10:10.220] 我相信你也打赢过，对吧？但是你在马路上再也能打。
[00:10:11.110–00:10:12.428] 你去前台上看看。
[00:10:13.414–00:10:14.892] 你去看看那个教练。
[00:10:16.006–00:10:17.676] 你去看看那些专业人士。
[00:10:19.206–00:10:21.292] 我跟你说，你你小时候再能打。
[00:10:21.958–00:10:25.996] 你跟那个人打他我他保证5秒之内就放倒你。
[00:10:27.174–00:10:32.716] 专业跟业余差距就是这么大。所以不要大家不要凭天赋，觉得自己挺能打的。
[00:10:33.222–00:10:35.820] 这个就上去要跟专业人士比划比划。
[00:10:36.390–00:10:37.548] 我很客观的告诉你。
[00:10:39.654–00:10:42.604] 还得练很正常啊，咱们赶紧上课。
[00:10:44.038–00:10:47.596] 这节课讲本源性的问题，啥本源性的问题呢？就是。
[00:10:50.118–00:10:51.468] 我们为什么要？
[00:10:54.054–00:10:54.540] 看电影。
[00:10:55.686–00:10:56.876] 我们为什么要？
[00:10:57.638–00:10:58.252] 看电视剧。
[00:10:59.142–00:11:01.644] 因为这个问题如果没搞清楚的话。
[00:11:02.182–00:11:04.108] 你在根儿上你就就偏了。
[00:11:05.030–00:11:07.660] 所以这节课啊按理说我是应该早点讲。
[00:11:08.838–00:11:11.916] 是吧就是这种课其实应该放在前面讲的。
[00:11:14.054–00:11:15.436] 今天咱就把它补上。
[00:11:16.582–00:11:19.948] 呃，希望能对同学们的创作有所帮助吧。
[00:11:20.518–00:11:21.516] 因为这个问题啊。
[00:11:22.790–00:11:25.068] 确实它是根儿上的问题。你如果根儿上。
[00:11:25.798–00:11:29.324] 瞄的不正，瞄的不准，那你一路跑偏，对吧？
[00:11:29.990–00:11:31.532] 我们来研究一下说。
[00:11:32.582–00:11:36.396] 人为什么要看电影？人为什么要看电视剧？
[00:11:38.278–00:11:39.724] 这个本源性的东西。
[00:11:41.990–00:11:44.396] 我们说啊影视作品。
[00:11:44.934–00:11:48.108] 首先它是个艺术，对吧？它是个艺术品。
[00:11:48.678–00:11:50.252] 那我们先从第一个。
[00:11:51.718–00:11:52.716] 第一个概念。
[00:11:53.222–00:11:53.900] 去研究。
[00:11:54.726–00:11:55.724] 第一个问题。
[00:11:59.014–00:12:01.548] 就是人为什么需要艺术呢？
[00:12:03.686–00:12:11.052] 艺术肯定是人类独有的对吧？动物是不需要的。就说我们人啊为什么需要艺术这个东西嘞？
[00:12:13.190–00:12:22.604] 我说艺术，你看有有这个这个这个绘画，对吧？这个这个早期的古代的这个绘画，然后咱们这还有诗歌是吧？还音乐。
[00:12:23.398–00:12:26.124] 哎，还有舞蹈嘞，对吧？还有舞蹈艺术。
[00:12:26.598–00:12:32.652] 然后还有这个这个这个再就还有咱们影视艺术，就是艺术这个东西，你说人为什么需要呢？
[00:12:35.718–00:12:38.092] 有同学会说，那可能就是闲的吧。
[00:12:38.950–00:12:46.252] 是吧闲的没事干就搞点艺术，吃饱了啊，饿着肚子的时候肯定不想搞嘛，吃饱了搞。
[00:12:48.390–00:12:50.668] 这么说不全面啊不准确啊。
[00:12:51.462–00:12:52.844] 我先给大家一个定义。
[00:12:54.118–00:12:55.180] 艺术是什么呢？
[00:12:55.878–00:13:00.460] 艺术是人类语言表达的补充。
[00:13:02.278–00:13:05.996] 就是艺术这个东西啊是补充我们语言表达的。
[00:13:07.430–00:13:09.708] 因为人啊是个社群洞。
[00:13:10.438–00:13:11.468] 是个社会性的东。
[00:13:11.974–00:13:14.892] 社会性的动物啊需要沟通，需要交流。
[00:13:15.686–00:13:19.308] 最基本的方式当然是语言。
[00:13:19.910–00:13:28.332] 对吧语言文字是我们的重大发明啊，语言啊语言是是重大的发明，而且语言是人类的本能。
[00:13:28.998–00:13:39.276] 人类的本能，你把一个小孩扔在哪儿，他就学会那里的语言了啊，不用小孩，大人其实扔的你把你扔在西班牙。我跟你说，西班牙语很快也就。
[00:13:39.910–00:13:40.364] 学会了。
[00:13:41.030–00:13:41.452] 就是。
[00:13:43.974–00:13:46.060] 人有个沟通的一个本能。
[00:13:47.046–00:13:48.940] 最基本的方法。
[00:13:49.446–00:13:50.508] 啊，就是语言表达。
[00:13:52.294–00:13:53.100] 艺术呢？
[00:13:54.118–00:13:55.500] 是语言表达的。
[00:13:56.006–00:13:56.524] 补充。
[00:13:59.334–00:14:00.492] 能好理解吗？
[00:14:02.886–00:14:05.228] 理解好理解，但是觉得有点。
[00:14:06.982–00:14:08.044] 不太信是吧？
[00:14:08.966–00:14:10.444] 我们这么想啊，你看。
[00:14:12.134–00:14:14.476] 我们先说刚才的艺术形式来。
[00:14:16.326–00:14:17.260] 你说画画。
[00:14:18.886–00:14:20.172] 美术这个东西啊。
[00:14:21.350–00:14:25.548] 我们说画画在古代是非常盛行的，现在比较少了。
[00:14:26.246–00:14:27.628] 现在纯画画的。
[00:14:28.166–00:14:32.876] 画家已经很少了啊，但古代很多。那你说古代为什么那么多。
[00:14:33.798–00:14:34.572] 这人画画。
[00:14:37.510–00:14:39.916] 是因为古代的人啊很多不识字儿。
[00:14:41.190–00:14:43.116] 他看不了字儿，他只能看画。
[00:14:44.070–00:14:47.916] 所以你看早期的画画的是什么？西方画的是教会画。
[00:14:49.286–00:14:50.028] 传教用的。
[00:14:50.822–00:14:56.908] 它是传播教义用的，它其实就是取代文字。如果人人都能读圣经，我们还画画干什么？
[00:14:57.734–00:15:00.908] 明白吧？所以它其实就是语言表达的一个补充。
[00:15:02.502–00:15:04.620] 本质啊我们说的是本质啊。
[00:15:05.350–00:15:06.476] 本质是这样的。
[00:15:07.718–00:15:10.284] 所以你看随着十字率的普及。
[00:15:10.822–00:15:19.276] 随着大家都认字了，随着语言表达方式的多样化，对吧？其他补充方式的多样化画画啊现在。
[00:15:22.694–00:15:28.908] 职业的画家越来越少了，我们只能这么说，对吧？当然有很我们的同学中有很多就是画画了。
[00:15:29.414–00:15:30.188] 他们在画什么？
[00:15:32.134–00:15:33.196] 他们在画漫画。
[00:15:34.182–00:15:34.892] 画动漫。
[00:15:35.558–00:15:36.588] 或者是搞动画。
[00:15:37.158–00:15:37.612] 对吧。
[00:15:38.374–00:15:39.372] 那是什么玩意儿？
[00:15:39.974–00:15:44.972] 那不就是在拥抱语言表达吗？对吧？你纯画画没人看。
[00:15:45.574–00:15:47.084] 你还是得画一个。
[00:15:48.454–00:15:51.084] 故事画一个情节，画一个语言表达。
[00:15:52.102–00:15:56.012] 对不对？拥抱与文字，拥抱文学才能活下去。
[00:15:57.606–00:16:06.796] 其他的东西也是这样呀，你说纯音乐来大家年轻人都觉得自己我喜欢音乐，我对音乐挺爱的，纯音乐你们谁听？
[00:16:07.398–00:16:08.940] 有几个人听纯音乐的。
[00:16:09.990–00:16:12.076] 对吧懂旋律吗？
[00:16:12.582–00:16:16.012] 懂乐器吗？大家不懂大家听的是什么啊？
[00:16:17.286–00:16:18.284] 听的是歌儿。
[00:16:18.918–00:16:23.916] 对不对？秋顿听的是歌，大家喜欢听的是歌，为什么喜欢听歌？
[00:16:24.454–00:16:25.548] 语言表达嘛。
[00:16:26.374–00:16:28.556] 对吧音乐这个艺术。
[00:16:29.574–00:16:35.276] 也参与到语言表达中来，才能获得我们大家的喜欢和认可。
[00:16:35.782–00:16:38.028] 而且他确实是语言表达的补充呀。
[00:16:38.982–00:16:39.564] 为啥呢？
[00:16:40.038–00:16:43.916] 你把你喜欢的歌，比如说什么薛之谦的歌或者是。
[00:16:44.550–00:16:45.708] 什么毛不易的歌。
[00:16:46.342–00:16:48.396] 你你把歌词拿出来。
[00:16:48.870–00:16:54.668] 虽然是哎有的歌词是表达失恋的情绪的，有的歌词是表达对一个异性的爱慕的情绪的。
[00:16:55.302–00:16:57.132] 你拿着读给一个异性听一听。
[00:16:58.246–00:16:59.820] 他绝对觉得你有病。
[00:17:00.870–00:17:02.764] 那些词儿你能说得出口的。
[00:17:03.718–00:17:05.932] 歌里面的词你能说得出口的。
[00:17:07.558–00:17:11.116] 不配上曲儿，干说的话简直就是有病。
[00:17:12.166–00:17:13.100] 明白这个道理吧？
[00:17:14.406–00:17:16.812] 但是我们需要表达那样的情绪。
[00:17:17.318–00:17:22.412] 我们就哎哼着表达，哎，你看唱的表达就没有那么尴尬了，对吧？
[00:17:22.982–00:17:25.420] 所以你看他就是语言表达的补充。
[00:17:26.054–00:17:27.372] 那些词儿呢我们。
[00:17:27.910–00:17:29.356] 干说有点牙碜。
[00:17:29.894–00:17:37.644] 配上曲说哎，这个行对吧？而且还自己自己挺陶醉，有时候给自己感动的就想哭，你看这就是。
[00:17:39.334–00:17:39.820] 歌。
[00:17:40.294–00:17:41.068] 也是。
[00:17:41.606–00:17:42.764] 语言表达的不充。
[00:17:43.238–00:17:48.204] 所以说啊举举两个例子啊，说的就是艺术这个东西啊。
[00:17:48.742–00:17:51.500] 它的本质其实就是。
[00:17:53.382–00:18:01.644] 语言表达的补充。我么大家这么去理解，我不喜欢讲概念，但是你们要理解好吧，你们要理解它的原理。
[00:18:02.470–00:18:02.988] 那。
[00:18:04.038–00:18:10.380] 我们说主流艺术还有一个概念啊，还有一个定义，主流艺术啊实际上是。
[00:18:13.702–00:18:17.324] 统治阶级传达价值观的工具。
[00:18:18.406–00:18:19.820] 这是主流艺术啊。
[00:18:20.358–00:18:27.372] 因为你如果不传达统治阶级的价值观的话，你这个艺术很难形成主流，很难形成大众传播。
[00:18:28.230–00:18:29.708] 比如说你看西方的。
[00:18:30.214–00:18:35.244] 我们说西方的文艺作品，西方的艺术往往传播。比如说。
[00:18:38.694–00:18:39.564] 这个这个。
[00:18:40.454–00:18:41.676] 宗教的一些。
[00:18:42.758–00:18:55.724] 理念对吧？传播他们这个这个信仰基督教的一些信仰的一些理念主题。你看美国的电影特别喜欢传播什么公平正义，传播什么个人英雄主义。
[00:18:56.230–00:18:57.996] 这就是他们的。
[00:18:58.790–00:19:01.228] 主流价值观，他们统治阶级的价值观。
[00:19:01.766–00:19:09.612] 对吧你看咱们东方，比如说咱们中国，咱们的统治阶级呢是人民，对吧？人民当家做主嘛。
[00:19:10.470–00:19:11.404] 我们的。
[00:19:11.878–00:19:12.908] 价值观是什么嘞？
[00:19:14.054–00:19:16.780] 对吧我们的价值观比如说是勤劳善良。
[00:19:17.734–00:19:21.036] 或者是这个这个这个中军爱国。
[00:19:21.670–00:19:28.300] 对吧或者是孝道，或者是善恶有报。你看我们的主流。
[00:19:29.862–00:19:32.492] 艺术作品需要传播这种价值观。
[00:19:33.126–00:19:35.820] 你如果不传播这种价值观也是不行的。
[00:19:37.286–00:19:44.460] 所以说这也是一个概念啊，就主流艺术它传播的是这个社会的主流价值观，也就是统治阶层的。
[00:19:48.390–00:19:50.380] 我们也要记住，不要。
[00:19:51.622–00:19:52.364] 老师。
[00:19:52.870–00:19:58.668] 在这方面搞颗粒雏行，那就没有意思了，那就没有意义了，对吧？那就不是艺术了。
[00:19:59.238–00:20:01.100] 那是你自己的事儿，好吧。
[00:20:03.238–00:20:11.180] 我们说我们既然搞清楚了这是艺术的定义啊呃它就是这个语言表达的补充。我们说。
[00:20:12.166–00:20:15.596] 那在这个现在的这个这个这个时代下。
[00:20:16.230–00:20:17.324] 这个艺术的。
[00:20:18.278–00:20:19.788] 他这个生存现状是什么呢？
[00:20:21.670–00:20:22.924] 现在这个社会啊。
[00:20:24.710–00:20:25.868] 我们说是一个。
[00:20:26.342–00:20:35.820] 交互性的社会刚才也说了啊，就是大家的话语权都很丰富，很很很公平啊，大家都在这个这个这个。
[00:20:36.326–00:20:36.940] 表达。
[00:20:37.702–00:20:38.988] 大家都在语言表达。
[00:20:39.782–00:20:42.412] 所以呢导导致了一个什么样的状态啊？
[00:20:42.918–00:20:45.804] 现在一个是一个什么样的状态呢？现在是一个。
[00:20:47.014–00:20:48.492] 疯狂的争夺。
[00:20:50.566–00:20:53.548] 疯狂的争夺每一个用户的。
[00:20:54.470–00:20:55.980] 时间的一个状态。
[00:20:57.766–00:21:01.036] 所有的艺术形式都在疯狂的争夺。
[00:21:02.598–00:21:03.372] 用户的。
[00:21:04.166–00:21:04.652] 时间。
[00:21:06.790–00:21:07.404] 比如说。
[00:21:12.198–00:21:13.836] 比如说最近两个月。
[00:21:15.814–00:21:18.444] 影视作品的流量非常差。
[00:21:19.398–00:21:25.132] 就是甭管你是什么影视作品，最近两个月全部铺街，全部赔钱。
[00:21:26.662–00:21:27.276] 为啥呢？
[00:21:28.006–00:21:28.876] 7月份。
[00:21:29.734–00:21:31.212] 是我们建党100周年。
[00:21:32.070–00:21:32.844] 8月份。
[00:21:33.510–00:21:34.444] 东京的奥运会。
[00:21:35.942–00:21:46.924] 就是这两件事情，把大家的目光，把大家的注意力，把大家的时间都给吸引走了。我们在听这两件事情对我们进行表达。
[00:21:48.294–00:21:49.132] 所以呢。
[00:21:50.470–00:21:54.028] 所有的影视作品，所有的文艺形式，所有的艺术。
[00:21:54.726–00:22:04.364] 都会受到冲击，这就是现在的现实状况，就是你一个艺术作品啊，你不光要跟其他艺术作品搏杀了。
[00:22:05.222–00:22:08.300] 你要跟所有的东西搏杀，是因为。
[00:22:09.190–00:22:21.100] 现在是一个信息交互的时代。所以你看啊为啥说短视频出来之后，影视作品反而呃影视作品不好干了，受冲击，长篇受冲击，按道理是两个门类啊？
[00:22:21.638–00:22:25.932] 你刷抖音，你爱刷刷呗，对吧？你刷短视频，你爱刷刷呗。
[00:22:27.398–00:22:28.908] 怎么会影响看电影呢？
[00:22:30.758–00:22:31.564] 是因为。
[00:22:32.646–00:22:36.556] 所有用户，所有个体的注意力。
[00:22:37.382–00:22:37.932] 所有。
[00:22:38.406–00:22:41.612] 所有个体的时间已经被抢光了。
[00:22:43.366–00:22:44.140] 导致。
[00:22:44.902–00:22:46.124] 现在的艺术作品。
[00:22:48.134–00:22:52.364] 生存现状其实不是很好，要跟很多东西搏杀。
[00:22:53.286–00:23:01.612] 要跟很多东西播啥。我其实课上讲过啊，我说你看一下你每天的时间分配，你基本上就知道中国谁有钱了。
[00:23:03.238–00:23:22.572] 你每天花两个小时在抖音上，我跟你说，张一鸣现在很有钱，对吧？你每天花一个小时在淘宝上马云那是曾经也是中国首富呀，对吧？你每天还花一个半小时在微信上嘿马化腾也相当有钱，对吧？你每天呢花那个。
[00:23:23.206–00:23:33.964] 半个小时在滴滴打车上，你看滴滴那家伙也很有钱，对不对？你每天还要送叫快递，你花你花时间在哪儿，花精力在哪？
[00:23:34.662–00:23:35.948] 哪里就很富裕。
[00:23:36.806–00:23:43.372] 所以说人的时间啊已经被抢的差不多了，已经被抢的差不多了，你还要跟资本大鳄抢呢。
[00:23:44.838–00:23:55.628] 所以为什么现在鼓励赶紧生二胎，生三胎？就是人不够用了，对吧？不够巧了。所以说艺术品啊艺术作品啊，包括影视作品。
[00:23:56.358–00:23:57.420] 现在就是。
[00:23:59.654–00:24:04.684] 艺术作品的它的生命线就叫。
[00:24:06.342–00:24:09.004] 注意力和时间就叫。
[00:24:09.734–00:24:15.212] 用户的attention加time对吧？就是需要用户的时间和注意力。
[00:24:16.518–00:24:17.484] 但是现在呢。
[00:24:18.022–00:24:26.412] 分流这个时间的东西太多了。所以艺术总体来讲是在往下走的。
[00:24:27.270–00:24:31.276] 从目前来说啊，目前这个现阶段的情况来说是在往下走。
[00:24:31.782–00:24:32.396] 因为。
[00:24:33.094–00:24:34.604] 大家的时间太少了。
[00:24:35.878–00:24:36.780] 时间太少了。
[00:24:37.286–00:24:38.860] 过去没有。
[00:24:39.366–00:24:42.924] 你这么多资讯的时候，那个农村你去看看。
[00:24:43.462–00:24:45.164] 那树底下南墙根。
[00:24:45.670–00:24:47.084] 那老娘们一坐一下午。
[00:24:47.814–00:24:54.156] 聊聊本村的事儿都够聊的对吧？都不需要知道更多，就聊本村的事儿都能聊一下午。
[00:24:54.982–00:24:59.500] 是吧那点语言表达就能把他们都满足了。因为时间太多了。
[00:25:00.262–00:25:06.316] 我们小时候的那种电视剧，我们小时候的这个这个什么西游记呀，什么渴望呀。
[00:25:07.110–00:25:10.316] 那个电视剧那个那个那个当时的那个收视率。
[00:25:10.982–00:25:13.868] 人触达率高的恐怖。
[00:25:14.790–00:25:17.292] 基本上每个人都看过不止一遍。
[00:25:17.798–00:25:22.668] 为啥呢？当然拍的不错啊，当然拍的很好啊，但是真有那么好吗？
[00:25:24.774–00:25:28.748] 并不见得比现在的优秀的戏好。其实啊。
[00:25:30.278–00:25:32.172] 只是当时真的没有别的选择。
[00:25:33.926–00:25:38.252] 我给大家举个例子啊，比如说那个我小时候超级迷恋一个。
[00:25:40.390–00:25:40.908] 电影。
[00:25:41.542–00:25:42.636] 就是那个。
[00:25:43.174–00:25:44.044] 倚天屠龙记。
[00:25:44.902–00:25:48.908] 倚天屠龙记啊，我小时候特别爱看李连杰演的那个是吧？
[00:25:50.726–00:25:54.188] 超级好看，小时候觉得那个片儿简直无敌了。
[00:25:56.390–00:26:02.156] 同学们肯能肯定也有很多人看过啊，也会觉得那个片子当年真的给我们带来很多美好的回忆。
[00:26:02.886–00:26:03.884] 你现在回去看一看。
