P051 二十五课-观影情绪节拍表25
[00:02:58.822–00:03:02.444] 主角是特纳，你是个好人，你想去救你。
[00:03:03.526–00:03:10.860] 呃，女神伊丽莎白嘛，但是呢你不认路啊，你出海去也不是你强项啊，你咋去呢？
[00:03:11.494–00:03:16.044] 这有个海盗是吧？不是个好东西。但是呢出海这件事情。
[00:03:16.678–00:03:17.612] 你又离不开他。
[00:03:18.278–00:03:26.732] 所以你带着一个坏人不得已，逼不得已带着一个坏人去做好事，这就是加勒比海盗的结构。
[00:03:28.262–00:03:44.812] 那你自然而然就能想象出来，那肯定会有很多的故事，他俩肯定会记个而而且各自有各自的招，各自有各自的目的，到哪里翻脸，到哪里再重新合力对付共同的对手，对吧？很明显就是就是。
[00:03:45.734–00:03:51.628] 就很干净很有力的一个结构。那么好的一个电影故事，其实结构就是这么简单。
[00:03:52.262–00:03:55.532] 你不觉得这个跟去年的那个恶人传一模一样吗？
[00:03:56.070–00:03:58.988] 韩国那个电影恶人传马东锡的。
[00:03:59.782–00:04:01.740] 一模一样，从结构角度啊。
[00:04:03.078–00:04:05.388] 再是说咱们课上讲过的阿凡达。
[00:04:05.990–00:04:07.596] 阿凡达不就是一个。
[00:04:08.390–00:04:09.228] 讲一个。
[00:04:11.142–00:04:29.484] 齐强的两面半就中间人嘛，他你到底是地球人还是外星人？你到底哪头的？就是一个中间人的故事，中间人的故事也非常非常多呀，哪吒什么的，我是人还是摸是吧？这个东西都很多的，结构呢差不多。
[00:04:30.214–00:04:35.884] 所以说这个东西啊是往往是我们第一个需要确定的。你这个结构到底有没有力量？
[00:04:36.358–00:04:39.308] 合不合理，有没有劲儿值不值得讲？
[00:04:39.814–00:04:40.716] 这是第一个。
[00:04:41.574–00:04:43.084] 然后元素是啥呢？
[00:04:43.942–00:04:46.252] 元素啊就是你。
[00:04:47.782–00:04:50.220] 这个剧本故事里面具体的那些。
[00:04:52.358–00:04:54.028] 写具体情节的时候。
[00:04:54.566–00:04:55.532] 你情节的。
[00:04:56.390–00:04:57.036] 真实感。
[00:04:57.766–00:05:02.348] 冲击力、想象力对吧？是看那个的。
[00:05:04.518–00:05:05.260] 比如说啊。
[00:05:07.462–00:05:08.588] 比如说像。
[00:05:09.798–00:05:10.508] 那种。
[00:05:11.302–00:05:30.732] 碟中谍和007之类的那种片子，你看那种片子就看啥，你肯定不看结构，或者说主要不是看结构。因为它结构你哎呀都就就它肯定会战胜坏人的，对吧？就就那个结构呢往往它没什么花了，你看元素，它又有什么新道具了。
[00:05:32.294–00:05:32.748] 对吧。
[00:05:33.286–00:05:44.812] 然后呢，他又用什么招来战胜那些坏蛋？那些坏蛋又给他制造了什么样的障碍，给我们的那个那个一son碟中谍里面的一son制造了什么样的障碍？
[00:05:46.246–00:05:50.060] 这医生到底这次要爬楼还是要钻地道？
[00:05:50.694–00:05:52.236] 还是要扒在飞机门上。
[00:05:52.774–00:05:54.860] 这些就是元素，就是你的想象力。
[00:05:55.846–00:05:57.612] 你具体的每一场戏。
[00:05:58.598–00:06:03.532] 视觉冲击冲击力，这就是元素。你这种片子你看这个就够了。
[00:06:04.134–00:06:11.756] 你就爽了，实际上实际上你就爽了，你就很开心了，对吧？所以说这是元素，往往也很重要的这个呢。
[00:06:12.326–00:06:14.412] 也是我们吃我们编剧。
[00:06:16.230–00:06:18.700] 基本功的是你的细活的。
[00:06:19.238–00:06:32.684] 你说我设计了一个很好的结构，很好的对抗，然后具体事儿你写不出来了，对吧？你说我写一个哎呀，胡八一去盗墓，我们肯定爱看呀，盗墓片谁不爱看，但具体幕里有些什么样的机关？
[00:06:33.478–00:06:40.972] 对吧有些什么样的那个那个个破解方式，胡八一用什么方式去破解这些具体的玩意儿，这就是元素。
[00:06:41.862–00:06:44.428] 这就是元素，每个片子对吧？
[00:06:44.934–00:06:45.804] 嗯。
[00:06:47.174–00:06:49.580] 你期待看到的元素不一样，但是呢。
[00:06:50.758–00:07:00.812] 少了肯定不行，你得满足他。当然了，我上节课也说过啊，我说结构完完全全是我们编剧的事儿。但像元素这类呀，它不一定就全是我们的。
[00:07:01.734–00:07:07.500] 呃，不一定全是我们的活了，还有很多视觉上的东西，特效上的东西，或者是。
[00:07:08.070–00:07:11.692] 传设上的东西对吧？都有演员表演上的东西。
[00:07:12.358–00:07:12.876] 都有。
[00:07:14.566–00:07:19.500] 这是第二个方面衡量一个作品是不是成功。然后第三个方面就是情感。
[00:07:20.422–00:07:25.452] 一个片子或者一个故事，有没有让你动情，那也是很重要的嘛。
[00:07:27.622–00:07:36.396] 你你你这这个你看一个故事也好，你看一个片儿也好，不动感情，那说明这个片儿这这也是不行的对吧？也是不行的。
[00:07:36.934–00:07:41.132] 大部分片子里面都是要动感情的。然后情感呢我们说。
[00:07:41.990–00:07:43.052] 基本上就是。
[00:07:45.670–00:07:46.732] 靠B故事。
[00:07:47.462–00:07:50.380] 对吧我们说B一故事是是是管情感的。
[00:07:51.206–00:07:56.908] 管情感，那就是看你的B故室设计的好不好，扎不扎实。
[00:07:57.478–00:07:59.532] 能不能让观众产生？
[00:08:00.102–00:08:01.708] 人类共同的情感。
[00:08:02.278–00:08:04.396] 对吧人类共同的情感。
[00:08:05.190–00:08:07.244] 然后最后一个呢是情绪。
[00:08:08.230–00:08:09.132] 情绪。
[00:08:11.974–00:08:12.684] 比如说。
[00:08:13.254–00:08:14.252] 你这个片子啊。
[00:08:15.494–00:08:21.580] 结构也不咋地，元素也一般，情感好像也没没那么整。但是呢你一直让观众很紧张啊。
[00:08:24.102–00:08:27.532] 对吧他虽然没有产生情感，但是又很有情绪啊，他很紧张啊。
[00:08:28.230–00:08:29.292] 那你这片子哎。
[00:08:29.798–00:08:35.084] 我也算你牛逼，或者你这个片子啊一直张光照片很酷。
[00:08:35.558–00:08:36.108] 是吧。
[00:08:37.094–00:08:42.188] 或者让观众害怕那恐怖片，恐怖片那种从头到尾吓人的那种也有。
[00:08:43.110–00:08:44.396] 你要是能下下来。
[00:08:45.446–00:08:46.156] 也可以。
[00:08:47.686–00:08:51.148] 当然了啊，这四个方面最好都做的。
[00:08:52.550–00:08:54.508] 呃，差不多最好都做好。
[00:08:56.102–00:09:07.884] 但是在实际操作中啊，我说啊一般一一个一个成品，如果有两样做的比较好，基本上也就合格了，基本上也就合格了。当然我们要追求追求都做好。
[00:09:09.222–00:09:09.900] 然后呢。
[00:09:10.406–00:09:26.156] 上节课讲完之后呢，很多同学对这个呢就比较感兴趣，觉得哎确实好像是这么去衡量一下一个剧本或者一个电影，挺有用的，也他们也会拿着去衡量自己的东西。然后有同学就想让我给大家讲一讲。
[00:09:26.662–00:09:35.276] 着重讲一讲情绪。因为他提问了这个东西，他说你看啊结果我们知道我们其实啊其实我们。
[00:09:36.358–00:09:43.276] 在课上绝大部分时间里面讲的知识都是关于结构的。
[00:09:44.422–00:09:49.196] 对吧大部分时间吧都是讲的是关于结构的元素呢。
[00:09:49.894–00:09:51.756] 我基本上就教不了你了。
[00:09:52.326–00:09:54.252] 需要靠你自己去积累。
[00:09:54.918–00:10:03.372] 需要靠你训练你的想象力，你的观察力，你的联想能力，你的类比能力，对吧？或者是你收集素材的能力。
[00:10:03.878–00:10:05.772] 你你整理素材库的能力。
[00:10:06.310–00:10:26.364] 这个呢主要靠你自己，我只能给你方法。然后情感呢其实就是B故事上的事情，大家也比较明确什么样的事情能激发情感。因为关于AB故事呢，我们讲的也不少了，关于情绪呢？哎，有同学就提出来了，说老师你可不可以怎么调动观众情绪。
[00:10:26.598–00:10:31.212] 怎么控制这个观影情绪，可不可以给我们一些方法和规范？
[00:10:31.878–00:10:38.156] 我觉得这个问题提的相当好，我们这节课就来着重说一下这个。
[00:10:38.822–00:10:39.660] 情绪。
[00:10:43.846–00:10:48.620] 咱们以后上课啊其实都应该这样，同学们多提出一些有质量的问题。
[00:10:49.286–00:10:59.404] 对吧你们啥不懂告诉我，我我我就及时给大家讲一讲，这非常好啊。因为提问题我们都是班级群里面的同学提的。
[00:10:59.910–00:11:01.388] 非常好非常好啊。
[00:11:02.950–00:11:08.812] 咱们现在有二十几个班，对吧？今年招了二十几个班，然后我就观察这些班里的同学。
[00:11:09.542–00:11:10.540] 我就发现啊。
[00:11:12.198–00:11:13.036] 嗯。
[00:11:13.958–00:11:21.516] 认真学习的同学啊，大约占一半吧，大约占一半儿。所以我我那天还开玩笑呢，我说我们的同学分两种。
[00:11:22.086–00:11:33.676] 一半是学习组的，就是认真的学编剧的。还有一半呢是气氛组的，就是天天在里边扯淡，天天搞气氛。
[00:11:34.214–00:11:59.932] 也可以对吧？因为他不一定每个同学都非要把这个写作要把编剧啊当做自己的职业嘛，当做一个爱好，当做一个兴趣，或者当做一个副业都可以啊，怎么学都可以，气氛组就气氛族。我知道你们喜欢扯淡也可以，天天问啊，老师这个呃这个片子怎么你怎么看？老师编剧能挣多少钱，一般问这种问题了，都是不好好学习的。
[00:12:00.102–00:12:02.444] 老还问这些问题。
[00:12:03.686–00:12:12.140] 但是学习组啊也不是说每个同学都都让我省心。我跟大家说啊，就是学习组的这类同学。
[00:12:12.806–00:12:14.956] 嗯，向我提问最多的。
[00:12:16.454–00:12:22.220] 问题其实不是关于知识的，是啥，你知道吗？
[00:12:25.062–00:12:35.244] 就是最多的一类问题啊是这么说的，一般是这么一个对话，就跟我说，老师，我是你的学生，我是什么什么什么情况，我非常喜欢您的课。
[00:12:35.750–00:12:49.548] 我太爱您的课了，您的课这个给我指明了方向。然后我说哎那很好，那就那就学吧，对吧？他说老师我天天在网上白嫖您的课，对吧？您的课也不收费。哎，我觉得特别不好意思，哎，我说没事没事。
[00:12:50.374–00:12:54.220] 学到知识就可以啊，他又说老师。
[00:12:54.758–00:12:58.828] 我能不能到您身边去学习，我就跟在您的身边跟您学习吧。
[00:12:59.334–00:13:02.380] 我要求特别低，管吃管住就可以了。
[00:13:05.286–00:13:12.076] 我哎想我就哎，我就不觉得不对，我说咱捋一捋啊，咱捋一捋这个事儿啊。
[00:13:14.790–00:13:16.268] 你白嫖我的课。
[00:13:17.798–00:13:19.468] 已经有点不好意思了。
[00:13:20.518–00:13:22.540] 你还想吃我呢。
[00:13:23.302–00:13:25.036] 你想吃我的。
[00:13:25.574–00:13:26.924] 什么情况？
[00:13:27.974–00:13:29.836] 而且关键问题我说了啊。
[00:13:30.342–00:13:32.396] 这是最多的一类问题。
[00:13:33.126–00:13:35.180] 就跟我说这句话的人是最多的。
[00:13:36.614–00:13:38.412] 我不知道你们是受了什么。
[00:13:40.934–00:13:44.396] 是郭德纲那儿的规矩干扰了你们吗？
[00:13:46.982–00:13:49.036] 我我不太了解这种情况。
[00:13:49.798–00:13:51.468] 回头问问郭老师，他那儿。
[00:13:52.486–00:14:07.916] 就是来一些人吃吗？对吧？都来吃，我吃不消呀，是不是同学们心情我可以理解啊，我明白你们的意思，心情我可以理解。其实主要是。
[00:14:09.350–00:14:18.732] 明白这份同学的意思啊，其实他们没有恶意啊，并不是说他们没有饭吃下来吃我的。其实我我理解想让我带他们入行嘛。
[00:14:19.814–00:14:21.932] 这种心情可以理解啊，因为。
[00:14:22.438–00:14:29.260] 你如果有这个影视梦，然后又在行内人的话，确实没抓没唠，找不到人帮你，确实没抓没落。
[00:14:29.766–00:14:39.628] 但是咱们课上已经无数次说过这个事儿了啊，包括直播的时候，我也说过这个事儿。呃，首先呢你得先好好学习，你如果有。
[00:14:40.294–00:14:42.380] 干这行的能力了。
[00:14:43.270–00:14:44.524] 学会本领了。
[00:14:45.318–00:14:48.300] 入行就不难了。因为。
[00:14:48.934–00:14:51.276] 才华和努力是很稀缺的。
[00:14:52.646–00:14:53.708] 很稀缺的。
[00:14:55.334–00:15:03.596] 就拿咱这个课来说，你也可以对吧？就好好学，然后好好考试。当然因为最近工作忙，考试好久没考了啊。
[00:15:04.102–00:15:24.092] 尽快组织吧，你通过学考试，然后呢进到实验班，实验班的话，我一看你差不多了，然后我就把你的简历帮你去去去去推销推销，或者你的剧本，我帮你去推销推销都可以，没什么问题，对吧？第二呢，你如果那个那个那个学的差不多了，你还可以去。
[00:15:24.262–00:15:34.636] 投简历找工作嘛，对吧？我不是说了嘛？你那些影视公司，你不一定看人家招编剧，你再去人家招策划，招助理，你就先去嘛。
[00:15:35.110–00:15:38.348] 去了之后，你只要进到这个圈了，人家一看哎呦。
[00:15:38.822–00:15:40.204] 这小子还能写。
[00:15:40.742–00:15:52.908] 那多好会倒会写，会剪，那就很那你就很快就上手了，没有人拦着你，真的，你只要能干，绝不拦着你，你能干活，人家干嘛要拦着你？
[00:15:53.478–00:15:56.460] 对不对？就像我说为什么我鼓励大家学编剧。
[00:15:57.702–00:16:11.948] 码字儿一个晚上8000字，熬着不睡觉，码字儿这个事儿啊没人跟你抢，就是你要真能写的话，他们不跟你抢，你放心吧，没人拦着你，好吧。
[00:16:12.550–00:16:14.572] 啊，接着说咱们课程啊。
[00:16:15.782–00:16:20.812] 嗯，讲一讲这个情绪，其实也就是观众的这个叫。
[00:16:25.414–00:16:27.052] 观影情绪对吧？
[00:16:27.558–00:16:37.004] 观影情绪这个东西咋讲嘞？也有办法，其实也是有一定的规律和规范的。这节课呢咱就试着跟大家。
[00:16:38.438–00:16:39.244] 剖析一下。
[00:16:39.846–00:16:40.524] 首先。
[00:16:41.414–00:16:43.948] 这节课的内容是我的观点。
[00:16:44.966–00:17:04.892] 第二，这节课的内容我们讲的是一般情况，大多数情况，所以供大家参考。好吧。首先研究一下啊，就是这个情绪啊，情绪跟情感啊就差一个字，但其实是不一样，同学们都能理解，对吧？情感啊更那个那个那个深一点。
[00:17:04.966–00:17:07.436] 对吧那种爱呀，恨呐那种。
[00:17:08.230–00:17:19.564] 情绪呢更更更更更更表面一点。咱这么说吧，情感不是B故事管的吗？情感是B故事上管的情绪呢就是A故事上管的。
[00:17:20.262–00:17:26.860] 表层的B股市内在的A股是表层的对吧？情绪呢是A故事上管的。
[00:17:27.526–00:17:37.356] 更直接的那些情绪上的刺激，就是A故事上。那么既然是A故事上，那我们还是拉一下这个我们的。
[00:17:37.958–00:17:40.780] 轴对吧？我们每次都是。
[00:17:41.510–00:17:45.580] 每次都是轴上键嘛，对吧？我们的私目式对吧？
[00:17:47.590–00:17:49.068] 这个呃。
[00:17:50.502–00:17:51.532] 几层。
[00:17:54.310–00:17:56.332] 转合私募式。
[00:18:01.254–00:18:06.348] 那其实这就是我们的A故事嘛，我们的A故事上的一个脉络。
[00:18:10.246–00:18:18.220] 我们就试着在这个轴上剖析一下，在整个这个影片过程中，我们的观众的观影情绪。
[00:18:19.078–00:18:31.340] 一般状态是一个什么状态，我们怎么去，我们知道他这里需要是什么状态，我们就不就知道应该怎么去引导他了吗？对吧？首先起点这个位置。
[00:18:32.326–00:18:33.356] 我们说。
[00:18:34.214–00:18:34.860] 注意力。
[00:18:36.230–00:18:40.204] 就在这个位置呀，我们着重要搞的是观众的。
[00:18:41.798–00:18:42.444] 注意力。
[00:18:43.494–00:18:44.012] 注意力。
[00:18:45.638–00:18:51.404] 那注意律具体是啥情绪呢？这个就不一定了，它是个综合情绪。
[00:18:52.390–00:18:55.276] 所以这里呢就没有具体的情绪的规定了。
[00:18:56.678–00:19:02.412] 只要是强烈的直接的刺激吸引大家的注意力。
[00:19:03.910–00:19:04.652] 就可以了。
[00:19:05.542–00:19:06.316] 就可以了。
[00:19:07.206–00:19:07.980] 比如说。
[00:19:18.054–00:19:20.364] 最常用的啊是让你兴奋。
[00:19:21.222–00:19:22.508] 兴奋是一种情绪啊。
[00:19:24.454–00:19:25.388] 五戏开场。
[00:19:26.438–00:19:27.116] 咣咣打。
[00:19:27.910–00:19:31.276] 枪战或者武侠在天上飞，在在天上砍。
[00:19:32.102–00:19:34.540] 对打你看啊很多电影开场。
[00:19:35.174–00:19:37.356] 都是这么开的，开场是在打。
[00:19:38.054–00:19:48.204] 你他妈还没看清谁跟谁打呢，对吧？其实也不知道谁跟谁打，也不知道哪个是正义，哪个是邪恶。但是他开场才打几分钟，为啥呢？他就是要你的注意力。
[00:19:48.902–00:19:50.924] 所以说情绪的第一第一步。
[00:19:51.622–00:19:52.524] 就是给你一个。
[00:19:53.158–00:19:54.956] 强烈的直接的刺激。
[00:19:55.942–00:19:58.828] 以兴奋对吧？以兴奋为例。
[00:20:01.254–00:20:02.764] 他老吸引你注意力的。
[00:20:04.198–00:20:08.780] 目的。所以第一个情绪我们暂定为兴奋。
[00:20:09.414–00:20:09.900] 是吧。
[00:20:13.254–00:20:17.324] 当然也可以试其他的啊，让你害怕也可以啊，对吧？
[00:20:17.830–00:20:19.660] 让你那个。
[00:20:20.390–00:20:34.540] 还有很多戏开场，喜欢那个美女，很多网大开场第一场戏，美女露着大腿是吧？很妖娆，虽然也不知道他是干嘛的，搞不好他跟这个故事也没关系，但是也有很多，对吧？
[00:20:35.430–00:20:44.908] 我们公司出的很多房大爷就是这样，但是严格说这个属于兴奋是吧？跟看武的武戏是一个道理。所以说第一个情绪是兴奋。
[00:20:45.734–00:20:50.156] 然后吸引了你的注意力之后呢，第二步要干的是啥呢？
[00:20:50.982–00:20:52.204] 是让你入洗。
[00:20:54.438–00:21:00.780] 就一个故事来说啊，把你注意力拿下了之后，第二步要做的是入戏。那入戏这里。
[00:21:02.150–00:21:05.388] 入戏不是一个情绪啊，那入戏这里。
[00:21:06.470–00:21:07.596] 的情绪是什么呢？
[00:21:09.798–00:21:10.476] 讲过的。
[00:21:12.006–00:21:12.780] 三种。
[00:21:14.150–00:21:14.796] 连。
[00:21:16.838–00:21:17.356] 哎。
[00:21:19.110–00:21:19.788] 气。
[00:21:21.894–00:21:35.372] 我们写故事的时候，从人物的角度，这里要干什么来着？让观众跟入戏观众跟你共情，你不是要可怜可信可爱吗？可以去怜，可以去爱，可以去信吗？那从观众观影的角度，他这里。
[00:21:37.030–00:21:39.916] 给到你的情绪，不就是连你爱你信你吗？
[00:21:42.086–00:21:44.364] 是不是不就是连你爱你信你吗？
[00:21:44.902–00:21:46.860] 所以说第二步情绪是这个。
[00:21:47.878–00:21:49.772] 这是第二步的情绪。然后。
[00:21:50.374–00:21:51.436] 入完戏之后。
[00:21:52.006–00:21:57.740] 第三步马上要给到的情绪就到这个第一幕衔接这里了，基本上到这里了。
[00:21:58.438–00:22:01.996] 我们说在这个位置，我们要做的事情是什么来着？
[00:22:02.630–00:22:04.908] 是让观众开始产生预期。
[00:22:07.110–00:22:16.428] 对吧在这个位置啊，你需要开始让观众产生预期了。因为这里你不就上路了吗？这个位置不是上路的吗？背上小包离家出走的那个位置吗？
[00:22:16.934–00:22:24.108] 就开始让观众产生预期，在预期这里一般会有什么样的情绪呢？那期呀首先得有期待吧。
[00:22:26.854–00:22:27.468] 期待吧。
[00:22:28.998–00:22:31.180] 对吧或者是憧憬。
[00:22:31.750–00:22:34.412] 跟期待一个意思，但是比较难写。
[00:22:35.334–00:22:42.028] 那还有期待往往是往好的方面期待。那有时候而有时候不计不也会是那个担忧嘛。
[00:22:43.302–00:22:43.724] 有。
[00:22:44.358–00:22:46.284] 优势树心款哦对。
[00:22:46.790–00:22:48.236] 但忧嘛没有票。
[00:22:48.902–00:22:56.780] 担忧嘛，就是说期待担忧其实是一个意思，只不过是一个往上一个往下，对吧？所以你看骑的这部分。
[00:22:57.382–00:22:59.948] 观众的观影情绪兴奋。
[00:23:00.806–00:23:05.452] 联系爱，然后期待或担忧是一个意思。
[00:23:06.278–00:23:07.276] 然后接下来呢。
[00:23:08.998–00:23:09.676] 接下来呢。
[00:23:11.654–00:23:13.612] 接下来接的是欢乐呀。
[00:23:15.046–00:23:15.820] 欢乐呀。
[00:23:16.294–00:23:17.516] 你忘了这儿是什么了吗？
[00:23:18.278–00:23:21.868] 这是游戏啊，游戏时光上路先游戏。
[00:23:22.662–00:23:23.468] 你得欢乐呀。
[00:23:23.942–00:23:28.332] 对不对？也就是游戏这里对吧？带来的是欢乐。
[00:23:28.934–00:23:33.772] 然后接下来呢，我们说接下来在这个部部分啊还会有。
[00:23:35.046–00:23:36.140] 这个这个这个。
[00:23:37.190–00:23:37.996] 伙伴啊。
[00:23:39.398–00:23:40.524] 爱情啊。
[00:23:41.958–00:23:42.668] 这个。
[00:23:44.742–00:23:45.836] 失恋呀。
[00:23:46.502–00:23:47.820] 新道具呀。
[00:23:49.542–00:23:50.028] 对不对？
[00:23:50.950–00:23:51.436] 对不对？
[00:23:54.950–00:23:56.044] 那这里还会有什么？
[00:23:56.934–00:23:57.804] 还会有一个。
[00:23:58.854–00:23:59.628] 期待的。
[00:24:00.742–00:24:01.196] 放大。
[00:24:03.974–00:24:04.844] 期待的放大。
[00:24:05.574–00:24:07.980] 然后或者是担忧的放大一样。
[00:24:08.518–00:24:10.220] 期待放大，担忧放大。
[00:24:12.006–00:24:22.572] 我们说那我这儿已经做了期待担忧了。老师，你在这儿让我做另外一种程序，叫期待放大，我不会做呀。我跟你说，期待放大导致什么？一般保持思考。
[00:24:25.798–00:24:26.796] 我就思考。
[00:24:28.998–00:24:37.420] 就是观众开始思考这个角色的未来和他做这件事做的这些决定的对错问题。
[00:24:38.790–00:24:43.596] 这就是期待或者担忧变大导致的事情。
[00:24:44.518–00:24:51.532] 他对你担忧大劲了，他开始思考他要不要跟你一伙了，他开始思考你小子。
[00:24:52.006–00:24:52.684] 啊。
[00:24:53.382–00:24:54.444] 对不对呀？你啊。
[00:24:55.622–00:24:56.236] 是吧。
[00:24:56.998–00:24:59.468] 就是思考这里要让观众思考。
[00:25:00.038–00:25:08.684] 好吧，然后我们说在这个位置，我们说这是终点位置啊，终点位置啊，对不对？在这里我们说是。
[00:25:09.766–00:25:11.052] 第一次小满足。
[00:25:12.710–00:25:13.772] 因为它是终点嘛。
[00:25:14.438–00:25:16.012] 虚假的胜利会失败啊。
[00:25:16.550–00:25:20.812] 那也是剧情的第一次小满足呀，那啥叫满足呢？
[00:25:21.830–00:25:22.700] 啥叫满足呢？
[00:25:24.166–00:25:28.556] 啥都啥情绪能得得到一定的小满足呢？比如说高兴。
[00:25:32.038–00:25:45.772] 得到了一个满意的结果嘛？你以为满意的结果啊，如果是假设利的话，那不就是你以为观众以为的满意结果吗？暂时的满意结果，这就是其实就是高兴一下，或者是惊讶一下。
[00:25:46.854–00:25:54.316] 因为我们说你呈现给观众的东西啊，是他想要的，但是不是以他想要的方式给他的。
[00:25:55.526–00:25:58.700] 那么这里有可能会有个小惊讶。
[00:25:59.814–00:26:01.484] 小惊讶，对吧？
[00:26:02.470–00:26:06.988] 然后如果是一次虚假胜利呢，这里说不定还是个悲剧呢。
[00:26:07.878–00:26:08.684] 还有悲伤呢？
[00:26:10.150–00:26:16.588] 对吧所以说这里呢就是一个小满足，会有高兴、惊讶、悲伤这类的情绪。
[00:26:17.638–00:26:18.412] 这类情绪。
[00:26:19.142–00:26:23.820] 然后我们说进到转这里，马上记录刚才这个小曼足。
[00:26:24.742–00:26:25.388] 是假的。
[00:26:26.630–00:26:37.228] 是假的，事情没有这么简单，我们要重新调整方向，这个不对的没搞定。那这里呢转这里一上来会接一个生气。
[00:26:38.886–00:26:39.916] 会接一个升旗。
[00:26:41.574–00:26:54.924] 我们这里说的所有的情绪是观众的情绪啊，不是角色的情绪，大家一定搞清楚啊，不是角色在有点生气了啊，是观众生气了，观众有点生自己的气或者生角色的气，这个是都有的。观众会觉得。
[00:26:57.158–00:26:58.860] 错了，咱搞错了。
[00:26:59.334–00:27:01.900] 对吧不是这样，所以说观众在这里。
[00:27:03.142–00:27:08.940] 会有生气的情绪，往往在这个位置会有生气的情绪。然后接下来我们说在转这里啊。
[00:27:09.734–00:27:14.220] 这个这个这个我们要把主角打入谷底。很显然。
[00:27:17.670–00:27:18.444] 我们得难过。
[00:27:20.198–00:27:29.644] 悲伤难过呀，真正的难过，你你主角灵魂黑夜了呀，男二可能死了在这里，是不是男二在这死了，你不难过吗？
[00:27:30.342–00:27:32.620] K三走过了65分钟了。
[00:27:33.958–00:27:34.924] 已经死了。
[00:27:37.382–00:27:38.092] 经死了。
[00:27:39.590–00:27:41.260] 一般男尔就是出场65分钟。
[00:27:42.054–00:27:48.492] 我们说男二如果跑下来开，就跟男一在一块儿一起出场的话，那他就在65分钟挂。
[00:27:49.318–00:28:11.100] 他如果在上路上再遇到的话，他一般就能坚持到最后。如果他从第二幕进，那一般能坚持到最后。否则你看啊我们主角自己经历现状和激励之后，踏上征途，征途遇到伙伴那里，其实就是30分钟的里啊，低故室那里开端那里，如果遇到的是伙伴，30分钟的里再遇到伙伴，你让而60分钟就死。
