P057 三十一课-单元剧的创作理念31
[00:06:53.030–00:07:01.132] 但是你回忆一下，你离开家去上大学的那一天，或者你离开家去大城市打拼的那一天，他咋跟你说的？
[00:07:02.182–00:07:07.468] 他一定跟你说，出门在外要长点眼啊，对吧？不能轻易相信别人。
[00:07:07.974–00:07:10.508] 是吧关键时刻要尖一点儿，别吃了亏。
[00:07:11.142–00:07:22.540] 这是你正常的爸妈跟你说的话，没有一个爸妈把女儿送出去的时候，在外面一定要做个好人啊，一定要相信别人，一定要乐于助人，吃点亏不要紧。
[00:07:23.878–00:07:24.364] 呵呵。
[00:07:24.870–00:07:27.212] 你爸妈会教你做好人吗？不会的。
[00:07:27.686–00:07:28.076] 好吧。
[00:07:29.094–00:07:29.644] 所以。
[00:07:30.246–00:07:31.660] 你爸妈都不教你做好人。
[00:07:32.294–00:07:33.804] 查老师也不会教你们做好。
[00:07:34.598–00:07:40.300] 当然我也不会教你们做坏人，跟我没有关系，因为我也不是一那么会做人的人。
[00:07:41.510–00:07:44.108] 我就教知识，好吧，所以以后不要聊这个。
[00:07:44.710–00:07:46.156] 看得我头皮发麻。
[00:07:46.854–00:07:53.260] 我操这不误人子弟了嘛，对吧？教知识还有自信，教做人，这个不可以啊，以后别聊这个事儿了啊。
[00:07:54.406–00:07:57.580] 咱赶紧上课，免得又让大家觉得在教作着。
[00:07:59.270–00:08:00.332] 单元句啊。
[00:08:01.830–00:08:08.268] 咱们是新黑板新教室啊，大家应该看出来了。这个这个这个因为咱有教室了啊，而且现场有学生。
[00:08:09.414–00:08:13.804] 大家鼓个掌，让大家然后大听一听。好好，ok ok。
[00:08:14.534–00:08:20.652] 六七个人鼓出了千军万马的感觉呢，你们可以，差不多就行了。
[00:08:22.342–00:08:23.052] 单元据啊。
[00:08:23.814–00:08:24.908] 刚才说的八字。
[00:08:26.022–00:08:26.892] 遵循原理。
[00:08:27.590–00:08:28.236] 扬长避短。
[00:08:28.870–00:08:34.252] 那我们就先研究一下啥叫单元句，对吧？研究一下这个概。
[00:08:37.222–00:08:39.116] 跟以前一样，概念这个东西啊。
[00:08:39.750–00:08:42.924] 听明白就可以了，不需要有绝对的这个这个这个。
[00:08:43.494–00:08:44.492] 绝对的范本。
[00:08:45.126–00:08:48.812] 单元句就是啥呢？单元句就是一集一个故事那种剧。
[00:08:49.798–00:08:52.556] 简单理解啊，就是一集一个故事那种剧。
[00:08:54.886–00:08:55.372] 独立。
[00:08:57.222–00:09:00.812] 因为啥呢？因为电影啊往往是单机独立的。
[00:09:01.542–00:09:03.020] G往往不是单据独立。
[00:09:03.686–00:09:04.204] 用。
[00:09:05.318–00:09:08.044] 课本上的那种词儿的话叫。
[00:09:10.022–00:09:11.980] 电影是闭合型剧情。
[00:09:12.614–00:09:15.020] 啊电视剧叫非闭合情剧情。
[00:09:15.558–00:09:17.004] 这是课本上的词。
[00:09:17.638–00:09:24.364] 往往不太好理解，对吧？因为绕闭合不闭合，你还得想他妈为什么叫闭合，你就想他这么就独立的。
[00:09:25.094–00:09:25.580] 你知道吧？
[00:09:26.086–00:09:27.436] 电影的故事是独立的。
[00:09:27.910–00:09:28.716] 因为他得。
[00:09:30.278–00:09:37.644] 怎么起了头，怎么结了尾，他得对观众负责，他得完事儿，对吧？让你满足感有头有尾完事儿了。
[00:09:38.470–00:09:39.980] 对吧这一下完事了。
[00:09:40.934–00:09:43.596] 电视剧呢它一集一集是连续的。
[00:09:44.070–00:09:46.988] 所以呢它是非闭合型的，它是开放型的。
[00:09:47.878–00:09:48.428] 然后嘞。
[00:09:48.934–00:09:49.580] 是连续剧。
[00:09:50.630–00:09:51.596] 单元句呢。
[00:09:52.646–00:09:53.132] 就是。
[00:09:54.886–00:09:56.172] 单集故事独立。
[00:09:57.798–00:09:59.948] 但是呢你说哎他为什么又叫聚的？
[00:10:01.414–00:10:12.620] 大部分单元句啊，它还是有东西要连续的，对不对？还是有东西要连续的。我们之前课场好像也提过它场景连续，人物连续，对吧？人物关系连续，人物成长连续。
[00:10:13.510–00:10:15.084] 那他还是有一些东西的延续的。
[00:10:15.750–00:10:17.932] 所以我们可以理解为它是一个。
[00:10:18.598–00:10:22.604] 半闭合型的或者叫半开放型的一个剧情结构吧。
[00:10:23.814–00:10:32.428] 单集的剧情是独立的，但实际上还是有东西在连续的，对吧？剧情肯定是要独立了，否则就不成为单元。
[00:10:33.606–00:10:35.660] 这就是单元句的一个定义。
[00:10:36.198–00:10:36.780] 一个定义。
[00:10:39.974–00:10:42.444] 咱也不考好吧，你理解了就行了。
[00:10:45.862–00:10:47.596] 那单元剧是咋来的呢？
[00:10:50.342–00:10:52.588] 单元句啊其实就是。
[00:10:54.342–00:10:55.148] 电视剧。
[00:10:55.910–00:11:11.500] 蓬勃发展的那几年，我们说电视剧早期啊大家一定要注意啊，早期啊早期电视剧它是就是爆米花剧嘛，或者叫肥皂剧，它是电视广告的马仔，对吧？催眠大家看电视广告了。
[00:11:12.166–00:11:18.924] 所以呢那时候这个这个电视剧刚出来的时候，一个东西刚出来的时候肯定蓬勃发展。在蓬勃发展的过程中呢。
[00:11:19.622–00:11:21.356] 就是大家找到了一种。
[00:11:23.718–00:11:30.796] 新的电视剧形式就是单元剧，它有个什么样的优势呢？它就是可复制性强。
[00:11:31.558–00:11:34.060] 适应那个需要批量生产的年代。
[00:11:36.422–00:11:42.508] 所以呢这个门类应运而生了，在蓬勃发展，在电视机蓬勃发展的那几年。
[00:11:42.982–00:11:43.884] 单元剧出来了。
[00:11:44.358–00:11:52.268] 当然他也不能说是完全无根之水，就是那几年出来的。我也说过，早年的中国古代很多早年的小说。
[00:11:53.030–00:11:54.284] 其实就是张辉体。
[00:11:54.854–00:11:57.164] 我们说影视剧是拥抱了文学的。
[00:11:57.670–00:12:01.996] 先进技术嘛，对吧？影像技术拥抱了文学，变成了影视剧。
[00:12:02.470–00:12:03.948] 那你去拥抱张回体。
[00:12:04.486–00:12:09.612] 那你显然就搞出来就是单元句嘛，对不对？济公传它不就是单元句吗？
[00:12:10.182–00:12:14.092] 这个这个这个西游记九九八十一难，它不就是单元剧嘛，对吧？
[00:12:16.358–00:12:18.220] 所以说这个单元句啊。
[00:12:18.918–00:12:21.452] 它产生是有根据，有土壤。
[00:12:22.438–00:12:24.716] 然后呢，我们说那这个东西。
[00:12:25.510–00:12:27.340] 他这几年发展是什么样的呢？
[00:12:28.070–00:12:29.516] 他这几年的发展啊。
[00:12:30.374–00:12:32.076] 目前在这个。
[00:12:32.614–00:12:34.380] 主流的平台上。
[00:12:35.622–00:12:38.700] 单元句基本上固定为三个门类了。
[00:12:39.846–00:12:41.676] 基本上形成了三个门类。
[00:12:43.558–00:12:46.540] 就还存在三个门类的单元句，比较主流。
[00:12:47.142–00:12:47.692] 第一种。
[00:12:48.166–00:12:48.812] 儿童类。
[00:12:50.214–00:12:52.076] 以动画片为主啊，以动画片为主。
[00:12:52.614–00:12:53.484] 儿童动画片吧。
[00:12:54.214–00:12:54.764] 儿童动画。
[00:12:57.094–00:12:59.372] 第二类呢，我们说叫。
[00:12:59.878–00:13:00.748] 单演喜剧。
[00:13:03.622–00:13:04.492] 单元喜剧。
[00:13:05.606–00:13:10.924] 就是以搞笑为目标的那些剧，单元喜剧单元喜剧里面。
[00:13:11.558–00:13:15.532] 包含一个子集，一个重要的力量，叫情景喜剧。
[00:13:18.566–00:13:19.308] 的全年喜剧。
[00:13:20.998–00:13:22.188] 然后第三个门类。
[00:13:24.358–00:13:26.860] 我们统一的称它为任务类吧。
[00:13:29.190–00:13:33.740] 任务类单言句或者叫探案类。
[00:13:35.846–00:13:36.396] 暗暗嘞。
[00:13:39.430–00:13:41.260] 因为它主要的形式是卡。
[00:13:42.502–00:13:46.508] 我们好理解啊，探案类全部是单元句，一级破一个案。
[00:13:46.982–00:13:49.580] 一帮警察或者一个派出所，一个警察署。
[00:13:50.086–00:13:50.988] 对吧怎么。
[00:13:51.590–00:14:00.556] 每每剧出一个N多个系列，什么芝加哥警署、迈休斯敦警署、迈阿密警署对吧？那个那个夏威夷警署。
[00:14:01.286–00:14:06.380] 就是以探案为主。但其实你可以理解为它是任务类，因为不光探案。
[00:14:07.238–00:14:08.460] 还有那么解决。
[00:14:08.934–00:14:11.468] 民间小事，比如说呃律师的。
[00:14:12.038–00:14:13.036] 对吧律蒸类。
[00:14:13.766–00:14:18.060] 还有抓鬼的吗？对不对？康斯坦丁他么一级抓一个鬼。
[00:14:18.598–00:14:20.428] 所以我们可以理解为它叫任务类。
[00:14:21.190–00:14:26.316] 任务类就是你明确的知道这个剧他是一级要干一个某种类型的任务。
[00:14:27.334–00:14:28.588] 我们这么去理解啊。
[00:14:29.318–00:14:32.204] 但这名字都是瞎起的，你理解就行了，好吧。
[00:14:32.902–00:14:34.508] 基本上现在固定为这三个门类。
[00:14:35.334–00:14:36.108] 儿童动画类。
[00:14:36.774–00:14:39.628] 单元喜剧以及探案类任务类。
[00:14:40.774–00:14:42.924] 儿童动画类啊全部都是单元句。
[00:14:43.686–00:14:45.292] 全部都是单元句，为什么？
[00:14:46.406–00:14:47.020] 待会再说。
[00:14:47.654–00:14:48.364] 我们接着说。
[00:14:49.254–00:14:54.892] 我们说我们了解了一个东西的原理以后啊，我们基本上就可以理出它的特点。
[00:14:55.430–00:14:57.996] 或者叫优缺点，因为我们要扬长避短呀。
[00:14:58.662–00:14:59.404] 扬长避短呀。
[00:14:59.942–00:15:00.684] 我们说来。
[00:15:01.222–00:15:01.964] 既然有。
[00:15:02.502–00:15:09.132] 这有电视剧，那有电影。我们说还要有一个独立的门类，叫单元剧的话，那单元句的优点是什么？
[00:15:14.726–00:15:15.180] 优点。
[00:15:17.222–00:15:18.732] 显而易见可以想到的啊。
[00:15:19.462–00:15:19.884] 第一。
[00:15:22.438–00:15:25.996] 就不写了吧，要写好多字。第一，单级比较完整啊。
[00:15:27.014–00:15:31.948] 单辑比较完整，是不是啊？就是你单辑看一个东西有头有尾的。
[00:15:32.550–00:15:36.716] 看着哎呀得到了内心的满足。那一集你看到东西了呀。
[00:15:37.670–00:15:46.092] 不像看连续剧，有时候这一集没讲什么事儿，对吧？而且终于要有个结果的时候，哎，请看下集。
[00:15:47.430–00:15:49.964] 有时候你心里就不爽这件事情对吧？
[00:15:50.534–00:15:51.468] 心里不爽这件事。
[00:15:52.102–00:15:55.180] 所以他你看他的第一个优点就是单级完整。
[00:15:55.878–00:15:57.868] 然后第二个优点是啥呢？
[00:15:58.566–00:16:00.972] 第二个优点啊是故事种类丰富。
[00:16:02.886–00:16:08.652] 因为你每一集都可以起一个新故事，所以你的故事种类是比较丰富的。
[00:16:09.222–00:16:10.796] 你可以某一集去。
[00:16:11.974–00:16:17.164] 去搞个鬼屋吧，某一集去他妈冒险，来个金羊毛。
[00:16:17.798–00:16:19.180] 某一集爱情。
[00:16:19.974–00:16:22.252] 对不对？某一级愚者成功。
[00:16:23.654–00:16:24.044] 都可以。
[00:16:24.678–00:16:30.156] 都可以故事种类比较丰富，束缚比较少。从创作的角度来讲，束缚比较少。
[00:16:31.878–00:16:33.804] 然后第三个优点是什么呢？
[00:16:35.142–00:16:35.916] 灵活调整。
[00:16:36.998–00:16:39.276] 因为单元句啊往往就是。
[00:16:40.294–00:16:44.172] 级数比较多，对吧？这起步不整个七八十级啊。
[00:16:44.646–00:16:48.332] 对吧干个三年四年的，一年来个二三十集。
[00:16:49.062–00:16:52.908] 啥叫灵活调整呢？就一看观众不喜欢看哪种类型。
[00:16:54.054–00:16:55.020] 不喜欢哪个演员。
[00:16:56.358–00:16:57.068] 就给他弄掉。
[00:16:57.958–00:16:59.244] 啊哈，换了他。
[00:17:00.102–00:17:01.292] 对对换了他。
[00:17:01.990–00:17:03.980] 这个这个写新角色，对吧？
[00:17:04.454–00:17:04.876] 就是。
[00:17:05.702–00:17:06.316] 可调整。
[00:17:06.790–00:17:10.284] 灵活可调整的空间大，因为每一集都单独来嘛。
[00:17:10.790–00:17:14.572] 但是这个呢其实啊更适用于海外的创作环境。
[00:17:15.110–00:17:16.076] 咱们国内呢。
[00:17:18.118–00:17:20.044] 就这个优点啊可以单独给大家。
[00:17:20.646–00:17:23.852] 摊开来讲一讲啊，就是关于这个灵活调整这个事啊。
[00:17:24.326–00:17:32.044] 咱们国内的调整啊只能以季为单位或者以年为单位。因为咱们的审查是这样啊，就是你全部拍完之后。
[00:17:32.838–00:17:37.004] 剪好了送去审，你才能知道你这个玩意儿吧，它有没有。
[00:17:38.054–00:17:40.620] 出生证有没有资格去上？
[00:17:41.254–00:17:43.628] 所以呢你不可能说哎。
[00:17:44.422–00:17:49.548] 拍着拍着发现哎这个剧情不好，我们改一改，那个是在咱们国内是不太现实的。
[00:17:50.022–00:17:50.732] 不太现实的。
[00:17:51.398–00:17:54.156] 咱们的审查一般一般来说分三次。
[00:17:54.790–00:17:56.844] 第一次呢是你先有这个。
[00:17:57.734–00:17:58.668] 项目的。
[00:17:59.494–00:18:06.540] 想法的时候，你先写1个1500字的梗概，加1个300字的思想内涵。
[00:18:07.174–00:18:19.148] 1500字的梗概呢基本上就是什么人发生了一个什么事儿，经历了一个什么样的过程，最后呢得到了一个什么样的结果，一般是这么一个简单梗概，不管是电影还是电视剧啊，都得写。
[00:18:19.654–00:18:31.052] 然后呢，300字思想内涵呢就是这个这个我们的主角是一个什么样的人，在这个过程中他领会到了什么？然后通过发生的这些事情呢，我们又向观众传达了什么。
[00:18:31.910–00:18:32.844] 弘扬了什么样的？
[00:18:33.510–00:18:37.292] 正确的价值就这是个思想内涵，这是第一次。
[00:18:37.862–00:18:38.572] 给这么个玩意儿。
[00:18:39.110–00:18:45.292] 第二次呢一般来说啊稍微重点一点的项目，主流一点的项目呢要省一次全本。
[00:18:46.022–00:18:52.940] 就是你全部剧本写完了以后，还得让人再看一遍，看看里面有没有不合规的地方。然后呢，人家再告诉你一次。
[00:18:54.598–00:19:07.788] 然后再下一次就是全部拍完了之后，把文学文本的东西变成了画面的东西以后，成了成品了，还需要再送去人家再看一遍，看看里面有没有不妥的地方。
[00:19:08.710–00:19:13.356] 经过一般是经过这么三次，然后拿到出生证才能跟观众见面。
[00:19:14.502–00:19:17.004] 所以呢这个灵活调整这个事儿啊。
[00:19:17.478–00:19:27.084] 在这几年啊，在国内的这个这个单元剧当中啊，或者在国内所有的剧当中啊是实现不了的。因为你不管你是怎么整，你还是要全部拍完。
[00:19:28.870–00:19:29.292] 就送下。
[00:19:30.214–00:19:31.628] 但是前些年是可以的。
[00:19:32.710–00:19:33.676] 前些年是可以的。
[00:19:35.814–00:19:36.940] 比如说我爱我家。
[00:19:37.670–00:19:55.724] 啊，，你们记得那个剧吧，对吧？那个剧呢就是一个标准的情景喜剧。单元喜剧里面的一种情景喜剧。啥叫情景喜剧啊？情景喜剧它就是搭一个舞台，现场有观众，然后嘞像一个话剧舞台一样，现场有几个机位，然后有一个导播边拍。
[00:19:56.198–00:20:01.772] 编那啥，然后就就直接就就剪出来了，相当于看话剧。
[00:20:03.462–00:20:08.012] 这么说吧，相当于我今天这个情况，我正在上课，然后直接又露出来了。
[00:20:08.550–00:20:19.276] 这这就是一场情喜剧，对吧？这是一场情情喜剧。早年咱们国内也有这种形式，也有这种形式，它其实就是标准的情景喜剧。
[00:20:19.878–00:20:26.188] 在那几年为什么可以的？因为那那几年啊这个这个东西他送审不是按影视剧送。
[00:20:27.398–00:20:28.588] 他是按电视栏目送的。
[00:20:29.318–00:20:31.020] 所以当时是电视台自审。
[00:20:32.102–00:20:34.124] 相当于他就是说这叫栏目剧。
[00:20:35.494–00:20:36.044] 栏目剧。
[00:20:36.998–00:20:37.548] 就可以。
[00:20:38.662–00:20:46.892] 不去送审，省掉那个环节。这样的话他就可以哎周播或者周双播，然后随时换演员，随时调整剧情。
[00:20:47.366–00:20:49.132] 这是那个年代特有的一个。
[00:20:49.990–00:20:56.332] 短暂的一个福利吧，就那么几年是在什么什么之后结束了呢？
[00:20:58.758–00:21:01.228] 我不知道同学们里面有没有四川的啊。
[00:21:02.086–00:21:06.604] 四川电视史上曾经出了一个很牛逼的片子。
[00:21:08.038–00:21:12.332] 在我年轻的时候，在我小时候吧，那个片子非常火啊，收视率相当高。
[00:21:12.934–00:21:13.836] 叫红蜘蛛。
[00:21:15.174–00:21:18.956] 后来出什么续集，叫什么红问号，反正红什么什么。
[00:21:19.686–00:21:22.444] 他专门讲什么啊？专门讲女性犯罪。
[00:21:24.134–00:21:25.516] 专门讲女性犯罪。
[00:21:25.990–00:21:34.476] 就是一个风尘女子，因为结交了一个什么什么人，被人骗了多少多少钱，最后向那个男人痛下杀手，切下了他的什么什么。
[00:21:35.398–00:21:39.980] 这种剧情它就很强烈，观众看着就很过瘾，明白我意思吧？
[00:21:40.614–00:21:44.684] 这种谁不爱看啊，每一篇都是活脱脱的故事会啊。
[00:21:45.222–00:21:47.596] 故事会级别的尺度啊。
[00:21:49.414–00:21:49.996] 然后呢。
[00:21:51.558–00:21:57.004] 他用一种伪纪录片的拍摄方式找一些群众演员，找一些完全不会演戏的人去。
[00:21:57.478–00:21:58.348] 还原这些事儿。
[00:21:59.078–00:22:00.524] 观众看的相当的诡。
[00:22:01.094–00:22:04.332] 然后呢，因为你很难在卫视上看到这么大尺度的东西。
[00:22:04.966–00:22:07.436] 那他是怎么过审的呢？他就走栏目剧。
[00:22:08.422–00:22:17.228] 他不说自己是剧，他说自己是栏目，他加一个什么包装呢？就每一集开始之前有一个人拿着个话筒走进画面。
[00:22:18.566–00:22:19.244] 观众朋友们。
[00:22:19.846–00:22:27.884] 在四川的达州发生了一件耸人亲瘟的故事。有一个女孩竟然写下了她男朋友的。
[00:22:28.582–00:22:30.892] 接下来我们就看看到底发生了什么。
[00:22:31.366–00:22:35.436] 然后就开始进戏了，就加这么几十秒的一个东西，然后就骗。
[00:22:36.358–00:22:40.268] 也不叫骗广电嘛，就反正就人家自称自己是个栏目。
[00:22:41.318–00:22:42.028] 不是个剧。
[00:22:43.238–00:22:46.572] 然后就因为非常火，所以每个电视台争相模仿。
[00:22:47.942–00:22:48.748] 觉得我操。
[00:22:49.478–00:22:50.316] 这么玩啊。
[00:22:51.014–00:22:53.516] 加一个主持人在前面介绍一下，对吧？
[00:22:54.022–00:22:59.884] 各位亲爱的观众朋友，我们来看一下这一集曾小贤跟胡亦菲到底发生了什么。
[00:23:00.518–00:23:03.276] 你就不用审了，你就不用送审了吗？
[00:23:04.038–00:23:05.580] 然后各电视台争相模仿。
[00:23:06.310–00:23:25.324] 然后就把这个因为这个东西吧，我跟你说，这个这就像什么啊，一个地方，如果有有黄金，就你自己知道啊，你天天去摸一点是挺开心的。但如果全村的人都知道了，村长肯定马上下令不许抠了，这个地方的金子不许不许挖了，对吧？所以这个。
[00:23:26.214–00:23:26.956] 栏目剧就。
[00:23:27.878–00:23:28.524] 就没得了。
[00:23:29.030–00:23:29.484] 就没了。
[00:23:30.182–00:23:36.204] 所以现在的这个所有的剧啊，刚才是岔出去了啊，就是讲中国曾经有过情景喜剧。
[00:23:36.678–00:23:43.244] 好吧，但现在没了，后面你们在看的那些看起来长得很像情景喜剧的那些东西。
[00:23:44.070–00:23:45.900] 其实都不是倾京戏剧。
[00:23:46.502–00:23:48.908] 他不是边拍边播的，他也不是一个。
[00:23:49.670–00:23:51.500] 他的话话剧舞台、旋转舞。
[00:23:52.006–00:23:55.692] 不是，就是正常的摄影棚搞成那种形式。
[00:23:56.198–00:23:56.620] 去拍。
[00:23:58.598–00:24:00.364] 甚至有的还加上罐头笑声。
[00:24:01.414–00:24:03.756] 因为原本情景喜剧的那个笑声。
[00:24:04.326–00:24:07.308] 实际上就是现场观众发出来的声音。
[00:24:08.326–00:24:09.420] 因为他是直播嘛。
[00:24:10.182–00:24:13.932] 但是后面中国拍的那些类情景喜剧。
