P025 十二课-小蝌蚪找妈妈12.1
[00:01:45.350–00:01:49.452] 就两个人情感上彼此需要都属于爱情啊，都属于情感类。
[00:01:51.046–00:01:52.460] 麻烦家伙类的片子。
[00:01:53.126–00:01:53.740] 青爷。
[00:01:55.142–00:02:03.212] 往往装一个钟立奇，再装一个大叔，你懂我意思吗？可瘫了，然后再拍一个麻烦家伙累的故事。
[00:02:04.486–00:02:08.268] 然后他也会你说变签仪式里面装不了爱情吗？
[00:02:08.870–00:02:13.516] 娱热成功里面装不了爱情吗？被制度化里面装不了爱情吗？啊，都能装。
[00:02:14.214–00:02:16.972] 都可以装，对吧？都可以装。
[00:02:19.110–00:02:21.388] 怎么去理解这个。
[00:02:25.574–00:02:27.180] 我再举我再说一遍。
[00:02:29.446–00:02:31.820] 怎么帮助大家理解这10个类型啊？
[00:02:32.326–00:02:34.828] 金羊毛类我们去想一下来。
[00:02:35.622–00:02:37.196] 你们说这种类型的片子最多。
[00:02:37.830–00:02:38.380] 徐峥的。
[00:02:38.886–00:02:42.732] 还是这种基本上全是这种嘛，新花路放太久。
[00:02:43.430–00:02:46.892] 对吧不管是他拍的，还是他演的吧，他就喜欢搞这一套。
[00:02:47.686–00:02:50.380] 然后我们说任务类的十一罗汉这种。
[00:02:51.334–00:02:57.932] 强点啥，偷点啥，要去办一个什么事儿，就周密的计划，商量要去办一个事儿的，也都属于这类型。
[00:02:58.438–00:03:15.532] 还有啥呢？比如说我说的绿野仙踪西游记这种取经类的对吧？还有公路片、阳光小美女公路片的巅峰之作呀，阳阳光小美女大家一定要去看一下，好吧，这每个教材里面都会举例的牛逼的片子。
[00:03:18.246–00:03:21.644] 理解一下爱情片，我们说单独成片的已经很少了。
[00:03:22.150–00:03:23.020] 已经很少了。
[00:03:24.070–00:03:25.228] 肿瘤菌可能算。
[00:03:27.110–00:03:27.628] 那个那个。
[00:03:30.534–00:03:32.716] 我不太记得剧情了啊，应该是爱情片。
[00:03:33.318–00:03:35.084] 然后那个办个喜剧算。
[00:03:39.942–00:03:42.764] 泰坦尼克号的那个杰克和rose。
[00:03:43.334–00:03:47.820] 呃，那一段大部分吧大部分吧可以归在这里面。
[00:03:48.486–00:03:49.932] 超级英雄类的这就多了。
[00:03:50.854–00:03:56.652] 超级英雄片不是单指所有的那种漫威片啊或者DC片那种。
[00:03:57.190–00:04:02.860] 那种类型的超级英雄，有的时候一个很很棒的警察，或者是一个。
[00:04:05.094–00:04:18.028] 呃，那个那个武士，一个战士，他也算这种就强男一，明白这个意思吧？我经常说的强男一的片子，它也是这个类型的片子，能力使呃命门对手使命。
[00:04:18.854–00:04:20.300] 他也是这种类型的片子。
[00:04:22.502–00:04:26.028] 然后鬼屋片其实就是我们理解的灾难片。
[00:04:29.382–00:04:34.028] 明白这个意思吗？就是关起门来出事了，这种类型其实是特别多的。
[00:04:35.142–00:04:38.892] 国外特别多的，国内很少，国内为啥很少啊？因为这个力量。
[00:04:39.526–00:04:44.012] 呃搞不搞不太好，对吧？其实大白鲨类的算。
[00:04:46.278–00:04:46.732] 对吧。
[00:04:47.334–00:04:49.324] 咱们中国弄过巨齿鲨。
[00:04:52.294–00:04:54.700] 鲨鱼嘛，杰斯赛森和李冰冰那个。
[00:04:55.622–00:04:58.348] 就说这种超自然力量咱们审查是能过的。
[00:04:58.854–00:05:04.204] 大鲨鱼这种是可以过的，但是他又吃特效。所以说这类片子咱们确实少。
[00:05:04.966–00:05:08.332] 然后侦探片子我们说不一定是侦探。
[00:05:09.638–00:05:14.508] 理解吧？不一定是真的是个警察，也有可能是个记者。
[00:05:15.334–00:05:24.396] 或者就是个平民，反正他调查探秘，它其实是个探秘，然后有一个秘，一个探秘就要做出自我牺牲。这种片子。
[00:05:25.350–00:05:27.084] 很多的啊行街探什么的。
[00:05:28.102–00:05:29.388] 呃，那个那个。
[00:05:29.958–00:05:31.308] 福尔摩斯。
[00:05:33.094–00:05:37.740] 如愿以偿，我们说一个愿望，一个咒语，一个教训。我们说沈腾那一类。
[00:05:38.438–00:05:39.468] 都属于这个类型的。
[00:05:40.006–00:05:41.772] 穿越类的也都是这个类型。
[00:05:43.462–00:05:46.572] 金凯丽也爱玩这个类型，如愿以偿来的。
[00:05:47.334–00:05:48.940] 然后麻烦家伙我们说星爷的。
[00:05:49.766–00:05:54.860] 青爷那一卦的都属于麻烦家伙，就一个家伙遇麻烦了，小人物出大事。
[00:05:55.462–00:06:00.076] 记录记住我说的口诀，他这个难记啊，记住我说的口诀，小人物出大事。
[00:06:00.646–00:06:01.548] 便签仪式。
[00:06:03.782–00:06:05.772] 这种呢就是很现实的一种题材。
[00:06:06.694–00:06:08.716] 就是一个常规的现实问题。
[00:06:09.798–00:06:12.876] 你用了一个过激的方式，一个不正确的方式。
[00:06:13.350–00:06:14.028] 去解决。
[00:06:16.646–00:06:18.188] 面对一个，比如说婚姻问题。
[00:06:18.854–00:06:19.660] 一个婚姻问题。
[00:06:20.614–00:06:21.484] 很常规的问题。
[00:06:21.958–00:06:23.052] 但是你选择了。
[00:06:23.686–00:06:24.268] 逃避。
[00:06:24.870–00:06:26.604] 走了，李亚初走了。
[00:06:27.942–00:06:29.420] 就是边疆仪式。
[00:06:29.958–00:06:31.820] 错误的处理方式，最后回归回来。
[00:06:32.742–00:06:33.740] 嗯。
[00:06:34.630–00:06:35.820] 上节课举例子了。
[00:06:36.390–00:06:36.940] 那叫什么？
[00:06:37.478–00:06:38.668] 呃，录取通知书。
[00:06:39.558–00:06:43.852] 触不可及对吧？可触不可及，可以去看一下啊，挺好看的。
[00:06:44.518–00:06:45.548] 而后娱热成功。
[00:06:46.502–00:06:48.492] 一个愚者面对一个伟业。
[00:06:50.086–00:06:50.636] 最后。
[00:06:51.718–00:06:52.524] 呃。
[00:06:52.998–00:06:53.932] 伪装的变化。
[00:06:55.750–00:06:57.100] 光说这个也挺拗口。
[00:06:59.430–00:07:01.228] 阿甘正传律正俏家人。
[00:07:01.830–00:07:03.596] 怎么去理解这种片子呢？就是。
[00:07:05.126–00:07:06.124] 一个小人物。
[00:07:07.398–00:07:08.268] 进到一个。
[00:07:09.830–00:07:10.988] 很高大上的环境。
[00:07:11.622–00:07:12.204] 这么说吧。
[00:07:12.678–00:07:13.068] 对吧。
[00:07:15.462–00:07:20.684] 他也有点像小人物遇大事，但是小人物出的这个大事儿是负面的。
[00:07:21.254–00:07:24.812] 这里呢他遇到的这个是个尾业，是个好事儿。
[00:07:26.662–00:07:30.060] 拔苗助长，你知道吗？是个好事儿，是摊上好事儿了。
[00:07:30.854–00:07:31.596] 是这么说的。
[00:07:33.798–00:07:35.436] 然后如愿以偿嘞。
[00:07:36.486–00:07:42.284] 跟这个的区别是，他上他让这个事儿看似是好事儿，但最后证明是个教训。
[00:07:43.462–00:07:45.772] 对吧我给你很多多少亿。
[00:07:46.438–00:07:59.372] 让你多少天内花完，看似是个好事儿，实际是个教训，我让你当一天上帝，你看似你牛逼，很厉害，其实是个教训，明白这个意思吗？这这这是微小的区别。最后这个被制度化。
[00:08:00.934–00:08:04.108] 着重讲的是个人跟群体之间的抗争和选择。
[00:08:05.286–00:08:06.444] 就是有一个群体。
[00:08:07.622–00:08:11.244] 也说不上对错，但是人家呢都一直在做自己的事儿。
[00:08:12.230–00:08:13.388] 就你较劲。
[00:08:14.438–00:08:16.140] 就你觉得我可不可以？
[00:08:16.774–00:08:19.404] 有另外一种方式和方法。
[00:08:20.134–00:08:22.028] 对吧飞跃风人怨也好。
[00:08:22.630–00:08:23.788] 还是教父也好。
[00:08:24.390–00:08:29.804] 这个群体没有所谓对错，它就是一种现象。你可以说他错了。
[00:08:31.174–00:08:32.684] 你可以说你错了。
[00:08:34.502–00:08:37.484] 反正是一种个人跟群体之间的抗争和选择。
[00:08:39.622–00:08:41.260] 这5个很明确。
[00:08:41.862–00:08:43.564] 这5个有一点。
[00:08:45.702–00:08:46.924] 有一点难理解。
[00:08:48.326–00:08:51.628] 讲的我都有点头晕了，更别说你们了。
[00:08:52.262–00:08:54.476] 是吧信息量确实大。
[00:08:55.270–00:09:00.268] 然后呢，这么讲也很枯燥，他们每个人有自己的定义，每个人有自己的元素。
[00:09:05.606–00:09:08.812] 我也有点缺氧，我试着给你们捋一捋，好不好？
[00:09:09.862–00:09:11.756] 我们用例子来捋吧。
[00:09:12.358–00:09:18.348] 我们不要去举别人的案例了，说什么人家大白鲨是这种片子，人家铁达尼是那种片子。
[00:09:19.206–00:09:20.108] 看怎么捋啊？
[00:09:23.782–00:09:24.236] 来。
[00:09:27.142–00:09:32.620] 我们说金羊毛类的片子，我们一个一个捋好吧，我们再拿出一节课时间来，再拿出。
[00:09:34.758–00:09:41.292] 一堂课的时间再来捋一下这10个故事类型，这10个故事类型你如果真的理解透了。
[00:09:41.830–00:09:44.588] 你能够把你的故事合进去。
[00:09:45.126–00:09:45.868] 找到。
[00:09:46.406–00:09:47.116] 一个。
[00:09:47.974–00:09:52.908] 一个位置，一个坑安进去之后，然后你再对照。
[00:09:53.638–00:09:56.908] 这个这个老师的要求，斯耐德的要求。
[00:09:57.702–00:10:01.100] 你能够迅速的把你的片子扶正。
[00:10:01.862–00:10:02.956] 至少不会出大事。
[00:10:03.462–00:10:08.044] 就像我说的，你不至于瘸一条腿，瘸两条腿，那就完了那就完了。
[00:10:10.790–00:10:14.700] 你可以知道你的你的这种类型的片子的7寸在哪里。
[00:10:15.206–00:10:26.700] 要劲儿的地方在哪？就像我说爱情片，你这个沟你不深，你就别扯了。你如果没有一个好勾，你就别拍爱情片了，是这个意思，明白吗？就那个七寸哪。
[00:10:27.174–00:10:28.012] 得很寸。
[00:10:28.998–00:10:29.900] 这拿的很准。
[00:10:32.902–00:10:36.300] 所以说咱再花一节课，我再给大家举一遍。
[00:10:36.838–00:10:38.028] 咱们自己的例子吧。
[00:10:38.566–00:10:39.084] 好不好？
[00:10:42.662–00:10:43.564] 琢磨琢磨啊。
[00:10:46.598–00:10:48.364] 找个简单故事往里套啊。
[00:10:48.998–00:10:50.604] 我们说金羊毛类的片子。
[00:10:56.902–00:11:00.268] 我之前讲八要素的时候啊，我给大家说过。
[00:11:12.326–00:11:13.388] 小蝌蚪找妈妈。
[00:11:17.510–00:11:18.892] 小蝌蚪找妈妈。
[00:11:19.494–00:11:21.260] 这个故事是个好故事啊。
[00:11:21.894–00:11:23.436] 就这个故事他一目了然。
[00:11:24.902–00:11:29.548] 开宗明义主角是谁？小蝌蚪，他要干什么？他要找妈妈。
[00:11:30.118–00:11:31.276] 特别明确。
[00:11:31.974–00:11:35.660] 特别明确，而且那个小蝌蚪找妈妈那个故事。
[00:11:37.990–00:11:38.988] 它就是个金腰毛。
[00:11:40.646–00:11:41.676] 他就是个金羊毛。
[00:11:42.470–00:11:49.996] 太明确了，他寻宝啊，还找妈妈呀，他路径太明确了，对吧？路径太明确了，一路上找呀。
[00:11:50.662–00:11:51.308] 然后呢。
[00:11:52.230–00:11:54.796] 我们回想一下它的原文好不好？
[00:11:55.430–00:12:03.212] 小蝌蚪找妈妈，他的寓言故事是这样的，一群小蝌蚪在河里玩很开心。然后呢，河岸上呢有几只小鸡。
[00:12:04.198–00:12:07.532] 小鸡在玩，然后小蝌蚪就跟小鸡一块玩。
[00:12:08.134–00:12:10.700] 对吧虽然隔着水面儿。
[00:12:11.462–00:12:18.636] 但是呢一起玩很开心，然后玩了一会儿呢，天色不早了，老母鸡来了，老母鸡来了，小鸡就回家了。
[00:12:19.302–00:12:28.108] 然后小蝌蚪就说再玩一会儿啊，小鸡小鸡就说，那我妈喊我了，我要回家了。然后小蝌蚪就看看妈妈。
[00:12:29.574–00:12:31.180] 我们为什么没有妈妈呀？
[00:12:31.974–00:12:32.460] 是吧。
[00:12:33.062–00:12:34.412] 我们为什么没有妈妈呀？
[00:12:35.622–00:12:41.100] 他他他他又不是有个团队嘛？一群小蝌蚪，然后呢，就七嘴八舌说，那我去找吧。
[00:12:41.702–00:12:43.532] 我们也要妈妈就找妈妈。
[00:12:44.006–00:12:47.020] 来跟小鸡玩，这个这这是个什么事儿？
[00:12:48.838–00:12:50.284] 这是个激励事件。
[00:12:50.790–00:12:58.316] 鸡嘛？那不是个鸡利事件吗？这给激着了呀，对吧？让鸡给急着了呀，哎呀就你有妈妈呀，我也去找。
[00:12:58.886–00:13:00.652] 然后呢，就就开始找。
[00:13:01.574–00:13:03.660] 一路上找一路上找。
[00:13:04.358–00:13:12.652] 呃，去找那个呃呃，好像反正是找了鳗鱼，找了什么王八，反正找各种。
[00:13:13.318–00:13:18.860] 找到，然后说妈妈妈妈，你是我妈妈妈人家说不是不是不是是吧？有的还很凶，要吃他们。
[00:13:19.526–00:13:21.804] 完了一路艰难险阻吧，最后。
[00:13:22.534–00:13:27.468] 找到了啊亲妈那个那个大青妈对吧？
[00:13:28.582–00:13:29.868] 这是一个典型的。
[00:13:30.982–00:13:32.492] 金羊毛类型的故事。
[00:13:33.926–00:13:37.676] 我们说我们把小蝌蚪找妈妈这个故事。
[00:13:38.310–00:13:39.532] 他现在是个预言。
[00:13:40.166–00:13:42.604] 这个小童话，他构不成电影的。
[00:13:44.262–00:13:47.404] 他构不成电影了，它只是一个金羊毛类型的故事。
[00:13:48.134–00:13:51.948] 我们说我们如果把它写成金羊毛类型的电影，他现在缺什么？
[00:13:56.454–00:13:57.964] 我们这么写啊。
[00:13:59.590–00:14:00.556] 小蝌蚪。
[00:14:02.950–00:14:08.140] 是主角没有问题。假设是金刚毛啊，小蝌蚪是主角是没有问题的。
[00:14:13.062–00:14:15.628] 小蝌蚪上路找妈妈的动机。
[00:14:16.486–00:14:16.908] 不够。
[00:14:20.006–00:14:24.588] 是不够的。就作为一个电影啊，小蝌蚪找找妈妈。
[00:14:25.766–00:14:27.532] 可以作为他的动作。
[00:14:28.294–00:14:36.908] 但是不会是他的终极目标。如果是我写小蝌蚪找妈妈这个命题作文要写成金羊猫类型。
[00:14:39.046–00:14:41.548] 我们可以把妈妈更概念化一点。
[00:14:47.142–00:14:48.108] 他不是找妈妈。
[00:14:48.934–00:14:50.892] 他是找自己的身世。
[00:14:56.358–00:14:58.412] 我们说假设是金羊毛类型啊。
[00:14:59.302–00:15:01.548] 小蝌蚪寻找自己的身世。
[00:15:03.558–00:15:05.676] 一只小蝌蚪就一只。
[00:15:06.150–00:15:06.796] 就一只。
[00:15:07.430–00:15:08.492] 一只小蝌蚪。
[00:15:09.286–00:15:10.380] 在池塘里游。
[00:15:10.950–00:15:11.404] 油。
[00:15:12.742–00:15:13.420] 然后呢。
[00:15:14.566–00:15:26.572] 还可以有小鸡儿在那吃米，河里呢有有有有有有什么呃虾虎鱼，有小龙虾，还有一只河蟹，对吧？反正大家都在那玩。
[00:15:30.758–00:15:33.292] 小蝌蚪跟这些人一块玩，然后。
[00:15:35.878–00:15:37.292] 这些人就问。
[00:15:38.886–00:15:40.076] 你是个什么东西？
[00:15:40.742–00:15:41.548] 你是个傻？
[00:15:42.182–00:15:44.044] 是吧你到底是个啥？
[00:15:45.766–00:15:47.916] 小蝌蚪不知道自己的身世。
[00:15:48.710–00:15:54.604] 而且其他的小鱼、小虾、小螃蟹都有自己的伙伴，都有自己的家庭。
[00:15:55.526–00:15:56.940] 然后这个小蝌蚪。
[00:15:57.510–00:16:00.876] 一个小点点，小豆点儿，它自己在这个池塘里。
[00:16:02.342–00:16:03.564] 他等于是。
[00:16:04.294–00:16:05.900] 没有绅士。
[00:16:09.094–00:16:10.028] 明白这个意思吧。
[00:16:11.654–00:16:13.452] 然后呢，他看到别人都有妈妈。
[00:16:14.886–00:16:16.396] 他不知道自己是个什么。
[00:16:17.766–00:16:20.428] 他想跟鱼一块玩，然后鱼跟他说。
[00:16:21.094–00:16:36.140] 你游的没有我们快，我们不跟你玩，对吧？然后他就去跟瞎一块玩。瞎说哦，你没有虚子，我们不跟你一块玩，然后他就跟我那个那个那个螃蟹一块玩，螃蟹说我有腿，你没有。
[00:16:36.998–00:16:40.460] 然后等于是把小蝌蚪的身世。
[00:16:41.094–00:16:43.884] 成为了他的第一个want最重要的want。
[00:16:44.454–00:16:46.252] 然后呢，他决定去找他妈妈。
[00:16:47.174–00:16:53.324] 你看你这个路径就对了，就是说他其实是想想要寻找自己的身世。
[00:16:58.918–00:16:59.756] 这个宝啊。
[00:17:00.966–00:17:03.244] 这个奖励实际上是他的生死。
[00:17:04.614–00:17:06.988] 是他的身死。然后呢。
[00:17:07.494–00:17:07.948] 他的。
[00:17:08.422–00:17:10.220] 他的动作是找妈妈。
[00:17:10.950–00:17:15.980] 他认为我只要找到我妈，我去问他一下，我到底是个啥。
[00:17:16.518–00:17:20.428] 我是个鱼，还是个虾，还是个蟹。
[00:17:20.934–00:17:22.540] 哪怕是个王八也行啊。
[00:17:23.142–00:17:23.628] 对吧。
[00:17:25.222–00:17:26.220] 他就要去找。
[00:17:26.822–00:17:32.204] 等于找妈妈是个动作，哎，这个这样写这个金羊毛类的电影就出来了。
[00:17:32.838–00:17:40.044] 小蝌蚪因为自己的身世之谜，可能受到了一些歧视、冷落，或者是孤独寂寞冷。
[00:17:40.774–00:17:45.004] 踏上了征程，然后给他搞一个团队，搞一个团队。那。
[00:17:48.390–00:17:53.100] 搞一个团队，那么我们说这个团队一般来说是需要是是。
[00:17:54.054–00:17:54.828] 是他。
[00:17:57.030–00:17:59.340] 是与它相反或者互补的类型吗？
[00:18:00.422–00:18:01.964] 对吧你看啊。
[00:18:02.630–00:18:05.036] 小蝌蚪是一个缺少家庭的。
[00:18:06.278–00:18:06.796] 对不对？
[00:18:09.894–00:18:14.636] 那他的伙伴他现在要离开这个池塘，顺流而上。
[00:18:15.302–00:18:20.524] 到处去找妈妈，等于他要踏上冒险的征途嘛。那他的伙伴应该是一个。
[00:18:22.854–00:18:24.684] 家庭圆满。
[00:18:25.958–00:18:32.332] 父母慈爱，但是呢这小子叛逆呀，他觉得我妈什么事都管我，我要自由。
[00:18:33.862–00:18:46.220] 就是惯的，你知道吗？这个小子得是个惯的，也就是说他拥有小蝌蚪梦寐以求呃的的的东西，但是不知道珍惜。就是他的团队，你可以搞一个这样的配角。
[00:18:47.814–00:18:49.004] 搞一个王宝强。
[00:18:50.054–00:18:50.956] 你懂我意思吧？
[00:18:52.166–00:18:52.844] 就是。
[00:18:53.414–00:18:58.284] 小蝌蚪缺缺什么，他有什么嘛？小蝌蚪缺家庭，他就有家庭。
[00:18:58.918–00:19:02.956] 等于是一个被溺溺爱的惯坏了的一只。
[00:19:04.326–00:19:05.004] 王八。
[00:19:06.918–00:19:08.812] 对吧可以是只王八嘛。
[00:19:10.374–00:19:11.916] 就是小蝌蚪。
[00:19:16.006–00:19:16.908] 和一只王八。
[00:19:18.246–00:19:25.356] 他俩作为一个团队，结伴上路，寻找他是小蝌蚪的身世，动作是找妈妈。
[00:19:26.214–00:19:29.964] 那么他们一路上肯定是经历的艰难险阻。
[00:19:30.534–00:19:37.388] 遇到了一些有人想吃他们，遇到有人想骗他们，对吧？还遇到了发洪水。
[00:19:37.926–00:19:58.332] 还遇到了这一段路很难走，要穿过一段高速公路啊，河断了呀，要穿过一段高速。我为什么给他把大量选的王八没选没选一个呃那个那个虾虎鱼或者是小鲤鱼什么的，就是他要解决陆地那一段啊，我这这都是有设计的，你懂我意思吧？
[00:19:58.406–00:20:04.652] 公路片你得是有设计的，他俩为啥互补啊？经历一段没有水的时候，那王八要驮着它呀。
[00:20:05.510–00:20:07.116] 对吧王往要驮着他的呀。
[00:20:09.382–00:20:13.324] 所以说你看蝌蚪跟王八这一对儿呃，这个这个好兄弟。
[00:20:13.862–00:20:16.620] 踏上了寻找蝌蚪绅士的这个道路。
[00:20:18.278–00:20:21.132] 这种片子的路径一般是什么个路径呢？就是。
[00:20:22.374–00:20:25.740] 你肯定最后找到的不是你你要的东西。
[00:20:27.110–00:20:31.020] 明白这个意思吗？他一路上寻找他妈。
[00:20:32.390–00:20:36.588] 寻找他妈是动作，他的欲望是知道自己的身世。
[00:20:37.062–00:20:42.604] 我说最后要绕过动作实现欲望，就他根本没有找到他妈。
[00:20:43.622–00:20:49.196] 但是他长途跋涉，天天的找，天天的打听。
[00:20:50.214–00:20:52.300] 等到有一天，突然一照镜子。
[00:20:54.822–00:20:56.812] 发现自己长出了绿色的花纹。
[00:20:57.542–00:20:58.924] 尾巴也越来越小。
[00:20:59.430–00:21:02.028] 长出了后腿，长出了4条腿。
[00:21:03.078–00:21:03.564] 哦。
[00:21:04.230–00:21:05.868] 原来我是个青蛙呀。
[00:21:06.982–00:21:07.884] 明白这个意思吗？
[00:21:09.798–00:21:15.436] 他对自己的身世也不再有怀疑了，而且他对自己的身世的怀疑是有层次的。
[00:21:16.902–00:21:27.308] 他不是简单想知道自己的身世，是因为他在那个池塘的时候，那些人都不跟他玩，认为他没有价值，明白这个意思吗？最后一定要升高到价值这个层面。
[00:21:27.974–00:21:33.548] 小蝌蚪在一个池塘里面受尽冷落跟歧视，人家不跟他玩。
[00:21:34.150–00:21:40.652] 因为不知道你是个什么东西，也不知道你会干什么。他最后发现了自己一路上。
[00:21:41.542–00:21:42.572] 他发现了自己。
[00:21:43.238–00:21:44.332] 可以除害虫。
[00:21:45.158–00:21:45.516] 对吧？
[00:21:46.022–00:21:47.660] 可以帮助人。
[00:21:48.262–00:21:59.660] 可以这这个游泳，可以在陆地上走，开始是王八驮着他呀。后来我跟你讲，必然有一场戏王八翻盖了。
[00:22:00.614–00:22:20.540] 王八都不行了，就这段路太干旱了，你知道吗？这段路太长一段时间干涸没有水，王八都干的不行了。然后王八开始拖着他驮着他呀。王八王八相当于那个权力的游戏里面那个hold那个那个名字叫什么？反正驮着那个公子的那个。
[00:22:21.126–00:22:30.988] 他天天驮着他呀，说这段地方没有水，你坚持住，我驮着你，最后王八自己渴渴死渴的晕过去在那个。
[00:22:31.718–00:22:33.612] 干巴巴的河床里。
[00:22:34.854–00:22:36.748] 那这时候小蝌蚪。
[00:22:37.926–00:22:39.148] 突然意识到。
[00:22:39.782–00:22:43.788] 我天哪，我出来四条很嫩的。
[00:22:44.358–00:22:45.580] 小手小腿。
[00:22:46.630–00:22:53.228] 对吧虽然他很奇怪，我这我到底是个什么东西，越来越更怀疑自己的身世了。但是这时候自己有手有脚。
[00:22:53.830–00:22:55.308] 他反过来驮着王八。
[00:22:56.934–00:23:08.908] 对吧拽着他驮着他鼓励他或者去他驮不动，他可以到别的地方去找水灌一口水，回来给王妈喝，灌一口水回回来给王妈喝。因为他现在。
[00:23:09.478–00:23:13.068] 有手有脚了，虽然全部磨出血，很嫩。
[00:23:14.342–00:23:15.884] 但是他成长了。
[00:23:17.062–00:23:19.372] 明白这个意思吧？我有什么用？
[00:23:19.910–00:23:22.892] 我这个小蝌蚪我有什么用，我给你们看看我有什么用。
[00:23:24.262–00:23:31.084] 我是谁已经不重要了，他上路的时候是想知道我是谁，我是个什么东西，我到底有什么用？
[00:23:31.654–00:23:33.772] 但是最后他可以没有找到他妈妈。
[00:23:34.950–00:23:41.932] 当然你可以全部经历完这一切以后，突然发现远处一个绿色的池塘，有一群蛙叫。
[00:23:42.758–00:23:45.228] 他可以找到自己的团队，但我说过，结果不重要。
[00:23:45.926–00:23:46.956] 结果赠送就可以了。
[00:23:47.718–00:23:50.092] 但是更重要的是，他在这段路程中。
[00:23:51.814–00:23:53.900] 小蝌蚪意识到。
[00:23:56.006–00:24:02.380] 我是个蝌蚪也好，我是个鱼也好，是个虾也好，是个王八也好，都不重要。我就是我。
[00:24:03.558–00:24:03.948] 对吧。
[00:24:04.614–00:24:05.580] 我就是我。
[00:24:06.982–00:24:09.772] 我可以帮助别人，我可以帮助自己。
[00:24:10.886–00:24:15.948] 我不需要别人来定义我的身世，明白这个意思吗？我甚至不需要我妈来定义我。
[00:24:17.254–00:24:19.916] 所以他跟王八的这段旅程。
[00:24:20.806–00:24:22.156] 他的成长就是。
[00:24:23.718–00:24:24.620] 我他妈就是我。
[00:24:25.094–00:24:27.276] 我的奖励就是我知道我是谁了。
[00:24:27.878–00:24:35.340] 我门轻，我现在O我OK的，我可以做，我可以没问题。然后王八呢，王八也要成长呀。
[00:24:36.262–00:24:37.836] 王八要意识到。
[00:24:39.174–00:24:40.012] 家庭的温暖。
[00:24:41.510–00:24:43.404] 因为他是背叛家庭出来的。
[00:24:44.358–00:24:45.292] 他要意识到。
[00:24:46.310–00:24:47.404] 他断几个哥哥。
[00:24:47.878–00:24:50.988] 就先出壳的那几个哥哥肯定得到的宠爱。
[00:24:51.494–00:24:53.164] 多嘛，他会意识到那。
[00:24:54.822–00:24:58.700] 哥哥就是哥哥，父母就是父母，亲情愿打不断。
[00:24:59.270–00:25:01.132] 可以在某一场戏的时候。
[00:25:01.702–00:25:21.628] 他们他们俩走投无路的时候，对吧？蝌蚪跟小王八走走投无路的时候，回头一看，我操，远处有五六个盖儿，五六个圆黑色的圆饼都往这边捅是是王八他哥哥王八的几个哥哥天天欺负他的那几个哥哥和他爸爸妈妈赶过来了。
[00:25:21.830–00:25:24.332] 对吧来来救他们一把。
[00:25:25.190–00:25:34.956] 所以说你看如果是一个金羊毛类型的小蝌蚪找妈妈，那就是一个不知道自己的身世的池塘里面的野蝌蚪。
[00:25:36.230–00:25:40.204] 别人都叫他点点，对吧？因为你不知道你是个什么玩意儿。
[00:25:41.062–00:25:44.012] 开始还以为你是个养屎呢，后来发现会动。
[00:25:44.742–00:25:48.908] 然后觉得自己受尽屈辱又黑，对吧？人家借他黑袋。
[00:25:49.414–00:25:50.892] 觉得自己受尽屈辱。
[00:25:52.486–00:25:57.164] 然后想要寻找自己的绅世，然后寻找绅士的动作就是我要找到我的妈妈。
