P033 十四课-场景与对白14.2
[00:10:54.790–00:10:55.980] 我每天去上学。
[00:10:57.894–00:10:59.852] 要经过村西头。
[00:11:01.734–00:11:02.508] 那条小路。
[00:11:05.158–00:11:06.476] 村西头那家人家。
[00:11:08.838–00:11:09.740] 养了只大狗。
[00:11:11.238–00:11:12.076] 非常凶恶。
[00:11:14.310–00:11:15.180] 而且没有酸。
[00:11:17.542–00:11:18.764] 我每天从那里走。
[00:11:21.062–00:11:21.868] 都非常害怕。
[00:11:23.334–00:11:24.844] 他每次都会冲出来咬我。
[00:11:25.862–00:11:28.076] 我都拼尽全力逃逃跑。
[00:11:31.750–00:11:33.708] 有时候我晚上做噩梦都是那个狗。
[00:11:34.406–00:11:35.756] 扑过来咬我的情景。
[00:11:37.894–00:11:41.388] 导致我也不敢去上学，开始验学，都不想去上学。
[00:11:43.494–00:11:44.300] 这件事情。
[00:11:46.086–00:11:48.428] 我跟我爸爸说了，我爸爸去找。
[00:11:49.030–00:11:50.284] 找那家人交涉。
[00:11:52.166–00:11:54.508] 后来我再从那走的时候，我发现。
[00:11:55.974–00:11:57.420] 他们把那只狗拴上了。
[00:11:58.150–00:11:58.892] 有绳子了。
[00:12:01.318–00:12:07.756] 啊后继续又吃几口面条，然后小弟在还听得云里雾里。大哥我问你要不要宰了他哎啊，现在云里雾里。
[00:12:09.862–00:12:10.316] 。
[00:12:14.342–00:12:16.172] 所以我就可以安全的去上学了。
[00:12:19.910–00:12:22.092] 那天我就开开心心的从家里出发。
[00:12:23.334–00:12:24.204] 走到村西头。
[00:12:29.510–00:12:30.604] 路过那家人家。
[00:12:35.750–00:12:36.844] 我喂了那只狗。
[00:12:37.798–00:12:39.116] 包着老鼠要的馒头。
[00:12:39.878–00:12:40.620] 把他毒死了。
[00:12:44.038–00:12:45.612] 因为我不相信那根绳子。
[00:12:46.246–00:12:47.404] 我只相信我自己。
[00:12:48.870–00:12:49.228] 小丽。
[00:12:49.798–00:12:51.948] 老大，我懂了走了。
[00:12:53.158–00:12:54.252] 就写这种台词啊。
[00:12:55.014–00:12:58.540] 年轻时候特别热衷写这种台词，觉得还像跟教父似的啊。
[00:12:59.846–00:13:02.764] 其实就是不好好说话，这不叫经典台词。
[00:13:04.166–00:13:05.644] 不好好说话，明白吗？
[00:13:07.014–00:13:12.364] 你熄火了，再反过去看说哎呀，这段台词真牛，其实它不对，这个思路不对。
[00:13:13.222–00:13:13.996] 不应该这么写。
[00:13:15.558–00:13:16.812] 真正好的台词啊。
[00:13:17.638–00:13:18.988] 好的台词是什么台词？
[00:13:21.510–00:13:22.636] 好的台词分两种。
[00:13:24.902–00:13:25.452] 一种。
[00:13:26.054–00:13:26.796] 是京剧。
[00:13:27.718–00:13:29.420] 我们可以统统称为金句。
[00:13:30.406–00:13:30.988] 京剧类的。
[00:13:34.630–00:13:36.236] 我们是京剧类的台词。
[00:13:40.102–00:13:40.972] 他是怎么写出来？
[00:13:44.614–00:13:45.900] 一定是贴着人设。
[00:13:46.854–00:13:48.556] 或者说要贴着人物写。
[00:13:51.110–00:13:53.068] 贴着人设贴着人物写出来那种。
[00:13:54.118–00:13:54.604] 京剧。
[00:13:58.438–00:14:00.044] 很抽象啊，我给大家举举例子。
[00:14:00.518–00:14:01.164] 比如说。
[00:14:03.718–00:14:04.620] 虎门的世界。
[00:14:05.638–00:14:08.844] 楚门的事件，金凯丽的楚门的世件里面的。
[00:14:09.766–00:14:10.700] 纪念台词是什么？
[00:14:11.878–00:14:12.300] 出门。
[00:14:13.638–00:14:14.924] 那个男主角叫。
[00:14:15.462–00:14:16.556] 出门嘛出门。
[00:14:17.254–00:14:19.596] 楚门每次碰到别人打招呼，都是说。
[00:14:21.766–00:14:23.436] 呃，早上好。
[00:14:24.038–00:14:32.748] 对吧然后接着说一句，哎呀，以防我今天再也碰不见你了，我就在问你下午好，晚上好，晚安。
[00:14:33.222–00:14:33.836] 然后他再走。
[00:14:34.758–00:14:39.308] 这就是跟着他人设走的呀，他是一个极其nice极其有礼貌的人。
[00:14:40.614–00:14:48.844] 所以说这句台词他就表达了这个他的人设，就我碰到你，我不光跟你说早上好，我担心今天再也碰不到你了。
[00:14:49.734–00:14:54.508] 我没有机会像跟你问问，下午好，晚上好和晚安。
[00:14:55.718–00:14:59.340] 所以我虽然现在是早上，但是我一并都问候了。
[00:15:00.038–00:15:06.604] 表达了楚门是一个非常有礼貌，非常nice甚至非常天真的人。
[00:15:08.326–00:15:09.452] 所以这成为了。
[00:15:09.926–00:15:10.860] 朴门的金剧。
[00:15:11.814–00:15:13.036] 浙江牛逼台词。
[00:15:13.766–00:15:14.924] 这叫牛逼对白。
[00:15:15.622–00:15:17.612] 这叫词儿这叫好词儿。
[00:15:18.566–00:15:19.468] 贴着人设走。
[00:15:23.206–00:15:24.012] 明白这意思吗？
[00:15:25.030–00:15:31.436] 还有像这种牛逼的人设呃，牛逼的贴着人走的台词，那个当幸福来敲门。
[00:15:32.358–00:15:36.908] 当幸福来敲门是威尔史密斯主演的威尔史密斯跟他儿子。
[00:15:37.382–00:15:38.828] 一对黑人父子。
[00:15:39.622–00:15:41.004] 破产的黑日父子。
[00:15:41.702–00:15:43.660] 努力打拼在华尔街。
[00:15:44.870–00:15:52.012] 从睡厕所、睡地铁、睡睡露宿街头身无分文到在华尔街打拼起来。
[00:15:53.254–00:15:54.252] 有一场戏。
[00:15:55.686–00:15:56.172] 他。
[00:15:58.726–00:16:01.164] 跟他儿子在路边，他儿子在打篮球。
[00:16:02.022–00:16:05.036] 他儿子说，我要成为职业篮球运动员。
[00:16:06.470–00:16:09.068] 然后他跟他儿子，他就说他说哎。
[00:16:09.702–00:16:17.452] 他你的梦想要现实一点，他说嗯呃咱们家没有什么运动基因天赋。
[00:16:18.470–00:16:21.100] 你要当职业运动员这条路，我觉得。
[00:16:21.990–00:16:22.764] 不太现实。
[00:16:24.038–00:16:25.324] 他说完这句话之后。
[00:16:26.886–00:16:28.716] 他儿子就就就就就。
[00:16:30.086–00:16:34.828] 就很伤心。然后他发现那人很伤心之后，他觉得自己说的这句话不对。
[00:16:35.366–00:16:36.556] 然后他又重新说。
[00:16:37.094–00:16:37.612] 他说。
[00:16:38.470–00:16:39.212] 你要记住。
[00:16:39.814–00:16:43.404] 永远不需你不要让别人告诉你，你不能做什么。
[00:16:45.094–00:16:51.564] 这个就是贴他的人设了。因为他自己作为一个黑人，作为一个没有什么文文凭文化的黑人。
[00:16:52.038–00:16:56.140] 他想在土二街做股票经纪人，做做。
[00:16:57.542–00:17:03.116] 做一个上流社会的人，他也在做一件别人告诉他你不可能做到的事情。
[00:17:06.438–00:17:10.156] 所以他在这时候，他儿子想要当NBA球员。
[00:17:11.462–00:17:12.492] 他意识到。
[00:17:13.222–00:17:13.676] 我不。
[00:17:14.182–00:17:19.372] 我凭什么打击我儿子的梦想？我自己不也跟我儿子一样，抱着一个篮球。
[00:17:19.910–00:17:20.908] 妄想自己。
[00:17:21.862–00:17:22.796] 能进nBA吗？
[00:17:25.830–00:17:31.788] 所以他当时应该那句台词，我记得是don't ever let somebody tell you，you cannot do something.
[00:17:33.254–00:17:34.956] 就别让别人告诉你不能做什么事。
[00:17:35.814–00:17:36.524] 这就是。
[00:17:37.222–00:17:38.124] 贴着人设走了。
[00:17:38.726–00:17:43.180] 他虽然是说给他儿子听的，但是说的是他自己的人设，明白这意思吗？
[00:17:43.942–00:17:45.036] 根据这人设走的。
[00:17:46.694–00:17:48.012] 还要根据人设走的。
[00:17:48.774–00:17:49.420] 还有什么？
[00:17:50.854–00:17:52.684] 能力越大，责任越大。
[00:17:54.278–00:17:57.132] 这个人人都听过经典台词，蜘蛛侠。
[00:17:57.606–00:17:59.468] 对吧蜘蛛侠这个这个。
[00:18:00.934–00:18:06.924] 这就经典台词嘛，那能力越大，你的责任越大，这太符合了，能力越大，责任越大。
[00:18:07.974–00:18:20.876] 你觉得扛事儿啊，你不能说你得到这个这个啪啪这个这个蜘蛛侠，这个他是偶得的嘛？这个能力是偶得的呀，它不是天生的呀，被蜘蛛咬了嘛？你偶得了这个能力之后，你就觉得。
[00:18:21.862–00:18:26.284] 啊，你就你就牛逼了吗？你就能力大了嘛？能力越大，责任越大。
[00:18:27.910–00:18:30.860] 这这这这才叫牛逼台词呀。
[00:18:32.198–00:18:34.924] 对吧只是贴着人设，贴着人物。
[00:18:35.558–00:18:42.892] 贴着人物走的台词其实是最容易让观众记住认可的那黄晓明说的那个我不要你觉得我要我觉得。
[00:18:43.398–00:18:49.868] 这就是贴着人物的台词呀。虽然当时在综艺节目里面马上成为京剧了呀，我不要你觉得我要我觉得。
[00:18:52.102–00:18:54.348] 一下把这个人物就活灵活现呀。
[00:18:55.910–00:18:58.700] 对不对？然后那个流行花园里面那个。
[00:18:59.590–00:19:03.148] 呃，那个老板呢道道歉有用的话，要警察干嘛？
[00:19:03.878–00:19:05.388] 对吧那个就道明寺。
[00:19:05.894–00:19:14.412] 这台词就表现他的人设和性格呀，这种就是观众容易记住，这叫好台词，这叫好台词。我们说好台词那个。
[00:19:16.998–00:19:18.092] 那个那个。
[00:19:18.758–00:19:20.492] 呃，泰坦尼克号里面是最多的。
[00:19:21.190–00:19:22.412] 泰坦尼克号那个。
[00:19:24.262–00:19:25.196] 呃，地下布料。
[00:19:26.342–00:19:31.628] 的进入上流社会吃饭的那场那场台词呃，那那段台词。
[00:19:32.166–00:19:49.132] 那也是传世经典呀，他进到上他在底层船舱，他是个穷人吗？他进到混进上流社会，跟女主角的一家人全是有钱的上流社会，一家人吃饭，各种复杂的规矩，开餐就是鱼子酱啊。
[00:19:49.766–00:19:59.116] 那场戏，然后一家人那肯定故意刁难他嘛？你是个穷小子呀，那肯定刁难他呀。哎呦，你住哪儿啊？哎呀，那个三等舱里面什么情况呀？就。
[00:19:59.782–00:20:05.356] 句句刁难他，他从容应对，因为他他很他的内心很。
[00:20:06.182–00:20:08.332] 很美丽的，所以他就会觉得嗯。
[00:20:08.998–00:20:12.172] 他会觉得很好，然后他的那那几句台词。
[00:20:14.662–00:20:18.540] 也是传世经典符科拉的人设，对吧？然后他说。
[00:20:20.678–00:20:21.964] 我觉得这样挺好的。
[00:20:22.790–00:20:41.260] 对吧我有健康的身体，我有这个这个呃良好的心态。然后这个呃我每天醒来都面对不一样的挑战。但是具体台词我不记不记得那么清楚啊，但最后的经典台词就是你永远不知道明天会发生什么，所以。
[00:20:41.766–00:20:43.532] make each day count。
[00:20:44.262–00:20:45.420] 过好每一天。
[00:20:47.110–00:20:48.556] 首先这是他的人设。
[00:20:50.278–00:20:55.404] 对吧这是他的最强项，就是他一无所有，但是他珍惜。
[00:20:56.070–00:20:57.740] 当下珍惜每一天。
[00:20:58.470–00:21:00.044] to make each day count嘛。
[00:21:01.222–00:21:02.572] 这是他的人设。
[00:21:03.142–00:21:07.308] 然后我们说同时她又是女主角人设的短板。
[00:21:08.422–00:21:13.484] 哎，你看看啊，我们说爱情系眠男女主角是互补吗？
[00:21:14.150–00:21:18.380] 那等于是他输了男主角的最强项，就是女主角的最弱项嘛。
[00:21:19.014–00:21:21.484] 男主角说我每天都过得精彩。
[00:21:22.566–00:21:23.980] to make each day count。
[00:21:24.710–00:21:25.676] 这是男主的。
[00:21:26.278–00:21:29.100] 人设的强项，同时又是女主人设的短板。
[00:21:30.054–00:21:31.244] 那等于这一句。
[00:21:32.326–00:21:33.260] 就双关了呀。
[00:21:33.830–00:21:37.932] 关两个事儿了，很厉害，而且我还跟你说，他还三管，还关他啥事儿。
[00:21:39.366–00:21:42.732] 就说你永远不知道明天发生什么，所以你过好每一天。
[00:21:45.382–00:21:47.468] 对不对？泰坦尼克号啊。
[00:21:48.166–00:21:49.164] 多点题呀。
[00:21:49.670–00:21:55.596] 你永远不知道明天发生什么，过好每一天什么贫穷，什么富贵，什么上流什么下流。
[00:21:56.294–00:22:00.876] 对不对？我很精彩，我给你呼吸的一样的空气，看到一样的海浪。
[00:22:02.214–00:22:03.852] 所以这个这句台词。
[00:22:04.390–00:22:05.964] tomake each day count.
[00:22:06.758–00:22:07.660] 过好每一天。
[00:22:08.294–00:22:14.860] 就是经典代词就很厉害，他贴着男主的人设，弥补女主的人设暗示。
[00:22:16.710–00:22:19.212] 还暗示这个这个整体故事的走走向。
[00:22:20.102–00:22:22.028] 厉害吧，这台词就很厉害。
[00:22:23.558–00:22:27.628] 我们说这是一类好台词，京剧类贴着人设，贴着人物走的。
[00:22:28.198–00:22:29.932] 还有一类好台词啊。
[00:22:34.022–00:22:35.148] 是跟着情境来的。
[00:22:36.390–00:22:39.436] 跟着情境来的，我们说有的台词也是传世经典。
[00:22:40.934–00:22:51.340] 但是首先啊他不是瞎写的，他不是我说的那种情况，就是呃大师瞎写的，不是，但呢他也不是金剧，也不是对白。那那种台词为什么能那么厉害呢？
[00:22:52.038–00:22:55.116] 我们还说那个泰坦尼克号刚才举的泰坦尼克号例子。
[00:22:56.166–00:22:57.580] 呃那男女主角。
[00:22:58.054–00:23:07.276] 在那个那个甲板上第一次相遇的时候，女主要要跳海啊，男主说你跳我也跳，youju,I jump.
[00:23:09.094–00:23:11.660] 经典吗？传世经典。
[00:23:13.190–00:23:14.924] 牛逼不牛逼太牛逼了。
[00:23:16.870–00:23:18.284] 但这个是词牛逼吗？
[00:23:19.398–00:23:20.620] 你跳我也跳。
[00:23:22.694–00:23:24.268] 假设抛开情境。
[00:23:24.742–00:23:31.372] 你去跟别人说，哦，我今天想到一句非常棒的台词，然后就哎说来听听，叫你跳我也跳。
[00:23:33.126–00:23:41.932] 人家会觉得你这个牛逼吗？不会觉得。而且你说这样的台词需要你的文学功底吗？需要你华丽的词藻吗？你跳我也跳。
[00:23:42.566–00:23:43.564] 又juIju。
[00:23:44.902–00:23:45.292] 对吧。
[00:23:46.342–00:23:47.660] 它是来自于情境。
[00:23:48.710–00:23:52.268] 就是你这种台词实际上是你把情境写好了。
[00:23:55.238–00:23:56.940] 反而这时候啊。
[00:23:57.574–00:24:01.644] 据说这种台词它牛逼就牛逼在哪儿，牛逼在简练。
[00:24:02.950–00:24:03.980] 牛逼在简历。
[00:24:08.518–00:24:10.828] 你情境牛逼的时候，你反而越简练越好。
[00:24:11.430–00:24:17.004] 我再举回我刚才那个例子，我说那个小弟说老大要不要杀了他？
[00:24:17.638–00:24:21.164] 你说了他妈一堆废话，说了他妈5分钟。
[00:24:23.046–00:24:23.468] 对吧。
[00:24:25.350–00:24:26.924] 你如果情境营造的好。
[00:24:28.070–00:24:30.316] 我看过一个很老的黑帮片。
[00:24:31.334–00:24:35.148] 50年代左右的吧，也不叫黑帮片吧，一个就是一个坏人。
[00:24:35.878–00:24:37.836] 那个那个那个老师叫什么来着？
[00:24:39.046–00:24:44.332] 时间还是叫什么？忘了啊，我忘了一个就是一个非常老的演员，他演了一个坏人。
[00:24:44.806–00:24:47.916] 就非常的那个情景就非常好。那个小弟在那说。
[00:24:48.518–00:24:57.868] 哎呀，那个谁谁谁怎么怎么如何如何如何不好。然后那个那个黑老大他嘻笑嘻嘻的杀了他吧。
[00:24:59.814–00:25:01.740] 就说了四个字，啥他。
[00:25:05.126–00:25:08.268] 一点不把杀人当回事，反而这场戏有力量。
[00:25:09.190–00:25:21.196] 明白吗？你如果情境做的好，你反而要少说，不要去讲你小时候那个在农村长大，村头有一条狗，显得你倍儿深沉，还给人讲一个寓言故事。
[00:25:21.734–00:25:29.900] 那反而是不对的，就情境好的好时候，你有一个好的情境，你的弹台词反而越简练，越能成为经典。
[00:25:31.942–00:25:32.972] 又降挨降。
[00:25:33.478–00:25:34.092] 一跳我一跳。
[00:25:35.558–00:25:42.060] 还有更呃还有一个更极端的例子，华华语电影的华语电影的顶峰之作之一。
[00:25:42.758–00:25:43.436] 无间道。
[00:25:45.030–00:25:46.156] 无间道牛逼不牛逼？
[00:25:47.334–00:25:53.420] 那拍的相当好呀，各国都翻拍，好莱坞也翻拍，好莱坞翻拍就迪卡普奥演的呢。
[00:25:54.406–00:25:56.620] 对吧好莱坞的版Dup演的呀。
[00:25:59.782–00:26:02.892] 我们说经典台词你能记得住的。
[00:26:04.710–00:26:05.356] 对不起。
