P045 二十一课-谈几个进阶问题（下）21.2
[00:10:19.174–00:10:19.948] 选择。
[00:10:23.974–00:10:36.140] 主角啊，我们说在这个主角在这个自己的历程中，在这个故事中至少要有两次选择。同学们，这两次选择在什么位置呢？第一次是激励之后。
[00:10:36.806–00:10:39.532] 激励之后，也就是上路那里。
[00:10:40.230–00:10:41.868] 击毙之后，你不是要上路吗？
[00:10:42.726–00:10:44.300] 对吧上路能力。
[00:10:47.270–00:10:48.108] 需要做出选择。
[00:10:49.286–00:10:52.844] 需要做授选的。第二次呢是在。
[00:10:53.638–00:10:54.572] 那个。
[00:10:55.782–00:10:58.476] 那个那个那个叫什么叫蜕变的那。
[00:11:00.806–00:11:15.308] 因为蜕变之后，你就要开始直面那个最大的危险，要做出重大牺牲了呀，在那里要做出选择。啥意思啊？就是说你的主角啊你不能太顺，你至少在这两个地方要做选择。
[00:11:16.358–00:11:18.252] 就是说你得给他选择的机会。
[00:11:18.790–00:11:22.860] 他有机会说，我操算了吧，是吧？
[00:11:23.846–00:11:25.420] 我这太危险了。
[00:11:26.886–00:11:30.124] 有必要吗？就是他得有这个选择机会。
[00:11:31.430–00:11:34.316] 不能什么事儿都往推着他往前走。
[00:11:34.950–00:11:43.372] 主角至少要有两次选择的机会。如果你做的那个选择，你觉得不明显，那你就会让他退缩一下。
[00:11:44.230–00:11:47.180] 或者让他做一下依次动作，明白我意思吗？
[00:11:48.358–00:11:50.924] 记住这个是很多。
[00:11:52.198–00:11:53.132] 进阶选手。
[00:11:53.766–00:11:55.916] 都容易遗漏和忽略的问题。
[00:11:56.486–00:12:05.388] 所以说我这节课讲的是进阶问题，没有写过的同学，没有写过全本的同学，你就不要听了。你听了你也不知道我们在说什么。
[00:12:06.566–00:12:10.220] 好吧，这两个位置一定要做出选择。
[00:12:12.038–00:12:13.804] 要做出选择，这个不要漏。
[00:12:15.206–00:12:15.852] 退伍。
[00:12:16.742–00:12:21.484] 关于啊这里说到蜕变，关于蜕变的处理方式。
[00:12:22.182–00:12:23.148] 什么叫蜕变？
[00:12:24.486–00:12:26.860] 关于蜕变蜕变这里啊。
[00:12:28.134–00:12:35.532] 我们说我在课场好像提过好几次，我说哪儿得死，对吧？得死个人什么的，导致有些同学认为这是唯一的方法。
[00:12:36.518–00:12:48.268] 这是这是唯一的方法和路径。其实不是这样啊，何为蜕变蜕变本身啊蜕变本身其实不是说一定要死人。
[00:12:48.966–00:12:51.084] 蜕片这里其实是重生。
[00:12:52.774–00:12:54.348] 重生是一种。
[00:12:55.142–00:12:57.676] 对吧就是重回母体。
[00:12:58.598–00:13:02.828] 我们说重生一般是重回母体啊，母体重生嘛。
[00:13:03.462–00:13:09.132] 重回母体是一种，就是你走以前走过的路，只不过你是你有了新的思索。
[00:13:11.686–00:13:14.188] 这个秘籍在你。
[00:13:15.494–00:13:17.036] 25分钟的时候就有了。
[00:13:18.150–00:13:19.244] 就这本秘籍。
[00:13:20.038–00:13:21.388] 只不过你没看懂。
[00:13:22.214–00:13:23.628] 很多武侠片是这么做的。
[00:13:24.230–00:13:27.948] 就是你这个秘籍你早就有了，你当时没有悟透。
[00:13:28.870–00:13:32.812] 天龙八部早就给你了，你降龙十八掌，你早就有了。
[00:13:33.574–00:13:40.044] 对吧那个那个那个周星驰那个如来神掌，你早就有了这本小说，你没有参透。
[00:13:40.582–00:13:51.692] 但是在这里呢，重生就重回母体。你为什么会上路？是因为你有那本书，你现在重新回到那本书，这就叫重回母体，母胎重生，这是一种。
[00:13:52.678–00:14:00.332] 还有啊这种牺牲的蜕变也有，对吧？就是你们理解的那种死个人牺牲的蜕变。
[00:14:03.494–00:14:04.332] 也有。
[00:14:04.998–00:14:08.396] 还有一种蜕变脱俗。
[00:14:10.278–00:14:15.660] 还有一种蜕变的常用处理方式就是脱俗，就是让你的主角脱俗。
[00:14:19.078–00:14:22.252] 咱们有句老话叫灭人欲而存天命嘛。
[00:14:22.918–00:14:23.692] 就是这个道理。
[00:14:24.678–00:14:28.748] 你马上就要存天命了，所以你在这里要灭人欲。
[00:14:30.950–00:14:31.468] 懂吗？
[00:14:32.038–00:14:43.628] 为什么那些宗教人士啊那个什么他们会禁欲，对吧？欲为欲欲望是人人本身的东西，你要存天理，你就要灭人欲。
[00:14:44.486–00:14:48.204] 所以呢很多时候蜕变这里的处理方式用脱俗。
[00:14:50.022–00:14:51.244] 我给大家举个例子啊。
[00:14:52.166–00:14:57.676] 还是我们那个我不是药神，我不是药神。我们说药神里面蜕变是用了死人的。
[00:14:58.502–00:15:04.588] 对吧这个陈勇这个角色，徐峥这个角色，他在蜕变那里死人了的。
[00:15:05.766–00:15:12.332] 是死人了的对吧？那个那个那个那个传军那个角色和黄毛都死了嘛。
[00:15:14.150–00:15:15.532] 他也用了脱俗了。
[00:15:16.038–00:15:18.252] 因为他这些伙伴啊，他都用了一圈。
[00:15:19.366–00:15:21.356] 你们记不记得他还有一个女性伙伴？
[00:15:21.894–00:15:24.524] 那个在夜间跳舞的那个那个角色。
[00:15:30.886–00:15:32.748] 程勇这个角色。
[00:15:34.022–00:15:35.276] 是我们的男主角。
[00:15:36.902–00:15:39.852] 他有一场戏跟这个。
[00:15:43.014–00:15:48.844] 这个你你这个角色是跳钢管舞的，我记得夜店跳钢管舞的吧。
[00:15:49.574–00:15:53.772] 这两个角色在喝大酒，喝醉了之后去了女的家里。
[00:15:55.558–00:15:58.860] 做事就是要酒后要乱性一下的。
[00:16:01.510–00:16:03.404] 但是这一块没打成。
[00:16:04.934–00:16:05.420] 对吧。
[00:16:06.054–00:16:07.340] 你有没有想过为什么？
[00:16:07.846–00:16:09.612] 你有没想过这场戏合理不合理？
[00:16:11.334–00:16:12.876] 咱们喝过酒的同学啊。
[00:16:14.726–00:16:15.916] 咱们说句良心话。
[00:16:16.742–00:16:18.252] 一个卖壮阳药的。
[00:16:19.366–00:16:20.140] 一个。
[00:16:20.838–00:16:23.468] 跳三馆舞，两个人喝大了酒。
[00:16:24.006–00:16:28.268] 孤男寡女，干柴烈火都已经脱衣服。
[00:16:28.870–00:16:29.804] 比划起来。
[00:16:31.046–00:16:32.556] 竟然还能停下。
[00:16:34.438–00:16:36.748] 你信吗？
[00:16:38.086–00:16:39.532] 为什么这里要停下呢？
[00:16:40.358–00:16:41.228] 灭人欲。
[00:16:42.918–00:16:44.364] 因为你这是人的欲望。
[00:16:45.478–00:16:46.188] 灭掉。
[00:16:47.558–00:16:49.612] 徐峥马上就要成神了。
[00:16:50.726–00:16:56.268] 就你这里不灭掉他的人欲，你后面他成神就成不了。
[00:16:57.830–00:17:14.700] 你在这里连区区一炮，你都停不下，你后面怎么可能舍弃掉财富，豁出去自己的人身自由，宁愿要蹲大狱，也要去帮助那些完全跟你素妹平生的人呢。
[00:17:15.814–00:17:17.548] 你为什么会做那些事情？
[00:17:18.246–00:17:23.884] 就是凡人成仙的故事嘛。程勇从一个小市民成为一个。
[00:17:25.190–00:17:29.964] 神要神，凡人成神是这个片子的主题。
[00:17:32.262–00:17:37.036] 你后面都成神了，你在这里连人欲都灭不灭了，灭不了吗？
[00:17:37.670–00:17:40.332] 我们说灭人鱼而存千里，就是这个道理。
[00:17:41.094–00:17:41.868] 所以说啊。
[00:17:42.502–00:17:43.596] 关于蜕变这里啊。
[00:17:44.422–00:17:45.484] 有蛮多方法的。
[00:17:46.758–00:17:53.676] 不要局限于死人，而且你写这个这些现实题材的时候，你很难死人吗？你动不动就死人吗？
[00:17:54.790–00:17:55.340] 好吧。
[00:17:55.878–00:17:59.052] 咱们作为进阶选手啊作为进阶选手。
[00:17:59.558–00:18:00.716] 需要了解有各种各样。
[00:18:01.894–00:18:02.924] 不要举下来。
[00:18:03.846–00:18:04.684] 掉一个人。
[00:18:05.478–00:18:06.124] 然后。
[00:18:08.166–00:18:08.972] 第六。
[00:18:09.766–00:18:10.476] 关于伙伴。
[00:18:15.238–00:18:18.220] 我们说伙伴呢就是主角的伙伴呢。
[00:18:19.142–00:18:20.460] 主角的伙伴。
[00:18:20.966–00:18:22.252] 在行动员上。
[00:18:23.750–00:18:25.932] 跟主角是同一个大目标。
[00:18:29.606–00:18:31.692] 据说你俩的A故事是一样的。
[00:18:34.214–00:18:45.196] 伙伴如果有自己的故事，就是说伙伴如果不是一个纯纯的工具人啊，纯纯的工具人，那就跟着走就行了。伙伴如果有自己的事儿。
[00:18:46.374–00:18:52.204] 也就是说，他有自己的逼故史，那么伙伴的逼故史要与。
[00:18:53.638–00:18:56.812] 主行动线我们说主行动线就是。
[00:18:57.702–00:19:00.876] 南一的就是主角的A故事。
[00:19:04.454–00:19:07.180] 伙伴的A故事要跟。
[00:19:07.686–00:19:09.132] 主角的A故事。
[00:19:10.118–00:19:11.020] 同一个方向。
[00:19:11.814–00:19:14.156] 就你也去那个地方啊，我也去那个地方。
[00:19:16.102–00:19:16.876] 同一个方向。
[00:19:17.990–00:19:18.540] 叫。
[00:19:19.142–00:19:19.884] 相符。
[00:19:21.286–00:19:26.252] 但是伙伴如果有自己的逼护室，自己的小目标。
[00:19:26.918–00:19:28.748] 那么这个小目标。
[00:19:29.926–00:19:32.492] 主伙伴的小目标。
[00:19:33.254–00:19:34.700] 要与主线。
[00:19:37.766–00:19:38.540] 相克。
[00:19:39.494–00:19:40.204] 大家记住。
[00:19:41.414–00:19:44.364] 伙伴的小目标要与主线相克。
[00:19:45.190–00:19:47.532] 也就是说，他如果要办自己那个私事儿。
[00:19:48.486–00:19:49.932] 要克制我们的主线。
[00:19:50.438–00:19:52.844] 否则就别有私事了。
[00:19:53.926–00:19:54.540] 没有用。
[00:19:55.302–00:19:55.980] 废弃。
[00:19:57.670–00:19:58.156] 好吧。
[00:19:58.854–00:19:59.436] 分析。
[00:20:00.358–00:20:11.372] 因为我说除了主角以外，谁都不配有事儿，有事儿就是跟主角的主线相符相生或者相克，只有这两种可能。
[00:20:11.846–00:20:13.324] 但是你作为伙伴。
[00:20:14.854–00:20:23.756] 你的主行动力已经与主线相生了，那么你的思维小目标就一定要与主线相克。
[00:20:24.486–00:20:25.516] 否则不要写。
[00:20:26.374–00:20:27.148] 废弃。
[00:20:27.622–00:20:28.780] 不要出现。
[00:20:29.606–00:20:30.380] 这种戏。
[00:20:32.774–00:20:33.452] 我们说。
[00:20:36.486–00:20:37.356] 嗯。
[00:20:41.414–00:20:42.508] 我不是药神里面。
[00:20:43.462–00:20:45.900] 除了陈勇以外，除了徐峥这个角色以外。
[00:20:47.398–00:20:56.652] 吕受义也好，黄毛也好，神父也好，那个脱衣舞舞女也好，他们自己的私人生活的事儿一件也没描写。
[00:20:58.854–00:21:05.164] 一件没描写，他们所有的事儿全都服务于程勇卖药这条主线，懂吗？
[00:21:07.750–00:21:09.004] 疯狂的外星人里面。
[00:21:10.470–00:21:12.908] 沈腾没有私生活。
[00:21:15.334–00:21:17.804] 他是黄渤的伙伴，他啥事儿都没有。
[00:21:19.014–00:21:22.700] 他没有自己的事儿，他就是服务黄渤。
[00:21:23.206–00:21:25.836] 跟外星人这是猴之间的战斗。
[00:21:27.526–00:21:28.524] 自己没有小目标。
[00:21:29.510–00:21:39.020] 如果有，比如说卖酒卖酒挣钱，那就要克制黄渤的主行动力。他想要卖酒的时候，哎，他把猴给偷了。
[00:21:40.262–00:21:42.508] 惹的事儿克制我们的主线。
[00:21:43.174–00:21:43.820] 明白吗？
[00:21:44.742–00:21:47.404] 所以说这个一定要注意，好吧，伙伴。
[00:21:48.262–00:21:50.444] 如果有小目标，你必须。
[00:21:50.950–00:21:53.964] 正面克制正刚我们的主线。
[00:21:54.438–00:21:57.196] 要么就别别说，没有意义。
[00:21:59.814–00:22:02.252] 但是再写这边吧，无所谓啊。
[00:22:03.462–00:22:07.180] 再讲一个呃问题，关于反败。
[00:22:08.326–00:22:18.572] 刚说完伙伴，我们来说一下反派，反派常见的几个问题，咱们的这个这个这个不管是同学也好，职业的编剧也好，常犯的几个问题。反派。
[00:22:19.046–00:22:20.940] 一、不具体。
[00:22:21.446–00:22:24.588] 2、没计划。三不压迫。
[00:22:26.342–00:22:32.492] 所以反派啊，我们提几个要求，第一，具体出来谁。
[00:22:33.638–00:22:34.284] 谁？
[00:22:35.430–00:22:36.108] 是不是？
[00:22:36.902–00:22:37.516] 具体出来。
[00:22:38.822–00:22:40.012] 最好是个具体的人。
[00:22:41.190–00:22:42.476] 具体的人就好对付。
[00:22:43.078–00:22:48.044] 呃好好处理，不是说主角好对付他，咱们好对付他，咱们编剧好对付他。
[00:22:48.614–00:22:49.228] 好处理。
[00:22:49.830–00:22:53.036] 不具体很难做好吗？尽量具体。
[00:22:53.574–00:22:55.308] 第二，没计划。
[00:22:56.646–00:23:00.652] 就你做一个反派，你连自己的行动计划都没有，你看人灭霸。
[00:23:01.478–00:23:03.468] 一步一步安排的明明白白。
[00:23:04.582–00:23:06.188] 所为反派一定要有计划。
[00:23:06.950–00:23:08.620] 你主角可以吊儿郎当的。
[00:23:10.854–00:23:16.108] 反派必须是优秀生啊，优秀生做事是有步骤，有套路，有计划。
[00:23:18.118–00:23:21.868] 你没有计划，你也就做不到第三点所谓的压迫。
[00:23:24.582–00:23:29.196] 丫头一步步紧逼呀，你的反派是步步紧逼过来的呀。
[00:23:29.734–00:23:31.052] 他有压迫力呀。
[00:23:31.686–00:23:33.740] 没有压迫力，那不就不好看了吗？
[00:23:34.534–00:23:39.436] 好吧，所以访派一定要注意这几点，要具体他要有计划，他要不补。
[00:23:40.934–00:23:41.580] 明白了吗？
[00:23:42.086–00:23:43.916] 然后说到反派这里。
[00:23:44.614–00:23:46.892] 然后把把这个也也也。
[00:23:48.678–00:23:50.892] 也讲了啊，就是关于这个。
[00:23:51.526–00:23:52.620] 讲道理的问题。
[00:23:53.862–00:23:58.636] 咱们的角色啊，咱们的同学有些作品里面很喜欢讲点道理。
[00:23:59.654–00:24:00.876] 很喜欢讲点道理。
[00:24:01.766–00:24:02.284] 哦。
[00:24:03.462–00:24:05.164] 我一般是不主张讲道理的。
[00:24:05.798–00:24:07.468] 为啥呢？因为。
[00:24:11.718–00:24:13.228] 道理不是那么好讲。
[00:24:13.926–00:24:15.532] 善恶议员呀。
[00:24:16.230–00:24:18.668] 就善恶其实说到底是一样的。
[00:24:19.398–00:24:20.908] 哪有那么多道理可讲？
[00:24:22.342–00:24:23.820] 但是你非要讲的话。
[00:24:24.358–00:24:26.220] 有些同学还是爱讲的，爱表达。
[00:24:27.558–00:24:29.612] 非要讲的话，我给大家。
[00:24:30.310–00:24:31.180] 定个规矩。
[00:24:31.942–00:24:32.844] 主角。
[00:24:34.758–00:24:36.044] 你给我讲小道理。
[00:24:40.646–00:24:41.388] 反派。
[00:24:43.910–00:24:45.100] 才能讲大道理。
[00:24:47.302–00:24:51.628] 主角讲小道理是什么意思啊？就主角的道理啊很小。
[00:24:52.230–00:24:55.148] 比如说主角的道理就是有仇必报。
[00:24:55.878–00:24:57.196] 他杀了我妈嘞。
[00:24:57.702–00:24:58.348] 我要报仇。
[00:24:59.014–00:25:00.492] 或者主角的道理是。
[00:25:02.214–00:25:08.076] 这个这个这个坚持就是胜利，对吧？或者主角的道理就是这个这个。
[00:25:09.030–00:25:10.348] 这个那个什么。
[00:25:10.886–00:25:16.876] 呃，滴水之恩当涌泉相报，这主角的道理啊往往是个小道理，他认死理。
[00:25:18.982–00:25:21.612] 然后呢，大道理啊留给对手讲。
[00:25:23.014–00:25:30.892] 关于人类，关于世界的平衡，对吧？关于宇宙的规矩，这大道理留给对手去讲。
[00:25:33.414–00:25:34.444] 你们先听我的。
[00:25:34.918–00:25:37.612] 回头你们自己遇到的时候慢慢去体会。
[00:25:38.118–00:25:41.068] 主角讲小道理，对手讲大道理。
[00:25:41.766–00:25:46.924] 但是我还是再强调一遍，我不主张大家讲太多的道理。
[00:25:48.038–00:26:02.924] 我虽然说过故事需要有主题，主题也很重要，而且主题必须是正能量。但是我也同时强调过啊，主题服务于人物和事件一个故事啊，最重要的是什么人办了一个什么事儿？
[00:26:03.910–00:26:06.284] 你是那个东西精彩吸引大家。
[00:26:07.206–00:26:19.404] 而不是你的主题精彩吸引大家。所以顺序一定要搞清楚，是先有人和事儿形成这个故事，把这个故事讲精彩的同时。
[00:26:19.974–00:26:20.908] 你在考虑。
[00:26:21.702–00:26:23.084] 他是不是有点主题？
[00:26:24.422–00:26:26.028] 甚至我说的极端一点。
[00:26:26.982–00:26:31.148] 你如果有一个好的故事，你暂时没有主题，那你也。
[00:26:32.134–00:26:35.372] 先写你先写主题会有的。
[00:26:36.390–00:26:37.452] 你不用刻意。
[00:26:37.926–00:26:49.036] 好，关于主题啊，就是主角讲小道理就可以了。对手可以讲大道理，但是主题真的没有那么重要，不要太。
[00:26:49.798–00:26:55.724] 就是说没有你想的那么重要，它很重要，但没有你想的那么重要，它次于人物和事界。
[00:26:58.246–00:27:01.996] 这是关于这个这个道理这一块啊，然后。
[00:27:03.302–00:27:04.140] 再说一个。
[00:27:04.998–00:27:05.420] 嗯。
[00:27:06.182–00:27:06.764] 长久。
[00:27:10.342–00:27:12.268] 场景这个问题。
[00:27:12.742–00:27:16.076] 在我这个月看过的基本上所有的剧本里。
[00:27:17.222–00:27:17.932] 都是短板。
[00:27:19.718–00:27:20.588] 都是短板。
[00:27:22.630–00:27:31.852] 很多同学啊在写剧本的时候，写全本的时候，往往只注重人物啊、对话呀、动作呀、环境场描述啊。
