P023 十一课-类型片11.2
[00:02:11.334–00:02:21.132] 西游记西游记说多少遍了，那是标准的金羊毛啊，标准的金羊毛就是最古老的一种方式，对吧？就是这个他要有个团队。
[00:02:22.822–00:02:24.076] 然后再就是有一个。
[00:02:24.838–00:02:27.500] 肉眼可见的一个奖励，一个奖品。
[00:02:28.198–00:02:34.028] 取经的那个经对吧？然后他要那个呃。
[00:02:34.726–00:02:39.372] 绿叶仙踪要去找大大法师大法师的魔法。
[00:02:40.166–00:02:42.956] 能送他们回家，就是能实现他们的愿望。
[00:02:43.686–00:02:49.388] 那个魔法就很明确的奖奖品奖励很诱人啊，就是那个奖品要很诱人。
[00:02:49.926–00:02:54.508] 我们说抢银行的片子为什么属于金金羊毛骗子？就那个奖品相当有人啊。
[00:02:55.334–00:02:56.620] 那有5000万搁在那儿。
[00:02:58.374–00:02:59.116] 很诱人。
[00:02:59.590–00:03:04.236] 然后就有团队有路径，对吧？就是这是金羊毛类的片子。
[00:03:07.078–00:03:08.012] 爱情片。
[00:03:08.550–00:03:11.052] 我说爱情片啊是唯一一类。
[00:03:12.582–00:03:16.748] 既出现在旧猫咪的分类方式里面，又出现在。
[00:03:17.446–00:03:31.244] 观众角度分类的那个方式里面，爱情片，所以说爱情片还是很硬的，对不对？你咋分都都得有爱情片，王子和公主的故事永远永恒的话题呀，爱情是永恒的话题。
[00:03:31.974–00:03:38.252] 但是说是永恒的话题，因为永恒的话题，所以我把它放在第二个，说是永恒的话题。
[00:03:40.230–00:03:41.196] 这些年可不多了。
[00:03:43.142–00:03:44.588] 爱情片现在越来越少。
[00:03:45.542–00:03:47.340] 其实从90年代以后啊。
[00:03:47.878–00:03:49.420] 近二三十年啊。
[00:03:50.246–00:03:51.532] 现面都相当少。
[00:03:52.230–00:03:52.908] 相当少了。
[00:03:54.790–00:03:55.884] 纯纯的爱情片。
[00:03:56.646–00:03:57.260] 相当少。
[00:03:58.854–00:04:01.356] 爱情电影相当少，但是爱情故事。
[00:04:02.470–00:04:14.892] 是有的，一直存在在影片里。所以这就是我为什么说这10个类型其实10个类型的故事不算10个类型的片子。因为爱情片已经很少了，但是爱情故事。
[00:04:16.198–00:04:16.972] 还是很多的。
[00:04:18.310–00:04:19.884] 我们说爱情故事的元素。
[00:04:22.694–00:04:24.396] 注意的元素什么呢？
[00:04:26.406–00:04:28.268] 我们说一个残缺的。
[00:04:30.822–00:04:31.596] 主角。
[00:04:33.926–00:04:35.052] 一个残缺的主角。
[00:04:36.390–00:04:38.348] 然后一个弥补它的零件儿。
[00:04:40.998–00:04:42.220] 一个弥补他的零件。
[00:04:44.166–00:04:48.268] 啊，然后主角和零件之间其实就是男女主人公嘛。
[00:04:49.254–00:04:49.804] 然后。
[00:04:50.726–00:04:52.908] 两人之间的一条大沟。
[00:04:55.270–00:04:56.140] 一条沟啊。
[00:04:56.838–00:04:57.740] 两个人。
[00:04:59.014–00:04:59.564] 互补。
[00:05:00.582–00:05:02.284] 但是不能在一起。
[00:05:02.790–00:05:04.076] 这就是爱情边的。
[00:05:05.318–00:05:06.124] 全部征地。
[00:05:07.494–00:05:08.140] 全部整理。
[00:05:10.630–00:05:16.812] 所以说这类片子越来越少了，为啥呢？因为这个不管是互补还是这个勾啊，都很难设计了。
[00:05:17.894–00:05:19.756] 在现代社会中啊很难设计的。
[00:05:20.390–00:05:23.276] 我们先说爱情是啥吧啊，你说爱情是啥？
[00:05:25.318–00:05:27.084] 爱情的这个历史啊。
[00:05:28.134–00:05:29.868] 比电影早不了多少年。
[00:05:31.494–00:05:36.876] 爱情是是应该是在也就是118世纪。
[00:05:38.790–00:05:39.756] 从法国。
[00:05:40.902–00:05:42.028] 的文艺作品中。
[00:05:43.174–00:05:44.140] 出来的一个概念。
[00:05:46.502–00:05:48.428] 古代是没有爱情这个概念的。
[00:05:49.062–00:05:51.724] 对吧男女在一块，那叫婚配。
[00:05:52.838–00:05:53.580] 父母。
[00:05:54.598–00:05:59.404] 知命媒妁之言嘛，那叫婚配，没有人说这叫爱情啊。
[00:06:00.134–00:06:01.868] 应该是18世纪吧。
[00:06:02.854–00:06:06.220] 法国这个出来一种新的思潮。
[00:06:07.014–00:06:10.028] 说男女之间有一样东西叫爱情。
[00:06:11.078–00:06:13.068] 然后呢，怎么去描述这个爱情呢？
[00:06:14.822–00:06:16.588] 你去看那个时代的文艺作品啊。
[00:06:17.286–00:06:20.524] 他们初步的时候定义爱情为性冲动。
[00:06:22.918–00:06:24.748] 就是如果一男一女之间。
[00:06:26.470–00:06:27.468] 有性的。
[00:06:28.166–00:06:30.572] 吸引和向往说这叫love。
[00:06:31.686–00:06:32.332] 这叫爱。
[00:06:34.118–00:06:37.484] 而且当时的文艺作品是极其排斥婚内爱的。
[00:06:38.118–00:06:38.636] 就说。
[00:06:40.710–00:06:45.676] 你很难理解这个概念啊，就是说因为爱这个东西出来的时候，他是个独立的人。
[00:06:46.566–00:06:49.484] 东西是是一种新思潮。
[00:06:52.006–00:06:54.188] 他把男女之间的吸引称为爱。
[00:06:55.078–00:07:02.060] 然后呢，迅速的在法国就流行起来，认为哎我跟隔壁的那个王哥有爱。
[00:07:02.726–00:07:05.356] 然后呢大家就觉得哇，你好时尚好高雅啊。
[00:07:05.958–00:07:08.684] 明白这个意思吗？就是他他们认为这是爱。
[00:07:10.886–00:07:23.596] 然后是后来再后来因为需要维护各种社会稳定呀，维护社会和谐呀，又强行的通过一些新的文艺作品，新的思考认为爱。
[00:07:25.126–00:07:26.476] 属于夫妻。
[00:07:28.166–00:07:32.076] 因为夫妻有十万年的历史了，你懂我这个意思吧？
[00:07:34.726–00:07:37.932] 从有人开始，灵长类，从智人开始。
[00:07:38.534–00:07:41.548] 我们说从那个那个智人开始。
[00:07:42.950–00:07:48.204] 八九万年前开始使用使用工具，会说话的那个阶段，就开始一服一起了。
[00:07:48.774–00:07:52.524] 但是爱呢爱情这个玩意儿呢刚出来二三百年。
[00:07:53.574–00:07:54.092] 所以。
[00:07:56.870–00:07:58.220] 爱情啊这个概念。
[00:07:59.046–00:08:00.876] 也就比电影早那么个。
[00:08:01.542–00:08:02.764] 几十年吧，我感觉。
[00:08:04.102–00:08:06.764] 所以他早期的时候是很受电影推崇的。
[00:08:07.334–00:08:10.956] 因为那个时候我们说我们拍一个爱情片，哇啊那。
[00:08:11.462–00:08:13.036] 那是很时髦的话题。
[00:08:13.670–00:08:14.124] 对吧。
[00:08:14.630–00:08:16.652] 但是我感觉爱情的这个劲儿啊。
[00:08:17.126–00:08:19.788] 有点过去了，你想这些年你你。
[00:08:21.638–00:08:27.020] 爱情片已经很少出现了，我不知道同学能不能理解我刚才说的这些啊，就是。
[00:08:27.910–00:08:33.004] 爱情片有点过期了，但是爱情故事还是存在于。
[00:08:33.766–00:08:35.180] 各种电影里面。
[00:08:36.390–00:08:40.236] 为啥这么说？我给大家举个例子啊，我说那个。
[00:08:40.902–00:08:41.772] 泰坦尼克号。
[00:08:42.662–00:08:45.260] 杀人回忆里面是有浓重的。
[00:08:45.766–00:08:48.012] 爱情元素了，因为爱情片这个大电影啊。
[00:08:48.486–00:08:49.932] 又叫情感片。
[00:08:51.782–00:08:56.972] 就说只要是两个人之间浓重的情感啊，都把它归在爱情片里面处理了。
[00:08:58.886–00:09:00.044] 母子情也可以。
[00:09:01.030–00:09:06.444] 兄弟情也可以都可以归在这里面。所以我说像泰坦尼克号。
[00:09:07.462–00:09:08.364] 杀人回忆。
[00:09:09.158–00:09:16.044] 他的嗯主角之间的那种处理方式，用的是爱情故事的思路。
[00:09:17.830–00:09:18.444] 明白吗？
[00:09:19.910–00:09:24.268] 所以我之前说杀人回忆是爱情片，那种说法不太严谨。
[00:09:25.030–00:09:31.468] 有点有有点有点呃有点武断啊，它其实是爱情故事。
[00:09:32.006–00:09:33.740] 爱情故事的处理方式。
[00:09:34.566–00:09:36.620] 纯纯的爱情片已经很少见了。
[00:09:37.478–00:09:40.204] 因为爱情片你要做好这三点是很难的。
[00:09:40.678–00:09:43.052] 就是两个主角之间。
[00:09:44.230–00:09:47.884] 一个有残缺，一个是它的零件很难做到的。
[00:09:49.222–00:09:54.156] 所以我认为现在的爱情片这种做法已经很少了，这是斯奈德。
[00:09:54.822–00:10:07.276] 提出来的啊，其实他说他想表达这个什么意思呢？其实是想表达双方，我们说是这个情感的双方不一定是爱情啊，情感的双方。
[00:10:07.942–00:10:10.764] 互相需要的那个程度很强烈。
[00:10:11.462–00:10:12.044] 就说。
[00:10:13.766–00:10:17.100] 你把这两个看成一个爱情片只要做到两点一。
[00:10:19.174–00:10:22.508] 情感双方互相需要，分不开。
[00:10:22.982–00:10:23.628] 离不开。
[00:10:25.766–00:10:26.540] 明白这意思吗？
[00:10:28.774–00:10:29.196] 2。
[00:10:31.078–00:10:31.916] 他俩不能在一块儿。
[00:10:33.766–00:10:35.244] 就是这个片子最大的张礼。
[00:10:36.038–00:10:38.892] 首先你要拼命的营造他俩离不开。
[00:10:41.062–00:10:41.836] 离不开。
[00:10:43.846–00:10:44.556] 然后再。
[00:10:45.734–00:10:48.076] 给他们制造阻力，他们俩不能在一块。
[00:10:48.838–00:10:50.348] 所以说这是情感类片子。
[00:10:50.822–00:10:51.660] 需要做到的东西。
[00:10:52.582–00:10:57.132] 我们说泰坦尼克号我也说过，我说泰坦尼克号跑上来是爱情片的底子。
[00:10:59.558–00:11:00.812] 他俩是爱情片的底子呀。
[00:11:01.766–00:11:02.348] 互相。
[00:11:02.918–00:11:05.356] 成全互相弥补嘛？你拥有。
[00:11:06.470–00:11:11.692] 我所拥有的我就他俩是互相是是对方的零件。
[00:11:12.550–00:11:14.348] 对吧我是个穷小子。
[00:11:15.334–00:11:22.284] 我最缺的就是钱和地位，其他我什么都有，我有勇气，我有乐观的精神。
[00:11:22.918–00:11:24.588] 我有洒脱的生活态度。
[00:11:25.990–00:11:27.500] 我有一切。
[00:11:28.070–00:11:28.908] 就是没有钱。
[00:11:29.766–00:11:35.660] 然后呢，那个女主角是我有钱，有社会地位，但是我没有快乐，没有自由。
[00:11:36.294–00:11:40.620] 没有追求梦想的勇气和能力和机会。
[00:11:41.702–00:11:43.052] 就是你有的我全都。
[00:11:43.686–00:11:46.796] 没有我想要的你你你都有。
[00:11:47.334–00:12:03.500] 就他俩之间就是互相弥补。所以说我我我说这个斯戴德先生说的主角是残缺的，然后他的另外半是他的零件，我觉得这个说法可以更严谨一点，就是这个那双方互为零件互补是比较好的。
[00:12:06.726–00:12:08.172] 所以你看泰坦尼克号。
[00:12:09.190–00:12:09.964] 跑下来是的。
[00:12:10.694–00:12:11.276] 爱情的底。
[00:12:12.070–00:12:13.228] 然后也不能在一块儿。
[00:12:13.830–00:12:16.588] 不能在一块有沟啊有钩。
[00:12:17.254–00:12:19.852] 但是后来呢他迅速的变成了。
[00:12:20.806–00:12:21.356] 鬼屋了。
[00:12:23.014–00:12:24.108] 迅速变成鬼屋了。
[00:12:25.222–00:12:26.188] 就是灾难来了。
[00:12:27.142–00:12:31.308] 鬼屋片子其实很容易理解啊很容易理解啊鬼屋是什么？
[00:12:31.782–00:12:32.972] 鬼屋是什么片子？
[00:12:34.150–00:12:37.516] 有几个元素啊，一个是一个空间。
[00:12:40.870–00:12:41.740] 一个空间。
[00:12:42.790–00:12:44.268] 对吧一个空间。
[00:12:44.774–00:12:46.444] 然后呢，一个力量。
[00:12:48.198–00:12:50.892] 一个超自然的力量威胁来弄他们。
[00:12:51.398–00:12:51.852] 对吧。
[00:12:52.518–00:12:54.316] 然后呢，一种原罪。
[00:12:58.886–00:12:59.660] 一种原罪。
[00:13:00.422–00:13:00.940] 就是。
[00:13:01.638–00:13:02.924] 在一个密闭的空间里。
[00:13:03.398–00:13:04.364] 来了鬼了。
[00:13:04.870–00:13:08.876] 或者来了一种特别吓人的东西，特别吓人的力量了。
[00:13:09.734–00:13:10.700] 呃。
[00:13:11.942–00:13:16.012] 我们的主角面临生命的危险嘛，密闭空间锁住的呀。
[00:13:18.502–00:13:22.348] 原罪是什么意思呢？就是这个东西啊是你们自己惹来。
[00:13:25.382–00:13:27.660] 是你们自己惹来的，是你们自找的。
[00:13:28.966–00:13:34.700] 是这种片子的一种主题。所以你看泰坦尼克号啊，往往我们把它归在爱情片里。
[00:13:35.654–00:13:37.164] 但其实来。
[00:13:37.638–00:13:38.636] 密闭的空间有没有？
[00:13:40.070–00:13:42.124] 那个船呀你能跑出去啊。
[00:13:42.694–00:13:44.172] 那个游轮你能跑出去吗？
[00:13:44.934–00:13:45.932] 超自然的力量。
[00:13:48.070–00:13:48.684] 冰山。
[00:13:49.542–00:13:50.124] 撞船。
[00:13:50.822–00:13:52.140] 沉默大海。
[00:13:53.382–00:13:55.500] 哪个力量不足以要你的命？
[00:13:56.678–00:13:57.580] 然后原罪。
[00:13:58.246–00:13:58.988] 有没有原罪？
[00:14:00.742–00:14:01.964] 当然有原罪呀。
[00:14:03.302–00:14:06.092] 上来就极力的烘托原罪。
[00:14:07.526–00:14:08.236] 泰坦尼克哈。
[00:14:08.998–00:14:10.828] 世界上最大的一艘游轮。
[00:14:11.622–00:14:16.140] 世界上最豪华的一艘游轮，人类征服自然的标志。
[00:14:17.382–00:14:18.412] 第一次下海。
[00:14:19.782–00:14:23.724] 这就是人类的无知狂妄和对自然缺乏敬畏嘛。
[00:14:25.510–00:14:28.364] 泰坦尼克号上来极力的在宣扬这个元罪啊。
[00:14:29.126–00:14:32.588] 他为什么要说泰坦尼克号是人类征服自然的？
[00:14:33.862–00:14:35.692] 标志性的事件呢。
[00:14:36.358–00:14:38.988] 就是告诉你你要找你你要找死。
[00:14:39.846–00:14:40.524] 你要找死。
[00:14:41.478–00:14:42.636] 所以说鬼物片子。
[00:14:44.774–00:14:50.636] 是这三个元素是核心的一个锁住的空间，一个超自然的力量。还有。
[00:14:51.142–00:14:58.828] 原罪，这一切都是你们自己惹的。所以你看爱情片里的泰坦尼克号，他后半段是不是其实跑到鬼屋去了？
[00:15:00.902–00:15:11.756] 所以我说这个是10种讲故事的方式，并不是10种电影，明白这个意思吗？同样一个电影，泰坦尼克号它前半段，或者是说它既有。
[00:15:12.806–00:15:15.052] 情感故事、爱情故事又有。
[00:15:16.358–00:15:17.452] 鬼屋在。
[00:15:18.022–00:15:19.340] 我们提前把鬼屋说了。
[00:15:19.974–00:15:20.396] 对吧。
[00:15:21.862–00:15:22.540] 超级英雄。
[00:15:23.174–00:15:25.356] 超级英雄也是很古老的故事类型吧。
[00:15:26.182–00:15:46.588] 各种神话传说中，在每一种文化背景的神话传说里，都有超级英雄的片子，对吧？咱们的孙悟空、国外的什么大力神、超人、蜘蛛侠、蝙蝠侠、各个侠嗯整个漫威都是活在超级英雄里边的对吧？当然他也是有有有有有基础的。
[00:15:46.918–00:15:54.060] 我们讲给小朋友听的故事，也很多都是超级英雄。超级英雄片子的要素是什么？我之前其实说过了课程。
[00:15:55.206–00:15:56.268] 我课上说过。
[00:15:59.366–00:16:00.140] 能力。
[00:16:01.574–00:16:02.348] 命门。
[00:16:03.142–00:16:03.852] 对手。
[00:16:05.062–00:16:05.644] 使命？
[00:16:08.230–00:16:10.444] 对吧这是超级英雄片子的。
[00:16:11.142–00:16:11.660] 要素。
[00:16:16.262–00:16:17.068] 侦探类型。
[00:16:17.894–00:16:19.212] 侦探类型片子啊。
[00:16:20.326–00:16:21.452] 啊，也挺古老的。
[00:16:21.990–00:16:24.780] 或者是说也挺典型的吧，看案的嘛。
[00:16:25.798–00:16:28.108] 对吧古古代现在都有啊。
[00:16:28.678–00:16:35.244] 宋词包公对吧？现代的什么福尔摩斯、唐人街探案都属于探案类的片。
[00:16:36.198–00:16:37.420] 看类的片子啊。
[00:16:38.342–00:16:39.628] 呃，三个要素。
[00:16:40.966–00:16:44.908] 三个要素，我看发现斯耐德先生很喜欢用三要素，你发现这个问题了吗？
[00:16:45.702–00:16:46.860] 一个秘密。
[00:16:52.262–00:16:54.444] 一个秘密，一个探秘者。
[00:17:00.646–00:17:02.284] 然后探秘者的自我牺牲。
[00:17:09.510–00:17:10.636] 叛秘者的自我牺牲。
[00:17:11.686–00:17:12.364] 啥意思？
[00:17:13.414–00:17:15.116] 就说你你首先得有个秘密。
[00:17:16.550–00:17:18.508] 这个案子根本看不清啊。
[00:17:20.806–00:17:22.028] 为什么这里叫秘密啊？
[00:17:23.046–00:17:23.724] 观众也不知道。
[00:17:25.990–00:17:27.820] 就是让你观众。
[00:17:28.614–00:17:38.572] 对这个秘密产生了一句，我操，到底谁杀的这个案子到底怎么回事？揭秘嘛？带着观众一起揭秘是这类案子的。
[00:17:39.782–00:17:41.100] 关键点。
[00:17:41.958–00:17:59.948] 拿人的地方打人的地方就上来这个秘密，让观众想知道。然后那谁来解决这个事呢？来了一个探秘者，他可以是一个警察、私家侦探、记者或者就是一个社会青年都可以。反正他他承担了。
[00:18:00.454–00:18:04.492] 带着观众探秘的这个责任，这就是侦探片。
[00:18:05.190–00:18:05.900] 的特点。
[00:18:06.950–00:18:08.524] 这个就回来说那个。
[00:18:09.350–00:18:09.996] 厂银行。
[00:18:10.470–00:18:12.364] 我们说抢银行是金羊毛的骗子。
[00:18:15.174–00:18:17.804] 为什么不在探案片里面？侦探片里面？
[00:18:18.470–00:18:25.836] 我们说那种分类啊，就视频网站那种分类。如果这个片子里面有抢一行，基本上就把它分在最暗题材了。
[00:18:26.438–00:18:26.988] 对不对？
[00:18:28.070–00:18:28.844] 但是在。
[00:18:29.798–00:18:34.988] 故事的1个类型里面，我们把这这个产银行是分在金羊毛的。
[00:18:35.814–00:18:37.484] 因为他没有秘密呀。
[00:18:38.438–00:18:40.972] 主角是这些抢银行的这些贼。
[00:18:42.054–00:18:45.932] 就是你抢的就是你想抢，没有秘密。
[00:18:46.982–00:18:53.836] 他是寻宝明白吗？他只是寻宝的这个方式违法了而已。所以它是金羊毛类的片子。
[00:18:54.310–00:19:00.972] 他案那的片子是什么呢？警察跑到一个银行，发现哎呀这个银行监控毫无。
[00:19:01.766–00:19:05.836] 那个察觉门上也没有撬过的痕迹。
[00:19:06.918–00:19:08.524] 现场也没有任何。
[00:19:09.286–00:19:12.716] 证据，但是一屋子的钱没了。
[00:19:13.510–00:19:26.892] 对吧然后警察局长勃然大怒说必须给我查到。然后银行那些金融大哥说你们查不到就兜着走然后出来一个小警探就说好吧，这个任务就落在我身上。那这个抢银行的案子。
[00:19:28.006–00:19:28.812] 是侦探片。
[00:19:30.918–00:19:32.044] 它是揭秘。
[00:19:32.614–00:19:36.332] 懂我意思吧？你必须有一个秘密，然后有一个探秘者。
[00:19:37.286–00:19:38.828] 自我牺牲啥意思呢？
[00:19:39.334–00:19:41.452] 就是这个探秘者的自我转折。
[00:19:43.142–00:19:48.268] 因为这种故事是从探秘者的角度讲的，所以你这个探秘者在探到一半的时候啊。
[00:19:48.806–00:19:53.324] 必须你需要揭开这个答案的时候，必须做出自我牺牲。
[00:19:53.958–00:19:58.124] 必须改变你平常的行为路径，做出选择。
[00:19:58.662–00:19:59.340] 做出。
[00:20:01.222–00:20:04.076] 正义和真相之间的选择一般是这样的。
[00:20:05.350–00:20:07.788] 或者是真相跟人性之间的一个选择。
[00:20:09.286–00:20:14.700] 这个呃等我具体再给大家说一说，好吧，这是侦探片。
[00:20:15.622–00:20:16.428] 这几个。
[00:20:17.062–00:20:22.316] 呃，要素和窍门这几课信息量很大是吧？听着有点累，是不是？
[00:20:25.350–00:20:30.092] 我们接着往下说啊，回头我统一给大家举一举例子，分析一下好不好？
[00:20:30.630–00:20:31.692] 我们接着往下说啊。
[00:20:33.894–00:20:35.276] 我们说如愿以偿。
[00:20:36.870–00:20:46.188] 也就说这个翻译的不咋地啊，就让人很费解啊，如愿以偿也是个挺常见的类型。你们记不记得第一节课我问你们，你们幻想过吗？
[00:20:48.294–00:20:49.196] 幻想过。
[00:20:50.118–00:20:51.084] 是不是？
[00:20:52.070–00:20:53.772] 琢磨的那些事儿。
[00:20:54.470–00:20:55.628] 万一实现了呢？
[00:20:56.646–00:20:57.740] 那就叫如愿以偿。
[00:20:59.142–00:21:00.332] 那就叫如愿以偿。
[00:21:01.862–00:21:06.028] 就是你想拥有多少钱，他家给你了，西红市首富如愿以偿。
[00:21:08.774–00:21:11.116] 穿越类的片子全部属于。
[00:21:11.750–00:21:12.300] 如愿以偿。
[00:21:12.774–00:21:18.828] 因为穿越你也是想穿越嘛，你想回到小时候呀，那你回去呀，来来来，你回去。
[00:21:20.582–00:21:23.404] 对吧金凯利有好几个片子是如愿以偿。
[00:21:23.942–00:21:26.348] 就我想当上帝来来来，你来来来。
[00:21:26.950–00:21:36.076] 那个那个那个摩平福利慢嘛，说哎，你来吧，你来你来当上帝，你试试，对吧？然后那个金凯丽还有一篇大话王。
[00:21:36.582–00:21:41.676] 对吧他儿子许愿说，我我希望我爸爸永远不会说谎，然后就真的实现了。
[00:21:42.278–00:21:43.340] 他就永远不会说谎了。
[00:21:46.246–00:21:51.084] 如愿以偿，它有几个要素啊，如愿以偿的片子有几个要素，一个愿望。
[00:21:55.142–00:21:56.620] 这个愿望必须是一个。
[00:21:57.190–00:21:58.444] 很多人想过的愿望。
[00:21:59.238–00:22:04.588] 西红市首付那个一大笔钱从天而降，那就是很多人想过这望。所以这个愿望。
[00:22:05.094–00:22:06.060] 必须要有共情。
[00:22:06.598–00:22:07.756] 我想会飞。
[00:22:08.806–00:22:10.700] 啊吧我想当上帝。
[00:22:11.558–00:22:15.436] 这就是是是我想穿越回小时候，重新来过夏洛特烦恼。
[00:22:17.190–00:22:17.772] 愿望。
[00:22:18.278–00:22:19.948] 然后呢，一个咒语。
[00:22:23.398–00:22:25.900] 啥叫咒语啊？其实就是一个规则。
[00:22:27.974–00:22:29.804] 明白吗？规则。
[00:22:31.686–00:22:44.012] 就是你拥有这个实现这个愿望是有一个规则的，是有条件的，是有前提的，不能无法无天，明白这个意思吗？就是把这个愿望的实现增加可信度。
[00:22:45.638–00:22:49.516] 增加可信度。因为实现这个愿望肯定是一个很爽的事情嘛。
[00:22:50.118–00:22:57.228] 上来是个很爽的事情，你不给他不给他点条件和苦头，不给他定一个规则，观众是不买账的。
[00:22:58.310–00:23:07.436] 哦，你说有20亿就有20亿啊，限你30天内花完啊，观众马上觉得，哎嘿嘿看你咋样，对吧？你说给他20亿。
[00:23:08.070–00:23:09.740] 然后呢，没没有，然后就给他。
[00:23:11.942–00:23:16.364] 观众能气死，你知道吧？不行，不行，能给他弄点规则。
[00:23:16.966–00:23:19.244] 所以说这个愿望实现要有个咒语。
[00:23:20.262–00:23:26.668] 要有个咒语，然后如愿以偿类的故事还有个什么要素啊，最后要得到一个教训。
[00:23:29.862–00:23:31.948] 要得长一个教训，啥教训呢？
[00:23:32.998–00:23:34.028] 就是现在挺好。
[00:23:35.654–00:23:36.396] 现在挺好。
[00:23:37.382–00:23:38.220] 别嘚瑟。
[00:23:38.726–00:23:45.932] 别要冤枉了，现在挺好，你去看大话王，你去看冒牌天神，你去看夏洛特烦恼。
[00:23:46.566–00:23:48.396] 你去看西红市首富。
[00:23:49.574–00:23:52.876] 沈腾那片子沈腾成名的几个片子，全是如愿以偿。
[00:23:54.022–00:23:54.828] 你有没有发现？
[00:23:55.526–00:23:59.852] 穿越的西红市首富的沈腾的片子都是如愿以偿。
[00:24:01.798–00:24:02.316] 对吧。
[00:24:03.174–00:24:03.756] 就是。
[00:24:04.262–00:24:07.212] 先实现这个愿望，但这个愿望有代价了，有规则了。
[00:24:07.846–00:24:09.260] 最后得到教训。
[00:24:11.942–00:24:12.492] 什么用啊？
[00:24:13.222–00:24:14.284] 珍惜当下。
[00:24:15.110–00:24:19.372] 熟愿以茶类的片片子，最后的主题往往是珍惜眼前人。
[00:24:21.094–00:24:25.484] 对不对？夏洛特反感珍惜眼镜。我说沈腾的片子都是如愿以偿。
[00:24:25.990–00:24:30.604] 他这是有套路的。你看那个那个呃我们说周星驰的片子。
[00:24:32.230–00:24:34.700] 啊，周星驰的片段没讲到，我们说那个。
[00:24:35.174–00:24:36.140] 那个那个。
[00:24:36.870–00:24:39.244] 金羊毛类的片子，徐峥的片子。
[00:24:41.190–00:24:43.948] 徐峥的片子啊大部分都是金羊谋。
[00:24:46.822–00:24:48.268] 他吃这一口。
[00:24:49.126–00:24:53.356] 你知道吗？那个沈腾吃这一口。
[00:24:54.342–00:24:55.564] 就是他都是如愿以偿。
[00:24:56.518–00:24:57.420] 爱走这一口。
[00:24:58.182–00:25:04.652] 然后呢，麻烦家伙是什么呢？就是周星驰爱走的路线。
[00:25:05.574–00:25:06.860] 周星驰爱走的路线。
[00:25:07.494–00:25:09.004] 其实麻烦翻译的特别不好。
[00:25:09.670–00:25:12.396] 不应该翻译成麻烦家伙，是家伙遇麻烦。
[00:25:14.374–00:25:18.028] 是家伙遇到麻烦，是这么理解，麻烦家伙。
[00:25:19.878–00:25:22.252] 一般是什么呢？一个小人物摊上一个大事儿。
