P013 第六课-剧本的格式6
[00:15:22.630–00:15:32.268] 描述行动完了之后，他开始写剧本呃，他开始写对白的时候，这是第三行的时候，假设这个角色A，然后他就A。
[00:15:33.094–00:15:37.932] 然后再起一行叉叉叉叉叉叉嚓嚓接电话说你好。
[00:15:41.254–00:15:48.588] 然后呢，这个台词居中，而且说话的人和和这个说的台词他可以换行。
[00:15:49.126–00:15:56.780] 还得换行，但咱们中国人写剧本啊，就在这里就在这一行就直接A冒号，然后接他说就完事儿。
[00:15:59.270–00:16:06.284] 有很多人对这件事情有点费解，还老说哎啊，人家好莱坞这个格式比较比较先进。
[00:16:06.854–00:16:08.524] 嗯，肯定有它的好处。
[00:16:10.566–00:16:13.580] 但是咱们嗯会觉得这种写法比较费纸。
[00:16:14.150–00:16:15.084] 要废纸。
[00:16:15.910–00:16:20.172] 我给大家说一下，为什么好莱坞这么写啊，是因为他们剧本是用软件写出来。
[00:16:21.030–00:16:24.524] 他们软件里面有有自动的套用这个格式。
[00:16:25.382–00:16:33.452] 然后呃台词呢就给你做成居中。当然了，这样看起来是比较方便的。你如果光看台词全部带中间。
[00:16:34.054–00:16:35.788] 观看对白，全在中转。
[00:16:36.486–00:16:42.412] 人家为什么这个软件为什么这么写啊？是因为人家这个软件它一页只是一分钟。
[00:16:44.134–00:16:45.676] 这样让你便于计算。
[00:16:46.182–00:16:47.884] 你写了多少分钟的戏了？
[00:16:48.422–00:17:06.156] 然后嘞那你这比如说你这个你这一个很关键的一个事件，你想发生在本系的第45分钟，这样你可以明确的知道你现在就是在45分钟这一页，第45页嘛，就是第45分钟。所以他们好莱坞啊有个软件。
[00:17:07.430–00:17:12.076] 套着这个软件写就是这样一个格式，然后呢一页纸一分钟。
[00:17:12.774–00:17:13.676] 一也挤一分钟。
[00:17:14.342–00:17:18.284] 那咱们中中国有些编剧呢就模仿这种格式。
[00:17:19.654–00:17:26.444] 我觉得没有必要，呃，因为确实废纸确实浪费纸。而且呢你又做不到一夜一分钟，为啥？
[00:17:26.982–00:17:27.628] 你说为啥？
[00:17:28.742–00:17:35.372] 因为他们是用英语写的吗？他们是用英文写的，咱们是用中文写的。
[00:17:36.006–00:17:37.324] 咱们中文呢。
[00:17:39.078–00:17:40.492] 中文的音节效率。
[00:17:40.998–00:17:41.996] 比英文高。
[00:17:42.694–00:17:43.820] 能理解这个意思吗？
[00:17:44.550–00:17:58.700] 就说单位体积的中文表达的意思肯定是比英文要多的。所以你即便是这么写，你一页纸啊也在一分半到1分45秒。
[00:17:59.238–00:17:59.660] 左右。
[00:18:01.254–00:18:22.332] 你也不可能做到一页子一分钟。所以你既然失去这个这个计联意义了，你就你就没有必要模仿模仿他这个模式，就顶头写就完了，对吧？你只不过给你的描述和行动，前面做点符号，实在不行，你真的这个这个对白前面也做个符号，让大家区分的明确一点就行了。所以这个格式啊。
[00:18:22.758–00:18:33.676] 真的不需要去考虑那么多。说到这个音节效率啊，我给大家插一插几句啊，啥叫音节效率？就是你单位的音音节能表达的意思多。
[00:18:34.566–00:18:44.172] 就这个意思，或者说表达一个意思，咱用的音节少，他们英语用的音节多，这是啥区别啊？其实就是越古老的文明。
[00:18:44.678–00:18:46.124] 越大陆的文化。
[00:18:46.854–00:18:48.492] 它的音节效率越高。
[00:18:49.862–00:18:50.860] 比如说咱中国。
[00:18:51.558–00:18:53.324] 呃，这个文明史很长。
[00:18:54.150–00:18:56.460] 这个汉语文明时间很长啊。
[00:18:57.574–00:18:59.084] 咱们的音节效率就很高。
[00:19:02.406–00:19:05.836] 音乐效率高，有利有弊啊，这不是一个纯包义词。
[00:19:07.270–00:19:08.364] 随便说一个词儿啊。
[00:19:09.734–00:19:15.212] 比如说咱那个咱说咱那个那个剧本，一个想要殉职的警察警察。
[00:19:15.686–00:19:22.284] 对吧警察两个音节表达一个意思。但其实这个警察是日本。
[00:19:23.366–00:19:25.260] 传过来的这个词儿，对吧？
[00:19:25.766–00:19:30.636] 它相当于我们白化纹的时候，是相当于我们的白话纹。咱们这骨文比如说叫牙。
[00:19:31.110–00:19:32.108] 或者叫拆。
[00:19:32.646–00:19:39.372] 就一个音节，咱们如果用古文说这个咱们说拆这是个拆或者牙，就一个音节。
[00:19:40.038–00:19:49.356] 然后用白花文呢警查两个音节效率就低一点。两个音节表达一个意思。然后呢，你看英语please.
[00:19:50.214–00:19:54.412] 三个音件，咱们不说police买或者police officer，就police。
[00:19:54.886–00:19:55.596] 三个音节。
[00:19:56.518–00:20:04.076] 对吧英语音节效率就比咱再低一点。那你说如果南美洲、西班牙语pelic西亚四个音节。
[00:20:05.062–00:20:06.124] 表达这一个意思。
[00:20:06.886–00:20:13.804] 所以它就音节效率就偏低，然后它的篇幅就会大，篇幅大，表达意思小，表达意思少。
[00:20:14.694–00:20:19.468] 这是音节效率高，是咱们大大陆文明古老文明的一个优点。
[00:20:20.134–00:20:21.644] 那个所有音件效率啊就。
[00:20:22.310–00:20:25.964] 音节效率高的这些民族啊，唱歌就不行。
[00:20:26.694–00:20:27.916] 音乐都差点意思。
[00:20:28.902–00:20:30.540] 为啥？因为。
[00:20:31.782–00:20:35.372] 你就是说话表达意思太快了，你不需要唱歌。
[00:20:37.286–00:20:37.996] 啥意思？
[00:20:39.142–00:20:42.604] 你看日本日文日文的音节效率极低。
[00:20:43.398–00:20:46.924] 啊，我啊搁这干是呢，口对的，说半天。
[00:20:47.398–00:20:48.684] 表达一点点意思。
[00:20:49.190–00:20:56.492] 然后呢，它音节音节就多，音节一多呢，它就容易哎那呀个呀，它就容易唱起歌来了。
[00:20:57.414–00:21:10.540] 所以你看有句话说嘛，说中国有56个民族，55个能歌善舞，啥意思？就是越少数民族，他他越能歌善舞，就是因为他音节效率低，就比如说。
[00:21:11.686–00:21:16.236] 呃，壮族呀，或者是那些少数民族他为什么呃爱唱歌？
[00:21:16.998–00:21:18.316] 因为他们的词儿少吧。
[00:21:19.462–00:21:22.028] 音节效率低，就说明他们的词少。
[00:21:22.502–00:21:25.068] 同音词多，比如说。
[00:21:25.926–00:21:27.724] 呃，一个壮族。
[00:21:28.326–00:21:34.188] 农家一个女孩，她爹在山上那耕地，她想把叫他爹回来吃饭。
[00:21:35.142–00:21:50.316] 假设是个咱是个汉族，用汉语聊这个事儿，就说爸回来吃饭解决了完事了，爸就听见了，哎回来了就完事了，对吧？但是少数民族语言父亲有可能和太阳。
[00:21:51.462–00:21:52.428] 是同一个词儿。
[00:21:53.318–00:21:56.940] 很有可能父亲跟太阳在很多语言里面是同一个词，对吧？
[00:21:57.734–00:21:59.308] 然后呢，父亲。
[00:22:00.326–00:22:02.924] 跟大公鸡有可能也是同一个词儿。
[00:22:04.454–00:22:04.908] 对吧。
[00:22:05.478–00:22:07.852] 父亲跟大山也有可能是同一个词。
[00:22:09.254–00:22:10.412] 然后呢，他就说。
[00:22:11.046–00:22:12.428] 爸回来吃饭吧。
[00:22:13.062–00:22:16.780] 他爸还在那耕地呢，他以为你叫大公鸡呢，或者是叫太阳。
[00:22:17.670–00:22:19.724] 所以你得你得前面描述。
[00:22:20.806–00:22:23.404] 你就不能说单纯的说爸回来吃饭。
[00:22:23.974–00:22:24.748] 你得说。
[00:22:26.982–00:22:32.332] 挥舞着双手，正在劳动的我慈祥的父亲啊。
[00:22:32.966–00:22:36.268] 你得加各种定语才能区分开。
[00:22:36.742–00:22:39.340] 你如果只说强壮的父亲啊。
[00:22:40.518–00:22:42.732] 强壮的父亲有可能同时表达。
[00:22:43.270–00:22:44.396] 炙热的太阳。
[00:22:44.998–00:22:59.244] 是吧父亲跟太阳是同义词呀，所以他说强壮的父亲啊回来吃饭呀。然后你爹呢听到是你你说太阳很炙热，你有病吧，爹对吧？他不回来，所以你必须这一套词。
[00:22:59.718–00:23:00.204] 对吧。
[00:23:01.030–00:23:05.036] 呃，这个正在半山腰挥动着双手。
[00:23:05.894–00:23:08.940] 辛勤劳动的我慈祥的父亲呀。
[00:23:09.926–00:23:19.308] 快迈开你的步伐，矫健的步伐，回到我们温暖的家园，吃一碗香喷喷的饭吧。他这句话就得这么表达。
[00:23:19.942–00:23:23.756] 这么长的一段话，他不由自主的他就唱起歌来了。
[00:23:24.806–00:23:31.724] 所以所以你看少数民族为什么载歌载舞的？就是因为他们呃语言音节效率。
[00:23:32.262–00:23:32.876] 比。
[00:23:33.510–00:23:40.972] 古老文明要低一点，因为古老文明这个文明时间太长了，他已经把词儿啊，他这些词细化的。
[00:23:41.670–00:23:44.684] 爹回来吃饭，毫无意义毫无意义。
[00:23:45.446–00:23:47.116] 他就他就应接效率就低了。
[00:23:48.070–00:24:03.372] 我们说你看咱们汉人的歌，咱们这个中国汉语的歌曲跟那个那个那个其他二的文明的歌曲差距很大。咱们的写歌的水平确实挺差。日本为什么作曲那么牛逼？就是因为他音阶效率极低。
[00:24:04.262–00:24:08.844] 日本的歌一听就知道哪些是日本的歌儿，举几个例子啊，你看。
[00:24:09.894–00:24:16.556] 这首歌刘若英那首很爱很爱你哼，这首歌绝对是日语。
[00:24:18.406–00:24:20.652] 我不知道是不是啊，但我感觉是。
[00:24:21.158–00:24:26.828] 为啥你看他效率多低呀，哒哒哒哒哒才表达了一个他爱你。
[00:24:29.126–00:24:36.460] 然后呢，他为了这个一看这翻译成汉语之后有点单薄，然后他就重复很爱很爱你。
[00:24:37.318–00:24:51.980] 这典型的不是咱们汉人写的歌，汉人就中国人写的歌，你去看看，你去看中国人写歌比较有代表性的的这个李李宗盛、罗大佑、崔健他们那写的歌，我跟你说。
[00:24:53.062–00:25:02.348] 他们那一首歌恨不得这800字1000字，你知道吧？为你我用了半年的积蓄漂洋过海的来看你。
[00:25:02.982–00:25:04.044] 就这么一句词儿。
[00:25:04.742–00:25:25.820] 就这么一曲一句词，拍成戏的拍15分钟，为你我用了半年的积蓄，漂洋过海的来看你这个效率之高啊，就这么一一句歌词，效率极其高，表达了无数多的意思。但这这个旋律，如果谱上日文词，可能就是表达了一句我想你我真的很想你。
[00:25:28.998–00:25:31.276] 就是这就是音节效率的差距。
[00:25:32.550–00:25:42.764] 回到咱这个剧本啊，我就想说什么呢？咱没必要去说远了是吧？咱回到这个剧本啊，回到这个剧本。
[00:25:43.590–00:26:02.764] 就是什么意思呢？咱没必要去模仿好莱坞的模式，咱就用咱的模式。咱的模式呢一页纸啊，你如果用小四字体，其实字体也没有严格的规定。一般来说用小四是为什么啊呃是因为再小的话呢，老演员看不清了。
[00:26:03.334–00:26:04.460] 他们必须得在。
[00:26:05.030–00:26:15.052] 自己再单独打一套剧本，老演员一套，年轻人一套，很多剧组老演员一套剧本，年轻人一套剧本，所以字也不能再小了。一般来说这个这个字号的话。
[00:26:15.782–00:26:18.284] 按照这种格式写一页纸。
[00:26:24.198–00:26:26.956] 大家看也看编剧习惯啊，有些编剧废话多。
[00:26:28.998–00:26:33.260] 所以呢一般来说你看一个一部电影，假设这电影。
[00:26:34.022–00:26:34.924] 2个小时。
[00:26:36.742–00:26:37.868] 两个小时的话。
[00:26:39.142–00:26:41.292] 那就是120分钟。
[00:26:42.534–00:26:53.292] 八九十页八九十页是，当然我们不一定非按页数去去去理解这个事儿啊。按字数的话，我们算300字1分钟吧，我们可以这么算。
[00:26:53.862–00:27:01.836] 因为正常语速一秒钟说五六个字。假设你的剧本全是台词，一分钟的话，那就是300多个字儿吧。
[00:27:03.142–00:27:03.820] 300多个字儿。
[00:27:04.518–00:27:25.724] 所以你按一分钟300来个字儿去折350个字，比如你去折也可以。当然你剧本不是全是台词，但是你的描述不也是要拍出来的嘛？早上这个这个这个这个办公室如何的忙碌，他俩在争吵，他在偷偷干什么，他他在扫地，你这些描述他也要拍。
[00:27:25.926–00:27:29.932] 拍出来拍出来它也是耗时长的。所以一般来说按照。
[00:27:30.470–00:27:32.908] 一分钟算他350次。
[00:27:34.630–00:27:35.884] 按次算也行。
[00:27:36.422–00:27:41.868] 然后按场算的话，一一般来说啊，如果是电影一部电影。
[00:27:42.694–00:27:44.652] 120分钟的话，那可能是。
[00:27:45.126–00:27:47.756] 七八十场戏，就说你这个厂。
[00:27:48.710–00:27:54.572] 七八十场八九十场都有可能看你这个这个分的细不细碎。
[00:27:55.206–00:27:58.348] 所以说这些东西啊这个格式这个东西啊。
[00:27:59.174–00:28:01.196] 它只是一个方便。
[00:28:01.734–00:28:06.604] 统一一下格式，方便一下大家工作，方便一下各部门开展工作。
[00:28:07.974–00:28:16.428] 当然你可以有你的习惯，包括你包括分场，他就有有有一些很浓重的个人习惯在里面，对吧？包括描述。
[00:28:18.566–00:28:19.596] 一般来说是这样。
[00:28:20.678–00:28:39.340] 当然啊那你看我写剧本的过程中，当然也遇到过一些特殊的情况。你一行字人家得拍哎七八分钟，当然有可能了。比如说追车戏，你作为编剧来，你写头文字低，一场追车山间追车戏，你再怎么描述。
[00:28:40.006–00:28:41.324] 你也描述不清楚。
