P015 第八课-勾勒画面8.1
[00:06:07.526–00:06:13.580] 对吧就我说的那个这个这个老李小时候命运多舛，他可以写。
[00:06:14.470–00:06:33.292] 他可以写，他信笔就写，对吧？他说这个老李外表冷漠，内心狂热，心笔就写。然后呢，他说这个老李呃呃这个跟他老婆貌合神离，他随便就写。但问题你貌合神离，你你不给我事儿。
[00:06:34.118–00:06:42.860] 我怎么拍人家貌合审离，你得给我个事儿描述一下他们俩人的状态，这就是最大的区别。所以咱这节课呢。
[00:06:45.126–00:06:55.948] 这三样东西呃大纲就是说必须用画面来开始用从大纲开始必须用画面讲故事了。咱们这节课就叫勾勒画面，好吧。
[00:07:00.390–00:07:02.028] 咱这节课就叫勾勒的画面。
[00:07:04.166–00:07:07.116] 然后我上节课呀给大家拉了一下。
[00:07:07.750–00:07:09.996] 所谓的四目式记得吗？
[00:07:10.726–00:07:21.228] 既然要拿事说话，那都写些什么事儿呢？这不就是又来一个又来一个难点了吗？大家好不容易把梗概掌握了，现在要写大纲了，又出难点了。
[00:07:21.894–00:07:29.420] 咱先不说这个字数上的难点，一下从1000字扩到1万字。但其实你要真把信息都传达了，一万字都不够。
[00:07:30.022–00:07:33.452] 我上节课给大家说了，咱们的四目式记得吗？
[00:07:34.758–00:07:43.724] 记得四模式吗？三模式是建制冲突解决对吧？然后冲突那分成两个部分，就是推进。
[00:07:44.486–00:07:45.100] 赚着了。
[00:07:45.670–00:07:46.508] 然后呢。
[00:07:48.038–00:07:49.932] 其实就暗合我们的。
[00:07:51.462–00:07:58.284] 启程转合，我们就用咱们中国人说的启程转合比较好理解，好吧。
[00:07:58.982–00:08:00.012] 假设啊。
[00:08:00.550–00:08:03.980] 来，我们从这儿开始啊，假设。
[00:08:06.182–00:08:08.268] 这是我们的故事线，好吧。
[00:08:09.190–00:08:10.956] 我们说起。
[00:08:15.622–00:08:20.428] 我们把它一分为四，好吧，从时间上就是一分为四嘛。
[00:08:20.966–00:08:21.644] 记得吧？
[00:08:24.326–00:08:24.972] 转。
[00:08:26.662–00:08:27.212] 和。
[00:08:28.646–00:08:29.676] 我们说假设。
[00:08:31.846–00:08:33.164] 时间上一分为4。
[00:08:33.862–00:08:36.524] 一条线性故事启成转合。
[00:08:37.382–00:08:38.572] 我昨天给大家说了。
[00:08:39.206–00:08:40.780] 起成转合。
[00:08:43.718–00:08:44.396] 四段儿。
[00:08:46.982–00:08:47.948] 打三个点。
[00:08:49.190–00:08:50.316] 再加上两头。
[00:08:50.982–00:08:51.788] 五件事儿。
[00:08:53.030–00:08:53.548] 对吧。
[00:08:54.182–00:08:55.756] 我们说开场一件事儿。
[00:09:00.550–00:09:02.092] 这里是高潮一件事儿。
[00:09:05.254–00:09:05.868] 记得吧？
[00:09:06.630–00:09:11.212] 开场一件事儿高潮一件事儿。而且我跟大家说过，开场。
[00:09:12.422–00:09:13.516] 必须是事件。
[00:09:15.334–00:09:16.300] 事儿上开。
[00:09:16.806–00:09:22.508] 结束必须是高潮，一个电影推到最高的时候把它收掉。
[00:09:23.302–00:09:25.964] 然后中间三个打点是什么来着？
[00:09:27.718–00:09:28.364] 激励。
[00:09:32.806–00:09:36.556] 这个词应该是大家的老朋友了啊，很熟悉了啊。
[00:09:37.222–00:09:37.836] 然后。
[00:09:39.110–00:09:39.884] 这里是什么？
[00:09:40.806–00:09:41.516] 转折。
[00:09:44.102–00:09:44.620] 记得吗？
[00:09:46.598–00:09:47.404] 这里是什么？
[00:09:48.934–00:09:49.644] 危机。
[00:09:53.638–00:09:54.796] 我们说你看啊。
[00:09:55.558–00:09:57.804] 一个故事如果分四段。
[00:09:58.406–00:10:00.204] 分四段，那就是打5个点。
[00:10:00.774–00:10:08.140] 那就是开场一件事儿，激励一件事儿，转折一件事，危机一件事儿高潮一件事儿，这就有5件事儿。
[00:10:10.406–00:10:12.364] 但是五件事儿当中。
[00:10:14.790–00:10:16.140] 这块怎么度过呢？
[00:10:20.678–00:10:21.772] 我们把它填满。
[00:10:23.014–00:10:23.436] 好了？
[00:10:24.230–00:10:37.452] 这里呢概念性的东西会有一些，但是我一定咱们叫实战课程，我一定给大家举例子，带着大家学会这些东西，大家不要觉得它枯燥，好吧，没有问题的，启程转合四目式。
[00:10:38.502–00:10:39.724] 用5件。
[00:10:40.198–00:10:44.300] 一般来说啊一般来说我们说启承转合是木。
[00:10:44.870–00:10:47.244] 对不对？木这叫木。
[00:10:49.222–00:10:51.692] 这是一个剧本最大的。
[00:10:52.518–00:10:59.436] 单位叫木。然后呢，我们说最后这个剧尾呈现出来的最小单位是什么来着？是场。
[00:11:00.358–00:11:02.412] 然后呢，在木跟长。
[00:11:02.886–00:11:14.988] 之间你不可能说我写四目，我先起一个事儿乘一个事，转一个事儿，合一个事儿，四个事儿就把剧本干下来了，那是不可能的对吧？你不可能按照这四个去写场。
[00:11:16.358–00:11:22.892] 那我们在木根厂之间还有一个过渡单位，一般来说啊叫序列。
[00:11:25.894–00:11:27.884] 也就是说把木再细化一下。
[00:11:28.614–00:11:29.740] 再细分一下。
[00:11:30.342–00:11:32.140] 然后呢，这样的话便于你。
[00:11:33.894–00:11:34.476] 左手。
[00:11:35.238–00:11:36.844] 往里填内容了。
[00:11:37.926–00:11:49.708] 一般来说叫序列。好吧，如果你在其他的教材上看到一些节拍的啊也是也是也有那么叫的，大家不要觉得陌生，是这样啊。
[00:11:50.566–00:11:52.236] 我在这里插一句话啊。
[00:11:53.414–00:11:55.148] 边去教学。
[00:11:56.838–00:12:01.228] 虽然是技术，我我一直坚持认为编剧教学。
[00:12:01.830–00:12:05.164] 是先学技术，在技术的基础上。
[00:12:05.958–00:12:07.084] 去发展艺术。
[00:12:08.230–00:12:12.364] 但是它毕竟是一个技术跟艺术相结合的东西。
[00:12:13.126–00:12:13.932] 所以呢。
[00:12:14.694–00:12:16.076] 他永远没有一个。
[00:12:17.158–00:12:18.604] 非常确定的。
[00:12:21.030–00:12:23.820] 百分之百正确的那种方式方法。
[00:12:25.958–00:12:27.244] 他就像奥运会一样。
[00:12:29.062–00:12:33.228] 奥运会上，你说来赛跑哗跑。
[00:12:34.278–00:12:37.708] 刘翔赢没赢，得没得第一，一目了然。
[00:12:38.310–00:12:42.380] 对不对？赢了就是赢了，跑的最快的那个就他就在前头。
[00:12:42.886–00:12:45.612] 这种呢就属于竞技性的竞技体育。
[00:12:46.246–00:12:46.924] 一目了然。
[00:12:47.814–00:12:57.548] 然后剧本这个东西呢，你说有没有技术，也有也有谁强强谁弱。但是呢它有点像艺术体操，就你做完了之后呢。
[00:12:58.502–00:12:59.980] 这个胜负需要。
[00:13:01.510–00:13:02.892] 大家去评判。
[00:13:03.494–00:13:09.132] 对吧而且呢因人而异，有些人就觉得那个你跳的更好。
[00:13:09.958–00:13:12.172] 所以这个这个它就是在这儿。
[00:13:12.902–00:13:14.796] 所以剧本这个东西呢也是这样。
[00:13:15.334–00:13:16.844] 他有没有高下之分？
[00:13:17.574–00:13:22.796] 有有没有高下好坏，当然有，但是是不是就是那么的。
[00:13:26.342–00:13:26.828] 不好说。
[00:13:27.398–00:13:47.452] 所以剧本教学也是这样，刘派挺多的，说法挺多的。有些人呢就认这一门，有些人呢认那一门互相之间文人相亲就瞧不上。我跟你讲，只有文人才相亲，5人没有相亲的。你如果说五人相亲，你就插这个腰，他刘霞刘霞算个屁，那刘霞肯定说来来。
[00:13:47.526–00:13:48.748] 来，咱俩这跑跑。
[00:13:49.414–00:13:58.412] 对吧掐这个腰说哎哎呀，张伟丽张伟丽你这算个什么呀？我上去都能笑了。张伟丽肯定说，那来咱俩打一场。
[00:14:00.006–00:14:05.612] 对吧就是文人相亲，武人没有相亲的，你相亲，他揍你。
[00:14:06.470–00:14:09.516] 对吧所以说咱们这个编剧啊。
[00:14:10.502–00:14:14.028] 你会看到很多很多的说法，包括这个序列啊。
[00:14:14.822–00:14:22.476] 我说你看啊五四目式五个风向事件加上序列，我给你填上之后会是10个序列。
[00:14:24.806–00:14:32.812] 也有人不同意的，也有人说，哎，我我细分了一下，我习惯写13个序列。还有人说我习惯用八序列。
[00:14:33.894–00:14:34.412] 都有。
[00:14:35.462–00:14:45.484] 你们先不用去受受干扰。我呢每种方法我都研究过，我给你们讲出来的就是便于大家最容易理解，最最容易。
[00:14:46.822–00:14:52.268] 展开工作的我们为啥叫实战嘛？对吧？我们从实战角度出发。
[00:14:52.934–00:15:08.652] 大家不要去困惑，我知道有很多人就是看比较现在这几年比较流行的那种节牌器那种书。那个我后面会给大家讲它有什么优点和缺点。在这里呢，我们先按照序列去理解一个故事，因为这是最传统的。
[00:15:09.190–00:15:12.172] 好吧，废话就说这么多，我们接着说序列。
[00:15:13.446–00:15:21.004] 我们说你看啊这5个部分其实是管着你起承转和骨节上的。
[00:15:21.926–00:15:26.124] 关节位置的事儿等于呢它是。
[00:15:28.838–00:15:35.148] 相当于风向标就到路口了，往哪走，它是路口的事儿，但是路上你不是。
[00:15:35.782–00:15:36.940] 你还得有事儿吗？
[00:15:37.734–00:15:41.964] 所以把它补上好吧，把它补上来。
[00:15:42.598–00:15:46.924] 开场到激励之间，这儿呢叫切入。
[00:15:49.702–00:15:50.828] 只成切人了呢。
[00:15:52.070–00:15:53.068] 75啊。
[00:15:57.190–00:15:57.964] 切入实界。
[00:16:00.134–00:16:04.140] 激励到转折之间，这叫进展事件。
[00:16:08.870–00:16:10.828] 转折到危机之间。
[00:16:12.166–00:16:13.100] 叫再转。
[00:16:14.470–00:16:15.180] 世界。
[00:16:20.710–00:16:22.860] 危机到高潮之间。
[00:16:23.430–00:16:24.812] 叫导入事件。
[00:16:26.918–00:16:28.204] 然后这是9个。
[00:16:29.382–00:16:30.988] 记得我跟大家说过一句话吧。
[00:16:31.718–00:16:37.900] 这个在最早的第三课第四课的时候，我说过你所有的东西写完之后啊。
[00:16:39.302–00:16:40.812] 赠送大家一个结局。
[00:16:42.246–00:16:50.092] 结局是送的，因为他已经无关大局了，但是必须要有为什么呢？他是观众情绪最后的一个。
[00:16:50.854–00:16:51.852] 安放点。
[00:16:52.966–00:17:01.228] 对吧就是我给大家举的那个例子，那个一个想要殉职的警察，他把所有的主题所有的故事都实现，都讲完了之后，至于他最后死没死。
[00:17:02.214–00:17:03.948] 就根据当时的情绪。
[00:17:04.486–00:17:05.868] 送给观众这个。
[00:17:06.534–00:17:13.772] 让观众情绪宣泄一下。所以呢最后有一个在高潮后面又续一个结局。
[00:17:14.598–00:17:16.108] 他是私募以外的。
[00:17:16.838–00:17:17.580] 是赠送的。
[00:17:18.214–00:17:18.860] 你看看。
[00:17:19.526–00:17:20.908] 是不是十件事儿？
[00:17:21.990–00:17:22.668] 10个。
[00:17:24.774–00:17:25.676] 这就叫序列。
[00:17:26.342–00:17:27.084] 1个序列。
[00:17:28.070–00:17:29.036] 我们这一项。
[00:17:29.734–00:17:32.108] 就妥了，你要10个序列。
[00:17:33.414–00:17:37.900] 写明白了，那你这剧本大纲就妥妥的，妥妥的。
[00:17:39.590–00:17:45.868] 我们看这十0个序列，我跟他为什么5个5个给大家讲呢？你看啊隔一个跳一个是比较重要的。
[00:17:47.078–00:17:50.700] 开场激励转折、危机高潮。
[00:17:51.622–00:18:00.620] 都是硬词儿。另外5个呢切入一下，进展一下，再转一下，导入一下，对吧？都是过渡型的。
[00:18:01.446–00:18:02.156] 所以说。
[00:18:02.630–00:18:04.556] 这10个序列我们明白。
[00:18:05.830–00:18:06.508] 就可以。
[00:18:07.142–00:18:08.364] 往上填肉。
[00:18:08.838–00:18:09.548] 填故事了。
[00:18:10.022–00:18:17.516] 我们先来看一下这10个序列，从定义上它都负责些什么，好吧，我们说这10个。
[00:18:18.054–00:18:21.356] 1个序列，其中5个是。
[00:18:23.654–00:18:27.084] 风向型的路标型的路口的那事儿。
[00:18:27.654–00:18:28.428] 比较重要。
[00:18:29.318–00:18:31.660] 然后另外5个呢是服务。
[00:18:32.454–00:18:33.484] 风向事件的。
[00:18:34.502–00:18:50.060] 开场主要负责什么呢？其实开场他需要交代主角的身份、环境、基本情况，这些是肯定的，这些是必须要交代的。第一场是必须要把这些事情做做掉的，就说这是一个什么样的世界观。
[00:18:51.398–00:19:03.372] 这个世界是一个什么样的世界？这个主角是一个什么样的主角？他呢基本的问题，他人物的身份，包括他那个附加值的身份描述全部要在第一场。
[00:19:04.134–00:19:05.292] 开场里面半掉的。
[00:19:06.566–00:19:13.580] 所以开场戏除了交代信，他大量的向观众传输信息以外，它的作用。
[00:19:14.534–00:19:22.508] 那个是他的责任，传输信息是它的基本责任，但它的作用其实是引起兴趣。
[00:19:24.454–00:19:26.156] 引起大家观看的兴趣啊。
[00:19:27.686–00:19:29.388] 你这才是你第一场戏。
[00:19:30.950–00:19:34.636] 需要做到的事情，传达信息，那是及格线，好吧。
[00:19:36.582–00:19:37.708] 然后激励事件。
[00:19:38.214–00:19:44.460] 是什么呢？激励事件是核心问题展现，这核心问题的发端呢。
[00:19:45.990–00:19:50.732] 就是你核心要处理的那个事儿，在激利事件出来了，有可能是激励出来的。
[00:19:51.878–00:19:53.420] 对吧就是激励出来的嘛。
[00:19:54.054–00:20:00.588] 那么开场到激励事件这个切入是啥意思呢？切入事件是除了继续。
[00:20:02.054–00:20:02.924] 延续。
[00:20:03.974–00:20:05.452] 这个主角的。
[00:20:06.182–00:20:07.340] 各种信息。
[00:20:07.814–00:20:09.708] 延续和强化他的信息。
[00:20:10.790–00:20:14.124] 更主要的是什么呢？铺垫这个吉理事件。
[00:20:16.006–00:20:17.036] 是一个铺垫作用。
[00:20:23.654–00:20:24.556] 转折事件。
[00:20:25.606–00:20:26.604] 转折事件。
[00:20:27.462–00:20:29.772] 那字面上理解，那肯定就是个转折嘛。
[00:20:30.374–00:20:36.588] 但是呢在这里它的最重要的体现形式是什么呢？是主角。
[00:20:38.022–00:20:47.308] 我们提供的那些核心信息，那些信息提供的关于主角的那些信息，有一个一有一个重要因素发生。
[00:20:47.974–00:20:53.068] 方向上或者程度上的转变，就是有一个重要的因素要变。
[00:20:55.174–00:20:56.364] 一个因素改变。
[00:20:57.190–00:21:00.204] 才能导致这个转折。所以在这里一定要有一个。
[00:21:01.926–00:21:03.596] 因素因素改变了。
[00:21:04.902–00:21:07.532] 那出现核心问题到。
[00:21:09.158–00:21:12.044] 有一个重要因素改变之间的这个进展是什么呢？
[00:21:13.766–00:21:15.308] 往往就是我们说的。
[00:21:16.198–00:21:17.132] 依次动作。
[00:21:18.854–00:21:19.724] 依次动作。
[00:21:21.830–00:21:22.444] 就是。
[00:21:23.942–00:21:25.100] 主角在。
[00:21:25.638–00:21:27.052] 被激励了以后。
[00:21:27.846–00:21:29.004] 开始做的。
[00:21:30.086–00:21:31.276] 那些无效的。
[00:21:32.038–00:21:32.684] 尝试。
[00:21:33.350–00:21:35.692] 其实是所以他这里啊。
[00:21:37.190–00:21:38.316] 做的一些无效。
[00:21:38.918–00:21:39.436] 的事情。
[00:21:40.678–00:21:47.052] 然后那在转折下面紧接着一个路标型的事件，就是危机。
[00:21:47.526–00:21:48.908] 危机很容易理解。
[00:21:50.086–00:21:50.700] 就是。
[00:21:51.974–00:21:55.660] 主角遇到的最大考验或者是对手最强的。
[00:21:56.550–00:21:58.028] 攻击的时候。
[00:21:58.822–00:21:59.756] 最大考验。
[00:22:10.726–00:22:12.972] 遇到最大考验的时候，就是这个危机。
[00:22:14.950–00:22:16.684] 那么在转折。
[00:22:18.118–00:22:19.404] 到最大危机。
[00:22:24.102–00:22:25.388] 一个因素发生改变了。
[00:22:26.118–00:22:30.892] 导致转折，但是他在到达最大的考验，最大的危机当中。
[00:22:34.694–00:22:35.724] 发生了什么事呢？
[00:22:36.710–00:22:37.804] 往往就是。
[00:22:38.726–00:22:40.556] 主角铤而走险。
[00:22:41.702–00:22:43.372] 往往就是主角铤而走险。
[00:22:48.358–00:22:50.572] 或者叫主角放手一搏。
[00:22:51.078–00:22:51.596] 在这里。
[00:22:52.166–00:22:58.508] 就是因为因素改变，为什么叫再转，主角也进行了策略上的调整。
[00:22:59.238–00:23:00.620] 他来应对这个改变。
[00:23:03.622–00:23:06.988] 他应对因素的改变自己也做出改变。
[00:23:07.526–00:23:09.708] 所以一般是是这么个玩意儿。
[00:23:10.342–00:23:11.628] 然后最大的考验。
[00:23:12.358–00:23:20.300] 下一个风向路标的这个事件是高潮，高潮是个啥玩意儿呢？高潮其实就是核心问题的解决。
[00:23:21.606–00:23:24.780] 就是核心问题的解决。
[00:23:27.590–00:23:28.236] 就是高潮。
[00:23:29.158–00:23:29.900] 就是高潮。
[00:23:30.470–00:23:36.460] 然后呢，在最大的考验和核心问题解决之前之间。
[00:23:38.022–00:23:40.460] 那就是一个导入事件，其实是。
[00:23:41.062–00:23:42.604] 增强情绪烈度的。
[00:23:43.558–00:23:48.556] 就是让这个危危机和到高潮解决之前。
[00:23:49.862–00:23:55.820] 大家就都在考虑这个最大的危机和最后最后的解决这个情绪烈度。
[00:23:56.934–00:24:02.540] 在这里煽风点火，其实是这么个作用，让观众更着急，增加一个烈度。
[00:24:03.206–00:24:03.660] 这里。
[00:24:06.630–00:24:07.436] 然后最后。
[00:24:07.974–00:24:08.876] 给一个结局。
[00:24:09.798–00:24:12.940] 我们说是赠送了，其实是帮助。
[00:24:15.142–00:24:17.932] 帮助观众安放情绪。
[00:24:19.494–00:24:21.036] 帮助观众安放情绪。
[00:24:21.862–00:24:37.708] 我们不是说过吗？那个那个殉职的那个警察，你最后是让他死，还是让他活，让他抓住坏人，还是让他没抓住坏人，甚至说不光让他活，还让他得到一段美好的爱情。那个结局我我说过呃都行，看情况。
[00:24:38.406–00:24:44.108] 为啥就是看情绪，其实是就是看到那儿之后，这个观众这是情绪。
[00:24:44.678–00:24:46.380] 在一个什么样的一个程度上。
[00:24:47.814–00:24:48.684] 所以你看啊。
[00:24:49.190–00:24:50.412] 咱们就是假了。
[00:24:51.334–00:24:52.364] 私幕式里面。
[00:24:53.798–00:24:55.724] 起成转合来切。
[00:24:56.454–00:24:57.452] 有5个。
[00:24:59.366–00:25:01.004] 5个路标型的。
[00:25:01.958–00:25:04.556] 路标型的事件在坎节上。
[00:25:05.158–00:25:06.220] 然后还有5个。
[00:25:07.910–00:25:09.996] 过渡性的事件组成了。
[00:25:11.046–00:25:12.076] 10个序列。
[00:25:12.678–00:25:20.268] 你根据根据这10个序列完成这10个序列的任务，那么你这个大纲就有了。
[00:25:21.862–00:25:30.412] 当然了，这些都是事儿。我上集说过，事儿上见大纲事儿上见，因为他们必须能勾勒出画面。
[00:25:34.374–00:25:38.796] 要么是什么样的一个环境场景画面。
[00:25:39.366–00:25:42.412] 要么是角色采取了一个什么样的行动？
[00:25:44.262–00:25:46.060] 要么是角色之间的。
[00:25:46.534–00:25:47.180] 对白。
[00:25:48.774–00:25:49.708] 全部用画面来去。
[00:25:52.422–00:25:55.436] 有没有例外呢？就画面以外的东西呢。
[00:25:56.038–00:25:56.492] 有。
[00:25:57.190–00:26:02.764] 你们早晚要问，我就给你们讲一讲，有两样东西是在画面以外的。
[00:26:06.374–00:26:07.212] 一个是。
[00:26:09.606–00:26:11.052] 叫旁白。
[00:26:12.998–00:26:14.124] 或者叫白呀。
[00:26:15.462–00:26:17.516] 因为他有时候不是旁白，有时候是。
[00:26:18.470–00:26:20.332] 主角自己在那摆。
[00:26:21.094–00:26:22.668] 内心独白。比如说。
[00:26:24.230–00:26:24.972] 这是一种。
[00:26:27.270–00:26:28.300] 还有一种呢。
[00:26:29.894–00:26:30.764] 就闪回。
[00:26:33.766–00:26:42.988] 或者回忆其实闪回是能用画面拍出来的。但是我为什么把它跟跟旁白是归在一块儿呢？就这两样的东西。
[00:26:43.494–00:26:45.356] 我非常不推荐大家用。
[00:26:47.110–00:26:48.140] 至少现阶段。
[00:26:49.382–00:26:49.964] 别用。
[00:26:51.878–00:26:52.748] 为什么啊？
[00:26:53.638–00:26:55.980] 你说有的成功作品里有没有这些。
[00:26:58.022–00:27:01.548] 有一些牛逼的电影电视剧里面有这两样东西。
[00:27:02.630–00:27:05.036] 但是那都都是什么情况下啊？
[00:27:05.862–00:27:10.540] 就是你的信息量，你一个影片所传达的信息点。
[00:27:11.206–00:27:14.284] 过于多，你的画面都装不下。
[00:27:16.518–00:27:21.420] 然后这时候作家或者是创作者选择了用。
[00:27:21.958–00:27:22.860] 一部分白。
[00:27:24.070–00:27:25.420] 来表达这个意思。
[00:27:26.022–00:27:29.324] 这是被允许的这是被允许，而且被理解。
[00:27:29.830–00:27:30.668] 被赞赏的。
[00:27:31.398–00:27:33.580] 因为他给我们的东西太多了。
[00:27:35.846–00:27:36.428] 明白吧？
[00:27:37.158–00:27:38.508] 就像饭店来上菜。
[00:27:39.238–00:27:53.388] 一盘子龙虾，一盘子螃蟹，然后呢跟你说，哎呦，这儿有几只鲍鱼，盘子里面装不下了，我拿了个小碟儿盛给你行吗？虽然有失体统，但是我们说这拿来拿来挺好拿来。
[00:27:54.566–00:27:55.404] 是不是啊？
[00:27:56.422–00:27:57.484] 明白这个意思吗？
[00:27:58.054–00:28:08.524] 但是你不能说来你你好家伙，你写个剧本，你的画面空空，细息聊聊。然后呢，你跟客人说哎。
