P090 编剧视角拉片励志电影《肖申克的救赎》一
[00:06:39.942–00:06:50.444] 那个red赌安y会第一个崩溃，压住压在他身上了。你看这是个赌局，两个人就很有很有这个很有这个渊源。
[00:06:51.398–00:07:12.028] 然后呢，同时也也用red的游刃有余。在这个他的这个小伙伴当中啊，是一个小老大的存在，对吧？因为他能搞到东西嘛，用他的这个游刃有余和安迪这个唯唯诺诺对吧？胆心惊胆战，细皮嫩肉，形成一个基本的互补。所以说这里既做了相遇，也做了互补。
[00:07:12.518–00:07:18.636] 然后同时也交代了这个监狱的基本环境啊，这里的人都是凶神恶煞的。
[00:07:19.238–00:07:26.028] 这是第三趴啊第三趴主要是两个人的相遇，用赌局制造两个人的相遇以及环境交代。
[00:07:26.534–00:07:27.308] 第四趴。
[00:07:27.974–00:07:46.124] 第四趴又回到安迪的视角，讲安迪融入新环境的痛苦过程，包括脱衣服呀，被人泼白泼白面湿灰消毒呀，杀的眼睛睁不开呀，对吧？被人那个身边的人因为说错一句话被打呀，我们说。
[00:07:46.982–00:08:03.916] 这是一个这个这个狱警啊，这是进入监狱的一个非常有仪式感的。有很多同学说，哎呀，这个镜头我见多了，其实挺俗的，你别忘了，他是第一个第四拍是12分钟啊。安迪这个融入的痛苦过程是第12分钟。
[00:08:04.902–00:08:10.156] 第五拍从第15分钟开始啊，第15分钟开始又安迪。
[00:08:10.662–00:08:14.348] 就是当天晚上，安迪没有崩溃，他一声不吭。
[00:08:15.142–00:08:35.068] 这里暗示了他有过人的毅力啊，就暗示了安y非池中物，他不是个善茬啊，因为他一声也不吭。这个是通过ra的旁白说了，说安迪一声没吭。但是呢那个小胖子出局了啊杀不光出局了，还被打死了。第六个节拍21分钟。
[00:08:35.142–00:08:58.012] 是来到了第二天的早饭，继续展现这个恶劣的环境。当然还要继续展现环境了。因为整个还在第一幕里面嘛，第一幕里面继续展现这个环境跟人的对抗，什么东西也不好吃，还得有虫子，对吧？各种展现。这里呢这一场主要是干什么呢？主要是救猫咪，我一说救猫咪啊，很多同学是不是惯性的想，哎呀，那他喂那只鸟。
[00:08:58.246–00:09:01.452] 他找了一个虫子喂那个老布的鸟，这是救猫咪吧。
[00:09:02.790–00:09:05.548] 对吧鸟儿和猫咪就产生了一个联想。
[00:09:06.022–00:09:06.604] 错误。
[00:09:07.654–00:09:12.172] 那什么是旧猫咪啊？这一场干什么是旧猫咪啊，问名字。
[00:09:12.646–00:09:20.620] 问名字问小胖子的名字，他是这里一个唯一尊重人的存在的人。
[00:09:22.054–00:09:43.260] 因为这里在不断的疯狂暗示，他是这个监狱唯一无罪的人，一个无罪的人，一个正常的人，他没有被制度化。所以他希望知道一个人的名字。而那些在这个在这个监狱里面的人呢，他觉得人的名字没有意义啊，就像95271样，每个人只是个编号而已。每个人只是一个存在一个老。
[00:09:43.494–00:09:49.644] 一个隔间而已，对吧？他想知道小胖子的名字展现了他的人性，展现了救猫咪啊。
[00:09:50.630–00:10:04.812] 当然同时也通过这个小胖子死，通过其他狱友的表现，也表现出大家其实也有尚未泯灭的人性。虽然赌博赌赢了，但是看到一个小胖子死了，大家还是难过的。
[00:10:05.350–00:10:26.780] 当然那只鸟啊那只鸟也有用，包括在这一场其实提前铺垫了那个姐妹团啊，我们就叫他姐妹团，你们知道那那个人就可以了啊，姐妹团也其实也提前垫了一下，呃，实际在这垫也行啊，但是略微垫的有点早呃，这呃本来应该是第二幕的啊。
[00:10:27.270–00:10:47.420] 但是呃咱课上也讲过，理论上反派出场越早越好，而且特别是后面呃中中间要挂掉的这种反派啊，所以说尽量早点出场，威胁拉的早一点也是没有问题的。在第一幕出没有问题啊。但是我们同学自己要知道啊，常规一般来说像姐妹团这种。
[00:10:47.590–00:11:03.020] 这种阻力啊一般放在第二幕开头，第七趴是第24分钟啊，洗澡的戏再次顺着上一场早饭的戏，把这个姐妹团的威胁再给了一遍。你可以理解啊，这场戏啊其实也是个小零碎儿。
[00:11:03.878–00:11:07.020] 为了把上一场早饭那场戏延续的这个。
[00:11:07.494–00:11:17.868] 危险啊再往前推一推，所以又给了一个拍啊，第八拍是25分钟，这里他强调了一个时间线，这里已经入狱一个月了，安迪干什么啊？
[00:11:18.342–00:11:22.316] 安迪去找re买小锤儿啊，买小锤子。
[00:11:23.110–00:11:28.396] 记不记得那场戏啊，安迪已经入狱一个月了，但是呢跟谁也不吭声，不说话。
[00:11:29.286–00:11:35.948] 突然找re的买锤子，而且这里呢这里有几个金句啊，就是关于无罪这个金句。
[00:11:36.646–00:11:51.020] 那个red说这里的所有人都是无罪的哈，我们这里大家都没有罪，都是冤枉的，就你一个人有罪哈。这里实际是说了个反话，只有安迪一个人没有罪，明白这个道理吧？
[00:11:51.590–00:11:58.220] 实际上其实整个肖申克只有安迪一个人没有罪，但是他们在这里说成了，我们都是无罪的，就你有罪啊。
[00:11:59.110–00:12:00.684] 然后呢，同时。
[00:12:01.350–00:12:03.084] 同时同时。
[00:12:03.622–00:12:06.124] 安迪买锤子red。
[00:12:06.726–00:12:26.716] 怀疑他要越狱啊，这里搞了一个小诱惑啊，实际上诱惑了一下观众啊，让观众以为他要越狱这里。但是他说你只要看到这个锤子就明白了，所以后面迅速的把这个悬念给破掉了。这里记着啊第八节拍25分钟之read在这里正式提醒他。
[00:12:26.886–00:12:37.804] 关于姐妹团的危险，这个危机算是正式抛出来了啊，这才是这个危机应该爆发的位置啊。我们说进入第二幕才爆危机嘛，这里是很好的位置了。
[00:12:38.278–00:12:41.324] 你可以理解之前铺垫了两下，让这个危机更大啊。
[00:12:41.926–00:12:46.956] 同时记住第八拍啊，第八拍还有一个东西要记住，就是关于锤子这件事情。
[00:12:47.430–00:12:53.900] 锤子是安迪的第一个需求，对探索自由的第一次尝试啊。第九拍。
[00:12:54.566–00:13:00.236] 通过一场一场配着背景音乐的一场相对欢快的戏。
[00:13:00.774–00:13:17.996] 小锤子如何到如何从外面到安迪手里的全流程给展示了一下。然后这个red看到这个锤子之后，这里做了一个预言说这个锤子要想挖墙越狱啊，需要600年啊，需要600年。嗯，把刚才。
[00:13:18.790–00:13:20.236] 刚刚建立起来的。
[00:13:20.742–00:13:24.620] 观众以为安迪要越狱这个预期。
[00:13:26.534–00:13:29.516] 同学们记着啊，这两个这个点非常重要啊。
[00:13:30.022–00:13:32.044] 我们说在第八趴的时候。
[00:13:32.646–00:13:38.252] 安迪买小锤子，red直接说啊，你要锤子，你要锤子，你不是要越狱吗？
[00:13:38.758–00:13:42.028] 这部片子的最终结局，我们知道是安迪越狱了。
[00:13:42.598–00:13:44.204] 但是在这里其实。
[00:13:45.478–00:13:48.940] 作者或者创作者是不想给观众这个预期了。
[00:13:49.670–00:13:51.372] 但是他不想给你。
[00:13:51.846–00:13:54.476] 安迪的越狱的预期，他还用一场。
[00:13:55.078–00:14:00.364] 他还用这么一个小预期在迅速打破这个预期，极限挑逗你。
[00:14:00.902–00:14:09.772] 你明不明白这个意思啊？他在极限挑逗你相当于什么啊？相当于假设这个创作者本来是想追你，想跟你在一起想泡妞，对吧？
[00:14:10.278–00:14:14.124] 但是呢他假装对你有好感，然后又迅速让你以为是个误会。
[00:14:14.598–00:14:15.404] 你看他多坏。
[00:14:15.878–00:14:27.596] 这就是高手的玩法。如果按照正常创作来说，我们不想让观众提前知道安迪要越狱，那么我们前面最好就不要给这方面的预期这里。
[00:14:28.966–00:14:49.404] 刚才有个同学说的非常好啊，说这叫游戏时间，表扬一下这位同学嗯，这一场戏确实是监狱生活的一种一个切片啊。因为进到监狱里面，我们说虽然很苦，但是总要抽烟，总要洗澡，总要看小小黄书的呀。那这些东西哪来的呢？它通过一个很俏皮的过程。
[00:14:49.606–00:14:56.812] 展现这个全过程，满足大家对监狱生活的一个想象。我们说这一定程度上这里确实是游戏时间啊扬。
[00:14:58.022–00:15:02.860] 第十趴31分钟，我们说这场戏你给我记住记着一下，非常重要。
[00:15:03.718–00:15:06.508] 这里姐妹团攻击安迪。
[00:15:07.238–00:15:11.756] 开始攻击安迪，而且不是一揍他一次。
[00:15:12.422–00:15:15.532] 是经常的打他，经常的侵犯他。
[00:15:16.422–00:15:17.516] 我们说这场戏是什么？
[00:15:18.214–00:15:19.404] 也是蒙太极剪辑。
[00:15:20.166–00:15:21.324] 这是游戏时间。
[00:15:21.894–00:15:25.036] 不要字面理解游戏时间是做游戏啊。
[00:15:25.510–00:15:32.076] 游戏时间是符合观众对监狱生活的想象和预期呀。
[00:15:33.926–00:15:54.300] 所以你看上一场用很轻快的音乐用蒙太奇剪辑展示了监狱里面的人怎么搞到违禁品，怎么搞到香烟，怎么搞到海报，怎么搞到小锤子，怎么搞到业余爱好。然后这一场呢又用蒙太奇的很轻快的方式展现一个新人进到监狱以后，要被那些老老。
[00:15:54.374–00:15:56.140] 老玻璃给揍给欺负。
[00:15:58.150–00:16:02.348] 这不都是我们对于一个美国监狱的想象吗？
[00:16:03.526–00:16:06.636] 这不都是海报上应该出现的内容吗？
[00:16:07.238–00:16:10.476] 游戏时间是观众对一个影片的基本预期啊。
[00:16:11.014–00:16:11.628] 来十一把。
[00:16:12.262–00:16:21.036] 修理屋顶33分钟修理这个屋顶这个任务啊，伙伴们拿下来了，带着安迪上去。我们可以理解啊，开始互助了啊。
[00:16:21.766–00:16:22.380] 我们说。
[00:16:23.110–00:16:24.268] 护住了以后呢。
[00:16:25.670–00:16:29.708] 这个这个安迪呢帮助那个狱警解决了一个。
[00:16:30.886–00:16:41.196] 税务问题，然后以此获得了冰啤酒，而且这个冰啤酒呢是回馈伙伴们，因为他自己啊并不喝酒。
[00:16:41.766–00:16:45.132] 那至于他自己并不喝酒，他为什么要去？
[00:16:46.054–00:16:58.380] 做这件事情冒着生命危险换来冰啤酒呢，电影当中啊非常直白的用台词表达出来，说他想再次品尝自由的味道。
[00:16:59.846–00:17:05.612] 记不记得用台词非常直白的表达了他想再次品尝自由的味道。
[00:17:06.886–00:17:11.660] 记住啊记住这个关键点。
