P037 十五课-节拍器15.4
[00:06:25.542–00:06:34.060] 他在什么时候动哇，这就是摇滚精神。哎，我可以教孩子们摇滚啊，摇滚不就是要传播爱吗？传播能量吗？
[00:06:34.534–00:06:41.036] 我传播给你们不一样吗？然后小孩朋友说，那我们就叫摇滚学校吧，他就对我们就叫摇滚学校。
[00:06:41.894–00:06:48.556] 对吧然后小孩子开始摇滚，由于开始摇滚接触的摇滚歌手会跟其他的摇滚歌手在那儿。
[00:06:49.254–00:06:51.052] 打牌呀，那些妖哥都有带。
[00:06:51.558–00:06:53.452] 在呼一些东西，飞叶子。
[00:06:54.150–00:07:01.996] 然后那他就开始制止，对吧？很就是维护摇滚的正能量，剔除摇滚的负能量。
[00:07:03.206–00:07:04.716] 他就成为了一个。
[00:07:05.958–00:07:07.020] 更好的摇滚。
[00:07:08.838–00:07:15.020] 更具有摇滚精神，他更正确的理解了摇滚精神了，不是成名成外。你只要。
[00:07:16.198–00:07:26.284] 成为一个更好的摇滚歌手，所以他内在需求是成为更好的摇滚歌手。你以前你乐队为什么把你踢出来，不是欺负你，是你真的不优秀。
[00:07:26.854–00:07:29.292] 对吧是你真的不够优秀。
[00:07:29.830–00:07:34.380] 小蝌蚪，你不要老埋怨池塘里，人家都不搭理你，欺负你。
[00:07:35.366–00:07:36.972] 你是不是自己有问题呀？
[00:07:39.462–00:07:50.636] 对吧你成天借着你没有妈，成天在那装哭而卖惨，对吧？啊，我没有妈妈，你们欺负我没有妈妈，你欺负我，你没有妈妈，这件事情我们早忘了。
[00:07:51.334–00:07:54.028] 我就是因欺负你是是因为。
[00:07:54.662–00:08:02.508] 你确实让人讨厌，你知道吗？所以就是就是这个意思。这个这个我们说我们这个男主。
[00:08:04.038–00:08:06.604] 他上来很惨嘛，被乐队踢出来了。
[00:08:08.198–00:08:14.476] 我们从A故事角度肯定是同情他的，觉得他太欺负了。从B故事的角度，你你是不是。
[00:08:15.782–00:08:17.036] 确实就是唱的不行啊。
[00:08:17.958–00:08:22.764] 老板说小刘啊，到我办公室来一趟，对吧？老板要开除你呀。
[00:08:25.574–00:08:29.196] 你你可能就是差，不是老板欺负你。
[00:08:29.766–00:08:30.700] 明白这个意思吗？
[00:08:31.398–00:08:39.628] 明白这个意思吧？就摇滚校园相对于刚才我我们看过的其他几个片子来说，摇滚校遥的B埋的更深。
[00:08:40.230–00:08:47.308] 比埋的更深，但是也很清晰，也很完整，你也能拎出来理一下。
[00:08:49.318–00:08:54.444] 好吧，这就是我想给大家补充的AB故事，然后它对应的want和逆这件事情。
[00:08:56.294–00:09:00.524] 我跟你说啊，其实want和你就是这个AB故事啊。
[00:09:04.326–00:09:05.836] 玩的最狠的是什么呀？
[00:09:06.534–00:09:09.196] 玩的最狠的还是星爷。
[00:09:10.278–00:09:10.988] 周星驰。
[00:09:12.742–00:09:15.308] 你如果有这个AB故事的这个思维了啊。
[00:09:17.734–00:09:19.244] 卑鄙故事的思维。
[00:09:20.518–00:09:21.740] 给你们想几个例子啊。
[00:09:22.758–00:09:31.084] 就是星爷把AB故事往往是拉的最开的。哎，我刚才给你们举例子的时候，你们应该感受到了啊，就是说AB故事它往往是。
[00:09:31.782–00:09:37.900] 虽然病驾齐驱，在同样的事件里面，有时候在同一个事件里面既挂上A又挂上B了。
[00:09:38.662–00:09:48.300] 我们就想象一下，它是两根横轴啊，A和B并驾齐驱，对吧？你外在的事情在怎么经历，你的内心历程是怎样的？两个轴。
[00:09:49.318–00:09:49.996] 然后呢。
[00:09:51.782–00:10:02.892] 但是它一高一低，你们发现了吗？就一明一暗，明着是A，暗着是B。但是呢A往往就就是从品格的角度来讲啊，A是有点low的。
[00:10:04.134–00:10:06.572] 啊是吧鼻呢往往是昂扬的。
[00:10:07.398–00:10:08.012] 昂扬的。
[00:10:09.798–00:10:20.460] 然后呢所以其实应该反过来A在上呃，B在下面，A在下面啊，你怎么理解都行。我的意思是啥呢？你看啊周星驰有很多片子啊，他的AB呀。
[00:10:21.926–00:10:26.764] 也是兵大齐虚，但是是这么兵大齐曲，就拉的非常之开。
[00:10:27.974–00:10:31.244] 啥意思呢？就是他的A极其卑微。
[00:10:32.326–00:10:34.316] B极其雄壮。
[00:10:35.142–00:10:36.076] 极其雄伟。
[00:10:37.062–00:10:40.396] 我们说星爷是无厘头的，他搞的都是。
[00:10:41.318–00:10:42.252] 大喜剧。
[00:10:42.790–00:10:44.716] 所以他就敢玩的那么大。
[00:10:46.470–00:10:51.852] 他实际上的行为它实际上这条AA的故事线极其小。
[00:10:52.582–00:10:55.148] 极其卑微，极其生活。
[00:10:55.878–00:10:58.028] 但他的鼻呢经常是。
[00:10:59.014–00:11:00.236] 拯救世界。
[00:11:01.606–00:11:02.668] 普度众生。
[00:11:03.974–00:11:06.028] 普豆众生真的吗？是普豆众生啊。
[00:11:06.598–00:11:07.564] 我们说功夫。
[00:11:08.646–00:11:09.420] 功夫啊。
[00:11:09.926–00:11:11.692] 功夫他最后成佛了。
[00:11:13.062–00:11:27.340] 功夫里面他是一个小痞子，他的A故事是一个小痞子，想要在社会上打拼，成为一个牛逼哄哄的人，欺负人收保护费是他的A故事，对不对？
[00:11:28.262–00:11:29.740] 是他A上面的历程。
[00:11:30.310–00:11:30.892] 他在。
[00:11:32.294–00:11:33.324] 他在笔上。
[00:11:33.958–00:11:34.828] 这是什么？
[00:11:36.006–00:11:41.420] 你想要真的成为别人的偶像，真的呼风唤雨，真的。
[00:11:41.958–00:11:45.516] 牛逼的话，不应该是斧头邦那种路子。
[00:11:46.726–00:11:56.684] 是应该是佛祖那种路子，对吧？他最后那个功夫你们忘了吗？从天而降，他就变成如来神掌嘛？他变成如来的呀。
[00:11:57.766–00:12:03.532] 而且他你狠狠的点了一下题，他关于他普度众生火云邪生问他这是什么功夫啊？
[00:12:04.006–00:12:05.804] 他直接他直接回答什么？
[00:12:06.470–00:12:07.148] 想学吗？
[00:12:07.750–00:12:08.332] 教你。
[00:12:09.574–00:12:13.420] 他普渡众生，他连魔鬼都可以普渡。
[00:12:14.534–00:12:18.124] 他连魔鬼都能普渡，都能引渡，都能原谅。
[00:12:19.974–00:12:23.084] 这就是狠狠那个点普渡众生的题。
[00:12:26.470–00:12:27.788] 小痞子辅助众生。
[00:12:28.774–00:12:30.668] 他的鼻骨是往往极其雄壮。
[00:12:31.430–00:12:38.924] 他就是说他的庇护史这个内心历程，这个人物胡光啊，他拉满拉足，而且拉的十分夸张。
[00:12:40.614–00:12:41.420] 十润夸张。
[00:12:42.886–00:12:51.404] 对吧九匹芝麻官那个苏乞儿苏乞儿最后统领天下丐帮比皇帝。
[00:12:52.102–00:12:57.868] 统领的人都多，而且皇帝还跟他说，你你统领这么多人，你要是造完怎么办？他怎么说的？
[00:12:59.334–00:13:01.868] 他说你要是个好皇帝，我就没有人同类了。
[00:13:03.174–00:13:03.628] 对吧。
[00:13:04.390–00:13:05.356] 度众生啊。
[00:13:06.534–00:13:07.276] 动终生。
[00:13:08.678–00:13:09.708] 然后那个。
[00:13:11.174–00:13:17.516] 我们说特别代表周星驰呃，这个这个自有点像自传的这个喜剧之王。
[00:13:18.438–00:13:19.244] 集剧作。
[00:13:20.646–00:13:22.540] 对吧他的A故事是。
[00:13:23.846–00:13:25.036] 想成名成万。
[00:13:25.510–00:13:31.276] 呃，一个小小的特别小的这个这个群众演员，小群演，社会底层小人物。
[00:13:32.742–00:13:34.668] 他的A故事是一步一步的。
[00:13:36.742–00:13:40.044] 想要演主角当明星。
[00:13:40.582–00:13:54.988] 对吧先先要混一个正脸，再混一个有台词，再混一个主角，对吧？然后再当明星，当大腕儿，跟那个莫文蔚那个那个角色抱人家大腿，当当明星。
[00:13:55.526–00:13:55.916] 对吧。
[00:13:57.766–00:13:58.700] 这是A故事吧。
[00:13:59.590–00:14:00.652] 他的闭故式是什么？
[00:14:02.918–00:14:06.444] B故事上我们说也很完整，有几个大点的地方。
[00:14:10.950–00:14:11.596] 开课。
[00:14:12.134–00:14:12.812] 教表演。
[00:14:13.414–00:14:14.156] 当老师。
[00:14:14.822–00:14:17.516] 对吧虽然是因为A股市场缺钱。
[00:14:18.086–00:14:21.388] 但是他对于B故事来说，他已经开始。
[00:14:23.622–00:14:24.204] 奉献了。
[00:14:24.774–00:14:25.548] 已经开始。
[00:14:26.630–00:14:27.500] 帮助别人了。
[00:14:28.070–00:14:29.452] 对吧他上课。
[00:14:29.958–00:14:31.628] 然后呢，又。
[00:14:32.358–00:14:33.804] 嗯，劝妓女从良。
[00:14:34.886–00:14:36.812] 想拯救张柏芝。
[00:14:37.318–00:14:40.524] 然后我们说B爱情呃感情线也是逼故事上的事儿嘛。
[00:14:41.510–00:14:42.860] 和张柏芝是有爱情的呀。
[00:14:43.334–00:14:44.364] 是有爱情的呀。
[00:14:46.374–00:14:47.980] 这也是逼估市场爱情。
[00:14:48.806–00:14:51.564] 拯救，而且想拯救他不上班行不行啊？
[00:14:53.158–00:14:54.700] 对吧我养你啊。
[00:14:56.806–00:14:58.028] 他就是想拯救他呀。
[00:15:01.222–00:15:02.188] 然后到最后。
[00:15:02.726–00:15:04.364] 呃，到又到后期。
[00:15:05.286–00:15:06.732] 拯救那个黑社会。
[00:15:07.974–00:15:10.732] 那个那个他们街坊那几个小痞子呀。
[00:15:11.430–00:15:13.132] 街坊那几个小痞子记得吗？
[00:15:13.766–00:15:15.212] 收保护费的那几个。
[00:15:16.294–00:15:19.628] 他也拯救了他们，带着他们演话剧，对吧？
[00:15:20.870–00:15:21.868] 他跟他说什么？
[00:15:24.838–00:15:25.708] 他跟他说什么？
[00:15:27.270–00:15:28.204] 他就是说你。
[00:15:29.030–00:15:30.668] 那个他跟那个黑社会说。
[00:15:32.742–00:15:33.836] 你不是英雄。
[00:15:34.854–00:15:37.100] 你成天喊打喊杀，你不是英雄。
[00:15:38.054–00:15:39.628] 你奶奶一个人把你带大。
[00:15:40.742–00:15:41.612] 他是英雄。
[00:15:43.430–00:15:44.012] 对不对？
[00:15:45.798–00:15:47.404] 然后他到最后还做什么事儿？
[00:15:50.246–00:15:54.636] 他在街坊的人，他在街坊的话剧社终于做成了。
[00:15:55.974–00:15:59.916] 他把文艺他把艺术，他把正能量，而且他演的是什么？
[00:16:01.766–00:16:02.988] 他演的是纯真。
[00:16:04.198–00:16:06.764] 我们中国人不是东亚病夫那场戏。
[00:16:07.302–00:16:09.996] 他把正能量传达给民间。
[00:16:11.014–00:16:13.964] 在像在这个这个社区剧场。
[00:16:14.566–00:16:15.628] 组织这帮。
[00:16:16.710–00:16:17.900] 失足青年。
[00:16:18.726–00:16:22.828] 体制和妓女呀，这不是十足青年吗？组织着十足青年。
[00:16:23.526–00:16:25.932] 表演最正能量的戏。
[00:16:26.470–00:16:30.316] 传达给最底层的百姓，我当什么明星啊？
[00:16:33.382–00:16:34.860] 这就是他的B故事。
[00:16:39.142–00:16:42.476] 是不是我们说喜剧之王有点像周星驰自传。
[00:16:42.982–00:16:44.620] 体的一个电影。
[00:16:46.438–00:16:47.692] 普度众生是他。
[00:16:48.166–00:16:53.612] 终极目标。所以我们你看我们去看这个这个星爷的创作啊。
[00:16:54.374–00:16:56.332] 他的A护士极其卑微。
[00:16:56.870–00:16:59.244] 他永远是极其卑微的一个A故事。
[00:16:59.718–00:17:03.628] 但他的逼骨史普度众生，极其宏大。
[00:17:05.446–00:17:06.220] 证明了。
[00:17:07.238–00:17:09.068] 对这个创作者内心。
[00:17:09.894–00:17:12.236] 一定是极其分裂，及其。
[00:17:13.958–00:17:20.012] 纠结极其孤独的一个一个人，他一定是非常孤独的。
[00:17:20.710–00:17:25.132] 一定非常孤独的，才会走这么大的极端。就是他的A故事。
[00:17:25.606–00:17:27.340] 永远是从最卑微。
[00:17:28.998–00:17:32.940] 送过外卖被人大被人山捡破烂。
[00:17:33.478–00:17:36.588] 功夫里面那个那个少林足球里面捡破烂儿。
[00:17:37.158–00:17:38.604] 被人欺负被人打。
[00:17:39.334–00:17:42.572] 穿的那么破的鞋，就是它永远A极其卑微。
[00:17:43.398–00:17:44.332] 但是他的B。
[00:17:45.894–00:17:46.828] 还要当佛祖。
[00:17:47.622–00:17:50.092] 他要普渡众生，他要拯救所有人。
[00:17:50.598–00:17:52.332] 他一个人都不放过，他全都要拯救。
[00:17:53.382–00:17:53.964] 所以说。
[00:17:54.662–00:17:59.820] 青爷为什么这么孤独？就是说他心里扛的事儿确实多，这个人非常孤独。
[00:18:00.678–00:18:02.636] 他那天就写这么极端的东西。
[00:18:03.814–00:18:07.692] 好吧，这里说多了啊，一说兴叶，这个这个喜剧庄说多了。
[00:18:09.574–00:18:11.532] 回到我们的课上，我们要学什么来着？
[00:18:12.390–00:18:13.292] 学AB故事。
[00:18:13.798–00:18:15.308] AB故事是两条线。
[00:18:16.454–00:18:18.412] A上驱动的是want。
[00:18:18.886–00:18:22.700] 鼻上取动的是逆的，一个是外在的，一个是内在的。
[00:18:23.174–00:18:23.628] 好吗？
[00:18:24.198–00:18:27.180] 我们说用的时候，我刚才给大家说过，我说很多创作者。
[00:18:27.686–00:18:29.164] 我我把这里擦一擦啊。
[00:18:30.150–00:18:39.564] 哎不，大家肯定记了，没记的话，可以倒到前面去，这就是上网课的优势，对吧？我不用担心板书没有保存啊。
[00:18:42.726–00:18:52.652] 我稍微差差一点地方出来给大家说一下这个啊，就是我刚才给大家说，我说那个那个有很多人在写的时候啊，他的那个故事线啊。
[00:18:53.414–00:18:54.956] 他是把AB分开写的。
[00:18:55.590–00:18:56.076] 嗯。
[00:18:57.190–00:19:00.396] 也有那种特别复杂的啊，就是说。
[00:19:01.062–00:19:16.076] 我们经常我经常说我写句的时候，你拉一个横轴嘛，对吧？在横轴上打点啊，呃，那个A故事到哪了？就是说A故事对吧？我们的主角先干了什么，再干什么那干什么就么一场戏，A故事是一条线。
[00:19:16.582–00:19:19.660] 我们说呃既然我们有AB股式的思维了。
[00:19:20.326–00:19:23.852] 呃，是有一些创作者习惯把笔。
[00:19:24.838–00:19:35.148] 也写一遍呢，就说A这些事儿你都写完了，你这个B你需要单写打点。有时候A上的事儿不够用，你要往上补的。
[00:19:35.782–00:19:39.564] 有时候可以借A上的事儿，比如说A这里有一件事儿。
[00:19:40.358–00:19:45.804] AA的这条线上有一件事儿，你发现这件件事儿也适合作为B的。
[00:19:46.406–00:19:53.516] 比如说作为B的起点，我们就说30分钟那个事儿，30分钟是B的起点嘛，人物湖光的起点在30分钟。
[00:19:54.022–00:19:58.700] 30分钟的时候，这件事情在A上面是A的一件，比如说是A。
[00:19:59.654–00:20:01.324] 呃，在A股市里面。
[00:20:02.310–00:20:04.492] 也也发生了，那么你就把。
[00:20:05.350–00:20:11.020] 在A股上，比如说有件事儿，但是呢你需要在B股市上，他遇见，比如说遇见张柏芝。
[00:20:12.070–00:20:33.564] 遇见那个那个那个感情线的另位，或者遇见王八，小蝌蚪遇见王八，对吧？周星驰遇见张柏芝，那就放你就把笔这件事情安在上面。然后有时候呢在这里，比如说你需要把笔往往上再提一下，在笔故事上，你需要再补一个，然后你发现这里没有对应的事情，那你也可以单写。
[00:20:34.566–00:20:38.156] 但是呢你是需要把完整的鼻这条线单拎出来的。
[00:20:39.142–00:20:40.748] 我是指这个意思。
[00:20:41.478–00:20:46.956] 就是AB单写是这个意思，就是在你的构架上单写。还有人。
[00:20:47.622–00:20:50.284] 就是还有人是4条线单写。
[00:20:51.398–00:20:56.396] A故事B故事还有什么？我其实之前说过人物关。
[00:20:59.302–00:21:06.892] 人物关系单写，就有些戏人物关系复杂，所以他把人物关系单写，就是说这个两个人的感情。
[00:21:07.622–00:21:27.612] 那个相知相识呃，误会破裂，呃，相杀，然后呃死一个什么的？反正就是人物关系这条线也有人是单写的。但是我这我讲这个的时候，我是在电视剧那集那刻讲的，就是电视剧啊，一般这个事肯定是要单拎出来的。
[00:21:27.750–00:21:41.420] 因为电视剧的人物关系比较复杂，也比较有搞头。因为你要这个这个电视剧长啊，你不搞人物关系，你撑不了那么长，所以就一般把人物关系单写。电影的话啊这个见仁见智了。
[00:21:42.118–00:21:47.116] 特别是大部分电影这个主角，即便是多主角，但是它也是一个行动。
[00:21:48.774–00:21:59.500] 就是我所我说的所谓的假多主角啊，就是说虽然看起来好几个主角，但是他是一个行动，一个行动员，一个一个一个一个主事件，一个一个动机。
[00:22:00.774–00:22:09.676] 所以他不存在大的人物关系，他们当中当然有这个这个这个沈腾黄渤在这个前进过程中，在这个疯狂的呃外星人。
[00:22:10.182–00:22:18.412] 这种呃沈能黄官在这个共同的行动中会有几个的时候，但那还不构成人物关系，根本就不构成人物关系。
[00:22:18.918–00:22:32.492] 所以在大部分电影里面，这个是有是不需要单写的。但是我见过有极端的人啊，四条线A故事B故事，人物关系也单捋一遍，然后还把什么单捋一遍啊，还把那个那个价值。
[00:22:35.270–00:22:41.484] 或者叫主题主题和价值单另一边，就是正负价值啊。我们说正负价值不是有个battle吗？
[00:22:41.958–00:22:44.748] 就一会儿正价值占优，一会儿负价值占优。
[00:22:45.862–00:22:52.108] 就是正正负价值的此禧彼伏，以及最后的正价值大获全胜。
[00:22:52.678–00:22:54.412] 还有把那个单拎出来。
[00:22:56.038–00:22:59.052] 也有啊，人家就是就是那种。
[00:23:00.582–00:23:05.324] 对，就是好莱坞有有有一有一套教程，他是这么搞的。
[00:23:05.798–00:23:15.148] 就是把这个分的特别细，但我感觉唬人的成分大一些。在实际运用当中啊，我感觉。
[00:23:16.262–00:23:17.420] 呃。
[00:23:17.926–00:23:22.412] 一个电影的话，你把AB分开捋一遍还是很有用的。
[00:23:23.078–00:23:27.052] 然后对于一个电视剧的话，你可以尝试把人物关系。
[00:23:27.590–00:23:30.380] 单独理鱼一条线索，便于你。
[00:23:31.238–00:23:39.148] 呃，宏观的控制整个戏的节奏，对整个戏有个你更有更有效率的一个把控。
[00:23:39.974–00:23:48.972] 所以大家知道一下这些方法，自己去揣摩，自己去运用。好吧，这节课我给大家补的就是关于这个AD故事。
[00:23:49.446–00:23:58.220] 我为什么补呢？是因为我觉得它还是很有用的，确实是很有用的。好吧，他们对应的这个want和ne呃。
[00:23:58.822–00:24:02.316] 就是多说这么几句下课吧，正式下课了啊。
