P059 三十三课-怎样克服拖延症
[00:06:32.934–00:06:33.644] 嗯。
[00:06:35.718–00:06:39.596] 写的毕业作品吧，有几个也不错啊，我看到的几个也是不错的。
[00:06:40.326–00:06:42.860] 呃，在这里跟大家说一下啊，咱们的编剧课啊。
[00:06:43.782–00:06:44.588] 嗯。
[00:06:45.350–00:06:48.556] 到今年3月份的话，咱们编剧课上了就。
[00:06:49.094–00:06:52.716] 整整两年了是吧？整整两年了嗯。
[00:06:53.990–00:06:57.196] 可以说啊咱们的编剧课这个IP在。
[00:06:58.246–00:06:58.924] 行业内吧。
[00:06:59.526–00:07:10.828] 是有比较好的知名度以及美誉度的啊。所以跟咱们合作的机构呀，跟咱们合作的公司也越来越多。有很多这个同行单位呢。
[00:07:11.622–00:07:16.428] 来咱们这儿招募编剧，或者是寻求合作，或者是收购剧本。
[00:07:17.094–00:07:33.228] 然后鉴于这样的情况越来越多，咱们之前这种这种事儿来的时候啊，咱们一般是用社群啊，因为咱们有1个5万人的社群，5万人的一个学生社群。咱们之前呢一直是在里面发消息，哪哪照编剧啦，哪哪招剧本啦。
[00:07:34.150–00:07:37.548] 不是很方便啊呃这个呃。
[00:07:38.534–00:07:44.876] 今年啊咱们建了一个网站啊，叫编剧编剧课点CN啊，编剧课点CN。
[00:07:45.414–00:07:46.156] 嗯。
[00:07:47.398–00:07:49.452] 从今天开始，所有的。
[00:07:50.086–00:08:01.612] 呃，招聘编剧招聘、剧本剧本收购、剧本交易以及学习资讯什么的，全部都在这个网站上进行，这样的话变为留底，对吧？
[00:08:02.342–00:08:13.196] 特别是问问题，特别是答疑。以前答疑呢这个我们就在社群里答疑，以聊天的形式，对吧？同学问我一个问题，我就回答了，但是呢他留不下存不住。
[00:08:13.766–00:08:18.892] 过段时间呢又有同学或者其他班的同学又问同样的问题，我又要再回答一遍。
[00:08:19.526–00:08:41.564] 这下呢咱们这个网站上有答疑区啊，以后同学们有问题统一在那儿提问，我会在那里回答。这样的话留底，对吧？有同样问题的同学就直接看就行了啊。包括这个这个这个学习资料呀，一些剧本资料呀，也陆陆续续在往这个网站上搬啊，在这里感谢一下班委会啊，都是班委会啊，学委会同学。
[00:08:41.734–00:08:42.572] 在搞这个事情。
[00:08:43.910–00:08:50.252] 当然这个剧本交易啊、招聘啊这些事情也很重要，以后都放在这个编剧课点CN啊。
[00:08:52.518–00:08:52.908] 边。
[00:08:57.094–00:08:58.732] 编剧刻点CN好吧。
[00:08:59.270–00:09:00.140] 这个这个。
[00:09:00.934–00:09:01.740] 全都放在这上面。
[00:09:03.718–00:09:08.364] 那咱们就赶紧开始上今天课程的内容啊，这个关于这个拖延症。
[00:09:08.902–00:09:16.108] 关于如何避免克服拖延症啊，如何克服拖延症？为啥这个今天呃这个这个。
[00:09:16.998–00:09:18.124] 上今年第一课。
[00:09:19.046–00:09:27.084] 就就就就先讲拖延症这个问题呢，就是因为在咱们三个月的训练营里，我就发现呀。
[00:09:28.230–00:09:34.124] 写作技能、写作技巧，写作理念固然是一方面很重要的东西。
[00:09:34.758–00:09:35.436] 但是呢。
[00:09:36.006–00:09:37.004] 写作纪律。
[00:09:38.662–00:09:39.884] 往往是更欠缺的。
[00:09:40.422–00:09:43.532] 就有很多同学的写作习惯，写作纪律是很差。
[00:09:45.606–00:09:47.820] 表现最突出的就是拖延症。
[00:09:50.342–00:09:54.572] 这个问题其实在咱们之前的课堂上啊，我简单提过。
[00:09:55.526–00:09:56.140] 然后嘞。
[00:09:57.030–00:10:06.060] 我没想到这个问题目前还是这么严重啊，呃咱们得重视起来。今天呢就好好讲一下如何克服写作中的拖延症。
[00:10:07.142–00:10:07.724] 老规矩。
[00:10:09.094–00:10:12.364] 如何克服拖延症，咱们得先知道拖延症它是个啥。
[00:10:13.702–00:10:22.700] 拖延症它本质上是个啥，咱们才能对症下药，知己知彼，对吧？有针对性的去治这个事儿。那么说拖延症是个啥呢？
[00:10:24.070–00:10:27.660] 很多同学啊有一个观点认为拖延症不是懒。
[00:10:28.358–00:10:30.796] 对吧我也不懒了，我我只是拖延。
[00:10:31.366–00:10:32.844] 首先咱们明确一点啊。
[00:10:33.414–00:10:34.412] 婚言症就是懒。
[00:10:35.430–00:10:36.876] 灰延这就是标准意义的。
[00:10:37.926–00:10:40.076] 咱们得承认，就是懒了。
[00:10:40.966–00:10:42.124] 拖延症就是懒惰。
[00:10:42.822–00:10:52.556] 好吧，还有的同学认为说老师，你说的是那种懒惰型的拖延镜，可能有，但我可不一样我是哪种拖延呢？我是完美主义。
[00:10:54.182–00:11:01.548] 我是追求完美，我一出手必须必须得做到完美。我之所以现在没做呢，是因为我没有准备好。
[00:11:02.246–00:11:03.628] 比如说我没有看完您的课。
[00:11:04.326–00:11:10.796] 或者是我没有完全消化好，或者是我没有这个这个这个做好全部的调研。所以我现在就没有动手写。
[00:11:11.878–00:11:13.196] 等我全都准备好。
[00:11:13.670–00:11:16.620] 我一下手写一个完美的东西，岂不是更好？
[00:11:17.926–00:11:20.108] 很多同学有这样的观点，好吧。
[00:11:22.118–00:11:22.796] 这也是懒。
[00:11:23.558–00:11:29.868] 这也是拖延症，这绝对不是完美主义。完美主义是啥？完美主义是在行动中逐渐的完善自己。
[00:11:30.406–00:11:35.212] 逐逐渐的成长，逐渐的迭代，你原地不动，你算什么完美主义呢？
[00:11:35.910–00:11:38.348] 是不是你原地不动，啥也不干。
[00:11:39.046–00:11:42.796] 给自己找个理由，给自己脸上贴金，说这叫完美主义。
[00:11:43.334–00:11:45.900] 这是完全错误的。好吧，首先我们要。
[00:11:48.998–00:11:51.500] 给这个拖延者定个性，他就是懒。
[00:11:52.166–00:11:54.956] 不是完美主义，我们得清醒的。
[00:11:55.430–00:11:56.332] 认知这个事情。
[00:11:56.902–00:12:00.332] 不用不好意思好吧，不用不好意思，我说过啊。
[00:12:02.246–00:12:04.236] 搞创作啊，要解放天性的。
[00:12:05.670–00:12:14.220] 创作要解放天性，解放天性的啥意思啊？解放天性，大家不要误解啊，很多同学老觉得解放天性就是光着屁股满街跑。
[00:12:15.334–00:12:22.060] 可能是受一些新闻啊，或者是什么表演系的训练课影响，有个误解，老觉得你看他们那些演员。
[00:12:23.014–00:12:31.660] 他上表演课的时候需要解放天性，解放天性就是啥呢？就穿的很少，然后在地上爬在地上滚，男的女的往一块叠，往一块揉。
[00:12:32.806–00:12:34.476] 我们好像听说这个。
[00:12:35.974–00:12:38.316] 戏剧学院表演系会有这样的课程是吧？
[00:12:38.886–00:12:41.836] 这个理解非常的片面非常的片面啊。
[00:12:42.374–00:12:44.332] 解放天性绝不是指。
[00:12:44.902–00:12:45.900] 肉体上洗。
[00:12:47.174–00:12:53.612] 下胡来或者是不在意不在乎肉体，并不是这样啊，解放天性的本意是回归自然。
[00:12:54.470–00:12:55.436] 回归自然的状态。
[00:12:56.614–00:13:00.268] 这才是一个创作者，就回归自然啊，是一个。
[00:13:00.998–00:13:03.116] 优秀创作者必须要做到。
[00:13:04.582–00:13:06.956] 就是你回归到一个完全自然的状态。
[00:13:08.294–00:13:16.044] 然后很冷静，很客观的看待看待这些问题。我们说创作中啊，你要主观投入，也要客观抽离嘛。
[00:13:17.190–00:13:19.404] 大部分人啊主观投入能做到。
[00:13:20.038–00:13:21.324] 客观抽离就做不到了。
[00:13:23.078–00:13:25.100] 就是这个他没有解放天性啊。
[00:13:25.830–00:13:26.316] 所以说。
[00:13:27.462–00:13:28.812] 认识到自己的缺点。
[00:13:29.766–00:13:32.108] 冷静的认识到自己的缺点。
[00:13:32.934–00:13:34.700] 也是解放天性的一部分。
[00:13:35.174–00:13:36.588] 就好像这个懒。
[00:13:37.254–00:13:39.468] 拖眼镜，你承认他怕什么呢？
[00:13:40.550–00:13:44.684] 很客观的承认它的存在，很客观的承认它是一种现象就可以了。
[00:13:45.286–00:13:46.540] 咱们接着说探圆件啊。
[00:13:47.014–00:13:53.036] 那拖延症既然他不是懒，也不是完美主义，那咱们得给他一个定个性吧，给他个定义啊。
[00:13:53.926–00:13:55.116] 拖言症本质是啥呢？
[00:13:55.718–00:13:59.660] 拖员证本质就是对延迟享受。
[00:14:00.422–00:14:01.324] 不确定性。
[00:14:01.894–00:14:02.508] 没有信心。
[00:14:03.366–00:14:04.428] 就延迟享受啊。
[00:14:09.734–00:14:11.244] 或者叫要延迟满足啊。
[00:14:13.158–00:14:13.676] 延迟满。
[00:14:18.182–00:14:18.828] 比如说啊。
[00:14:20.198–00:14:20.716] 我们说。
[00:14:21.318–00:14:23.660] 再懒的人，再有拖延症的人。
[00:14:24.614–00:14:25.132] 他都有。
[00:14:25.990–00:14:27.372] 他都有些事儿他不拖延。
[00:14:28.678–00:14:29.164] 比如说。
[00:14:30.086–00:14:32.492] 咱早上起来还没下床。
[00:14:33.350–00:14:34.988] 先看会儿短视频。
[00:14:35.654–00:14:36.044] 是吧。
[00:14:37.414–00:14:39.148] 一看俩小时过去。
[00:14:40.582–00:14:41.292] 看的很过瘾。
[00:14:41.798–00:14:43.340] 然后呢，也没觉得很痛苦吧。
[00:14:44.070–00:14:45.356] 看的很开心，对吧？
[00:14:45.958–00:14:47.020] 你说这个事情。
[00:14:47.718–00:14:48.588] 他不费力气吗？
[00:14:49.286–00:14:50.380] 其实也费力奇啦。
[00:14:51.366–00:14:56.300] 对吧其实这个事情你做两个小时当中完全不休息，其实也挺累的。
[00:14:57.382–00:14:59.212] 你干这个事情的时候，你咋不拦？
[00:15:00.294–00:15:02.764] 你在两个小时内看了几百条短视频。
[00:15:03.238–00:15:04.204] 你咋不懒了呢？
[00:15:07.238–00:15:08.332] 就是因为这种事情啊。
[00:15:08.966–00:15:10.092] 他有及时反馈。
[00:15:11.078–00:15:12.972] 就是你每看一条啊，你都很快乐。
[00:15:13.478–00:15:14.412] 获得了某种。
[00:15:15.334–00:15:16.524] 某足。
[00:15:17.446–00:15:19.468] 所以他是一个及时反馈的一个事情。
[00:15:20.422–00:15:21.068] 人们啊。
[00:15:21.574–00:15:23.724] 普遍倾向于做及时反馈的事情。
[00:15:24.966–00:15:27.564] 也就是说，做这个事情随时随地有效果。
[00:15:28.550–00:15:31.756] 有正反馈，让你很开心，或者让你很满足。
[00:15:32.262–00:15:33.356] 他他是及时的。
[00:15:34.438–00:15:35.532] 那我们写剧本。
[00:15:36.614–00:15:38.924] 写剧本有没有正反馈，有没有满足啊？
[00:15:40.038–00:15:40.748] 其实。
[00:15:41.318–00:15:41.772] 咱们。
[00:15:43.078–00:15:48.748] 讲道理的说，写剧本带来的正满足和正反馈远远要比刷短视频大。
[00:15:49.318–00:15:51.532] 这个咱们得承认，你写了一个剧本。
[00:15:52.678–00:15:53.964] 这个剧本拍成了戏。
[00:15:54.502–00:15:55.628] 然后明星来演。
[00:15:56.358–00:15:57.356] 在电视上放。
[00:15:58.598–00:15:59.564] 数着你的名。
[00:16:00.486–00:16:01.900] 说他们说着你的词儿。
[00:16:02.854–00:16:03.756] 這个满足感。
[00:16:04.294–00:16:08.684] 咱们凭良心说，要比刷短视频带来的快乐要大很多。
[00:16:10.374–00:16:11.180] 不知道多少倍。
[00:16:13.318–00:16:14.124] 那你为什么？
[00:16:14.662–00:16:17.324] 放着这个快乐不做，而去刷短视频了呢。
[00:16:18.598–00:16:19.692] 就是因为这个快乐啊。
[00:16:20.454–00:16:21.836] 他是一个延迟享受。
[00:16:23.174–00:16:23.948] 延迟享受。
[00:16:26.182–00:16:30.988] 我们说一个电视剧的话，假设啊或者一个电影制作周期一年半起步吧。
[00:16:31.590–00:16:33.868] 就从你开始写到他班上。
[00:16:34.950–00:16:43.980] 到他跟观众见面，我们说一般的周期啊最短啊也要一年半，当然会出现有一年以内的情况，那种就属于比较。
[00:16:44.646–00:16:50.188] 比较简单的一些作品或者比较草率的一些作品啊，正常作品一年半起步。
[00:16:51.942–00:16:59.436] 你想呀你写的写几个月，然后人家做前期又做几个月，做筹备，做几个月，然后拍摄三四个月。
[00:17:00.326–00:17:02.796] 在做后期又是三四个月。
[00:17:03.302–00:17:08.364] 然后再送审等等号，对吧？所以一年基本上是出不来。
[00:17:09.478–00:17:10.412] 一年半起步。
[00:17:11.110–00:17:17.612] 所以这就是一种延迟享受。你做了这件事情之后啊，一年半他才会给你带来满足和快乐。
[00:17:18.182–00:17:19.532] 这就是标准的延迟享受。
[00:17:21.094–00:17:24.556] 人啊对延迟享受是抱有不确定性。
[00:17:25.894–00:17:27.788] 他就不如立刻马上享受。
[00:17:29.062–00:17:30.028] 就不如立刻马上小。
[00:17:31.174–00:17:33.260] 这就是拖延症的本质。
[00:17:34.278–00:17:35.628] 这就是拖延症的本质啊。
[00:17:37.126–00:17:38.956] 你更倾向于做那些。
[00:17:40.038–00:17:40.972] 立刻享受的时情。
[00:17:41.862–00:17:42.540] 我们小时候。
[00:17:43.078–00:17:46.380] 放暑假，放寒假都有暑假作业，寒假作业。
[00:17:49.254–00:17:49.900] 的问题吧。
[00:17:50.694–00:17:51.596] 的困扰吧。
[00:17:52.198–00:17:53.484] 是吧为啥呢？
[00:17:56.134–00:17:57.516] 就是这样，你玩啊。
[00:17:58.086–00:17:58.540] 玩儿。
[00:17:59.046–00:17:59.948] 给你带来的是。
[00:18:01.478–00:18:08.076] 咱们小时候主要是打游戏机啊，当时没有手机可以玩，当时主要是打游戏机，它带来的是立刻马上的享受。
[00:18:08.998–00:18:16.748] 就是人啊本质上对这个延迟享受，它有一个不确定性，它更倾向于选择立刻马上享受。
[00:18:18.502–00:18:21.516] 不光是人的问题啊，这是一个人的动物性的问题。
[00:18:22.150–00:18:25.452] 投子也是这样，对吧？朝三暮四那个实验咱们都知道。
[00:18:26.278–00:18:26.860] 投资啊。
[00:18:27.398–00:18:28.236] 他也是这种情况。
[00:18:29.766–00:18:31.532] 他选择及时正反馈。
[00:18:33.894–00:18:34.924] 所以说他是个本性。
[00:18:35.494–00:18:37.356] 他是个本性，你看这就是我们。
[00:18:40.166–00:18:44.972] 回归自然的去理解这个问题。首先咱们就是懒，咱们得承认。
[00:18:46.854–00:18:48.748] 有句话说，十鞭九托啊。
[00:18:49.606–00:18:51.308] 就10个编剧有9个是拖延者。
[00:18:52.038–00:18:56.236] 其实啊在我的工作中啊，我认为久拖的不止。
[00:18:57.190–00:19:00.428] 十边9.5托吧，是吧？到这个比例啊。
[00:19:01.574–00:19:06.700] 所以拖延症它是个共性的问题。我本人曾经也有过严重的拖延症。
[00:19:08.198–00:19:09.292] 我们大大方方承认。
[00:19:09.862–00:19:12.268] 拖延症它就是一个人的本性。
[00:19:12.742–00:19:13.708] 我们认识到这一点。
[00:19:15.622–00:19:17.708] 同学们认识到这一点，其实有个好处呀。
[00:19:18.182–00:19:20.140] 就说你看啊，既然人人都拖延。
[00:19:20.646–00:19:23.628] 那我如果把他克服了，我不就脱颖而出了吗？
[00:19:24.774–00:19:25.516] 握不就厉害。
[00:19:26.278–00:19:35.852] 所以说这是个好事啊，不要觉得哇老师啊原来人人都拖延啊，那好了，那我就躺平了是吧？你不是说它是动物性吗？它是人的本性吗？
[00:19:36.326–00:19:38.220] 本性那我为什么不遵崇呢？
[00:19:38.950–00:19:42.636] 这个在咱们之前的课程中，我也说过很多次人啊。
[00:19:43.270–00:19:47.404] 是由动物性和社会性两种本性支配的。
[00:19:48.646–00:19:49.964] 动物性的东西啊。
[00:19:51.334–00:19:53.004] 他往往塑造的是。
[00:19:54.854–00:19:56.620] 社会意义上不好的人。
[00:19:58.150–00:20:05.228] 懒的人从动物性的角度来讲，其实是优良基因。咱们可以这么去理解，从动物性的角度。
[00:20:05.734–00:20:14.124] 懒的基因是更好的基因，因为它可以保护你，好奇害死猫呀，对吧？它让你稳定，让你踏踏实实的。
[00:20:14.758–00:20:18.348] 但是呢社会意义上要求人。
[00:20:20.678–00:20:23.852] 要求人有自控力，要求人求上进。
[00:20:24.454–00:20:25.708] 这些事儿呢都是。
[00:20:26.630–00:20:27.244] 反人性的。
[00:20:27.782–00:20:29.580] 社会性要求的东西都是反人性的。
[00:20:30.246–00:20:31.148] 这也是为什么？
[00:20:31.654–00:20:35.788] 社会意义上社会意义层面，那些成功人士啊都是。
[00:20:37.894–00:20:38.380] 行动派。
[00:20:39.078–00:20:42.220] 都是非拖延症患者，都是自控力很强的人。
[00:20:42.758–00:20:46.924] 因为人的本性趋向于保守啊，这个咱们之前课堂还讲过。
[00:20:47.558–00:20:53.868] 那么咱们针对这个原理啊，咱们现在了解了拖延症的原理，它其实就是对延迟享受的一种不确定。
[00:20:54.566–00:20:59.468] 以及对及时反馈及时满足的一种本能的贪恋。
[00:21:00.550–00:21:05.068] 我们了解这个原理之后，我们就可以有针对性的解决这个问题。
[00:21:05.990–00:21:13.932] 结合我们在实践当中总结出来的经验，帮助大家解决拖延症有7个方法，好吧。
[00:21:15.206–00:21:15.628] 第一个。
[00:21:19.142–00:21:20.076] 奖励的角度。
[00:21:20.966–00:21:21.644] 从奖励的角度。
[00:21:25.542–00:21:26.060] 我们说。
[00:21:26.694–00:21:29.964] 拖延症的本质是对延迟享受的一个不确定性。
[00:21:31.878–00:21:34.092] 就是这个你对这个奖励啊不确定。
[00:21:35.014–00:21:38.732] 那么我们就有针对性了，从奖励的角度先来解决这个问题。
[00:21:39.334–00:21:39.948] 比如说。
[00:21:40.550–00:21:41.100] 比如说。
[00:21:41.830–00:21:44.748] 从大奖励的角度，奖励的角度啊分一大一小。
[00:21:47.334–00:21:48.172] 从大奖励的角度。
[00:21:49.158–00:21:50.508] 你现在写完一个剧本。
[00:21:51.142–00:21:53.836] 然后呢，一年半以后或许会。
[00:21:55.174–00:21:57.932] 和观众见面，或许会给你带来很大的麻。
[00:21:58.854–00:21:59.692] 但你为什麼？
[00:22:00.390–00:22:01.004] 还是有点。
[00:22:01.670–00:22:05.228] 心里没底呢，是因为你觉得这个事儿啊他不确底。
[00:22:06.214–00:22:06.796] 不具体。
[00:22:07.622–00:22:12.684] 所以呢你在有条件的情况下，给自己设定一个具体角。
[00:22:14.246–00:22:14.700] 具体讲。
[00:22:16.326–00:22:17.580] 就是我写完这个剧本。
[00:22:18.086–00:22:20.524] 我自己奖励我自己个啥玩意儿。
[00:22:21.126–00:22:21.868] 把它具体出来。
[00:22:23.494–00:22:25.292] 把这个不确定的奖励啊替换掉。
[00:22:26.758–00:22:27.852] 比如说我自己啊。
[00:22:28.390–00:22:29.260] 我往往就是。
[00:22:30.182–00:22:31.884] 比就如说这个这个这个。
[00:22:33.318–00:22:33.996] 有个。
[00:22:34.854–00:22:35.244] 项目。
[00:22:36.262–00:22:38.572] 我如果犯拖延症了，我就跟自己说。
[00:22:39.078–00:22:40.716] 我做完之后，比如说。
[00:22:41.702–00:22:42.764] 奖励自己一辆车。
[00:22:43.526–00:22:45.740] 啊，你看就把它具体出。
[00:22:46.310–00:22:49.196] 当然这是大的奖励，你可以根据你的情况调整。
[00:22:50.054–00:22:51.148] 根据你的情况调整。
[00:22:52.550–00:22:53.004] 具体出来。
[00:22:53.926–00:22:54.956] 客服这个不确定性。
[00:22:55.782–00:22:58.956] 当然了，还可以用小奖励，小奖励啥意思呢？
[00:23:00.198–00:23:00.620] 就是。
[00:23:01.446–00:23:02.604] 创造即时政法。
[00:23:04.134–00:23:04.908] 创造机是什么？
[00:23:07.014–00:23:07.532] 我们说。
[00:23:08.358–00:23:10.220] 玩手机打游戏为什么能够？
[00:23:11.782–00:23:15.788] 让你沉浸其中不能自拔呢，是因为他给你及时正反馈呀。
[00:23:16.582–00:23:20.204] 写剧本为什么没有及时正反馈？写剧本为什么？
[00:23:20.678–00:23:21.580] 会犯拖延症呢？
[00:23:22.086–00:23:23.276] 是因为他没有及时生。
[00:23:24.102–00:23:25.580] 那我们就创造一个即时中。
[00:23:26.502–00:23:28.012] 我们举个极端点的例子啊。
[00:23:28.678–00:23:30.060] 假设你看我们的同学。
[00:23:30.790–00:23:33.996] 现在是新人啊，我们大陆同学现在是新人。
[00:23:34.662–00:23:35.436] 比如说你。
[00:23:36.198–00:23:38.636] 一般来说，新人啊一个字1块钱吧。
[00:23:39.206–00:23:45.228] 一个字1块钱左右，大家不要觉得一个字1块钱低啊，我刚入行的时候也是千字签元。
[00:23:46.118–00:23:57.964] 就是没写满1000个字，人家给我结1000块钱的账，也是千字签元，一个字1块钱。当然了，现在我一个字好几十是吧？你就说你吧，一个字1块钱。
