P063 职业编剧怎么用ai写剧本
[00:09:34.758–00:09:39.820] 几个原因。第一，现在那些垂直领域的工具。
[00:09:40.294–00:09:42.252] 你可以理解都是仓促上。
[00:09:43.782–00:09:44.524] 以噱头为主。
[00:09:45.926–00:09:47.052] 收一波会员费。
[00:09:49.094–00:09:58.060] 他的设定啊，因为我是我熟悉好几个公司，对吧？都在做这种。因为你想他们如果AI写剧本，AI写短剧。
[00:09:58.886–00:10:06.892] 呃，很难绕过我，对吧？很多人来找过我这个因为我既是编剧教学的头部，又是这种理性创作的。
[00:10:07.398–00:10:09.932] 这个算是代言人吧，是吧？
[00:10:12.486–00:10:15.756] 所以说这些工具的运行逻辑啊我比较清楚。
[00:10:17.414–00:10:20.876] 坦白说，不如大模型好用，它只是傻瓜式的操作。
[00:10:21.766–00:10:24.268] 傻瓜式的操作输出的内容千篇一律。
[00:10:25.894–00:10:28.844] 我还是那句话，我们不是让aiI替我们创。
[00:10:29.350–00:10:30.316] 我们是指导他。
[00:10:30.790–00:10:32.300] 要求他装作，我们是老板。
[00:10:33.126–00:10:36.716] 所以说我们愿意用到一个非常聪明的模型。
[00:10:37.382–00:10:39.084] 而不是一个非常傻瓜的模型。
[00:10:40.006–00:10:40.524] 明白吗？
[00:10:41.030–00:10:42.828] 再加上啊这些。
[00:10:43.366–00:10:44.332] 垂直类的工具。
[00:10:45.190–00:10:47.628] 也不稳定，因为公司也比较小。
[00:10:49.286–00:10:50.412] 还要付会员费。
[00:10:51.814–00:11:06.124] 输出的东西呢算力也不足啊，所以说这都是弊端。再加上还有个版权界定的问题。你如果让别人让工具替你创作，而不是你主导创作，你主导修改的话，这个版权到时候也麻烦。
[00:11:07.238–00:11:10.316] 好吧，所以在这里咱们统一用。
[00:11:10.886–00:11:11.404] 通用模型。
[00:11:12.070–00:11:18.348] 我本人啊用deeps，当然了，你说豆腐包文心一言能比deeps差多少呢？
[00:11:19.398–00:11:28.268] 倒也不明显啊，一点儿也不明显。呃，就是一种感官上吧，就感觉好像梁文峰比较可爱。
[00:11:28.998–00:11:32.044] 对吧但其实都差不多啊都差不多。
[00:11:33.382–00:11:36.044] 那我们同学还要问了，那输出的东西。
[00:11:36.550–00:11:37.068] 嗯。
[00:11:37.894–00:11:45.164] 有那么好吗？我们单看细节啊，看单项啊，比95%以上的创作者要强。
[00:11:45.798–00:11:51.852] 比如说具体的能力啊，甚至按理说啊具体的能力应该比99%的创作者都强。
[00:11:52.678–00:11:55.116] 但是综合输出的东西它一定有问题。
[00:11:57.030–00:11:58.860] 综合输出的东西啊一定有问题。
[00:11:59.334–00:12:03.884] 网上有句话说，AI写出来的东西有AI味儿是吧？要去味。
[00:12:04.870–00:12:22.028] 我们创作的时候就不存在这个问题。我们职业编剧用A写的时候就不存在这个问题。因为我们不是说丢给他一个指令，让他通篇输出，对吧？给我写一篇爆款访文剧本，给我写一个商业电影剧本，我要3亿票房，你下这种指令，人家咋给你写啊？
[00:12:23.974–00:12:26.924] 可能的。所以我们在创作的时候啊。
[00:12:27.622–00:12:29.996] 我们是拒绝使用指令包。
[00:12:32.934–00:12:36.140] 所有关于指令包的那些方法论。
[00:12:36.678–00:12:50.572] 一定要摒弃啊，一定不能用那些方法。所谓的哎，我给你20句话，你照20句话输出给他，他就可以帮你输出一篇成品的小说，你就不用动了。哎呀，这种千万不要信啊。
[00:12:51.206–00:12:52.908] 这种方法论枪不要信。
[00:12:53.670–00:12:57.036] 同学们，你从逻辑上简单思考一下这个指令包。
[00:12:57.702–00:12:59.436] 是傻瓜似的，不用动脑子。
[00:13:00.806–00:13:01.996] 然后这个工具。
[00:13:03.366–00:13:04.076] 是免费的。
[00:13:05.318–00:13:14.156] 你用一个没有技术含量傻瓜式的指令，配上一个人人都可以用的免费的工具，加在一块就能挣钱。你想啥呢？
[00:13:15.718–00:13:16.236] 现实吗？
[00:13:16.838–00:13:17.324] 不现实。
[00:13:17.894–00:13:20.012] 好吧，所以一定要不要相信指令包。
[00:13:20.838–00:13:22.188] 我们呢用的是。
[00:13:22.982–00:13:31.724] 沟通的方法下指定的方法，你可以跟他聊，对吧？也可以向他提问题，也可以向他下命令，也可以让他扩展。
[00:13:32.198–00:13:46.252] 按照我们以前写剧本的顺序，先讨论选题，对吧？再把它扩展成一个正式的故事创意，然后再扩展成一个故事梗概，然后详细的设计人物，设计主角，设计伙伴，设计爱情设计对手。
[00:13:46.822–00:13:57.996] 然后再凑齐这些故事所有的要素是吧？然后再按照故事的20个节拍去码。我们说是按照我们以前创作的步骤一步一步去扩展。
[00:13:58.502–00:14:01.580] 这样的话可以有效的去AI味。但是。
[00:14:02.246–00:14:18.572] 还是要强调一下，即便是这样写出来的东西，也不能拿来就用，必须要修改。我给大家讲几几个AI现在做的不那么好的地方。所以我刚才说啊，如果看单项，它比我们99%的人都强。但是如果综合出出来一个东西。
[00:14:19.750–00:14:30.860] 其实它是很难及格的，就综合你让他一下输出个几千字，上万字是很难及格的。为啥呢？因为里面有硬伤，比如说人物的连续性问题。
[00:14:31.398–00:14:36.364] 他写的这个人物啊，前面的人设和后面的热有时候不连续，是吧？不稳定。
[00:14:36.870–00:14:44.524] 同学们，你如果懂点AI这个运行的逻辑，你就知道是咋回事是吧？咱们这节课不是讲技术的，只讲现象。
[00:14:45.542–00:14:49.836] 第二呢，有时候呢某种人设过于连续。
[00:14:50.790–00:14:53.484] 就比如说他认为这个人在有某种。
[00:14:54.662–00:14:55.084] 行为。
[00:14:55.622–00:14:58.412] 就一直重复，对吧？他认为这个人就应该。
[00:14:59.398–00:15:03.372] 每次都应该在怎么样？比如说这个人获取秘密。
[00:15:04.390–00:15:05.036] 是因为。
[00:15:05.894–00:15:08.140] 他神出鬼没，能偷听到别人说话。
[00:15:08.614–00:15:13.228] 然后每次获取信息都是偷听到别人说话，你看就重复。然后呢。
[00:15:14.118–00:15:17.548] 这也是一种AI味，还有一种AI味很极限。
[00:15:18.502–00:15:33.900] 也就是说，AI是他能想到的最优解，还是那句话啊，你要理解AI创作的逻辑啊，AI特别是语言模型啊，它是根据词词语和词语，其实不是词语啊，是token啊，token和token之间的最大。
[00:15:34.534–00:15:37.036] 最优匹配最大概率来。
[00:15:37.542–00:15:39.564] 进行创作，进行输出内容的啊。
[00:15:40.166–00:15:44.044] 呃，说起来很机械化，但其实人脑也是这么个逻辑。
[00:15:44.678–00:15:47.148] 人组织语言啊也是这么个逻辑。
[00:15:48.358–00:15:48.972] 也就是说。
[00:15:50.278–00:15:52.076] 他永远在选最优解。
[00:15:52.998–00:15:56.396] 那么就会出现一个情况，他所有的戏剧化给你拉满。
[00:15:58.662–00:15:59.948] 比如说我们。
[00:16:00.678–00:16:08.396] 今天写了呃今天刚刚写了一个东西啊，要写这个我们的这个男二为团队牺牲了是吧？
[00:16:08.934–00:16:12.492] 其实这个牺牲吧可以不一定非得死，对吧？
[00:16:13.414–00:16:18.732] 可以是这个这个这个这个付出一些代价啊，当然也可以死，因为是个灾难片。
[00:16:19.398–00:16:26.988] 然后呢，用AI创作这场戏的时候呢，AI就把把这个人写成了一个孤胆英雄，他咋死的那原文啊。
[00:16:27.590–00:16:31.020] 就是这里有一段电线要抢修。
[00:16:31.686–00:16:35.820] 我们这个男二发现这个电线与电线之间连不上了。
[00:16:36.294–00:16:42.764] 会影响团队的整体目标，甚至会团队损失很大，损失很多人命。我们的。
[00:16:43.366–00:16:51.724] 男二用自己的肉肉身连接了这两段电线，然后让电从自己身上通过是吧？
[00:16:52.230–00:16:54.540] 然后拯救了团队，我们说这个。
[00:16:55.462–00:16:56.620] 如果是动画片啊。
[00:16:57.126–00:16:59.052] 好像看起来挺就挺厉害。
[00:16:59.686–00:17:02.732] 但是如果是真人的片子就过于戏剧化。
[00:17:03.558–00:17:03.916] 就是。
[00:17:04.422–00:17:12.652] 拉到极限了，当然你不能怪他，因为你这个这个超级助手啊，共情力、想象力、表达力、执行力实际上确实挺强的。
[00:17:13.158–00:17:14.668] 啊，这段戏其实还是。
[00:17:15.206–00:17:17.132] 场面感还是很足的，但是呢。
[00:17:17.830–00:17:20.908] 过于夸张了，我们要往回收一收啊，往回收一收。
[00:17:21.510–00:17:26.956] 我们说这些都是AI在写作的时候容易出现的问题，重复性的剧情啊也会有。
[00:17:27.494–00:17:29.836] 重复性的剧情，重复性的人设，对吧？
[00:17:30.310–00:17:40.076] 然后那个每个人都有精神创伤啊，我们说这是一种我们说这几年啊商业片我们确实是比较鼓励主角有一定的。
[00:17:40.614–00:17:44.076] 精神创伤啊，因为外在创伤现在已经很少写了嘛。
[00:17:45.062–00:17:46.668] 内在创商比较流行。
[00:17:47.238–00:17:49.548] 但是他不能每个角色都有创伤呀。
[00:17:50.822–00:17:57.324] 我们说这也是这个这个AI味啊，AI的一些机器的味儿会有一些这样的情况。
[00:17:58.758–00:18:05.100] 但是按照咱们的方法啊，可以有效的避免。因为你是那个鉴赏的人呀。
[00:18:05.734–00:18:09.676] 你说了算呀，而不是全部交给他，用一个指令包都解决。
[00:18:10.566–00:18:13.804] 那样写出来的东西啊，及格都很难啊，及格都很。
[00:18:14.662–00:18:15.148] 所以说。
[00:18:15.910–00:18:27.084] 咱们啊一定要用通用模型，然后用按照步骤去沟通，对吧？呃，可以呃探讨，可以提要求，可以让他扩展，甚至写完了还可以让他。
[00:18:28.006–00:18:47.052] 逐段修改嘛，包括台词的风格化，对吧？它容易所有人说话风格一样，对不对？让他根据人设再去呃修改风格啊，甚至可以仿写是吧？比如说我们这个故事是写实题材，我们就希望他像我们是药神的那种叙事风格，对吧？这种都是可以做到的啊。
[00:18:47.846–00:18:49.324] 然后我们现在用AI呢。
[00:18:49.894–00:19:00.364] 都能干什么呢？我们最近啊用AI之前就一直用AI写剧本。最近呢用AI也在写短剧写电影啊，写各种题材，包括写小说。
[00:19:01.670–00:19:10.572] 长篇的小说也好啊，然后这个新媒体文这些短篇的也好，都在用它写。更重要的是什么啊？我们现在用它来创作短视频教。
[00:19:11.142–00:19:12.588] 因为短视频脚本啊。
[00:19:13.126–00:19:13.708] 其实。
[00:19:14.214–00:19:14.668] 他的。
[00:19:15.238–00:19:16.268] 规律性更强。
[00:19:17.190–00:19:26.028] 对吧你想要出爆款，你想要玩播率，对吧？规律性更强，赛道也非常明确。所以说用AI写短视频剧本，我们现在也经常用。
[00:19:26.918–00:19:30.924] 然后再跟大家提一下啊，关于AI生图和生视频。
[00:19:31.654–00:19:45.260] AI声图和声视频啊未来也有广阔天地啊，虽然不是我们编剧主力探讨的，但由于我们有时候会生成一些内容，生成一些短视频，然后呢给他配点图，甚至配点简单视频。在这里跟大家说一下啊。
[00:19:46.022–00:19:49.516] AI声屠的指令啊其实可以反推。
[00:19:49.990–00:19:55.372] 也就是说你想要一个什么图？因为AI生图的那些平台啊，指令比较复杂。
[00:19:56.998–00:20:05.708] 需要有一定的呃这个门槛。但是呢你可以把你的大白话，你想要个什么图，大白话告诉deep seek。
[00:20:06.278–00:20:08.172] 然后要deep seek帮你翻译成。
[00:20:09.030–00:20:29.148] 比如说我们用made journey是吧？即便是用可灵是吧？这种它指令都是比dept这种语言语言工具大模型的工具要要复杂一些。你可以想要什么图，用大白话跟dept说，然后让他帮你生成指令啊，甚至为一个图给给dep seek，哎，这生成这种图应该。
[00:20:29.510–00:20:31.820] 收指令，我们说这是一种技巧啊。
[00:20:32.518–00:20:34.476] 另外呢，纹身视频。
[00:20:35.174–00:20:36.460] 我现在要一个视频。
[00:20:37.542–00:20:50.156] 怎么弄呢？同学们，因为生视频啊，你自己试一下就知道了啊，用文字生成视频比文字生成文字。我们说我们AI创作啊是文字生成文字，我们说的也是话，让它输出的也是语言，对吧？
[00:20:50.662–00:20:53.420] 但是纹身视频啊更不稳定。
[00:20:54.438–00:20:58.668] 他的镜头，他的人的形象，人就所谓的人的人设嘛。
[00:20:59.206–00:21:02.572] 这个画面的流畅度啊都会出现不稳定的情况。
[00:21:03.302–00:21:19.340] 包括风格呃会不稳定。所以说直接文声视频目前你如果傻瓜操作，很难实现有价值的创作啊，我们现在当然也有文声成视频的需求啊，因为现在也有视频这个AI短句嘛。
[00:21:20.358–00:21:23.500] 基本上啊都是先生图。
[00:21:24.998–00:21:28.364] 先纹生图，然后用图再去生食品。
[00:21:29.606–00:21:30.956] 这样的话有一个基准。
[00:21:31.686–00:21:45.100] 也就是说这个图达到你满意了，稳定了，你让它再动起来，怎么个动法，怎么个运镜法，再告诉他，然后生成视频，这样的话可以比较稳定啊。当然了，生视频也用可灵就够了啊，暂时都够了。
[00:21:47.302–00:21:53.388] 如果你有声视频的需求啊，你你要知道，不要直接纹声视频啊，有个基准图会比较好。
[00:21:53.926–00:21:58.668] 当然这个我们目前啊用的没有那么多啊，给大家提一下。因为很多同学问到。
[00:21:59.526–00:22:00.300] 总之啊。
[00:22:01.382–00:22:02.764] 总之啊这个。
[00:22:04.166–00:22:14.188] AI这个东西啊，它的技术在不断的迭代，对吧？会出来什么新的方法了，或者是垂直领域的工具做的很好了啊，我们再告诉大家啊。
[00:22:14.662–00:22:22.124] 呃，目前它发展非常快啊，迭代也非常快。我们要呃随时更新自己的知识啊，咱们这个。
[00:22:23.014–00:22:27.564] 也给大家整理了啊关于AI创作的一些知识啊，在这里啊。
[00:22:28.742–00:22:29.964] 我想跟大家强调一点。
[00:22:30.502–00:22:31.180] 就是关于。
[00:22:31.718–00:22:35.820] 新的技术啊新的技术出来之后，新的趋势跑出来之后啊。
[00:22:36.518–00:22:38.252] 我每次都发现一个问题。
[00:22:39.494–00:22:52.012] 同学们提那么多问题，每次都提很多质疑是吧？这个东西到底行不行？它行不行？它会不会就是一阵风，对吧？它会不会就是取代我们人类，他是不是邪恶的？为什么总有这样的想法呢？
[00:22:52.486–00:22:55.404] 是因为每次新的东西出来的时候啊。
[00:22:56.230–00:22:57.740] 家有一种抗拒的心态。
[00:22:58.310–00:22:59.852] 不愿意尝试新的东西。
[00:23:00.518–00:23:03.500] 这一点啊是我比较痛心的啊我比较痛心的。
[00:23:04.422–00:23:04.876] 因为。
[00:23:06.406–00:23:08.268] 每次趋势跑出來之后啊。
[00:23:08.902–00:23:12.492] 其实是有一个非常友好，非常巨大的窗口期的。
[00:23:13.094–00:23:14.764] 你想想看互联网刚刚出来的时候。
[00:23:15.430–00:23:16.588] 电商刚刚出来的时候。
[00:23:17.094–00:23:20.812] 自媒体刚刚出来时候，短视频刚刚出来的时候直播刚刚出来的时。
[00:23:21.606–00:23:22.668] 造富了多少人？
[00:23:23.302–00:23:30.828] 因为他有一个非常友好的窗口期，我称之为公平的窗口期。也就是说在那个阶段，你只要进去啊，就能参与公平竞争。
[00:23:32.038–00:23:39.116] 搞不好就可以逆袭，搞不好就可以翻身。而且逆袭和翻身的概率非常大。你想想看，如果你在03年做了电商。
[00:23:40.166–00:23:41.708] 你在05年做了自媒体。
[00:23:43.430–00:23:45.292] 你在01年写了网络小说。
[00:23:46.886–00:23:48.108] 你在14年。
[00:23:49.414–00:23:53.324] 搞了直播，你在16年做了视频短视频。
[00:23:54.054–00:23:55.116] 你肯定翻身嘛。
[00:23:55.654–00:24:03.116] 对不对？所以说每次新技技术出来的时候啊，是有公平的窗口期的。但是呢咱们很多同学。
[00:24:03.686–00:24:07.244] 就是在质疑中，在犹豫中把他给耽误了。
[00:24:07.782–00:24:08.780] 这个是候比较痛心的。
[00:24:09.350–00:24:11.404] 在这里我想说AI呀。
[00:24:12.742–00:24:13.292] 之前。
[00:24:14.246–00:24:15.724] 这些所谓的窗口期啊。
[00:24:16.390–00:24:17.420] 来的更猛烈。
[00:24:18.086–00:24:19.116] 因为他是一个。
[00:24:20.518–00:24:22.764] 人脑级别的生产力解放。
[00:24:23.846–00:24:25.260] 他取代的是人脑呀。
[00:24:26.566–00:24:33.644] 你可以类比，就像工业革命取代的是人的肌肉。我们说蒸汽机机器发明的时候啊，1840年机器发明的时候啊。
[00:24:34.470–00:24:36.652] 在那之前，人类生产。
[00:24:37.126–00:24:40.556] 人类改变生活，改造地球，用的是我们的肌肉。
[00:24:41.158–00:24:47.244] 拥有什么肉体的力量，但是机器发明出来之后呢，彻底颠覆了这个世界。
[00:24:48.134–00:24:55.660] 也就是说你穿越到1840年，你告诉一个码头工人，你告诉那个最强壮的码头工人说你这身肌肉有可能会没用。
[00:24:56.742–00:24:57.772] 他会觉得你疯了。
[00:24:58.566–00:25:02.732] 我一辈子作为最有劲儿的人，在这个码头就是挣钱最多的人，我怎么会没用了呢？
[00:25:04.038–00:25:04.652] 不理解。
[00:25:05.318–00:25:08.428] 但是确实呀你再有劲儿，你干得过挖掘机吗？
[00:25:10.534–00:25:11.148] 看不过的呀。
[00:25:12.614–00:25:15.340] 所以说这就是颠覆型的一种改变。
[00:25:16.166–00:25:21.068] 那么现在人工智能取代的是我们的人脑，或者是它是我们人脑的放大器。
[00:25:21.734–00:25:41.100] 就相当于挖掘机和肌肉，你可以理解你现在那点那点智商，那点知识。因为我们这一代人都生活在知识改变命运。聪明的人就是牛这些观点之下，就像那个肌肉大的1840年的那个大肌肉壮汉，他认为肌肉就是正义呀。
