P028 十三课-电视剧13.1
[00:01:50.182–00:02:01.740] 根据电影的模式，再根据电视剧的市场需要变化演化出来的写法，基本上都是土土办法自己琢磨的。
[00:02:03.974–00:02:20.780] 所以这也是为什么我把这个课放在这时候讲，就是你电影的故事套路，大家得先懂了，先了解了，有基础了才能聊电视剧。否则我跟你说这个这个调用那些故事写法的时候，你都听不明白，那肯定是不行的。
[00:02:22.342–00:02:33.516] 所以你得先会电影故事的套路。当然这不是说电视剧的写法比电影高级，比电影难，没有这个意思，它是两种不同的形态。
[00:02:34.662–00:02:45.580] 都是讲故事，但是形态不一样。因为我第一节课的时候说过，因为他他的播放方式不一样，观看习惯不一样，那他肯定有区别嘛。
[00:02:47.782–00:02:50.604] 说到这个电电影和电视剧的区别啊。
[00:02:51.238–00:02:52.780] 很多同学问过我一个问题。
[00:02:53.382–00:02:56.044] 就关于这个影视圈的这个骑视链的问题。
[00:02:57.638–00:03:04.364] 说拍电影的是不是瞧不起拍电视剧的对吧？你看那些电影演员有些完全不演电视剧啊。
[00:03:06.950–00:03:08.364] 有没有这种歧视？
[00:03:10.758–00:03:11.596] 平良跟你说。
[00:03:12.102–00:03:12.524] 有。
[00:03:14.822–00:03:15.404] 肯定有。
[00:03:16.838–00:03:19.468] 但是有不代表他对。
[00:03:20.070–00:03:20.972] 明白这个意思吗？
[00:03:23.302–00:03:25.100] 每一个行业都有提示链。
[00:03:25.606–00:03:30.732] 每一个环境里面都有起始链，甚至连地狱都你你籍管是哪都有起始链。
[00:03:31.814–00:03:36.044] 对吧大城市的小城市的、城镇的、乡村的。
[00:03:36.678–00:03:38.828] 是吧南方的东北的。
[00:03:39.398–00:03:42.156] 海边的内陆的没有歧视吗？
[00:03:42.758–00:03:43.564] 有。
[00:03:44.646–00:03:46.764] 但是你说他对吗？他当然不对呀。
[00:03:48.230–00:03:48.812] 所以说。
[00:03:49.798–00:03:52.300] 关于电影骑士电视剧这个事情啊。
[00:03:53.478–00:03:54.284] 也是不对的。
[00:03:55.078–00:03:59.308] 最起码现在是不对的。因为以前来说，电视剧可能。
[00:04:00.198–00:04:02.284] 制作确实比较水。
[00:04:03.590–00:04:07.884] 然后造成拍电影的人就会觉得那我们是搞艺术，你们是哎呀。
[00:04:08.390–00:04:14.316] 这个这个搞市场了，但是现在市场经济了呀，搞市场没有什么不好，对不对？
[00:04:15.878–00:04:18.828] 更何况其实完整提实链是这样的啊。
[00:04:19.462–00:04:25.196] 电影骑视电视剧电视剧其视网剧网剧可能还在歧视个网大。
[00:04:25.702–00:04:29.964] 网大呢还歧视什么呃短视频和直播带货。
[00:04:31.142–00:04:32.364] 这是完整的起始点。
[00:04:32.902–00:04:36.044] 但问题你觉得这个骑士链它它对吗？它可靠吗？
[00:04:36.870–00:04:42.156] 一个新巴出来全给你干服了，人家就是直播带货了，人家捐了1550。
[00:04:43.590–00:04:46.828] 你你你这个食物链顶端的电影你捐多少？
[00:04:47.686–00:04:48.204] 是不是？
[00:04:49.254–00:04:51.212] 所以说谁是弟弟不好说。
[00:04:52.422–00:05:01.036] 时代不一样了，没必要搞骑视，特别是咱们创作者，那些骑士他们去聊就算了。咱们是编剧，咱们是创作者。
[00:05:01.766–00:05:08.172] 咱们拿到一个故事，或者咱们有了一个灵感，写成一个故事，要表达出来要呈现给观众。
[00:05:08.902–00:05:12.364] 他适合搞成电影就搞电影，他适合搞电视剧就搞电视剧。
[00:05:13.510–00:05:16.492] 他有可能只适合搞成小品，那就搞小品。
[00:05:17.926–00:05:20.332] 有可能他只是一个情怀，一种情感那。
[00:05:20.966–00:05:23.692] 更适合搞成一个歌词，那你就写什么歌嘛？
[00:05:24.774–00:05:26.956] 就是这样子没有什么歧视。
[00:05:27.430–00:05:28.556] 不要去聊这个问题。
[00:05:29.734–00:05:33.612] 没有意义，因为你在写故事的时候，你就全力以赴就可以了。
[00:05:34.278–00:05:44.076] 你不可能牛逼到说，哎，我今天接了一个电视剧的一个剧本，我写的时候我的功力我收一收吧，我只用五成功力就可以了。你吹牛逼呢在哪？
[00:05:45.062–00:05:47.980] 你都得全力以赴去写，好好写。
[00:05:49.958–00:05:52.300] 那咱们就开始说这个电视剧。
[00:05:54.022–00:05:55.020] 电视剧。
[00:05:55.622–00:05:57.900] 首先我们得了解电视剧是个什么玩意儿。
[00:05:59.526–00:06:00.364] 这个很重要。
[00:06:01.094–00:06:02.188] 它是个什么玩意儿？
[00:06:03.014–00:06:04.108] 决定了他的。
[00:06:05.158–00:06:05.708] 形态。
[00:06:06.310–00:06:09.548] 决定了它的价值，决定了它的特点。
[00:06:10.214–00:06:14.028] 就说电视剧啊它是个什么玩意儿？我们先说电视剧从哪儿来的啊。
[00:06:16.358–00:06:17.324] 电视剧。
[00:06:18.502–00:06:19.788] 就是这几十年的。
[00:06:20.454–00:06:21.164] 发展起来的。
[00:06:21.734–00:06:23.564] 他是跟着谁出来的呢？
[00:06:24.614–00:06:26.412] 跟着电视机出来的。
[00:06:27.526–00:06:30.476] 有了电视剧以后，才有了电视剧。
[00:06:32.614–00:06:35.276] 而且这个电视剧最早是干啥用的呢？
[00:06:36.678–00:06:38.476] 他是勾引你看广告的。
[00:06:40.102–00:06:40.972] 明白这个意思吗？
[00:06:41.958–00:06:43.436] 就是有了电视机以后。
[00:06:44.006–00:06:45.708] 电视机要放广告给你看。
[00:06:46.342–00:06:48.236] 但是不能光让你看广告啊。
[00:06:48.838–00:06:51.436] 光你看广告，你不看呀，你不上这个当。
[00:06:52.390–00:06:55.180] 然后他们就拍一些电视剧在那里放。
[00:06:57.158–00:06:58.604] 让你看这个电视剧。
[00:06:59.270–00:07:00.172] 麻痹。
[00:07:01.062–00:07:07.564] 给你吃个药引子，然后趁你不注意。哎广告来了，强制你看广告。
[00:07:08.294–00:07:10.252] 这就是电视剧。
[00:07:11.110–00:07:16.812] 最早产生的它的出身，它的作用。所以电视剧我们给他的定义，它可以说就是。
[00:07:17.574–00:07:18.476] 广告的。
[00:07:19.078–00:07:19.724] 马仔。
[00:07:20.710–00:07:22.956] 电视剧是电视广告的马仔。
[00:07:24.742–00:07:26.060] 你可以这么去理解。
[00:07:27.558–00:07:29.452] 那既然他是电视广告的马仔。
[00:07:30.086–00:07:31.564] 那就决定了第一。
[00:07:33.542–00:07:34.156] 他得。
[00:07:34.950–00:07:36.332] 大量的填充时间。
[00:07:37.542–00:07:38.028] 对吧。
[00:07:38.822–00:07:41.580] 第二呢，他不能让你太累。
[00:07:43.654–00:07:44.268] 对不对？
[00:07:44.998–00:07:46.828] 他不能太消耗你的精力啊。
[00:07:47.654–00:07:52.268] 他要让你很舒适看的。所以你看电视剧的剧情强度一般还比电影弱。
[00:07:53.062–00:08:02.060] 然后呢，他要陪伴你，让你不厌烦，所以他他得是人物驱动，人物才能陪伴你吗。我说过电视剧给你一种谈恋爱的体验。
[00:08:03.366–00:08:03.916] 对不对？
[00:08:04.934–00:08:24.860] 人物呀陪伴你呀，这是一种恋爱呀。所以你看电视剧的观众也是女性观众，他为啥要女性观众呢？因为看广告冲动消费的是女性观众，女性观众看电视剧咔嚓来个广告。然后呢，在广告一看，哎，这个东西这个洗面奶好像我可以买，买了以后，这个钱被洗面奶洗洗面奶的。
[00:08:25.414–00:08:35.628] 商家赚走了，他赚到这个钱，付一部分给电视台，说这是我的广告费。电视台再拿出这个钱一部分去给电视剧说做的好做的好。
[00:08:36.102–00:08:37.548] 对吧小弟，你做的好。
[00:08:38.246–00:08:41.740] 是这么一个支付转移支付的一个路径。
[00:08:42.854–00:08:43.564] 所以。
[00:08:44.038–00:08:44.812] 导致了。
[00:08:45.574–00:08:51.340] 电视剧基本描的是女性观众，因为女性观众更爱冲动消费呀，对吧？
[00:08:52.998–00:08:54.508] 所以造就了电视剧。
[00:08:55.078–00:08:57.484] 早期的特点是连续的。
[00:08:58.374–00:09:04.140] 然后呢呃大量填充时间，但是又不消耗精力，以人物为驱动。
[00:09:05.510–00:09:07.916] 很nice很温柔。
[00:09:08.518–00:09:09.036] 陪伴你。
[00:09:11.366–00:09:12.620] 早年的时候啊。
[00:09:13.158–00:09:23.084] 你什么时候见过说有一个电视剧是恐怖电视剧，不可能的对吧？他不给你来这一套，他就是陪着你。所以最早的电视剧基本都是爆米花剧。
[00:09:24.294–00:09:25.772] 喜剧啊、爱情剧啊。
[00:09:27.782–00:09:29.580] 他陪着你，但又不消耗你精力。
[00:09:30.470–00:09:31.180] 这就是。
[00:09:31.782–00:09:35.948] 电视剧它的出身。所以你说电视剧我给他的定义啊。
[00:09:36.550–00:09:39.020] 我说他就是电视广告的马仔。
[00:09:41.670–00:09:42.604] 很多同学。
[00:09:44.646–00:09:56.236] 就说了说老师，你能不能给点正经定义呀？书上那种电视剧是一种什么什么光影和什么什么的呃艺术形式，艺术形态哎呀。
[00:09:57.350–00:10:00.364] 咱也不考试，你去背那些有什么用呢？
[00:10:00.838–00:10:02.924] 在这里我跟大家说一下啊。
[00:10:05.190–00:10:06.252] 如果你。
[00:10:06.950–00:10:08.524] 再去上别的编剧课。
[00:10:09.158–00:10:11.468] 听到一个老师天天给你甩术语。
[00:10:12.294–00:10:13.740] 我建议你掉头就走。
[00:10:14.438–00:10:16.492] 有一种老师特别爱甩术语。
[00:10:17.990–00:10:26.956] 动不动就给你，这是罗伯特买基啊，这是呃这个这个希德菲尔德啊，这是那个那个斯坦尼斯拉夫斯基。
[00:10:27.558–00:10:30.476] 就给你整这是什么什么理论。
[00:10:31.910–00:10:35.660] 把这些东西搞得过于玄妙。我跟你说，这种老师。
[00:10:36.614–00:10:37.644] 这么讲的话。
[00:10:38.982–00:10:41.644] 有很大的怪率，就是他可能也是不会呀。
[00:10:43.174–00:10:44.492] 他不会写，你知道吗？
[00:10:48.678–00:10:51.820] 这就好比什么啊，好比你去学个厨师。
[00:10:52.454–00:10:56.652] 你其实是想炒菜，回家开个饭店，有个手艺。
[00:10:57.638–00:10:59.372] 可以谋生，对吧？
[00:11:00.358–00:11:02.412] 这老师天天在跟你跟你。
[00:11:03.238–00:11:23.164] 跟你说一些啊，这个青椒的切法有三种，一种是川菜名家，叫刘二贵刀法。刘二桂刀法是三横一竖咔但是呢到70年代后期的时候，因由于青雕技术的发展，青椒长得越来越大，它改成了四横两竖切法。
[00:11:23.526–00:11:25.196] 背这些有什么用啊？
[00:11:26.022–00:11:38.828] 这些也就是他吃饭的时候，你吹吹牛逼可以可以说，对吧？上来一道菜，哎，这个青椒是是这种切法，你知道吗？这是川菜名家刘二贵切法的一种变种。
[00:11:40.614–00:11:41.964] 你就给我吹一个牛逼的。
[00:11:43.334–00:11:48.140] 咱们这堂课啊，我就教你切啊，教你做，咱们得会做。
[00:11:48.742–00:11:50.476] 因你背这些啊没有用。
[00:11:51.302–00:12:00.716] 吹这个牛鼻胡这个人干什么呢？天天啊呀一一直就哇，这是这是什么？这是这叫什么就拿术语在那套，没有必要。
[00:12:01.510–00:12:09.452] 还是得学会正儿八经的干活。所以我说你如果去再去上别的编剧课，听到老师拼命的甩术语。
[00:12:10.918–00:12:13.452] 我跟你说，十有八九，他可能就不会教你写了。
[00:12:13.990–00:12:15.180] 他也还不会。
[00:12:16.230–00:12:17.548] 还有一种老师啊。
[00:12:18.470–00:12:25.484] 还有一种老师就骗人的老师有两种，有两个特点，一个是拼命的甩术语。二是大量的讲案例。
[00:12:26.694–00:12:38.476] 就今天我们带大家来看一下经典影片，这个杀手不太冷。我跟你讲何特别爱讲这个杀手不太冷。一听有人讲这个杀手不太冷，我劝你掉头就走。
[00:12:39.398–00:12:44.940] 当然是牛逼片子，当然是好片子，满分剧本写的非常棒。但问题。
[00:12:45.734–00:12:48.812] 他花一天的时间跟你讲这个呃电影。
[00:12:50.150–00:12:58.892] 每一场戏都跟你讲，这场戏的精妙之处在哪里，作用在哪里？你听着也很过瘾，觉得啊真棒呀，这个电影真棒呀，有什么用呢？
[00:13:00.070–00:13:01.004] 你会写吗？
[00:13:02.790–00:13:03.788] 说人家棒。
[00:13:04.550–00:13:07.724] 有什么用啊？你自己在家看也能看出这个电影很棒。
[00:13:08.294–00:13:19.276] 对吧给你讲一件阳光小美女是如何的哎呀，规整如何的漂亮，对吧？给你讲一下那个斯皮尔伯格的回到未来这个剧本如何的完美。
[00:13:21.702–00:13:23.276] 这种课呀也去少听。
[00:13:24.070–00:13:25.356] 而且这种课一般。
[00:13:26.566–00:13:29.164] 这种线下课好几万一组。
[00:13:30.150–00:13:32.268] 他花大量的时间在那里给你讲案例。
[00:13:34.374–00:13:36.108] 听我我的课的同学。
[00:13:37.222–00:13:49.612] 你们前面的课如果好好听了，我告诉你，你现在自己看这些片子，你都能给他分解了，你都能感受到他每一场戏的作用。你只要好好听我的课了，所以不需要我带着你去。
[00:13:50.214–00:13:56.204] 分析这种案例，因为我有同学给我留言，主动求我带他们分析案例，你知道吗？
[00:13:56.870–00:14:17.596] 那是浪费你的时间，也是浪费我的时间，咱又不不不拿时间充数去卖钱，何必呢？没有必要，好吧，没有必要你自己看就行了。我教你什么呢？我这里如果需要举例子的时候，我教你写一个，这才是最好的，你能了解到我们怎么写出来这场戏。比如说我们这在这里。
[00:14:17.926–00:14:18.828] 需要一个。
[00:14:19.462–00:14:22.220] 呃，男方跟女方呃产生。
[00:14:23.622–00:14:41.900] 男女主角产呃产生分歧。然后呢，但是男主角不知情，女主角知情。比如说咱们现在需要这么一场戏，那咱们就现场一起写，这才解决问题。从0到1这才解决问题。所以咱们课上有大量的我带着你们写写，带着你们创作的。
[00:14:42.502–00:14:43.084] 时候。
[00:14:43.558–00:14:45.548] 而不是去分析一些。
[00:14:46.150–00:14:47.180] 阿牛的东西。
[00:14:48.070–00:14:53.996] 人家这场戏真牛啊，来同学们鼓掌哦，牛牛牛啊，这个服了我服了。
[00:14:54.886–00:14:57.196] 有什么用啊，我也服。
[00:14:58.118–00:14:59.180] 服了有什么用啊？
[00:14:59.974–00:15:03.180] 是吧这个杀手不太冷，那当然还牛逼啊，那个片子。
[00:15:04.070–00:15:10.444] 豆瓣怎么也得个9.49.5左右的那种，那非常完美的剧本，对吧？
[00:15:11.974–00:15:18.028] 没什么好分析的，你听了我的课之后，你自己去看，你自己一场一场去看，你自己都可以分析。
[00:15:19.302–00:15:29.036] 好吧，所以以后再不要跟我说这个了，以后你们看到这种课也可以别报名了，那3万块钱省下来干点什么不好，买点排骨吃的不香吗？
[00:15:29.606–00:15:32.716] 对不对？那种课真的三四万一套啊。
[00:15:33.542–00:15:34.668] 他就带着你讲案例。
[00:15:37.158–00:15:40.908] 咱们这堂课不干这种事儿，咱们是实战课，我带着你们写。
[00:15:41.766–00:15:58.636] 需要举例子的时候，我带着你们直接写，这才是能学点东西，好不好？所以以后咱别聊这个了啊，也别聊什么这个电视剧到底是什么定义，你不用去管，我就告诉你，电视剧就是电视广告的弟弟，电视广告的马仔。
[00:15:59.590–00:16:02.124] 他就是这么来的，他就服务电视广告呀。
[00:16:03.622–00:16:05.548] 给电视广告填空留缝。
[00:16:06.502–00:16:09.612] 就是这个作用，所以才造就了他早期的形态。
[00:16:10.374–00:16:30.300] 比较女性像啊比较人物驱动，比较不耗费精力，比较看着比较舒服。这就是电视剧的早期心态。而且为了大量的填补你的时间，它需要批量生产，批量生产，它就搞成了叫连续剧。你看电视剧也叫连续剧嘛，啥叫连续剧。
[00:16:30.502–00:16:33.516] 他剧情连续啊他剧情连续着。
[00:16:34.054–00:16:35.308] 所以他就可以啊。
[00:16:36.326–00:16:39.308] 长时间的叙事来完成他的使命。
[00:16:40.070–00:16:42.124] 给广告当小弟的这个使命。
[00:16:43.494–00:16:49.996] 有有剧情连续的对吧？那还有那种单元剧一集，比如说一集破一个案。
[00:16:51.174–00:16:55.244] 那种侦探片那种也有那种就是呃他人物连续。
[00:16:55.878–00:17:02.252] 他一直是这些人儿，对吧？还有情景剧，他场景连续，他就这一个场景，或者就这几个场景。
[00:17:02.950–00:17:05.708] 他反正他连续批量生产。
[00:17:06.886–00:17:13.996] 就就就是因为这个原因造就了电视剧是这个形态。我们也要了解这个，便于我们创作。
[00:17:15.270–00:17:18.732] 当下你手里这个电视剧需要完成什么任务？
[00:17:19.462–00:17:21.740] 去创作，按照那个形态去创作。
[00:17:23.622–00:17:24.684] 那直说到这里。
[00:17:26.022–00:17:29.420] 我们可以回顾一下，我们说电视剧它形态一直在变化。
[00:17:30.086–00:17:34.668] 我们可以回顾一下电视剧这些年啊，特别是中国这个电视剧啊。
[00:17:35.206–00:17:43.692] 他是怎么发展的？因为我本人出生在80年代的早期，80年代早期暴露年龄了啊。
[00:17:44.710–00:17:48.268] 我有幸经历了中国电视剧市场。
[00:17:49.158–00:17:51.532] 真的是发展起来，就从80年代开始了嘛。
[00:17:52.422–00:17:57.996] 我经历了这个整个过程，因为我小时候特别爱看电视剧，特别爱看电视剧。
[00:17:58.758–00:18:19.676] 那种小时候那种电视台有8个频道，你知道吗？就8个按钮，8个小按钮，叭叭叭叭8个按钮，就看那种电电电视剧。70年代末的那些比我大一点的，应该还经历过那种拧的那种电视，就是那个调台是用来拧的，像个收音机，什么年轻人收音机也不知道是什么，反正就是一个像洗衣机的。
[00:18:20.198–00:18:27.468] 现在洗衣机也没有那种钮了，微波炉微波炉行了吧，微波炉那个拧的。
[00:18:28.422–00:18:34.444] 那个那个旋钮早期的电视电视机是那个旋钮的那种我也看过。
[00:18:35.366–00:18:39.340] 反正我是经历了这个完整的时代吧，我可以给大家回顾一下啊。
[00:18:40.262–00:18:41.164] 电视剧。
[00:18:41.638–00:18:43.052] 就中国电视剧的。
[00:18:43.718–00:18:44.556] 过去。
[00:18:45.670–00:18:46.764] 非常之辉煌。
[00:18:48.358–00:18:51.980] 中国电视剧曾经非常的辉煌。
[00:18:52.454–00:18:53.580] 非常的高峰。
[00:18:54.182–00:18:55.948] 你们无法想象当时有多。
[00:18:56.454–00:18:57.132] 牛逼。
[00:18:58.342–00:19:01.900] 有很多经典的片子，里程碑式的片子。
[00:19:04.070–00:19:04.972] 西游记。
[00:19:05.926–00:19:06.796] 这就不说了吧。
[00:19:07.398–00:19:11.884] 80年代温德版西游记横空出世，万人空巷。
[00:19:12.678–00:19:13.484] 非常牛逼。
[00:19:14.150–00:19:17.068] 这个这个卖给出口，世界上很多很多国家。
[00:19:17.574–00:19:25.932] 当然啊，同时期四大名著都拍了一下，那时候的老的三国水浒和那个那个红楼梦，红楼梦也非常成功啊。
[00:19:26.534–00:19:28.684] 非常成功，就是那个。
[00:19:29.542–00:19:35.404] 男女主角叫就贾宝玉和林黛玉分别是欧阳奋强和刘晓旭，是叫刘晓旭吧？
[00:19:36.198–00:19:37.452] 那那一个版本。
[00:19:39.398–00:19:40.364] 然后还有。
[00:19:41.478–00:19:45.484] 呃，渴望当时也是一个里程碑式的电视剧。
[00:19:47.206–00:19:49.356] 中国电视剧当时非常的牛逼。
[00:19:50.054–00:19:50.764] 而且。
[00:19:51.718–00:19:54.508] 还有那个年代就有偶像剧、言情剧。
[00:19:57.350–00:20:00.396] 演员你们可能知道啊，叫王志文。
[00:20:01.254–00:20:08.268] 王之文大叔年轻的时候是中国偶像言情偶像剧一哥。
[00:20:09.702–00:20:10.476] 一个。
[00:20:11.718–00:20:13.068] 一号小生。
[00:20:13.734–00:20:14.284] 真的。
[00:20:15.366–00:20:26.636] 真的，当然他年轻的时候其实也不帅啊，也就这样。就现在这个模样也不帅，但是他真的是在演偶像剧，他跟那个江山演的什么糊涂的爱呀，过把瘾呀。
[00:20:27.366–00:20:31.916] 那个也是中国电视剧可以载入史册的作品，为啥呢？
[00:20:33.254–00:20:35.468] 那应该是中国电视剧第一个。
[00:20:37.414–00:20:38.508] 舌吻的剧。
[00:20:40.326–00:20:40.748] 真的。
[00:20:42.342–00:20:54.316] 男女主角这俩头啊对在一块儿横着亲，绞着亲，然后摄像机360度转着拍，配着恨不得配着音乐撒着花瓣，你知道吗？
[00:20:55.206–00:20:56.236] 就那么亲呐。
[00:20:58.982–00:21:01.356] 你在现在的电视剧中还看到过吗？
[00:21:02.822–00:21:03.788] 早就没了。
[00:21:05.094–00:21:06.028] 审不过了。
[00:21:07.782–00:21:09.164] 年代就可以这样骑。
[00:21:11.334–00:21:15.020] 而且那个年代不光是中国内地的电视剧厉害。
[00:21:16.102–00:21:29.100] 整个电视剧市场蓬勃发展，引进片也是大家互相互相争争相斗艳，互相扶直，互相帮助的那种互相刺激的成长。
[00:21:29.830–00:21:30.668] 你想我们。
[00:21:31.686–00:21:32.940] 最早引进的。
[00:21:33.478–00:21:34.508] 港片是。
[00:21:36.358–00:21:39.820] 83年的社雕应该是83年社雕啊。
[00:21:40.390–00:21:41.260] 射雕英雄传。
[00:21:41.958–00:21:46.156] 天哪开启了整个武侠片的武侠电视剧的时代。
[00:21:46.918–00:21:49.676] 武侠电视剧的时代，射雕英雄传。
[00:21:50.214–00:21:53.740] 然后当时甚子都从新加坡引进。
[00:21:54.278–00:22:02.764] 电视剧武侠电视剧可能是因为武侠电视剧这个市场需求量太大了，然后内地暂时还没拍，因为内地当时比较严肃。
[00:22:03.494–00:22:19.116] 呃不太想搞武侠这块，自己不太搞武侠，因为觉得哇哇哇觉得有点我们内地人有点做不出来这种事儿，你知道吧？就有点不太想干这种事儿，然后呢就引进了一个新加坡的电视剧，我印象很深刻叫。
[00:22:19.622–00:22:21.420] 叫莲花争霸，好像是。
[00:22:22.022–00:22:31.980] 无怨无悔，我走过路，我是通过看这个电视剧才知道啊，新加坡人也说中文，懂吧？就是那个电视剧为啥？
[00:22:32.678–00:22:38.860] 印象很深啊，那个电视剧又跟咱们呃香港的这个武侠电视剧风格不一样。
[00:22:39.974–00:22:43.276] 他那个电视剧非反物理起飞。
[00:22:44.934–00:22:49.388] 香港的电视剧能打或者速度快，它至少基于物理原理。
[00:22:49.926–00:22:57.836] 就他不出格，就我速度很快，但我蹭了一下过来，我不出格。但是那个新加坡人他不管这一套啊。
[00:22:58.438–00:23:05.516] 他可以往后飞，腿一蹬它就往后飞，然后他可以手发冲一波往外放炮。
[00:23:06.598–00:23:11.500] 它可以瞬间移动什么的，它就可以开始走那那种路线了。
[00:23:12.358–00:23:18.028] 也是非常的经典。当然咱内地也拍了，也开始做多种尝试，拍了那个。
[00:23:18.726–00:23:19.404] 封神榜。
[00:23:20.390–00:23:22.892] 风筝榜那内版也是非常经典。
[00:23:23.686–00:23:25.388] 然后引镜片还有那个。
[00:23:26.150–00:23:27.212] 东京爱情故事。
[00:23:28.198–00:23:34.604] 东京爱情故事9192年左右的时候，当时也是爱情启蒙吧，算是。
[00:23:35.686–00:23:37.676] 还有引进的，还有什么啊？
[00:23:39.174–00:23:44.108] 那个港台地区的更多啊，像新白娘子传奇。
[00:23:45.446–00:23:46.476] 新白娘的传奇。
[00:23:47.174–00:23:49.324] 那也是当时让人觉得。
[00:23:50.118–00:23:52.556] 眼前一亮的电视剧啊，他唱啊。
[00:23:53.414–00:23:59.884] 说着说着就他就唱起来了，你知道吧？
[00:24:03.238–00:24:06.956] 而且他的男一号那个那个那个许许仙。
[00:24:07.462–00:24:09.260] 是叶彤演的，是女的。
[00:24:11.238–00:24:13.388] 但是在当时啊很多观众并不知道。
[00:24:14.246–00:24:21.516] 特别是在我们小县城，我在小县城长大资讯没那么发达。小县城对于叶童是男是女。
[00:24:22.054–00:24:31.820] 是有巨大的争议，而且没有定论的，没有人出来摆一句话说，他就是男的，或者就是女的，一直有争论到这种程度火呀。
[00:24:32.966–00:24:35.436] 还有引进美国片成长的烦恼。
[00:24:36.262–00:24:37.900] 在那个年代也引进国内。
[00:24:38.694–00:24:40.524] 还有ba watch。
[00:24:41.190–00:24:42.444] 就海滩游侠。
[00:24:42.950–00:24:47.916] 讲的是什么啊？讲的是美国海边一群救生员的故事。
[00:24:48.390–00:24:49.996] 就是穿着泳装。
[00:24:50.662–00:24:53.420] 每天在沙滩上奔跑救人。
[00:24:54.246–00:24:55.692] 能想象吗？在那个年代。
[00:24:56.294–00:24:58.860] 金发碧眼的女郎穿着泳装。
[00:24:59.430–00:25:04.684] 在沙滩上奔跑，还放慢动作给中国人看。
[00:25:05.318–00:25:06.860] 就是看的能很过瘾呢。
[00:25:08.486–00:25:16.556] 哎呀，所以说那个呃时代呀，中国电视剧的过去曾经无比的繁荣，无比的。
[00:25:18.534–00:25:32.012] 兴盛甚至到后期是一直到呃90年代末，一直都很棒，又出了什么呃那个那个啊，早期还有几部片子很啊编辑部的故事跟我爱我家。
[00:25:32.550–00:25:34.348] 那是大院儿。
[00:25:35.078–00:25:42.892] 流派仿美剧的开山制作这两部戏，他们都有点他们的形态都是模仿美国的情景剧。
[00:25:43.622–00:25:45.580] 包括叙事节奏和叙事结构。
[00:25:47.590–00:26:00.524] 因为那些大牌子弟很多人去过美国留学，或者是他们能睁开眼看世界，他们算是第一批人，然后把这种艺术形式引进了中国。所以其实像编辑部的故事，还有。
[00:26:01.222–00:26:02.060] 我爱我家。
[00:26:03.110–00:26:05.740] 你们年轻人肯定都没听说过这两部剧啊。
[00:26:06.566–00:26:13.740] 嗯，可以翻出来看一看，一点儿不落伍。在当时是非常前卫的，它的那些主题和内容非常前卫。
[00:26:14.214–00:26:15.276] 就因为它很美。
[00:26:15.974–00:26:17.260] 很美式的审美。
[00:26:19.206–00:26:22.796] 然后到后期啊到990年代后期，中国电视剧一直。
[00:26:23.782–00:26:25.260] 呃，时不时的出精品。
[00:26:26.054–00:26:26.988] 中国式离婚。
[00:26:27.750–00:26:28.460] 非常牛逼。
