P007 第三课-八要素的实战应用3.1
[00:02:00.934–00:02:04.780] 对吧而且是那种显而易见的正能量。
[00:02:05.350–00:02:07.500] 那为什么主题又分正价值负价值呢？
[00:02:08.038–00:02:15.596] 是因为正负价值在这个在你整个过程当中是有一个角力的过程的，所以负价值是会出现的。
[00:02:17.030–00:02:19.660] 但是最后是正价值，战胜了负价值。
[00:02:20.294–00:02:21.708] 体现了正能量。
[00:02:22.790–00:02:23.372] 那么。
[00:02:24.006–00:02:27.372] 故事的三要素细分成这8个小要素。
[00:02:28.486–00:02:30.988] 而且我昨天给大家说了一遍，我说你看。
[00:02:31.942–00:02:35.212] 一个什么样的人产生了一个什么样的。
[00:02:36.134–00:02:40.812] 想法欲望通过干什么事儿，想实现这个想法。
[00:02:41.766–00:02:43.500] 能不能实现呢？
[00:02:44.230–00:02:44.780] 大问题。
[00:02:47.078–00:02:58.220] 够呛难阻力很多，各种各样的阻力。而且我昨天说了，阻力一定程度上是决定故事精彩程度的关键就是阻力越大。
[00:02:58.694–00:02:59.628] 故事越精彩。
[00:03:00.678–00:03:06.476] 九九八西斤呢啊翻山越岭啊，就是阻力，然后最后得到一个结果。
[00:03:07.334–00:03:13.484] 这个结果呢体现了正价值，战胜了附加值，弘扬了正能量。
[00:03:14.278–00:03:15.052] 就是什么。
[00:03:15.686–00:03:16.332] 一个玩意儿。
[00:03:17.382–00:03:20.844] 昨天说的就是这个概念，然这个东西不是我发明的。
[00:03:21.446–00:03:23.724] 也不是我呃教给大家的。
[00:03:24.454–00:03:25.260] 这是书上。
[00:03:25.926–00:03:30.188] 这是原理理论。好吧，所以昨天咱们把这个交给了大家。
[00:03:33.030–00:03:35.564] 然后很多人就觉得那故事就这么简单吗？
[00:03:36.326–00:03:37.452] 那可不就是这么简单吗？
[00:03:38.310–00:03:39.660] 原理上就是这么简单。
[00:03:41.030–00:03:43.500] 我们说随便小蝌蚪找妈妈。
[00:03:44.582–00:03:50.924] 小蝌蚪想找妈妈，动作是游啊游，到处找，问题是能不能找到啊？
[00:03:51.430–00:04:07.820] 阻力是一次又一次的找错，抱上这个大锤叫妈妈，结果说我不是你妈，具体都找了谁，我不记了，我只记得抱过王八，找到王八说哎呀，你是我妈，然后呢，最后结果是找着了，确实找着了，而且他自己也长大了。
[00:04:08.582–00:04:13.196] 体现的主题是什么？就母子情深嘛，母子怜心，母子情深。
[00:04:14.598–00:04:27.180] 就是那么简单故事。但我上一节课啊，我特意没布置作业，我没有让你们顺着这个写一下，我就是怕打击你们的信心。你们好不容易培养起来说，哎呀，这故事太简单了，这不写一下吗。
[00:04:28.358–00:04:42.476] 一写就会发现，其实跟之前还是一样，还是不会对吧？为什么呢？因为这八要素就是原理，就是原理。你套上之后，这故事不一定就是只能保证你故事完整。
[00:04:44.038–00:04:45.036] 那么今天。
[00:04:45.798–00:04:50.060] 我们来讲什么呢？今天我们就讲八要素。
[00:04:53.638–00:04:54.764] 的实战应用。
[00:05:00.198–00:05:09.164] 实战应用啊，咱的咱的这课不是叫实战课嘛？咱得唠点，咱得聊点我的了，好吧，这个八个要素。
[00:05:09.862–00:05:10.764] 大家都明白了。
[00:05:14.822–00:05:15.468] 举个例子。
[00:05:16.006–00:05:32.172] 好不好？我刚才上课之前想了一下，我说我们举个什么例子呢？我们举个最耳熟能详最最简单的例子，今天不引用经典了，我们自己造一个故事，好吧，我们说来我们写某个人物的故事，这个人物的身份是什么？
[00:05:33.510–00:05:43.084] 你们说写个警警警匪故事好不好？警察抓坏人。我跟你说，警察抓坏人是目前剧类、电视剧类世界第一大题材。
[00:05:44.966–00:05:45.996] 世界第一大题材。
[00:05:47.590–00:05:49.644] 他就像古代的。
[00:05:50.534–00:06:10.780] 古代什么题材最吃香啊，什么妖怪来了，灾难片，然后或者是呃谁谁谁翻山越岭，上哪去找到了一个宝藏。那个那个阿里巴巴什么的，就是寻宝片和灾难片是古代人的第一大题材，他们爱听这。
[00:06:11.718–00:06:16.236] 现代人的第一大题材就是警匪片，警察抓坏人，警察抓小偷。
[00:06:16.710–00:06:23.020] 对吧这种是第一题材。所以我们啊那至于咱们有些同学马上产生疑问了啊，说中国为什么？
[00:06:23.846–00:06:26.348] 嗯咱们国内为什么警察抓？
[00:06:26.918–00:06:29.004] 小小偷的题材那么少呢。
[00:06:30.406–00:06:36.460] 自己去琢磨吧，自己去体会吧。反正你看陈思成是挺想拍警察抓坏人的片儿的。
[00:06:36.998–00:06:43.116] 他想要用中国演员演说汉语，拍我们中国的探案片，但是他跑哪儿去拍的跑。
[00:06:43.686–00:06:51.244] 跑泰国唐人街去拍去，对吧？就是就是那儿的事情呃，咱这就不说了啊，咱假设。
[00:06:51.942–00:06:54.764] 咱可以写这么一个精彩的故事，警察。
[00:07:01.862–00:07:02.956] 你告诉我来。
[00:07:03.622–00:07:06.220] 警察的欲望是什么？警察一般的欲望是什么？
[00:07:07.846–00:07:09.964] 警察维护正义啊。
[00:07:10.502–00:07:14.060] 他的盛个阳善呀，对吧？他欲望是。
[00:07:15.046–00:07:15.628] 正义。
[00:07:17.990–00:07:20.364] 警察呢一身正气正义。
[00:07:20.838–00:07:22.572] 来，为了实现正义。
[00:07:23.686–00:07:24.716] 他得有个动作吧。
[00:07:25.638–00:07:26.828] 他采取什么样的动作？
[00:07:28.326–00:07:36.012] 就是抓嘛，抓小偷嘛？警察抓小偷嘛，他他就去抓坏人，对吧？就抓捕，抓坏人。
[00:07:37.894–00:07:40.972] 然后问题就是能抓人吗？
[00:07:41.446–00:08:01.532] 能不能抓着，那肯定是肯定是显然是出现了一个特别难抓的。你看探片一般都是上来破几个小案子，既显示一下这个警察聪明机智、善良勇敢，还显示一下他这个这个呃有点什么过人的技能，反正就是把警察这个形象一树立，然后咔嚓来一个。
[00:08:01.702–00:08:02.412] 非常。
[00:08:03.174–00:08:23.292] 要紧的案子，神探夏洛克不就是这样吗？上来先破几个鸡毛蒜皮的小案子，显得他哎呦这个聪明华生都看呆了，对吧？那个卷弗演的那一版，然后马上就出来那个那个那个那个连环自杀案，夏洛克那个第一集，然后不就是成为了最大的问题嘛？最大的问题就是能抓着吗？
[00:08:23.462–00:08:33.324] 能不能能不能对吧？能不能行不行的问题，就是最大的问题。能不能阻力那就不用说了，那就是坏人太坏。
[00:08:34.598–00:08:35.052] 对吧。
[00:08:36.870–00:08:57.276] 我上集说过什么阻力得得得那个呀，得是全套的呀，得是各种各样的阻力啊，什么坏人太坏呀，队友不给力呀，对吧？老天又在这个时候又刻意捉弄呀，然后或者是自己又什么生产离婚关系，这个要破案，那么家里又不省心啊，那一般的警察不。
[00:08:57.606–00:09:05.068] 还有这种事儿嘛，就家里也不省心，反正就是主力，各种阻力，各种各种对吧？我给他说各种。
[00:09:05.894–00:09:06.604] 各种阻力。
[00:09:07.302–00:09:07.980] 结果是什么？
[00:09:08.902–00:09:09.804] 结果那肯定就。
[00:09:11.334–00:09:14.764] 抓着了抓着了，对吧？抓着了。
[00:09:21.254–00:09:22.348] 主题体现了什么？
[00:09:24.422–00:09:27.756] 邪不压正啊，正压了邪就是正义。
[00:09:28.582–00:09:29.388] 战胜了。
[00:09:29.990–00:09:30.732] 邪恶嘛？
[00:09:32.550–00:09:35.276] 因为正价值是正义，负价值是邪恶。
[00:09:36.006–00:09:36.684] 正义。
[00:09:37.862–00:09:40.684] 打扰了邪哥好，收工。
[00:09:41.286–00:09:41.868] 收功了。
[00:09:42.662–00:09:47.788] 多完整的故事，你们看啊，咱们来看啊，多完整的一个故事。
[00:09:48.454–00:09:50.508] 警察追求正义。
[00:09:51.430–00:09:52.332] 然后去抓捕。
[00:09:53.734–00:09:56.044] 抓捕坏人能不能抓着呢？
[00:09:56.678–00:10:02.060] 坏人太坏了，实在是狡猾，但是最后还是抓着。
[00:10:02.598–00:10:05.516] 体现了什么正义战胜邪恶。好。
[00:10:07.910–00:10:10.444] 把个部分都卡上了，大家有什么不满意的吗？
[00:10:16.422–00:10:19.628] 没有人由衷的想说一句，这他妈叫什么故事？
[00:10:20.230–00:10:22.156] 这个故事有什么好看的？我想请问。
[00:10:22.758–00:10:25.196] 这个故事有什么好看的？我想请问同学们。
[00:10:26.630–00:10:27.884] 这故事有什么好看的？
[00:10:28.774–00:10:34.508] 一个警察追求正义，想抓坏人，坏人可不太好抓啊，费了点劲抓掉了结束。
[00:10:35.174–00:10:36.748] 让你看2小时这个片儿。
[00:10:37.574–00:10:39.660] 票是送的光买爆米花，你都不看。
[00:10:42.118–00:10:42.508] 对吧。
[00:10:43.206–00:10:51.244] 所以我昨天跟大家说的是八要素有了，只能告诉你，保证故事的连贯性和完整性。
[00:10:52.486–00:10:53.356] 故事精彩。
[00:10:56.134–00:10:57.036] 还远远不够。
[00:10:58.406–00:11:07.532] 故事精彩些实哦，如果只背一下八要素，然后咱们这事儿就办成了，那真咱这课也不值钱了，是不是？
[00:11:12.550–00:11:17.964] 咱们来实战好不好？我来告诉大家，我在实战过程中这8个要素。
[00:11:19.014–00:11:19.820] 我是怎么做的？
[00:11:22.470–00:11:22.956] 来。
[00:11:23.782–00:11:24.844] 八要素啊。
[00:11:26.566–00:11:29.836] 我们这一行给他保留，就是我们的曾经。
[00:11:30.694–00:11:31.884] 我们给他保留。
[00:11:52.102–00:11:52.620] 第一个。
[00:11:53.830–00:11:54.316] 身份。
[00:11:55.398–00:11:56.492] 我们说身份。
[00:11:57.446–00:11:58.700] 其实就是人物的。
[00:11:59.942–00:12:01.292] 首先描述的一个东西。
[00:12:04.422–00:12:07.372] 检验一个人物的身份成功不成功？
[00:12:09.670–00:12:10.348] 怎么检验？
[00:12:12.006–00:12:13.228] 我有个很简单的办法。
[00:12:13.990–00:12:21.420] 就是讲给你身边一个朋友说，哎，我给你讲一个关于什么什么样人的故事。
[00:12:23.654–00:12:24.556] 他想听。
[00:12:25.990–00:12:26.604] 就成了。
[00:12:27.622–00:12:29.996] 他不想听，你就得再重新琢磨琢。
[00:12:31.494–00:12:35.788] 你跟你身边的朋友说，哎，我给你讲一个警察的故事。
[00:12:36.678–00:12:37.452] 他不会抬头的。
[00:12:38.214–00:12:40.204] 然后你先看了下咱们这个故事。
[00:12:41.382–00:12:45.228] 我给你讲一个追求正义的勇敢的警察的故事。
[00:12:47.302–00:12:49.612] 9乘5的几率他还是不会抬头。
[00:12:52.102–00:12:52.620] 对不对？
[00:12:55.430–00:12:55.884] 对不对？
[00:12:58.470–00:12:59.756] 那这个事情怎么解决呢？
[00:13:00.870–00:13:01.932] 我有一个口诀。
[00:13:02.598–00:13:06.380] 叫给你的人物加上一个。
[00:13:07.942–00:13:09.068] 附加值的定语。
[00:13:13.798–00:13:14.348] 简单里去。
[00:13:15.526–00:13:16.620] 给你的人物。
[00:13:17.318–00:13:19.628] 加上一个含有。
[00:13:22.022–00:13:23.116] 副价值。
[00:13:27.142–00:13:27.756] 的定语。
[00:13:34.150–00:13:35.852] 那你原本这个这个故事。
[00:13:36.390–00:13:37.260] 附加值是什么？
[00:13:40.454–00:13:40.908] 邪恶。
[00:13:42.214–00:13:42.668] 邪恶。
[00:13:43.206–00:13:48.364] 那我们先最简单粗暴的运用，我们别也别含有附加值了，我们直接就。
[00:13:48.934–00:13:55.884] 升班附加值哎，你朋友跟你朋友说，哎，我给你讲一个邪恶的警察的故事。
[00:13:56.678–00:14:00.492] 这时候他有一半左右的几率会抬头说怎么个邪恶法？
[00:14:01.766–00:14:02.348] 哎。
[00:14:03.750–00:14:05.292] 不就开始有点效果了吗？
[00:14:06.342–00:14:09.996] 但是有些同学问了，那邪恶的警察追求正义。
[00:14:11.814–00:14:15.852] 跟后面不就矛盾了吗？我跟你讲，邪恶的警察也可以追求正义。
[00:14:18.822–00:14:19.308] 对不对？
[00:14:21.574–00:14:23.116] 他可以追求自我的正义。
[00:14:23.878–00:14:25.772] 或者他可以追求一个片面的争议。
[00:14:26.694–00:14:31.628] 或者是他追求一个误打误撞的正义，明白吗？就说不耽误他追求正义的。
[00:14:32.262–00:14:36.620] 而且邪恶不并不一定是它的全部嘛，我们说含有附加值的定语啊。
[00:14:38.342–00:14:39.308] 明白这个意思吧？
[00:14:40.166–00:14:41.068] 这是第一点。
[00:14:41.702–00:14:42.348] 人物。
[00:14:42.854–00:14:43.724] 我们可以这么改。
[00:14:44.198–00:14:48.364] 其实就是什么搞一个反向思维。我们举几个例子啊。
[00:14:50.406–00:14:52.716] 我们说假设主角的身份是一个教师。
[00:14:53.510–00:14:56.844] 我们说哎哎，我给你讲一个教师的故事。
[00:14:57.382–00:14:58.860] 讲一个老师的故事。
[00:15:00.646–00:15:01.964] 你的朋友不会抬头的吧。
[00:15:02.822–00:15:07.500] 然后你就想想，哎呀，这个附加值教师的正价值是什么？
[00:15:09.254–00:15:11.788] 呃呃呃呃这个这个聪明。
[00:15:12.454–00:15:13.804] 呃，博学。
[00:15:14.694–00:15:15.884] 有爱心。
[00:15:16.742–00:15:17.612] 慈祥。
[00:15:18.150–00:15:23.660] 然后呢呃这个这个这个像天使一样，对吧？然后这个。
[00:15:24.166–00:15:30.668] 温柔对吧？反正就是这些价值是传统来说教师的正价值。
[00:15:31.334–00:15:33.068] 那你就找反的嘛。
[00:15:33.702–00:15:35.212] 你告诉他哎，我给你讲一个。
[00:15:35.686–00:15:38.028] 对数学一窍不通的数学老师。
[00:15:40.102–00:15:44.236] 我给你讲一个连加减乘除都搞不定的数学老师。
[00:15:44.934–00:15:46.668] 你朋友马上抬头，那他怎么教啊？
[00:15:48.998–00:15:50.924] 对不对？他不就有兴趣了吗？
[00:15:51.910–00:16:01.036] 或者我给你我给你讲一个那个那个最讨厌小孩，看到小孩就想打着老师，对吧？鬼位teach欧尼子反正龙师。
[00:16:02.406–00:16:03.532] 你不就抬头了吗？
[00:16:04.998–00:16:07.724] 明白这个意思吧？加一个附加值。
[00:16:08.582–00:16:11.692] 加一个负加值呃，不是加一个。
[00:16:12.518–00:16:17.964] 那个你主题里面附加值含有主题里面附加值的定语。
[00:16:19.174–00:16:19.852] 给你的。
[00:16:21.126–00:16:21.868] 人物身份。
[00:16:22.406–00:16:24.108] 好吧，这是第一点。
[00:16:25.766–00:16:26.636] 开始有点。
[00:16:28.454–00:16:43.660] 有有点内味了是吧？开始体会到一点故事开始变得好一点点了吧。最起码你朋友抬头了，他问你，那后来呢对吧？你跟他讲讲讲，我给你讲一个呃这个这个邪恶的警察的故事，他会讲。那后来呢他会先听了。
[00:16:44.198–00:16:44.844] 然后欲望。
[00:16:48.422–00:16:49.708] 欲望的口诀是什么？
[00:16:51.782–00:16:55.756] 身份的口诀，我们说加一个含有附加值的定语，讲给你朋友听。
[00:16:56.326–00:16:57.036] 检测。
[00:16:58.598–00:16:59.276] 欲望。
[00:17:00.742–00:17:02.060] 你这个欲望是正义吗？
[00:17:02.726–00:17:04.460] 我觉得这个欲望差点意思。
[00:17:04.966–00:17:06.988] 怎么检测你的欲望够不够意思呢？
[00:17:08.294–00:17:09.260] 把你的欲望。
[00:17:10.822–00:17:11.948] 讲给一只猴子听。
[00:17:17.510–00:17:18.476] 把你的欲望。
[00:17:19.814–00:17:22.476] 讲给一只猴子听，猴子如果抬头了。
[00:17:24.518–00:17:25.548] 那你这个欲望就成了。
[00:17:27.142–00:17:29.868] 看到一只猴子过去蹲他旁边。
[00:17:30.694–00:17:31.980] 投子不是喜欢互相。
[00:17:32.486–00:17:36.108] 捉狮子嘛？你帮人捉一个对吧？捉捉猴子哎。
[00:17:38.854–00:17:39.980] 把你的欲望说给他。
[00:17:41.126–00:17:43.180] 咱们俩去维护正义吧。
[00:17:45.894–00:17:46.956] 你说猴子会抬头吗？
[00:17:47.942–00:17:48.364] 不会。
[00:17:49.542–00:17:50.668] 猴子不会抬头。
[00:17:51.942–00:17:52.556] 这一不行。
[00:17:54.534–00:17:55.596] 正义不是欲望。
[00:17:59.014–00:18:00.780] 或者说正义不够。
[00:18:01.478–00:18:02.380] 不够格。
[00:18:02.886–00:18:03.500] 做欲望。
[00:18:05.094–00:18:07.628] 对于我来说，对于我要求的故事来说。
[00:18:08.134–00:18:09.452] 那什么样的故事？
[00:18:09.958–00:18:11.948] 什么样的正义能让猴子抬头呢？
[00:18:13.126–00:18:13.964] 原始。
[00:18:14.790–00:18:15.692] 必须原始。
[00:18:16.966–00:18:21.196] 啊，同学们说哪有这这这这这种哪我跟你说很多的来。
[00:18:21.830–00:18:23.052] 你就往他旁块一蹲。
[00:18:25.222–00:18:27.500] 那棵树上有香蕉走。
[00:18:29.798–00:18:31.148] 他嘛跟你走。
[00:18:33.254–00:18:35.820] 对不对？他马上跟你走。
[00:18:36.358–00:18:37.132] 这叫什么？
[00:18:37.638–00:18:39.788] 这叫什么？这叫饥饿。
[00:18:43.686–00:18:44.300] 饥饿。
[00:18:46.662–00:18:47.116] 是欲望。
[00:18:50.086–00:18:50.604] 来一顿。
[00:18:52.294–00:18:52.876] okK。
[00:18:54.086–00:18:57.964] 那边那个母猴，你看哪呢哪呢？
[00:18:59.942–00:19:01.772] 他又逮走了，他没逮到。
[00:19:04.934–00:19:05.356] 爱情。
[00:19:06.918–00:19:09.452] 对吧对爱情的追求。
[00:19:10.534–00:19:11.308] 追求爱情啊。
[00:19:14.886–00:19:15.916] 还蹲着呢啊。
[00:19:16.998–00:19:20.556] 哎嘿嘿哎哎别吃了别吃了。
[00:19:21.766–00:19:23.052] 我听说。
[00:19:24.198–00:19:25.324] 我这个上礼拜。
[00:19:26.278–00:19:27.468] 你想当猴王。
[00:19:28.422–00:19:29.708] 跟老大干了一仗。
[00:19:31.174–00:19:32.684] 你看你让他挠的。
[00:19:33.190–00:19:35.212] 对吧身上还有伤呢。
[00:19:36.230–00:19:37.708] 今天去今天。
[00:19:38.278–00:19:39.020] 去挠他。
[00:19:39.750–00:19:40.524] 我帮你。
[00:19:41.638–00:19:42.860] 猴子抬头了，看看。
[00:19:43.942–00:19:45.804] 觉得俩打一个可以走。
[00:19:47.718–00:19:48.204] 对不对？
[00:19:48.678–00:19:49.356] 又抬头了。
[00:19:50.854–00:19:51.244] 这是什么？
[00:19:53.446–00:19:53.836] 为什么？
[00:19:55.590–00:19:56.268] 复仇。
[00:19:57.542–00:19:58.348] 复仇。
[00:20:02.182–00:20:04.908] 复仇还有什么？刚才这个么除了复仇，还有什么？
[00:20:05.862–00:20:06.572] 还有上位。
[00:20:09.638–00:20:10.956] 所以复仇和上位。
[00:20:12.006–00:20:12.812] 也是很原始的。
[00:20:13.894–00:20:18.828] 我跟你说，猴子不不那么简单的，有很多事可以让他抬头的。
[00:20:20.262–00:20:21.068] 找一个。
[00:20:21.606–00:20:22.444] 做咱的欲望。
[00:20:23.910–00:20:24.428] 正义。
[00:20:32.742–00:20:33.228] 动作。
[00:20:34.246–00:20:35.212] 我们说动作。
[00:20:37.254–00:20:37.932] 有什么要求？
[00:20:41.542–00:20:42.092] 及物。
[00:20:45.350–00:20:47.212] 动作必须是个及物动词。
[00:20:49.286–00:20:49.804] 抓捕。
[00:20:50.342–00:20:52.044] 是O的，抓不谁。
[00:20:52.774–00:20:54.732] 对吧它后面的接名词。
[00:20:55.718–00:20:57.996] 抓捕谁杀杀谁。
[00:20:59.622–00:21:01.548] 必须是个极物动词在这里。
[00:21:06.278–00:21:08.940] 问题我到世界了，好吧。
[00:21:09.638–00:21:11.180] 我们事件这里来讲问题。
[00:21:11.974–00:21:12.940] 就能不能的问题。
[00:21:19.462–00:21:22.732] 我们反复说啊，一个事件的核心问题就是能不能。
[00:21:28.646–00:21:29.260] 这个问题是什？
[00:21:31.814–00:21:32.524] 其实。
[00:21:33.958–00:21:36.076] 我们可以换一种理解方式啊。
[00:21:43.430–00:21:44.492] 他其实是个悬念。
[00:21:45.926–00:21:52.108] 他让你他支撑你，把这个戏看完，而且勾清你对这个戏的。
[00:21:52.870–00:21:53.484] 想象。
[00:21:53.990–00:21:54.508] 到底。
[00:21:55.142–00:21:56.172] 到底行不行？
[00:21:56.902–00:21:57.484] 所以。
[00:21:58.278–00:21:59.596] 这个悬念是不能断的。
[00:22:00.454–00:22:01.612] 你可以换。
[00:22:02.342–00:22:03.436] 但是不能断。
[00:22:04.006–00:22:08.204] 明白吧？可以换，也可以两个悬念重合。
[00:22:09.734–00:22:10.764] 但是不能断。
[00:22:12.102–00:22:13.484] 就悬念不能断的。
[00:22:14.214–00:22:19.244] 然后尽量保证它的烈度越来越强。在故事中。
[00:22:19.878–00:22:20.748] 悬念不能断。
[00:22:27.814–00:22:28.268] 阻力。
[00:22:29.254–00:22:30.476] 阻力我们说了啊。
[00:22:31.174–00:22:31.916] 要很多。
[00:22:32.902–00:22:33.740] 要组合。
[00:22:34.566–00:22:38.732] 那大主力套小阻力，主主力，主主力跟着副主力。
[00:22:39.270–00:22:39.884] 组合。
[00:22:40.422–00:22:44.780] 他说是这么说呀，怎么实现呢？我们把阻力。
[00:22:47.750–00:22:57.260] 分3块，就你其他的阻力，你回头再写，你自己发挥想象，有三样阻力不要少。第一，环境带来的阻力。
[00:23:03.526–00:23:05.484] 第二，对手带来的阻力。
[00:23:06.566–00:23:07.244] 第三。
[00:23:08.198–00:23:09.100] 你自身。
[00:23:09.670–00:23:10.604] 你自己。
[00:23:11.814–00:23:14.604] 搞成的主力。而且一般来说啊。
[00:23:15.558–00:23:18.188] 这三个阻力是就是按这个顺序。
[00:23:18.822–00:23:19.436] 来的。
[00:23:20.070–00:23:24.012] 比如说我们说我们如果要写一个警察抓坏人的故事。
[00:23:25.350–00:23:27.308] 一般来说上来的阻力都是来自怀。
[00:23:28.774–00:23:29.452] 你看啊。
[00:23:31.238–00:23:32.972] 所以我说为什么这种片子不好审？
[00:23:34.150–00:23:35.468] 你警察的环境是什么？
[00:23:36.326–00:23:40.492] 其实是你的工作环境，你的警局，其他人都不想抓。
[00:23:41.158–00:23:51.180] 或者其他人都想保他，都拿了他的钱了。你这时候的这个阻力就就上来就是束手束脚，你这个环境阻力。
[00:23:52.774–00:23:53.900] 对一个警察来说。
[00:23:54.598–00:23:55.692] 那就是他的工作环境嘛。
[00:23:57.606–00:23:59.244] 我们说比如说警察局有内鬼。
[00:24:00.070–00:24:01.580] 或者是有坏人的保护伞。
[00:24:02.214–00:24:19.340] 或者是这整个警察局都让那个坏人给收买了，就你孤军奋战，这就是环境的阻力嘛。环境好吧，然后对手对手显而易见，那就是你要战胜的那些人，那就是你的对手，他们有多坏，你的任务就有多难。
[00:24:19.910–00:24:22.508] 来自对手的阻力。最后一种阻力。
[00:24:23.366–00:24:24.492] 是来自于自己的。
[00:24:25.734–00:24:29.164] 是来自于自自己的。你去看所有。
[00:24:30.086–00:24:32.108] 主力层次丰富的那种戏。
[00:24:33.254–00:24:34.316] 主角到最后。
[00:24:34.790–00:24:36.204] 需要战胜的其实是自己。
[00:24:37.446–00:24:38.732] 自己的利益取舍。
[00:24:39.462–00:24:40.460] 自己的。
[00:24:41.894–00:24:43.980] 叛念和正义的斗争。
[00:24:44.742–00:24:49.100] 是他最后自己的阻力。当然也有那种特别正义的。
[00:24:50.054–00:24:53.708] 有这种角色啊就倍正义，他自己没有动摇。
[00:24:54.598–00:24:58.284] 但也会做跟自我的主力。比如说他孩子让人绑架。
[00:24:58.918–00:25:01.068] 明白这意思吗？孩子在坏人手里。
[00:25:01.798–00:25:07.788] 那其实就是那你是到底是追求正义，还是保你孩子的命，这就是这还是跟自己的。
[00:25:08.806–00:25:12.012] 他一定程度上是概念上的跟自己的斗争。
[00:25:12.678–00:25:14.252] 因为你这主角设的太正了吧。
[00:25:15.558–00:25:19.244] 所以说阻力如果分成这三个设那。
[00:25:20.518–00:25:23.084] 这个问题主力这个问题又解决了。
[00:25:23.622–00:25:24.108] 对吧。
[00:25:25.030–00:25:26.124] 我们说结果。
[00:25:29.862–00:25:33.868] 怎么样实现精彩？怎么样实现在实战当中的精彩？
[00:25:34.598–00:25:36.428] 不就是他他达成了。
[00:25:37.222–00:25:39.564] 他想抓到坏人，最后抓着了吗？
[00:25:41.606–00:25:42.124] 对吧。
[00:25:44.038–00:25:45.900] 他想抓他的动作是抓坏人。
[00:25:46.886–00:25:47.724] 最后抓着了。
[00:25:48.326–00:25:48.780] 嗯。
[00:25:49.350–00:25:50.252] 这不就是结果吗？
[00:25:51.078–00:25:52.268] 这是最错误的地方。
[00:25:52.742–00:25:53.772] 大错特错。
[00:25:54.566–00:25:56.204] 结果我们要一个什么结果呢？
[00:25:58.662–00:25:59.916] 记住这个口诀。
[00:26:00.966–00:26:03.596] 记笔记啊，绕过动作。
[00:26:10.470–00:26:11.244] 实现欲网。
[00:26:14.630–00:26:15.500] 这是最好的结目。
[00:26:16.358–00:26:17.932] 就是你绕过你的动作。
[00:26:19.014–00:26:20.012] 实现你的欲望。
[00:26:20.870–00:26:21.964] 举个最简单的例子。
[00:26:24.262–00:26:26.860] 我是一个快要饿死的人。
[00:26:28.198–00:26:29.164] 我的欲望是什么？
[00:26:36.198–00:26:36.972] 我的欲望是。
[00:26:38.054–00:26:38.796] 求生。
[00:26:40.262–00:26:48.780] 你这跟猴子聊，欲望跟猴子聊，记得吧？我快饿死了，我当然想求生了，我不想死呀，对吧？那我的动作是什么呢？
[00:26:50.022–00:26:51.244] 那有个卖催饼的。
[00:26:52.166–00:26:53.164] 我想去偷饼。
[00:26:56.038–00:27:00.620] 就是我是一个非常饥饿的人，我的动作是去偷饼吃。
[00:27:05.062–00:27:05.932] 欲望是。
[00:27:07.174–00:27:07.692] 求生。
[00:27:08.966–00:27:11.148] 吃东西动作是偷饼。
