P004 第一课-劝学1.3
[00:06:10.918–00:06:16.524] 像这种素材，我不希望你们经历，你们可以抄我的，我借给你们抄一抄，好吧。
[00:06:17.222–00:06:33.676] 然后这是呃这是一种嗯素材也需要记。就是呃你有着这个小本以之后，既要记看片的那些多样的素材，又要记自己生活中各种真实的素材。你会养成这个习惯的。而且我告诉你，你会受益无穷，受益无穷。
[00:06:34.374–00:06:43.148] 你看到一个好的场景，记下来，对吧？今天去吃饭，前面一对情侣排队，然后一个美女从他俩身边走过就观察。
[00:06:43.750–00:06:57.388] 这一对情侣产生的化学反应，这个男的想看，但不看，先看看女朋友有没有看自己，对吧？这细节你去记，或者是今天碰到一个人物特别有特点，也可以去记，都去记，好吧。
[00:06:57.990–00:06:59.212] 你会养成这个习惯。
[00:06:59.846–00:07:00.364] 然后。
[00:07:00.838–00:07:06.476] 要做编剧，还有一个刻意的训练，你生活中你可以做的就是叫共情。
[00:07:07.910–00:07:08.844] 共情啊。
[00:07:15.526–00:07:17.644] 共情是什么意思呢？就是同理心。
[00:07:18.406–00:07:30.508] 同理性，这个是对于写作非常重要，对于创作非常重要。因为你将来创造每一个角色的时候，你都要走到他的内心去想他为什么要这么做，他是怎么想的。
[00:07:32.902–00:07:33.420] 共体。
[00:07:35.270–00:07:40.684] 这个怎么练呢？在生活中，比如说就还说你回到公司，你老板要开除你。
[00:07:41.222–00:07:41.932] 你。
[00:07:42.790–00:07:47.596] 当然有点生气，有点失望，有点难过。但是你如果站在他的心里呢？
[00:07:48.902–00:07:50.124] 你站在他的角度。
[00:07:50.694–00:07:55.884] 就是说你带入一下，你共情一下，你站在他的角度，你想你是这个公司的老板。
[00:07:56.390–00:07:58.860] 你现在遇到这种状况，你怎么处理？
[00:07:59.366–00:08:02.540] 然后手下这5个兵，5个员工。
[00:08:03.142–00:08:04.332] 你开除谁？
[00:08:04.806–00:08:06.732] 搞不好，你也看你自己不顺眼。
[00:08:07.622–00:08:14.668] 对吧这就是一个共情，简单的共情。生活中做这种练习，试试着走进每一个人。
[00:08:15.238–00:08:16.812] 我跟你讲，我练习共情。
[00:08:17.542–00:08:18.668] 我不光跟人练。
[00:08:21.062–00:08:23.116] 比如说咱这个房间里这空调。
[00:08:24.614–00:08:26.476] 你可不可以跟这个空调建立供气？
[00:08:29.062–00:08:29.836] 他在享受。
[00:08:33.638–00:08:34.764] 他有什么处境？
[00:08:35.430–00:08:36.652] 他有什么生士？
[00:08:37.926–00:08:39.500] 他有什么痛苦和快乐吗？
[00:08:41.318–00:08:43.020] 他每天在这兢兢业业的工作。
[00:08:43.494–00:08:46.060] 对吧夏天吹凉风，冬天吹暖风。
[00:08:46.790–00:08:47.436] 三年了。
[00:08:49.574–00:08:50.220] 三年了。
[00:08:51.782–00:08:53.164] 他来的时候可不是一个人。
[00:08:55.238–00:08:56.748] 她跟她老公一起来的。
[00:08:59.238–00:09:03.596] 来了之后就分开了，她老公在阳台上空调外机。
[00:09:04.358–00:09:05.772] 男主外女主内吗？
[00:09:06.246–00:09:06.732] 对吧。
[00:09:07.494–00:09:09.804] 他们俩一起完成这个工作。
[00:09:10.310–00:09:12.044] 但是从来不能相见。
[00:09:12.678–00:09:14.380] 牛郎织女还一年见一回呢。
[00:09:15.014–00:09:16.076] 他俩三年没见过了。
[00:09:17.190–00:09:19.852] 而且他老公在外面风吹日晒。
[00:09:20.806–00:09:21.644] 已经生锈了。
[00:09:23.718–00:09:25.612] 生锈对于一个家电来说。
[00:09:26.214–00:09:27.308] 那就是癌症啊。
[00:09:29.030–00:09:30.668] 相信她老公撑不了多久了。
[00:09:31.718–00:09:33.100] 但是一旦她老公。
[00:09:36.070–00:09:36.748] 挂掉的话。
[00:09:38.086–00:09:38.956] 他也没有价值。
[00:09:40.966–00:09:41.868] 他也会被送走。
[00:09:43.878–00:09:45.772] 但是反过来又想。
[00:09:46.438–00:09:48.716] 他们那两天他们他们俩那天。
[00:09:49.702–00:09:50.508] 又能见面了。
[00:09:52.262–00:09:53.004] 所以你说。
[00:09:53.798–00:09:56.204] 他的人生是喜剧，是悲剧的。
[00:09:56.806–00:09:59.180] 你走到他的心里去替他想一想。
[00:09:59.782–00:10:01.292] 跟他也建立共情。
[00:10:02.278–00:10:02.700] 好吧。
[00:10:03.526–00:10:06.380] 共情也是一个刻意训练的方式。
[00:10:07.622–00:10:08.364] 然后你。
[00:10:09.446–00:10:10.764] 再讲最后一个。
[00:10:11.334–00:10:17.452] 很重要的训练方式啥呢？你看这个视频你都看到这儿了，证明你是有兴趣的。
[00:10:18.246–00:10:20.716] 你不管我我不管你是在哪看到的。
[00:10:21.254–00:10:22.892] 你可以关注一下这个账号。
[00:10:23.494–00:10:27.628] 我争取好好的把它录完，你也争取。
[00:10:28.614–00:10:30.892] 跟我一起学习研究一下。
[00:10:31.494–00:10:31.884] 好吧。
[00:10:33.190–00:10:34.508] 今天的课就上到这儿。
[00:10:35.334–00:10:37.484] 我给大家布置今天的作业。
[00:10:38.566–00:10:39.404] 今天的作业。
[00:10:46.662–00:10:48.268] 截下一个你的幻想。
[00:10:51.654–00:10:55.052] 幻想有没有撇？没有是吧？写下一个你的幻想。
[00:10:58.278–00:11:00.332] 我不说过吗？人人都有幻想。
[00:11:01.350–00:11:02.220] 金钱的。
[00:11:03.046–00:11:03.756] 权力的。
[00:11:04.710–00:11:05.516] 爱情的。
[00:11:06.790–00:11:08.332] 或者是职业生涯的。
[00:11:08.934–00:11:10.028] 为国争光的。
[00:11:10.534–00:11:11.020] 随便。
[00:11:11.494–00:11:14.124] 但是必须写真实的。
[00:11:14.598–00:11:16.812] 不用不好意思，我告诉你，不用不好意思。
[00:11:17.830–00:11:24.876] 你你说他就想拥有2亿，我想拥有5亿，我不好意思，没有什么不好意思，100亿的都有。
[00:11:25.830–00:11:34.668] 最真实的描述你怎么想的都给我写下来，你不会只想你拥有多少钱的，怎么花，你安排的明明白白。
[00:11:35.590–00:11:36.300] 包括。
[00:11:38.310–00:11:45.932] 拥有这这个钱之后，你的人物关系谱也会发生变化，跟现在不一样，你都想好了，我告诉你。
[00:11:46.886–00:11:50.988] 你会跟谁亲近，疏远谁，你都想好了，你给我把它描述出来。
[00:11:51.686–00:11:55.660] 好吧，去面对他，不要害羞，把你的幻想写下来。
[00:11:56.358–00:12:01.356] 这就是第一课的作业。后面我会告诉你他有什么用，好吧，下课。
