P002 第一课-劝学1.1
[00:04:19.014–00:04:32.652] 我呀我好像会了会功夫了。然后说师傅，我错了，我没体会你的良苦用心。原来一朝一试都在生活之中，对吧？然后师傅说嗯，然后就走了。
[00:04:33.446–00:04:34.412] 这是他妈。
[00:04:34.918–00:04:41.516] 戏里面的情节，现实怎么可能呢？对吧？你挑三点水就就学会功夫了吗？
[00:04:42.214–00:04:44.108] 我跟你说，师傅为什么这么教你啊？
[00:04:44.902–00:04:59.052] 他也是这么被虐待过来的，他也他也不一定会，你知道吗？他师傅他打架他不一定能打咱们这网上看的还少呢，对吧？传统武术那咱就不说这个了啊。
[00:04:59.718–00:05:07.020] 那个速成的是什么？就你从少林寺下来了，哎，一肚子窝窝挺窝火，啥也没学会呀，走到路边看哎。
[00:05:07.718–00:05:14.956] 武术培训班对吧？就进去了。进去之后，我说师傅，我想学功夫，这里特别痛快，说那儿交钱。
[00:05:15.590–00:05:19.564] 交上钱之后呢，他会告诉你，20天后你就可以上那一台。
[00:05:21.190–00:05:23.916] 他说那来我怎么学呢？他说那。
[00:05:24.550–00:05:29.068] 功夫无非就是拳脚对吧？有规律的呀，一拳一脚嘛。
[00:05:29.574–00:05:30.828] 对方要是出拳。
[00:05:31.974–00:05:33.260] 你就蹲下掏当。
[00:05:34.182–00:05:35.404] 对方如果踢腿。
[00:05:36.358–00:05:38.092] 你就跳起来扫眼。
[00:05:38.758–00:05:42.860] 就让你背这个规律，背背下来之后呢，就是可以上擂台了。
[00:05:43.910–00:05:44.492] 你说行吗？
[00:05:46.150–00:05:53.964] 偶尔啊也能扫到那么一下，我觉得但是扫完之后，对方轻饶不了你，绝对照死揍你，对吧？
[00:05:54.502–00:06:02.988] 所以这呃这这两种流派呢都有点走极端。好吧，那咱们咱们这课是什么派呢？咱们是实战派。
[00:06:05.734–00:06:06.764] 实战派啊。
[00:06:07.558–00:06:09.388] 你得真的会打才行呀。
[00:06:09.958–00:06:13.484] 对吧因为你学功夫最后还是得能打呀。
[00:06:14.054–00:06:16.428] 下了场以后，没有人惯着你。
[00:06:16.998–00:06:26.284] 会就是会不会就是不会，咱们也不去搞学院，也不去搞速成，最后你得会写剧本才行。好吧，我为什么敢说？
[00:06:26.854–00:06:31.212] 咱们是实战派的。首先我在一线工作了十几年。
[00:06:31.718–00:06:33.100] 我有实战的经验。
[00:06:33.990–00:06:37.004] 然后呢，我这些年也带了很多学徒。
[00:06:37.478–00:06:42.188] 教了一些新人，我也经常给他们上课，所以我也懂一些理论。
[00:06:42.726–00:06:46.284] 系统的我也可以给大家讲。所以咱这个实战课里面。
[00:06:47.110–00:06:51.020] 用到学院派的理论和基本功的，咱也扎扎实实的去学。
[00:06:51.622–00:06:56.812] 然后用到一些真正的技巧性的东西，规律性的东西。
[00:06:57.350–00:07:00.364] 甚至有些地方真的可以走捷径的，咱也走。
[00:07:01.062–00:07:03.692] 对吧咱也把那些实战经验放进来。
[00:07:04.326–00:07:04.908] 所以说。
[00:07:05.574–00:07:06.572] 趁这个机会。
[00:07:07.494–00:07:15.372] 趁这次有这个完整的时间，因为这个肺炎这个疫情现在停工停产，剧组也开不了机。
[00:07:16.486–00:07:24.172] 他们呢就系统的把我这些年的呃所学所想总结成一套实战编剧课程。
[00:07:25.414–00:07:26.572] 有兴趣的同学。
[00:07:27.430–00:07:30.668] 一起学习，一起讨论一下，好不好？
[00:07:31.206–00:07:34.700] 这些年啊，我一直特别鼓励年轻人。
[00:07:35.366–00:07:37.132] 学习编剧，从事编剧。
[00:07:37.670–00:07:38.316] 为什么？
[00:07:38.918–00:07:43.980] 第一，从市场的角度来说啊，首先这个行业这几年一直在增长。
[00:07:44.934–00:07:49.356] 市场容量在不断的扩大，但是技术性的岗位一直跟不上。
[00:07:50.022–00:08:02.188] 就编剧啊这种创造性的岗位，尤其缺演员不缺明星一抓一大把，那个你不用惦记是吧？技术性的岗位非常缺。所以你如果现在的学习这个技能呢，在未来几年里面是很有机会的。
[00:08:02.758–00:08:08.844] 从市场的角度来讲，他有机会。好吧，成为编剧。还有一些人说我不想成为职业的编剧。
[00:08:09.574–00:08:15.148] 那么我觉得你学一下写作，学一下创作，也可以成为一个很好的副业。
[00:08:17.350–00:08:18.380] 现在你说。
[00:08:18.886–00:08:26.508] 这几年经济也不好，大家其实能体会到钱越来越难挣。有一个副业对你的生活来说是个双保险。
[00:08:26.982–00:08:42.156] 对不对？然后我这几年这个做编剧教学的过程中，很多爱好者也好，很多零基础的学员也好，他们经常会有几个顾虑。我也在这里跟大家说一下，好吧。第一个是关于他们经常会问一个问题，就是我不是科班的。
[00:08:45.222–00:08:46.636] 行不行？能不能到录音局？
[00:08:47.110–00:08:49.996] 这个我可以明确跟大家说啊，没问题的。
[00:08:50.502–00:08:55.916] 因为根据编剧行业的一个统计啊，现在的从业人员编剧里面。
[00:08:56.454–00:09:00.428] 科班出身呢只占40%，60%不是科班出身。
[00:09:00.998–00:09:02.380] 而且我不是说了吗？
[00:09:02.854–00:09:24.444] 他比你多挑了三年水，对吧？这个咱是可以弥补的不用担心这个问题。第二个还有一个常见的顾虑，就很多人会问一个文学功底的问题，这个问题问得非常好啊，就关于文学功底，很多人说哎我是理科生啊，我这个文学功底，我这差点意思能不能当编剧。
[00:09:25.990–00:09:26.924] 假设。
[00:09:27.846–00:09:40.812] 嗯，现在是晚上啊，假设你描写一下今天晚上这个外面的情况，你会说现在是春天嘛，你说外面乍暖还寒，然后嘞呃小风吹在脸上有一丝凉意。
[00:09:41.414–00:10:01.340] 然后今天晚上的月亮是什么样一个状态，衬托出一个什么样的意境，这就是你的文学功底。你描写的很生动。但是对于我们编剧来说就几个字，夜外最多再加一个冷，对吧？就夜景外景天气冷就明白就行了。
[00:10:01.606–00:10:04.716] 所以你说文学功底，你描述那么多呢，也没有什么用。
[00:10:05.670–00:10:08.940] 那你说台词，有些人说，那台词总需要文学功底了吧。
[00:10:09.702–00:10:30.300] 你如果写时装剧，那你的台词就是平常人说的话，你会说话，你就会写台词，你不需要去拽文，不需要去搞一些花里胡哨的对吧？你说我文学功力特别的差，那你别碰古装就完事儿了，我也不太写古装是吧？然后还有一个顾虑。
[00:10:31.078–00:10:39.244] 就是有些人会说那写剧本是不是需要创意，需要灵感呢？就是关于这个创意问题。
[00:10:41.862–00:10:46.412] 说我我我不我我没有创意怎么办？或者是我不知道我有没有创意。
[00:10:46.918–00:10:48.492] 这个我跟大家说一下啊。
[00:10:49.286–00:10:51.308] 创意人人都有。
[00:10:52.262–00:10:55.148] 只不过发现创意是需要训练的。
[00:10:56.134–00:10:58.188] 你不要说你没有创意，没有灵感。
[00:10:58.726–00:11:00.684] 我就问你，你会做梦吗？
[00:11:01.222–00:11:02.476] 你会做白日梦吗？
[00:11:04.070–00:11:08.268] 什么叫白日梦？你其实心里懂，就在那琢磨。哎呀。
[00:11:09.350–00:11:15.244] 如果有两个亿，我该怎么花呀？对吧？我先在北京买一套什么样的房？
[00:11:15.814–00:11:22.572] 然后我在上海再买一套什么样的别墅，然后我回老家再买一套什么？我跟你说，你安排的明明白白的。
[00:11:24.326–00:11:30.732] 这就是白日梦，这就是你的想象，这就是最初的灵感。梦是唯一的现实。
[00:11:31.878–00:11:32.652] 至于他。
[00:11:33.158–00:11:35.692] 怎么去加工，那就是后天训练的事情了。
[00:11:36.262–00:11:40.332] 好吧，因为每个人都会做这样的梦，你不用不好意思。
[00:11:41.062–00:11:42.572] 有的是关于金钱的。
[00:11:43.238–00:11:45.452] 你说啊那这个这个太俗了。
[00:11:46.022–00:11:49.836] 能不能呃行啊，这有什么用啊？西红市首富。
[00:11:50.502–00:11:51.692] 不就是这样的梦吗？
[00:11:52.934–00:12:05.676] 他不就是喜剧片吗？对吧？你幻想你有两个亿，这就是喜剧片，我告诉你对吧？还有说那还有的人幻想啊说哎呀，我当年要是跟那个谁在一块儿就好了。
[00:12:07.014–00:12:12.076] 我现在孩子都会打酱油，就在琢磨这个事儿，这不就是爱情片吗？
[00:12:12.838–00:12:14.412] 它就是爱情片的源泉。
[00:12:14.918–00:12:17.708] 对吧还有人会想啊说。
[00:12:18.278–00:12:23.980] 哎呀，特别是我们男的爱想说，哎，我当年如果坚持踢球，我现在说不定是个职业球员。
[00:12:25.126–00:12:30.028] 上一回世界杯，我就带领中国队，对吧？我就冲出去了励志题材嘛。
[00:12:30.534–00:12:51.228] 然后你们女生对应的这种梦可能就是个明星梦，对吧？我如果从艺我现在就是一个什么什么级别的腕儿，也是励志题材。然后到了这个腕儿之后，我就可以挣两个亿，然后又回到喜剧片，对吧？就是这种这其实这这些都是创意。所以我的意思就是你在创意方面。
[00:12:51.686–00:13:00.940] 不用去担心啊，人人都有。那你说人人都有，那人人都能当编剧啊，编剧就这么简单，没有人有天赋吗？天赋也有。
[00:13:01.446–00:13:04.812] 有些人确实天赋异禀，我跟你说什么样的人，他其实。
[00:13:05.702–00:13:06.668] 天赋异禀啊。
[00:13:07.142–00:13:09.932] 就你回想一下，以前我们读书的时候，一个班里。
[00:13:10.502–00:13:14.220] 谁只要一讲故事，一讲笑话，所有人都围上去。
[00:13:16.518–00:13:29.516] 对吧？然后很聚精会神的听下了课，他在走廊里说什么，所有人围了一圈，然后长大了以后吃饭的时候，然后谁一说话大家都听都想get就像等他的笑点。
[00:13:30.022–00:13:30.892] 这种人。
[00:13:31.590–00:13:33.036] 就是讲故事的天才。
[00:13:34.406–00:13:38.348] 嗯这种人在人群当中差不多占5%到10%吧。
[00:13:39.142–00:13:40.460] 人家这种人就是天才。
[00:13:41.798–00:14:02.492] 但是你不用去担心，你说你是不是天，你如果不是天，你不是天才，通过后天的训练也可以成为合格的编剧。但那种天才人家那是可遇不可求的呀。他们当然可以成为训练好了的话，可以成为牛逼的编剧。但是咱话说回来啊，人家干别的也能干的挺好，对吧？所以咱那个羡慕不来。
[00:14:02.790–00:14:05.516] 好吧，你就不用担心这个创意问题。
[00:14:06.662–00:14:15.180] 然后还有一些人有些年轻人有这样的顾虑，担心说编剧这个行业啊会不会很辛苦。
[00:14:16.102–00:14:21.388] 编辑这个行业天天熬夜，很焦虑，很辛苦，掉头发。
[00:14:22.502–00:14:23.340] 是吧。
[00:14:24.038–00:14:24.940] 这个呢。
[00:14:25.478–00:14:31.628] 我就不否认了，掉不掉头发了，你们自己看吧是吧？确实辛苦。
[00:14:32.262–00:14:36.140] 确实辛苦肯定辛苦，也会也会有点焦虑。
[00:14:37.798–00:14:39.052] 但是我告诉大家啊。
[00:14:40.230–00:14:41.004] 我。
[00:14:41.542–00:14:43.628] 恰恰是因为编剧辛苦。
[00:14:44.230–00:14:45.420] 而选择了做编剧。
[00:14:47.654–00:14:49.132] 因为我做这个行业。
[00:14:50.374–00:14:57.260] 我其实不是从编剧做起的，我做过所有的岗位，几乎我开始的时候做演员副导演。
[00:14:57.926–00:15:03.948] 就是选演员的那个副导演，就是最臭名昭著的那个角色那个岗位。
[00:15:04.582–00:15:14.316] 还做过现场制片，后来做执行制片人，然后做编剧、导演、制片人，我还自己投资过戏做出品人。
[00:15:14.982–00:15:25.228] 然后我还做个监制，啥叫监制呢？就是你又不用写，又不用拍，就监视一下就可以了，空一下场就能把钱挣了。这些岗位我都做过。
[00:15:26.310–00:15:29.292] 但是我最后为什么选择了做编剧？
[00:15:29.862–00:15:31.180] 就是因为编剧最辛苦。
[00:15:32.550–00:15:34.700] 能理解吗？很难理解是吧？
[00:15:35.334–00:15:36.364] 我告诉你们为什么。
[00:15:36.934–00:15:40.876] 因为你做任何行业，你都是想越做越往上走。
[00:15:41.766–00:15:42.220] 对不对？
[00:15:43.590–00:15:49.004] 然后呢，你越往上走，你就发现越越有很多牛逼的人。
[00:15:50.886–00:15:52.204] 牛逼的人呢。
[00:15:52.710–00:15:55.692] 我发现了一个规律，在我们这个行业。
[00:15:56.230–00:15:58.892] 特别牛逼的人，他不愿意做编剧。
[00:16:00.454–00:16:01.836] 就他特别有实力。
[00:16:02.758–00:16:04.364] 那他往往做制片人。
[00:16:05.094–00:16:06.348] 或者做出品人。
[00:16:07.814–00:16:08.620] 有些。
[00:16:09.670–00:16:13.356] 有还有点儿有点财的呢，他还能做导演。
[00:16:14.150–00:16:16.460] 有些甚至下场还可以当明星。
[00:16:17.318–00:16:22.412] 你要向上合作，往上走，跟这样的人合作抱大腿。
[00:16:23.462–00:16:26.636] 最好就是做编剧，因为做编剧他们才带上你。
[00:16:27.142–00:16:30.412] 因为他们不愿做这个新苦的岗位，明白我的意思了吗？
[00:16:31.014–00:16:35.148] 你想往上走，想抱大腿，你就得干脏活。
[00:16:36.582–00:16:41.260] 所以我兜兜转转一圈。我告诉你，我虽然从业这么多年，但我不是大腿。
[00:16:42.150–00:16:44.076] 我就是个手艺人。
[00:16:44.678–00:16:45.260] 所以我。
[00:16:45.734–00:16:46.572] 坚持做编局。
