P021 第十课-复杂叙事10.2
[00:11:56.454–00:11:57.900] 等于是他跟他。
[00:11:58.534–00:11:59.468] 先发生了。
[00:12:00.582–00:12:01.356] 连接。
[00:12:02.118–00:12:03.404] 发生连接以后。
[00:12:05.094–00:12:10.924] 偷了他东西之后，知道了那块石头，我们以石头我们还是。
[00:12:12.198–00:12:14.188] 这个戏为什么叫疯狂的石头？
[00:12:19.334–00:12:20.588] 因为石头是中心。
[00:12:21.606–00:12:24.044] 对吧石头石东西，然后。
[00:12:24.806–00:12:27.500] 道哥偷了岗位的东西。
[00:12:28.646–00:12:29.612] 跟石头。
[00:12:30.534–00:12:31.436] 发生了连接。
[00:12:32.710–00:12:33.388] 首先。
[00:12:34.246–00:12:35.052] 这是一个。
[00:12:35.686–00:12:36.332] 连接。
[00:12:37.382–00:12:38.540] 然后道哥。
[00:12:41.254–00:12:43.340] 他们确定了这个目标之后。
[00:12:45.350–00:12:46.572] 确定这个目标之后。
[00:12:48.070–00:12:48.972] 入住了。
[00:12:49.862–00:12:50.828] 砸烂石头。
[00:12:51.494–00:12:53.164] 那个场地旁边的小旅馆。
[00:12:53.734–00:12:57.964] 恰好跟戈涛跟郭涛住隔壁。
[00:12:58.534–00:13:00.268] 而且因为公共厕所。
[00:13:01.222–00:13:02.316] 上公共厕所还。
[00:13:03.110–00:13:03.980] 打了个照面。
[00:13:05.606–00:13:06.380] 等于是。
[00:13:07.206–00:13:08.652] 强迫道哥提前出场。
[00:13:11.430–00:13:12.428] 就他跟涛哥。
[00:13:12.998–00:13:15.564] 提前见面跟港费提前见面，对吧？
[00:13:16.454–00:13:17.388] 稿费是哪来的？
[00:13:18.150–00:13:20.748] 是迅哥徐峥，他们是迅哥请来的。
[00:13:22.022–00:13:23.148] 他俩之间。
[00:13:23.750–00:13:26.860] 是他他俩之间又有联系，他雇佣他俩的。
[00:13:27.526–00:13:27.980] 是吧。
[00:13:30.150–00:13:32.588] 明白这个意思吧？他雇佣他来。
[00:13:33.606–00:13:34.796] 他的东西被他偷了。
[00:13:35.494–00:13:39.148] 然后他也盯了这个石头，然后跟郭涛住国住隔壁。
[00:13:39.910–00:13:40.908] 然后迅哥呢。
[00:13:43.174–00:13:44.524] 迅哥为什么那么早出场？
[00:13:45.542–00:13:47.180] 就前面有有他什么事儿呢？
[00:13:49.542–00:13:50.444] 他的车。
[00:13:51.238–00:13:52.300] 又被郭涛给撞了。
[00:13:56.102–00:13:59.084] 他的车呀，他BMW别磨我。
[00:14:00.518–00:14:05.676] 被郭涛的那个一个金杯给撞了，然后让郭郭涛赔钱。
[00:14:09.542–00:14:12.140] 记得吗？这件事情也是石头以外的。
[00:14:12.934–00:14:13.900] 与石头无关的。
[00:14:14.534–00:14:16.748] 他们跟郭涛之间。
[00:14:17.414–00:14:18.732] 发生了汽水儿。
[00:14:20.134–00:14:23.372] 上厕所，还有可乐的事件也是石头以外的。
[00:14:24.550–00:14:25.516] 明白这个意思吧？
[00:14:25.990–00:14:26.956] 明白这个意思吧？
[00:14:27.558–00:14:28.812] 他跟他的连接。
[00:14:30.470–00:14:35.660] 是偷他的箱子，因为它的箱子看起来很有值钱，也是石头以外的，明白这个意思吧？
[00:14:36.902–00:14:37.420] 二代。
[00:14:40.358–00:14:41.772] 二代跟这个石头有什么关系？
[00:14:43.142–00:14:44.364] 这是他爹的场。
[00:14:45.414–00:14:50.636] 等于他跟郭涛本来就认识他们一个厂的，他是二代。
[00:14:52.518–00:14:53.868] 他为什么又出厂那么早呢？
[00:14:54.534–00:14:55.436] 有他什么事啊。
[00:15:00.070–00:15:01.516] 他把道哥的女朋友给睡了。
[00:15:02.918–00:15:03.628] 记不记得？
[00:15:04.742–00:15:07.276] 他把道哥的女朋友给睡了，记得吗？
[00:15:07.782–00:15:08.620] 那个那个。
[00:15:09.190–00:15:16.172] 我爱你亲爱的姑娘，那首歌想起来的时候，他不是盯上人家的女朋友了吗？
[00:15:16.710–00:15:19.468] 你现在明白这个戏当时你看的是什么了吗？
[00:15:20.838–00:15:22.444] 眼花缭乱的巧合。
[00:15:25.094–00:15:26.284] 眼花缭乱的巧合。
[00:15:29.286–00:15:30.732] 我其实不推荐巧合的。
[00:15:33.286–00:15:34.412] 巧合这个东西啊。
[00:15:37.158–00:15:38.156] 你用好了。
[00:15:39.078–00:15:40.172] 就是疯狂的石候。
[00:15:40.870–00:15:42.764] 让你眼花缭乱，目无暇接。
[00:15:43.686–00:15:44.364] 用不好。
[00:15:45.446–00:15:47.820] 就迅速的失失去了。
[00:15:48.838–00:15:49.196] 观众。
[00:15:49.990–00:15:51.788] 因为他会觉得也太巧了。
[00:15:54.054–00:15:56.012] 你为了给我讲个精彩的故事。
[00:16:01.254–00:16:09.100] 你说你为了给我讲一个精彩的故事，说我今天出去遛弯，碰上一个人，对吧？然后呢，他呢是英国的威廉王子。
[00:16:10.918–00:16:14.668] 挺巧的，为了王子在双井地区让你碰上。
[00:16:15.142–00:16:18.060] 然后聊了聊呢，你又听说他其实。
[00:16:18.982–00:16:22.476] 不是亲儿子，他还有一层绅士，他。
[00:16:23.206–00:16:25.452] 他情爹是其实是迈克尔乔丹。
[00:16:26.406–00:16:30.668] 是吧你光整这一套是花掉了，但是迅速的。
[00:16:31.558–00:16:39.148] 这个故事你讲给朋友听的时候，迅速的别朋友就跟他别说了，别吹了，对吧？就不信你了。这个故事就是有这个风险。
[00:16:40.102–00:16:43.116] 就是有这个风险，他玩了大量的巧合。
[00:16:44.326–00:16:44.908] 让你。
[00:16:46.182–00:16:58.060] 看起来每个人的戏份都极足。你看啊想偷石头的这四股恶势力，互相之间千丝万缕的连接，其实是冒着极大的失去。
[00:16:58.950–00:16:59.852] 信任的风险的。
[00:17:01.990–00:17:04.108] 凭什么他就正好睡了他的女朋友？
[00:17:05.062–00:17:05.580] 对吧。
[00:17:06.918–00:17:08.940] 凭什么他的车就被他给撞了？
[00:17:10.406–00:17:13.644] 对吧凭什么他的东西就恰好被他的给偷了。
[00:17:14.598–00:17:19.212] 就全部纠葛在一块了，而且他们都跟郭涛发生联系。
[00:17:20.230–00:17:21.388] 所以他是用这种。
[00:17:22.726–00:17:35.948] 用这些连接，等于强迫这些人提前出场，在非他们该出场的地方就提前出场了。因为交代这种关系，所以造成叙事，一会儿这个视角，一会那个视角，一会儿这儿一会儿那儿。
[00:17:37.446–00:17:42.316] 然后你看的很过瘾，为什么呢？是因为在这种叙事的方式下。
[00:17:43.430–00:17:48.300] 他们有太多的巧合和秘密，把观众顶在了一个视角，叫上帝视角。
[00:17:49.702–00:17:55.596] 你掌控全局，你什么都看到了，你什么都明白，然后你觉得你自己很拽。
[00:17:56.166–00:17:58.348] 很开心，你享受的那。
[00:17:59.174–00:18:02.284] 那种做上帝的感觉，无所不知的感觉。
[00:18:03.334–00:18:04.812] 然后在这种情况下。
[00:18:07.750–00:18:08.652] 这个故事。
[00:18:10.022–00:18:10.668] 做的很成功。
[00:18:12.486–00:18:13.068] 做的很成功。
[00:18:13.734–00:18:15.020] 他让每个角色。
[00:18:15.782–00:18:17.324] 出来的都没有违和感。
[00:18:17.926–00:18:19.020] 让你觉得都很合理。
[00:18:20.006–00:18:24.460] 然后呢呃压住了主角的光芒，牺牲了主角的共情。
[00:18:25.190–00:18:45.660] 把共情放在哪了呢？共情放在上帝了，放在上帝视角了，你在看着这一群人闹，你没有你看这个片子的时候，你没有替郭涛担心过，你没有担心说，哎呀涛哥的这个石头要是被偷了。涛哥这个保安的工作可能要丢了。哎呀，那他媳妇儿，他那个在公交车上卖票的媳妇儿。
[00:18:45.734–00:18:48.204] 该多难过呀，你没有产生这个共情。
[00:18:49.702–00:18:54.092] 因为导演刻意的把这个共情给撇掉了，他也放弃了，他不要了。
[00:18:55.302–00:18:55.788] 对吧。
[00:18:56.294–00:19:05.004] 你也没有真正的站在道哥那儿，希望道哥拿到那个石头，跟他那个给他戴绿帽子的女朋友呃重归于好。没有。
[00:19:05.766–00:19:06.540] 你也没有。
[00:19:07.206–00:19:13.004] 你就更不可能站在呃迅迅哥那里或者是稿费那里，或者是二代那里。
[00:19:13.542–00:19:34.876] 那更不可能你在你自始至终站在上帝视角，他就是用这种叙事方式把你拱到上帝视角了。因为信息量太大，互相之间全部全都不知情，只有你一个人知情，只有观众知情，他等于用五个方向看起来是5个五五线叙事啊，他营造了一个假五线叙事的。
[00:19:35.238–00:19:40.876] 一个局面。其实从剧本来说，就是郭涛的。
[00:19:41.574–00:19:42.188] 八要素。
[00:19:42.790–00:19:43.660] 核时序列。
[00:19:44.326–00:19:50.668] 只不过是郭涛在保护这个石头中遇到的四个阻力。
[00:19:52.390–00:19:56.300] 做大做强，不光是做大做强，做变异。
[00:19:57.062–00:20:01.324] 做他妈扩散了，你懂我意思吧？肿起来的。
[00:20:02.278–00:20:08.588] 然后呢，肿起来之后，那得有细分给撑呀，然后就做疯狂的做巧合。
[00:20:09.830–00:20:11.628] 而且是有点冒险的。
[00:20:12.646–00:20:14.988] 做了一些巧合，把他们。
[00:20:15.878–00:20:19.628] 查在一块儿，把这四五个势力硬查在一块儿。
[00:20:20.230–00:20:20.972] 非常的冒险。
[00:20:22.182–00:20:23.180] 但是人家。
[00:20:23.878–00:20:26.188] 靠着镜头靠着表演。
[00:20:26.662–00:20:28.620] 靠着叙事的流畅程度。
[00:20:29.222–00:20:31.372] 叮咣叮咣给你讲完了。
[00:20:31.910–00:20:34.348] 让你觉得啊过瘾，看完了。
[00:20:34.886–00:20:38.540] 对吧甚至再看第二遍哇过瘾，再看第三遍哇过瘾。
[00:20:40.198–00:20:42.572] 连看好几遍都没有看出来。
[00:20:44.038–00:20:44.844] 他是怎么玩的？
[00:20:47.238–00:20:48.204] 其实你说。
[00:20:48.998–00:20:50.028] 是不是现性趋势？
[00:20:56.582–00:20:57.452] 非用废物。
[00:20:58.790–00:20:59.372] 空啊。
[00:21:00.550–00:21:01.932] 你非说它是多线。
[00:21:02.438–00:21:03.404] 那他就是多谢。
[00:21:03.974–00:21:08.588] 你理解它是多谢，你你愿意理解为多谢，那么他就是喽。
[00:21:10.470–00:21:11.500] 你说他不是。
[00:21:12.102–00:21:18.892] 他就是郭涛的单线蓄势，只不过是郭涛的四个对手肿起来了，扩散了。
[00:21:20.230–00:21:20.972] 也O了。
[00:21:23.846–00:21:25.292] 我是比较倾向于。
[00:21:26.118–00:21:27.820] 你用线性故事去理解。
[00:21:28.358–00:21:31.500] 就是你你要化简化繁为节。
[00:21:32.134–00:21:33.068] 把故事。
[00:21:34.342–00:21:38.732] 往简单里理解，因为你是从简单里写出来的呀，明白这个意思吧？
[00:21:40.998–00:21:46.284] 我们是在学写剧本，我们是上编剧课，我给你把。
[00:21:47.014–00:21:51.372] 疯狂的石头，这个剧本吹的天花乱坠，告诉你此物只应天上有。
[00:21:51.846–00:21:53.804] 有什么用呢？你也学不会。
[00:21:55.110–00:21:57.932] 我告诉你，他原本也是一个。
[00:21:58.950–00:22:02.764] 简单叙事也是一个单一人物，单一视角。
[00:22:03.718–00:22:05.676] 单一事情现境趋世。
[00:22:07.110–00:22:09.516] 然后他慢慢的长成了这个样子。
[00:22:10.182–00:22:22.092] 你了解它生长的这个过程，以及他他这个强迫它生长，他打了哪些激素。而同时我也告诉你打这些激素有哪些副作用，你要注意一下。
[00:22:23.110–00:22:24.076] 我没说不能打。
[00:22:24.998–00:22:26.284] 有时候确实很过瘾的。
[00:22:26.918–00:22:28.524] 是利伟哥他确实待劲了。
[00:22:29.734–00:22:31.820] 对吧你看他确实待定了。
[00:22:32.678–00:22:36.172] 他把这四个反派做大做强了之后，确实带劲了。
[00:22:37.446–00:22:41.260] 而且做大做强之后，你就有一种替他们着想的感觉。
[00:22:42.342–00:22:46.060] 你明白这个意思吧？我们有一度挺替黄渤那个角色着想了。
[00:22:46.918–00:22:48.204] 挺替道哥不值了。
[00:22:49.478–00:22:55.244] 就是你把它做大做强了，它自然就会吸引观众的一部分爱。
[00:22:56.198–00:23:03.884] 然后呢，你让观众处处留情，你这个戏就是让观众处处留情，最后观众就就被顶到了。
[00:23:05.446–00:23:08.044] 这个这个这个我说的这个上帝视角嘛。
[00:23:09.478–00:23:10.316] 明白这个意思吧？
[00:23:10.918–00:23:13.868] 咱们今天就是讲这个疯狂的石头。
[00:23:14.342–00:23:17.292] 作为所谓的复杂叙事最重要的案例。
[00:23:18.950–00:23:20.108] 让大家理解一下。
[00:23:21.318–00:23:22.956] 我说的非有非无啊。
[00:23:25.062–00:23:25.548] 空了。
[00:23:27.750–00:23:28.492] 很空啊。
[00:23:31.366–00:23:37.388] 那这节课就在这么空空中就结束吧。好吧，我希望大家早日顿悟。
[00:23:38.918–00:23:39.564] 下课。
