P058 三十二课-跟《鱿鱼游戏》学写强设定
[00:04:13.702–00:04:22.188] 兄弟看我们的武打片，看我们的那种古装仙侠片也在那嗷嗷的哭啊，也有这个趋势啊。
[00:04:23.366–00:04:31.308] 但总体来说啊，东亚的这个剧啊，一般就在东亚咱们自己范围内消化。就是咱们黄种人啊自己跟黄种人自己玩。
[00:04:31.814–00:04:36.012] 但是像这次这个游鱼游戏这么出圈呢，在剧的这个。
[00:04:37.670–00:04:42.124] 在聚集方面啊确实比较少见比较少见。
[00:04:44.550–00:04:50.316] 所以今天呢咱们就讲一讲这个犹鱼游戏，好吧，讲一讲这个犹鱼游戏。很多同学也问。
[00:04:51.398–00:04:54.732] 首先咱们先定个信啊，游于游戏肯定是个好片子啊。
[00:04:55.366–00:04:59.948] 肯定是个好片子，这个这个这个毋庸置疑毋庸置疑。
[00:05:00.422–00:05:20.476] 但是咱们都是搞创作的啊，咱们就从创作角度去去去研究这个片子。今天照例啊不是拉片，不是拉片儿，我可以给你简单讲一下剧情，不涉及剧透，给你讲一下结构，对吧？因为这个片子的结构啊没有什么出奇的。很多同学一目了然就知道他大概讲什么故事。所以我可以给大家讲一讲啊。
[00:05:20.678–00:05:26.764] 但不是拉片，我们还是力求从这个片子当中那学到我们需要学的东西，好吧。
[00:05:28.678–00:05:44.908] 首先这个片子大概讲什么故事啊，我们可以先简单描述一下，就是一群欠债的人，一群穷人被人捉了起来，关在一个密闭空间里被逼做游戏。这个游戏呢输了得死。
[00:05:45.446–00:05:48.268] 真死啊当场死亡，血淋淋的。
[00:05:49.126–00:05:56.332] 赢了呢，最后只有一个赢家，赢者通杀，赢者全拿，赢得400多亿。
[00:05:57.030–00:05:59.884] 裁员反正就是非常大的一笔钱。
[00:06:00.934–00:06:08.812] 因为参加这个游戏的人呢都是群穷人，走投无路的人，所以这个钱呢诱惑力格外的大，包括对我们的男主。
[00:06:09.414–00:06:14.956] 我也算他双男主吧啊，这个这个吸引力特别大。然后呢，结局就是。
[00:06:15.526–00:06:27.148] 这个过程呢就是这群人不断的玩游戏，人越来越少，都死掉了。最后剩下了我们的两个男主，然后决一死战，其中一个人胜出了。
[00:06:29.798–00:06:30.924] 就是这么个故事。
[00:06:31.462–00:06:32.492] 就是这么个故事。
[00:06:37.126–00:06:38.988] 熟悉创作的同学啊。
[00:06:39.782–00:06:52.812] 或者是同事创作的同学，或者是阅偏量很大的同学都会觉得咦这个故事好像似曾相识嘛，对吧？好像我们看过很多这样的故事，确实啊。
[00:06:53.286–00:06:59.148] 这个故事啊在我们以往的创作中，我们甚至都它都算一个类型。
[00:07:00.326–00:07:08.268] 都算一个就把一群人关起来做游戏，然后奖励和惩罚奖励很诱惑，惩罚很残酷，规则很简单。
[00:07:09.286–00:07:11.980] 关起来做游戏这种片儿吧。
[00:07:13.862–00:07:24.268] 他没有严格的故事类型，一个明朝啊，没有没有这个学术上的一个名号。我们私底下一般管这这类片子叫大逃杀模式。
[00:07:24.774–00:07:29.900] 因为大逃杀就是这种剧情嘛，对吧？然后嘞也比较典型。
[00:07:30.982–00:07:33.836] 我们一般管这种模式叫大淘杀模式。
[00:07:34.950–00:07:40.684] 或者叫他游戏模式吧，我们打眼一想就能想到很多片子是这样的，除了游于游戏，还有啥？
[00:07:41.958–00:07:42.604] 我们说。
[00:07:43.910–00:07:45.548] 那个那个雪国列车。
[00:07:47.078–00:07:48.396] 是吧然后。
[00:07:49.862–00:07:51.980] 这个这个这个电锯惊魂。
[00:07:52.582–00:07:54.380] 那关起门来做游戏啊。
[00:07:55.590–00:07:56.620] 输了得死啊。
[00:07:57.414–00:07:59.596] 还有什么死亡飞车。
[00:08:00.230–00:08:01.388] 死亡游戏。
[00:08:02.342–00:08:03.212] 还有什么。
[00:08:03.942–00:08:14.508] 赌博启示录，哎，咱们也翻拍了一版赌博启示录，李易峰的叫动物世界剪刀石头布嘛？最后赢者全拿嘛，对吧？
[00:08:15.302–00:08:28.460] 很多啊很多这种类型的故事一下就能想起来，就是把一群人关起来，逼他们做游戏啊，还有一个也一模一样的弥留之际的爱丽丝，对吧？也是赌博嘛。
[00:08:30.598–00:08:34.060] 其实啊严格来说啊，西部世界也算。
[00:08:36.102–00:08:46.700] 关起门来做游戏嘛，对吧？西部是也严格来说也算。所以说这所以说啊我们就发现啊由于游戏这个故事啊好像不是那么新颖嘛。
[00:08:48.934–00:08:54.060] 是为什么嘞？对吧？这个故事这个类型好像一直有嘛。
[00:08:54.758–00:08:55.724] 今天我们就来。
[00:08:56.646–00:08:57.836] 研究一下这个问题。
[00:08:58.566–00:09:02.380] 首先我们先明确一个立场啊，游于游戏拍的非常好。
[00:09:03.366–00:09:04.620] 完成度很高。
[00:09:05.670–00:09:06.380] 然后。
[00:09:08.038–00:09:10.636] 虽然说这个故事类型啊不是特别新。
[00:09:15.078–00:09:17.324] 我们说韩光韩国就拍过很多个版本。
[00:09:17.862–00:09:18.924] 这种类型的故事。
[00:09:19.654–00:09:20.332] 因为。
[00:09:21.702–00:09:23.500] 韩国比较喜欢这个类型。
[00:09:24.038–00:09:33.228] 我们先说一下这个这个类型里面它有些什么东西啊，首先啊他肯定说的是你看啊一群穷富人在玩弄穷人嘛。
[00:09:33.702–00:09:37.932] 玩弄求人取乐了，这个比喻啊并不新鲜。
[00:09:38.438–00:09:42.796] 对吧他其实比喻的是这个阶层呀。
[00:09:43.718–00:09:45.868] 贫富差距呀这些东西对吧？
[00:09:46.822–00:09:50.924] 这个这个这个我们说这个东西啊，在韩国啊比较容易形成。
[00:09:53.318–00:09:54.028] 共鸣。
[00:09:54.758–00:09:56.076] 和这个这个这个。
[00:09:56.742–00:09:59.564] 韩国喜欢这个东西，韩国人喜欢这个调调。
[00:10:00.230–00:10:05.004] 他们的那个哎，还有韩国的得奖的那个韩国得奥斯卡的那个。
[00:10:06.502–00:10:07.372] 寄生虫。
[00:10:08.902–00:10:22.284] 寄生虫不也是讲了这个阶层呀、贫富呀，你看韩国人特别喜欢探讨这个东西，对吧？他们对这个东西比较敏感，比较有共鸣。当然一方面是因为韩国的贫富差距确实挺大的。
[00:10:22.854–00:10:25.292] 更重要的是什么啊？因为韩国呀。
[00:10:26.118–00:10:26.796] 就说。
[00:10:28.070–00:10:29.964] 韩国处于一个。
[00:10:32.934–00:10:36.044] 东西方交汇的很拧巴的一个处境。
[00:10:36.614–00:10:54.124] 这么说吧，首先啊韩国的文化底层是东方逻辑。你看啊韩国人比我们更尊师重道，更尊重前辈，尊重长辈，甚至韩国岁数压你一点的人，你对他得说敬语。
[00:10:54.982–00:10:56.300] 他对你说评语。
[00:10:57.062–00:10:59.436] 对吧然后呢，他甚至可以骂你。
[00:11:00.742–00:11:04.556] 你跟他倒酒和他跟你喝酒，这个规矩大了。
[00:11:05.158–00:11:10.060] 我有很多韩国朋友岁数比我小的那些跟我喝酒，我都觉得。
[00:11:10.534–00:11:17.004] 哎呀对吧？很奇怪，你知道吧？他喝酒他都要拧过头去，因为你是哥哥。
[00:11:18.342–00:11:21.644] 就他们的规矩大了，更不用说你看韩国那种。
[00:11:22.246–00:11:28.844] 上司欺负后辈，潜规则下属那个那个那个他这个这个。
[00:11:29.830–00:11:35.340] 这个长又有序，这个这个这个我们说这个东西吧，是咱们东方的文化。
[00:11:36.358–00:11:50.092] 咱们的东方文化比较讲究这个就是这个这个这个长辈呀、前辈呀，我们比较讲究这个对吧？然后韩国的这个东西，它东方的这套东西它继承的很。
[00:11:50.854–00:11:54.156] 很很很完整，很坚持。
[00:11:55.974–00:11:59.596] 然后呢，我们说韩国又是彻头彻尾的西方。
[00:12:00.358–00:12:02.124] 那套正体。
[00:12:03.046–00:12:09.548] 也就是他在软件上呢，他又他又操作系统上呢，他又装了西方那一套东西。
[00:12:10.950–00:12:12.364] 就导致吧。
[00:12:13.094–00:12:18.956] 有一种说法啊说韩国融合了东西方的糟粕。
[00:12:19.718–00:12:29.932] 有一种说法是这么说啊，他融合了东西方的糟粕，他把两边的不好的地方都给拿走了，然后很拧吧，形成了他的这些人吧。
[00:12:30.854–00:12:51.964] 阶级固化，然后贫富差距，导致他们很敏感。这个事情，这是一种说法啊。所以你看韩国出了很多这种片子，不管是寄生虫啊，还是雪国列车呀，还是游鱼游戏啊，这些就这这几部片子是韩国享誉全球的吧，对吧？享誉全球的片子，全是探讨这个问题的。
[00:12:52.326–00:13:01.548] 这与他们的文化背景有关系啊，这个是插一句。我们说回这个游鱼游戏这种类型啊，我们说它叫游戏类。我们之前叫它大淘杀类，对吧？
[00:13:02.246–00:13:07.340] 我们现在可以把它定义为游戏类，它是一个题材啊。
[00:13:07.974–00:13:13.292] 同学们，这个分类方式，我们不要去把它跟金羊毛那套分类方式搞混了啊。
[00:13:14.598–00:13:17.580] 这是另外一种分类思维嗯。
[00:13:18.278–00:13:21.548] 对，我们算他选财思维吧，因为。
[00:13:25.350–00:13:45.884] 救猫咪那套类型啊，它是故事类型，它是讲故事的类型。而游戏类的这种选题呢，它是一种选材类型，或者是一种构建世界观的类型。我们这么去理解这个问题，好吧，所以我们把它理解为说这种游戏类，我们暂且叫它这个名字啊。
[00:13:46.118–00:13:48.652] 游戏类的这类故事。
[00:13:50.374–00:13:51.948] 我们说他有些什么样的特性？
[00:13:53.222–00:13:55.788] 它有些什么样的特性？我们借由。
[00:13:56.294–00:14:03.500] 这些片子我们总结一下，首先啊游戏类的片子它都有一个空间。
[00:14:04.870–00:14:08.652] 他都有个相对封闭的空间，让这些参与者跑不了。
[00:14:10.310–00:14:15.308] 对吧然后他有了空间之后呢，他就要有来参与的人。
[00:14:16.454–00:14:20.236] 参与人呢基本上分成两种，一种是。
[00:14:20.806–00:14:21.708] 庄稼。
[00:14:23.142–00:14:24.460] 一种是玩家。
[00:14:25.510–00:14:26.188] 对吧。
[00:14:27.302–00:14:32.652] 分成这两部分。然后呢，有空间，有了参与人之后呢，他会有个规则。
[00:14:34.022–00:14:36.780] 有个规则，就说这群人在在玩啥？
[00:14:37.446–00:14:38.540] 他得有个规矩啊。
[00:14:39.910–00:14:45.740] 我们怎么玩，玩了之后会怎样？能有个规矩，对吧？那有这个规则之后呢。
[00:14:46.438–00:14:49.132] 他就会有带来奖励。
[00:14:50.790–00:14:51.916] 讲咋写？
[00:14:54.246–00:14:57.292] 奖励和惩罚。
[00:14:57.894–00:15:01.196] 我们说这个奖励往往非常诱人，这个惩罚呢。
[00:15:02.982–00:15:11.852] 也通常非常吓人，比如说死亡，由于游戏里面就是赤裸裸的死亡呀，大部分这类游戏里面都是死亡，惩罚都是死亡。
[00:15:14.982–00:15:16.364] 我们来着重说一下。
[00:15:16.870–00:15:19.116] 这个东西规则这个东西。
[00:15:20.550–00:15:25.772] 这类游这类游戏类的这个选题。这类选题的。
[00:15:26.598–00:15:27.404] 影片。
[00:15:28.326–00:15:29.836] 他最重要的就是个规则。
[00:15:30.662–00:15:32.300] 它的规则往往是什么呢？
[00:15:33.190–00:15:35.500] 他的规则往往是。
[00:15:37.798–00:15:38.764] 社会。
[00:15:39.430–00:15:41.804] 真实规则的一种。
[00:15:42.374–00:15:43.052] 担忧。
[00:15:44.966–00:15:46.348] 或者一种放大。
[00:15:48.742–00:15:50.636] 或者我们统称为社会。
[00:15:51.462–00:15:53.548] 规则当中的一个比喻吧。
[00:15:55.782–00:15:57.484] 比如我们说由于游戏也好。
[00:15:58.662–00:16:06.924] 还是这个这个这个赌博骑示录也好，还是这个雪国列车也好，他基本上都是在说。
[00:16:08.390–00:16:12.268] 阶层固化的事情，贫放贫富差距的事情，对吧？
[00:16:14.982–00:16:15.756] 他是一种。
[00:16:16.646–00:16:20.908] 我们说贫富差距啊、阶层固化呀，社会上确实有。
[00:16:21.766–00:16:23.180] 但没有到这个程度。
[00:16:23.814–00:16:30.988] 对吧这就是一种比喻。而，那个我们中国的那个作家刘慈欣也很喜欢搞这一个调调。
[00:16:31.846–00:16:35.404] 北京折叠就是讲社会固基层固话嘛。
[00:16:36.166–00:16:38.924] 刘慈欣有一个叫赡养人类。
[00:16:39.526–00:16:49.036] 讲贫富差距，讲的更极端，世界上财富全部集中在一个人手里，那个人叫中产者，对吧？讲贫富差距。我们说这种规则。
[00:16:50.662–00:16:53.036] 他往往就是对社会规则的一种担忧。
[00:16:56.358–00:16:57.228] 还有什么规则？
[00:16:57.702–00:17:00.844] 我们说大逃杀啊，他其实讲的是。
[00:17:03.206–00:17:05.068] 教育对人类的分类。
[00:17:05.766–00:17:07.596] 淘汰这样一种比喻。
[00:17:09.062–00:17:16.268] 对吧我们说教育把人这种分成369等进行选材和淘汰，那是这样一种比喻。
[00:17:17.190–00:17:20.140] 啊，很典型的还有啊楚门的世界。
[00:17:21.062–00:17:25.420] 咱们课上讲过吧，楚门的世界不也是密闭空间里面做游戏吗？
[00:17:26.726–00:17:30.988] 严格来说，楚门的世界不也是密闭的空间里面做游戏吗？
[00:17:31.558–00:17:33.228] 密闭的空间做游戏啊。
[00:17:34.662–00:17:38.444] 他比喻的是什么呢？他比喻的是在。
[00:17:39.270–00:17:44.396] 媒体和舆论的控制下，人已经没有。
[00:17:45.094–00:17:46.252] 自己的空间了。
[00:17:47.110–00:17:50.380] 他是做这个比喻的，我说他永远是社会的比喻嘛。
[00:17:50.854–00:17:53.516] 这类影片啊，它永远是社会的比喻。
[00:17:54.950–00:18:00.236] 我们说呃刚才说到这个媒体和舆论让人没有空间。我们还想起来一个片子。
[00:18:01.062–00:18:02.540] 有个片子叫疑犯追踪。
[00:18:03.686–00:18:06.828] 是一个美剧啊，疑犯追踪挺好看的，大家可以去看一下。
[00:18:07.814–00:18:10.604] 那个片子讲的是在大数据有一个天眼。
[00:18:11.366–00:18:12.844] 就是有个东西叫天眼。
[00:18:13.638–00:18:21.676] 也其实就是大数据，在大数据的监视下，每个人毫无隐私，而且哪些人会犯罪，他其实能算出来。
[00:18:23.174–00:18:28.492] 就哪些人有能犯罪，他其实能算出来。在天眼下，每个人毫无隐私。
[00:18:29.062–00:18:31.980] 然后那个片子就够是用的这个。
[00:18:33.190–00:18:35.884] 规则用了这个比喻。我们说。
[00:18:36.518–00:18:37.996] 这类游戏类的片子啊。
[00:18:39.206–00:18:49.356] 往往你先设计一个空间，然后设设计一下参与的人，然后最重要的是制定这个规则。然后基于这个规则会产生奖励和惩罚。
[00:18:50.246–00:18:57.516] 这就是我今天最主要想跟大家说的，就是游戏类的这类片子啊，我们其实见过挺多的啦。
[00:18:58.470–00:18:59.596] 它并不新鲜。
[00:19:00.614–00:19:05.324] 当然，由于由于游戏它的完成度很高，而且他演员演的也特别好啊。
[00:19:06.086–00:19:12.972] 人家成本也很高，耗资也非常大，拍的确实是不掉链子，导致了人家成为了爆款。
[00:19:13.894–00:19:15.692] 然后呢，我们就借此机会。
[00:19:16.294–00:19:29.868] 学习温习一下这类故事，这其实不是故事类型啊，还是我再强调这是选材类型，其实这是世界观的类型，世界观类型里面一种特殊的游戏类的设定。
[00:19:31.910–00:19:32.588] 然后。
[00:19:34.022–00:19:37.964] 说到这儿啊，我们就来探讨一下一个另外一个问题。
[00:19:38.918–00:19:41.420] 就是哎这个选材为什么这么。
[00:19:42.150–00:19:42.892] 奇怪了。
[00:19:44.870–00:19:49.868] 怎么跟闹着玩似的呢？这个这个电影或者这个剧这个故事。
[00:19:50.790–00:19:51.948] 怎么跟做游戏似的？
[00:19:52.582–00:19:57.196] 怎么跟闹着玩似的，现实生活中也不会发生这样的事情呀，对吧？
[00:19:59.622–00:20:01.196] 这其实就涉及到。
[00:20:01.670–00:20:03.980] 我们今天要讲的另外一个概念啊。
[00:20:05.126–00:20:06.540] 叫做强设定。
[00:20:11.654–00:20:18.476] 这个概念啊这几年经常被提及，就是有一类选材，有一类选题叫强设定。
[00:20:19.334–00:20:22.924] 游戏类显然就属于强设定的一种。
[00:20:24.006–00:20:25.580] 显然属于强色病的一种。
[00:20:29.862–00:20:33.036] 好莱坞这几年越来越多的在提这个事儿。
[00:20:34.150–00:20:42.028] 当然受好莱坞影响，咱们国内最近提的也特别多啊，就市场上现在提这个话的人很多，就是希望这个故事是一个强势电影故事。
[00:20:43.750–00:20:47.692] 我们今天就来探讨一下啥叫强势零悟师。
[00:20:48.358–00:20:54.284] 我跟大家说，在强设定的范畴里面，游戏类都不算最强的，不算太强。
[00:20:55.014–00:21:05.708] 对吧我随便给大家说一类啊，来，那我们从人物设定的角度来讲啊，从人物设定来讲，来从主角的角度设定角度来讲，主角有超能力。
[00:21:07.558–00:21:14.412] 对吧主角有超级技能，那这这显然就是一种强设定嘛，显然是一种非现实的设定嘛。
[00:21:15.430–00:21:23.148] 这个这个这个这个我们说超级英雄类的对吧？技能类的来从对手的角度来讲，来，我的对手是个大怪兽。
[00:21:24.390–00:21:25.708] 对手是个大怪兽。
[00:21:26.406–00:21:27.564] 对手是个鬼。
[00:21:28.582–00:21:33.804] 对吧对手是个外星人，这这这这显然也是一种。
[00:21:34.694–00:21:35.756] 设定方式嘛。
[00:21:37.478–00:21:39.372] 他显然也是一种强势力。
[00:21:40.326–00:21:44.684] 我们说还有啊从时间轴的角度来讲，来穿越它。
[00:21:45.862–00:21:46.892] 穿越回古代啊。
[00:21:47.718–00:21:54.028] 对吧那这显然也是一种强势力。穿越啊不是一种简单类型啊，穿越里面其实有好多啊。
[00:21:54.854–00:21:56.268] 分他么精神穿过去的。
[00:21:56.870–00:21:58.828] 还有精神跟肉体一块儿穿过去的。
[00:21:59.430–00:22:09.100] 精神跟穿过去的太子飞生之际，对吧？他的精神穿到古代了，掉在别人的身体里面，而且是一个男人的精神掉在一个妃子女人的身体里了。
[00:22:09.702–00:22:12.076] 还有呢就是人跟肉体一块穿过去的。
[00:22:12.710–00:22:15.244] 比如说那个寻亲记项少龙。
[00:22:15.814–00:22:19.372] 对吧一个香港特警穿越到秦朝。
[00:22:19.942–00:22:21.740] 成为了一个大将军。
[00:22:22.918–00:22:30.476] 他整个一块过去了，对吧？当然还要带着工具过去了是吧？带着家伙事儿过去的都有。另外还有那种。
[00:22:32.262–00:22:33.324] 灵魂互换吧。
[00:22:33.958–00:22:44.364] 什么西羞羞的铁拳这种也算是穿嘛，精神互穿嘛，穿身体了，对吧？当然现在还有发明了各种穿书的、穿漫画的、穿游戏的。
[00:22:45.734–00:22:50.252] 当然这种大部分是为了过审啊，打了擦边球过审，因为不让穿越了。
[00:22:51.014–00:22:56.844] 他们就说自己穿的是书，穿的是游戏。但其实你明白啊，他就是想穿回古代。
[00:22:57.574–00:23:06.092] 这个我们待会儿再讲穿越它有什么特点啊，我们先都整理一下，还有什么啊？我们说与时间有关的，除了时间穿越以外。
[00:23:06.694–00:23:07.948] 还有时间倒流吗？
[00:23:09.318–00:23:14.860] 本杰明巴顿骑士对吧？这种也属于强设定，还有时间静止嘛。
[00:23:15.462–00:23:20.428] 对不对？还有时间就是那个那个长生不老啊，比如说。
[00:23:21.030–00:23:24.140] 不死法医，哎呀，不死法医特别好看吧。
[00:23:24.678–00:23:31.500] 这个这个这个时间停止了，还有这个我们说时间陷入死循环的。
[00:23:32.614–00:23:34.444] 哇，这个前几年也流行过呀。
[00:23:35.078–00:23:41.036] 土拨鼠日，美国电影土拨鼠日。然后后来还有那个我们说其实。
[00:23:41.766–00:23:49.356] 恐怖游轮也算时间循环，对吧？我们叫一个时间的lo嘛，它就陷入这个lo里面了。
[00:23:50.054–00:23:50.988] 这个这个这个。
[00:23:53.382–00:23:54.124] 出不来了。
[00:23:55.334–00:23:55.916] 对吧。
[00:23:56.422–00:24:00.780] 当然我们刚才说的既循环又穿越的那个那个还有一个。
[00:24:01.254–00:24:03.468] 也算是穿越片里面非常经典的。
[00:24:03.974–00:24:10.988] 蝴蝶效应butterfly大家可以去看一下，那个太牛逼了，阿诗伦cuccher演的对吧？那个拍的太牛了。
[00:24:12.518–00:24:14.284] 我说你看这又是一个打类。
[00:24:14.758–00:24:28.972] 对吧当然了，穿越类还不能不提我们公司的那个夏洛特烦恼呀，对吧？我们公司夏洛特烦恼一战成名。后来马上你看李焕英也不成多让啊，也这这个这穿越类强势定类，对吧？
[00:24:29.574–00:24:33.164] 我们说你看这就是在时间上玩花招的，有各种。
[00:24:33.894–00:24:35.308] 有各种强设力。
[00:24:39.366–00:24:41.100] 这就是我说的强势力。
[00:24:42.534–00:24:48.460] 全社定的片子啊，这几年啊非常的兴盛，非常的凶悍。
[00:24:50.246–00:24:54.508] 非常的主流，这么说吧，但其实啊他以前可不是主流啊。
[00:24:55.590–00:25:01.868] 我们说与强设定对应的啊与强设定对应的啊，其实是现实主义设定。
[00:25:02.854–00:25:07.724] 一般设定或者叫他一般设定不就是现实主义设定吗？
[00:25:08.582–00:25:24.268] 就是正常事件下发生的，我们能够理解的那些事情，对吧？正常的社会规则下发生的那些事情，其实就是现实主义设定，它就是一般设定。那如果一般设定是现实主义设定的话，其实强设定你还可以给他。
[00:25:25.094–00:25:33.228] 换一个名字，我们用一个文学小说里面常用的名词可以叫它魔幻现实主义。
[00:25:34.342–00:25:42.892] 其实所谓的强设定，它就是魔幻现实主义，它拥有一定的魔幻色彩。我们刚才说的这些强设定其实都拥有一定的魔幻色彩。
[00:25:44.326–00:25:45.356] 有神秘力量呀。
[00:25:46.662–00:25:50.572] 但是呢还是我说的，它永远是社会的比喻啊。
[00:25:51.750–00:25:57.580] 它永远是社会的比喻啊，你不能完全超现实呀，你超现实我们看它干嘛呀？
[00:25:58.726–00:26:00.620] 所以他其实是魔幻现实主。
[00:26:02.374–00:26:22.364] 对吧不管是说主角拥有的那些技能，其实都是我们曾经想象过的那些想要的那些技能。它有一定的现实依据的。然后我们说那个对手是僵尸，是鬼，是怪兽，是天外来客外星人，其实都是我们日常恐惧。
[00:26:22.438–00:26:30.796] 害怕发生的事情，它是有现实依据的，懂吗？所以说强设定啊你可以理解为魔幻现实主义。
[00:26:31.622–00:26:32.620] 我们可以这么去理解。
[00:26:33.542–00:26:37.260] 那么现实主义设定和魔幻现实主义设定。
[00:26:38.150–00:26:48.876] 在这几年啊有个明确的趋势，有个明显的趋势，就是现实主义的市场份额正在。
[00:26:49.414–00:26:50.156] 减少。
[00:26:50.790–00:26:55.404] 魔幻现实主义的市场份额正在增加，这是一个趋势啊。
[00:26:56.902–00:27:10.380] 我们就从好莱坞来说啊，我给大家讲一个规律。你看啊好莱坞的片子按制作分啊，分A级片和B级片，对吧？这个大家大概都听过这两个呃这个这个这个名词这个说法。
[00:27:12.134–00:27:14.124] 然后很多同学就。
[00:27:14.662–00:27:16.364] 在理解上啊认为啊。
[00:27:17.190–00:27:21.004] B级片啊就是沾点黄的，沾点暴力。
[00:27:21.862–00:27:33.676] 沾点不入流或者沾点墙类型，对吧？比如说什么战枪战片，这个恐怖片、色情片，这就叫B记片，很多同学都是这么理解的啊。
[00:27:34.406–00:27:36.012] 就是这个有点。
[00:27:36.550–00:27:43.052] Y的就是B级片，正经片还是A级片。其实不是啊，同学们我给大家讲一下啊。
[00:27:44.358–00:27:46.316] A级片B级片是按预算分的。
[00:27:47.398–00:27:48.844] 就好莱坞把这个片子啊。
[00:27:49.414–00:27:56.908] 这个片子如果预预算大制作好，然后呢可以面向更多的大众。这类片子呢就评为A级。
[00:27:57.702–00:28:16.364] 然后预算小的那些片子呢叫B集。但这些预算小的片子，他一样要到电影院跟A级片搏杀，对吧？那他打不过，因为预算小没有大明星，那他咋整呢？他就剑走偏锋，对吧？我正常打打不过你，那我就带点黄的，带点暴力。
[00:28:17.030–00:28:22.188] 或者带点恐怖氛围，带点神秘色彩，带点魔幻。
[00:28:23.174–00:28:23.884] 你看看。
[00:28:24.614–00:28:27.980] B级片呢往往因为被A级片逼得没招。
[00:28:29.510–00:28:30.668] 他就走点儿。
[00:28:31.334–00:28:32.140] 长设定。
[00:28:32.966–00:28:37.164] 所以很多强势这片子啊早年是B级片。
[00:28:38.406–00:28:39.340] 早年是B纸片。
[00:28:40.326–00:28:41.100] 然后呢。
