P027 十二课-小蝌蚪找妈妈12.3
[00:04:16.742–00:04:19.244] 等于这个王八就是。
[00:04:21.446–00:04:25.452] 曾经被捞进去过，然后他从下水道里溜出来了。
[00:04:26.214–00:04:27.820] 但是下水道里因为。
[00:04:29.158–00:04:34.956] 那个川菜馆那个火锅那些油热油往下水倒里倒，给他烫瞎了双眼。
[00:04:36.326–00:04:37.388] 他还是摸哈回来。
[00:04:38.630–00:04:39.468] 所以他现在。
[00:04:40.166–00:04:45.516] 也办残了，不能直接带着你去，只能教你，凭着记忆教你。
[00:04:46.150–00:04:47.372] 那这就是一个。
[00:04:48.390–00:04:55.500] 麻烦家伙，一个无辜的小蝌蚪，妈妈被抓走了，对吧？他要从这个养殖场的池塘去到。
[00:04:56.230–00:04:57.644] 去到前面前院。
[00:04:58.662–00:05:01.292] 那个那个饭店那里川菜馆。
[00:05:01.766–00:05:03.756] 把妈妈救出来，小蝌蚪找妈妈。
[00:05:05.862–00:05:06.668] 这就是。
[00:05:07.334–00:05:09.132] 烦家伙行啊。
[00:05:09.606–00:05:10.508] 很符合吧。
[00:05:14.118–00:05:15.628] 我们说变签仪式。
[00:05:18.374–00:05:19.372] 变签仪式。
[00:05:21.094–00:05:28.812] 编捷仪式名字很难很很拗口，很不容易理解。我们说一下定义就知道，就是一个普通的生活问题。
[00:05:29.542–00:05:32.396] 一个常见的生活里面的问题。
[00:05:33.862–00:05:37.388] 你没有用正常的方式去处理。
[00:05:38.118–00:05:45.932] 导致了一系列的后果，你要么过激的处理了，你要么逃避的去处理了。总之你没有正面的去面对。
[00:05:47.014–00:05:56.972] 导致了一系列的后果。然后最后的结局呢，你回归到正确的解决方式上，这就是变迁意识。这类片子呢一般很写实的。
[00:05:57.510–00:05:58.348] 很生活的。
[00:05:59.430–00:06:08.716] 我们举过例子那触不可及，对吧？一个瘫痪的人，他他他他想放弃放弃生命，所以他他找了一个不靠谱的。
[00:06:09.542–00:06:12.652] 呃，看护不靠谱的保姆啊，男保姆。
[00:06:14.246–00:06:16.428] 但是恰恰是这个不靠谱的男保姆。
[00:06:17.958–00:06:18.636] 很不靠谱。
[00:06:19.494–00:06:20.940] 很不按常理出牌，反而。
[00:06:21.606–00:06:23.244] 让他回归了，觉得。
[00:06:23.814–00:06:25.772] 活着也挺好的，瘫痪就瘫痪了。
[00:06:26.278–00:06:33.644] 瘫化了一样可以有乐趣，一样可以有有价值，一样可以有爱情。
[00:06:34.854–00:06:35.212] 是吧。
[00:06:35.718–00:06:36.364] 这就是。
[00:06:36.998–00:06:37.900] 变迁意识性。
[00:06:39.334–00:06:40.524] 这是触不可及。
[00:06:41.286–00:06:43.276] 那我们反过来看小蝌蚪找妈妈。
[00:06:45.254–00:06:46.156] 要变成意识。
[00:06:47.462–00:06:48.940] 小蝌蚪找妈妈。
[00:06:49.446–00:06:50.316] 要变迁意次。
[00:06:52.006–00:06:59.724] 他的问题他的问题，我们说问题必须是一个很生活化的，大家都能理解。
[00:07:01.062–00:07:03.372] 甚至都会遇到的问题。
[00:07:04.614–00:07:07.020] 既然叫小蝌蚪找妈妈，那就是母子关系呗。
[00:07:07.942–00:07:08.396] 好不好？
[00:07:09.638–00:07:10.892] 那就是母子关系嘛。
[00:07:12.390–00:07:13.516] 母子关系。
[00:07:17.350–00:07:18.412] 是小蝌蚪的问题。
[00:07:21.318–00:07:23.468] 然后他采取了一种过激的行为。
[00:07:24.454–00:07:25.164] 比如说。
[00:07:25.830–00:07:26.668] 离家出走了。
[00:07:27.302–00:07:27.916] 走了。
[00:07:28.902–00:07:30.060] 不要这个妈了。
[00:07:31.014–00:07:32.940] 那最后的结局肯定是回归家庭。
[00:07:33.670–00:07:35.020] 觉得世上只有妈妈好。
[00:07:36.550–00:07:38.124] 那为了增加戏剧性啊。
[00:07:39.398–00:07:41.420] 他这个过激离开。
[00:07:42.246–00:07:44.172] 他这个母子关系问题啊。
[00:07:44.998–00:07:46.540] 我们直接给他弄成。
[00:07:47.302–00:07:48.044] 养母。
[00:07:50.950–00:07:52.908] 那这个问题上来就会更激烈。
[00:07:54.150–00:07:55.948] 就小蝌蚪到了青春期。
[00:07:56.870–00:07:58.092] 跟自己的养母。
[00:07:58.950–00:07:59.852] 越来越。
[00:08:00.678–00:08:01.452] 冒合神利。
[00:08:01.958–00:08:03.820] 越来越不对不对付。
[00:08:04.742–00:08:08.620] 他坑他的养母，对吧？儿子和养母的关系嘛。
[00:08:09.958–00:08:10.380] 来。
[00:08:11.078–00:08:11.852] 首先。
[00:08:13.702–00:08:14.348] 我。
[00:08:15.430–00:08:16.396] 到青春期了。
[00:08:16.902–00:08:19.596] 尾巴什么的都开始收起来，开始长四肢了。
[00:08:22.662–00:08:23.372] 但是。
[00:08:25.606–00:08:27.500] 我们并没有长成我妈妈的样子呀。
[00:08:28.422–00:08:29.644] 我妈妈有壳。
[00:08:30.278–00:08:31.404] 我没有。
[00:08:33.126–00:08:35.052] 对吧我软的。
[00:08:37.670–00:08:38.988] 他妈妈是个王八。
[00:08:40.358–00:08:41.932] 80元青蛙。
[00:08:42.790–00:08:46.636] 它没有壳儿，然后呢，他慢慢的就感受到了。
[00:08:47.206–00:08:48.300] 社会上的。
[00:08:48.902–00:08:49.708] 风言风语。
[00:08:50.214–00:08:53.836] 以前小又不懂事了，对吧？就觉得世上只有妈妈好。
[00:08:55.718–00:09:01.004] 现在到了青春期，本来就是一个叛逆的年龄，本来就是一个要个性的年龄。
[00:09:01.510–00:09:02.092] 然后。
[00:09:04.422–00:09:05.132] 他发现。
[00:09:05.926–00:09:07.436] 我跟妈妈为什么差别这么大？
[00:09:09.958–00:09:10.924] 然后就就。
[00:09:11.622–00:09:12.620] 就去问他妈。
[00:09:14.118–00:09:15.660] 他妈呢可能是出于。
[00:09:16.454–00:09:21.004] 对他的爱，对他的保护，没有和盘托出所有的事情。
[00:09:23.334–00:09:25.004] 导致母子之间。
[00:09:26.214–00:09:28.108] 有矛盾，有问题。
[00:09:28.582–00:09:30.188] 就他跟他的母亲有问题了呀。
[00:09:32.966–00:09:33.388] 是。
[00:09:34.278–00:09:38.284] 你如果一个你设想一个小孩，在青春期发现自己不是亲生的。
[00:09:39.302–00:09:43.628] 你肯定你的第一反应就是想我我是哪来的？
[00:09:44.166–00:09:44.940] 你要告诉我。
[00:09:45.446–00:09:53.836] 对吧你养我到15岁没问题，你要告诉我我是从哪来的，你是捡的还是要的，还是买的，你要告诉我。
[00:09:55.014–00:09:55.884] 他妈妈呢。
[00:09:56.646–00:10:15.212] 支支吾吾回避这个问题，他显然就会造就这个问题啊。再加上生活上生活习惯差异越来越大，对吧？他呢伸舌头吃东西，让他找东西吃，他妈的探头，在那看越看越不顺眼，看什么炭是吧？物种不一样的？
[00:10:16.038–00:10:16.780] 等于是。
[00:10:17.446–00:10:20.396] 面对这样一个正常的家庭关系。
[00:10:20.966–00:10:23.084] 母子问题，母子矛盾。
[00:10:24.134–00:10:25.548] 他采取了过激的行为。
[00:10:28.582–00:10:33.548] 他离家出走，离家出走有目标啊，我要去找我亲妈，我要找我的种族。
[00:10:34.182–00:10:36.492] 找我的属于我的。
[00:10:38.374–00:10:39.052] 我的种族。
[00:10:40.582–00:10:41.804] 然后在一系列。
[00:10:42.406–00:10:43.180] 这个这个。
[00:10:43.654–00:10:46.380] 折腾对吧？冲去找。
[00:10:47.270–00:10:48.684] 遇到这个危险。
[00:10:49.222–00:10:53.708] 呃，遇到一点路上，在青春期嘛，肯定大家再遇到点爱情。
[00:10:54.566–00:10:57.836] 然后去找到这个这个挖群。
[00:10:58.310–00:10:58.828] 对吧。
[00:11:00.134–00:11:01.420] 最后在挖群里面。
[00:11:02.054–00:11:04.460] 这个融入生活。
[00:11:05.702–00:11:07.436] 嗯，找到一些爱。
[00:11:07.910–00:11:16.364] 获得一些短暂的那叫虚假胜利嘛，在挖群里面获得一些虚假胜利。比如说爱情，比如说有人对他挺好。
[00:11:18.726–00:11:19.500] 但是。
[00:11:20.006–00:11:22.156] 最后回归认为。
[00:11:24.518–00:11:25.900] 外表的相似。
[00:11:26.534–00:11:27.916] 不如心连的心好。
[00:11:28.742–00:11:30.796] 什么也没有把你养大的人。
[00:11:31.654–00:11:32.716] 跟你的感情深。
[00:11:33.606–00:11:34.892] 再回到家庭。
[00:11:36.038–00:11:36.940] 在这个。
[00:11:37.702–00:11:38.732] 熏闹的过程中。
[00:11:40.262–00:11:41.356] 理解自己的。
[00:11:41.894–00:11:42.476] 母亲。
[00:11:43.334–00:11:44.428] 理解自己的养母。
[00:11:44.934–00:11:48.588] 你如果想做的极致一点，就可以让他知道。
[00:11:49.446–00:11:50.636] 比如说当年的故事。
[00:11:52.102–00:11:54.636] 对吧让他通过一些侧面知道当年的故事。
[00:11:55.206–00:11:56.620] 当年自己小时候。
[00:11:57.254–00:11:57.996] 是怎么被？
[00:11:59.590–00:12:01.004] 王八给养大的。
[00:12:02.054–00:12:02.540] 是吧。
[00:12:03.430–00:12:04.428] 这就是一个。
[00:12:05.734–00:12:08.716] 变签仪式型的片子，这种片子就不会很喜剧了。
[00:12:09.318–00:12:10.252] 也不会很动作。
[00:12:11.014–00:12:15.244] 就会很很很写实，甚至可以做的偏沉重。
[00:12:15.750–00:12:18.028] 你可以做的偏感人啊这种片子。
[00:12:18.502–00:12:19.660] 可以让人哭的这种片子。
[00:12:21.062–00:12:21.580] 就是。
[00:12:22.406–00:12:23.276] 你的牙母。
[00:12:24.166–00:12:24.588] 对吧。
[00:12:25.350–00:12:26.124] 他当年。
[00:12:27.238–00:12:28.524] 你知道他经历了什么吗？
[00:12:31.462–00:12:37.772] 他的一窝王八蛋哎，不是一窝王八卵，他的一窝王八卵。
[00:12:39.302–00:12:43.564] 都被蛇给掏了，或者被被被被水塔给掏了。
[00:12:44.614–00:12:46.124] 对吧然后呢。
[00:12:47.430–00:12:48.172] 你呢？
[00:12:49.126–00:12:54.444] 你妈妈在那次浩劫中，你失去了妈妈，他失去了所有的蛋。
[00:12:57.254–00:12:58.732] 他拼死保护着你。
[00:12:59.814–00:13:02.284] 自己受了重伤，拼死保护着你。
[00:13:06.854–00:13:07.820] 才把救下了你。
[00:13:08.390–00:13:09.644] 然后跟你相依为命。
[00:13:10.630–00:13:13.580] 你说说你还对吧？你还在这儿。
[00:13:14.214–00:13:15.948] 跟养母还还不听话。
[00:13:16.582–00:13:20.172] 那么不懂事呢？就这种片子是可以做的比较揪心的。
[00:13:20.742–00:13:24.268] 想想办法有很多办法啊，我们说愚者成功。
[00:13:25.862–00:13:32.300] 我们说这个变迁仪式啊，仪式变迁类的这种片子啊，一般是偏沉重的，愚者成功啊。
[00:13:34.470–00:13:36.076] 喜剧片的面儿就大。
[00:13:37.382–00:13:38.636] 因为是个傻子嘛。
[00:13:39.366–00:13:41.964] 傻子面临一个。
[00:13:43.014–00:14:03.484] 他融入不进去的，我他这个这个书上说叫伟业，一个伟大的事业，就是一个傻子去干一件伟大的事业。然后在这个过程中经历一些虚假的变化。啥叫虚假的变化？就是他要刻意的营造自己可以融入进去？就是丑小鸭。
[00:14:03.814–00:14:04.844] 刻意的。
[00:14:05.510–00:14:11.372] 半半成天鹅融入进去，最后反而觉得你好好做鸭也行。
[00:14:11.942–00:14:15.916] 那对于这个小蝌蚪的片子，做起来也很容易啊。
[00:14:16.454–00:14:18.668] 一只干憨憨的。
[00:14:19.878–00:14:24.524] 小蝌蚪小蝌蚪做的傻乎乎的很容易的。一个小黑点嘛，铁憨憨。
[00:14:25.158–00:14:25.836] 很傻。
[00:14:26.758–00:14:33.644] 然后呢，假设这个小蝌蚪生活在一个水上这那个水族馆吧，一个水族馆。
[00:14:35.078–00:14:36.012] 小蝌蚪。
[00:14:36.582–00:14:39.308] 在这个这个这个呃水族馆的。
[00:14:40.582–00:14:41.740] 户外池塘里。
[00:14:43.366–00:14:50.668] 天天看着这个水族馆人来人往，小那个小朋友都会去啊，好漂亮啊，去看观赏鱼。
[00:14:51.846–00:15:00.012] 观赏鱼那个那个水族厅的很呃小朋友很喜欢。然后这个港憨憨的小蝌蚪就是这个渔者。
[00:15:01.542–00:15:04.844] 他立志想当一只观赏鱼。
[00:15:06.086–00:15:06.956] 然后呢。
[00:15:07.558–00:15:08.300] 他就。
[00:15:09.158–00:15:10.188] 通过一次。
[00:15:11.526–00:15:12.556] 巧合也好。
[00:15:13.062–00:15:15.212] 偶然的一个钻了一个空子也好。
[00:15:15.718–00:15:17.804] 进到了观赏鱼鱼缸。
[00:15:18.438–00:15:26.572] 比如说全是那种很漂亮的那种小翅膀的，小金鱼也行，很漂亮的观赏鱼，一屋子。
[00:15:28.166–00:15:28.972] 愚者。
[00:15:29.510–00:15:32.364] 小蝌蚪进入了观赏鱼的。
[00:15:32.902–00:15:33.388] 鱼缸。
[00:15:34.022–00:15:48.876] 开始去适应观赏鱼的生活，学人家游泳的姿势，学人家那个呃吐泡泡的方式，学人家怎么跟小朋友们互动，怎么样要零食吃，就一直在融融入进去。
[00:15:49.446–00:16:01.004] 当然要给他制造障碍啊，这个观赏鱼鱼池观赏鱼里面有老大，这老大是不接受他的，懂吗？但是他又努用自己一股傻劲儿。
[00:16:01.926–00:16:09.868] 去不断的重复的训练，不断的呃人家做10次，他做1000次那种，他就是。
[00:16:11.206–00:16:13.260] 这个观赏鱼缸里面的许三多呀。
[00:16:14.150–00:16:15.084] 明白这个意思吗？
[00:16:15.654–00:16:25.644] 他就是这个观赏鱼缸里面的许三多，不是金鱼，硬要当金鱼，对吧？我他妈是黑不溜秋一根小尾巴，我练我也要给他练分叉了。
[00:16:26.438–00:16:29.676] 对吧我就要当金鱼，所以它就是。
[00:16:30.374–00:16:36.396] 呃，在这个鱼者这个这个小小蝌蚪在这个观赏鱼的鱼缸里面。
[00:16:37.094–00:16:42.028] 奋力打拼自己的事业，立志成为一名优秀的舞蹈演员。
[00:16:42.566–00:16:44.972] 这观赏鱼都啊都是跳舞的呀。
[00:16:45.798–00:16:53.644] 对吧他节食不敢多吃是吧？然后呢拼命的练自己的尾巴，让自己的尾巴更灵活。
[00:16:54.118–00:16:59.468] 对吧然后拼命的这个这个吐泡泡，拼命的增加自己的游游泳的速度。
[00:17:01.638–00:17:06.540] 虚假的一些变化，就是这伪装自己，终于可以跟上。
[00:17:07.270–00:17:15.276] 这些金鱼的队伍啦，巡游啊，这观赏鱼群游是实狮这个水族馆小朋友们最喜欢看的一个项目。
[00:17:15.846–00:17:25.292] 然后终于有一天到了群游的一那天，然后这个观赏鱼缸里面的总教头，那只小丑鱼说。
[00:17:26.470–00:17:27.020] 点点。
[00:17:27.878–00:17:28.428] 今天。
[00:17:29.798–00:17:30.700] 你也上不去表演。
[00:17:32.102–00:17:33.580] 欣喜若狂呀。
[00:17:34.374–00:17:40.396] 虚假的变化呀，欣喜若狂呀，终于得到认可了。总教头都认可我许散多了。
[00:17:41.030–00:17:48.812] 懂我这意思吧？我虽然是一个蝌蚪，但我命由我不由天，我就是要当金鱼，就是要当观赏鱼。
[00:17:49.350–00:18:12.220] 终于到这一天了，来吧，盛大的表演提前一天晚上激动的睡不着觉。第二天想想无数的小朋友在外面为我欢呼，为我呐喊，我是一只金鱼，对吧？然后想想想想就兴奋，这天晚上激动的睡不着觉啊，浑身亢奋，荷尔蒙迸发，然后到了第二天，虽然他排在最后一个，但是终于也进到这个队伍了。
[00:18:12.518–00:18:31.436] 看着前面的各个小姐姐们，那些啊那些舞蹈演员就这哈啦哈啦哈啦戳就全部像像那个阅兵式一样就弹出去了，冲冲冲冲到塌了，他就觉得我练练到现在终于该往上场了，靠喊。
[00:18:31.942–00:18:33.132] 一看哎。
[00:18:34.726–00:18:35.468] 我尾巴呢？
[00:18:36.934–00:18:38.028] 我尾巴呢？
[00:18:39.654–00:18:42.572] 养兵千日用在一时，我尾巴哈。
[00:18:43.974–00:18:48.172] 一使劲儿哎，我怎么这么有了？
[00:18:48.998–00:18:52.684] 我到底哎，这这哎，我这是怎么回事？
[00:18:53.958–00:18:54.700] 对吧。
[00:18:56.038–00:18:57.324] 一个晚上没睡觉。
[00:18:58.278–00:19:00.844] 第二，竞征出现了。
[00:19:01.766–00:19:04.556] 尾巴没了，腿出来了。
[00:19:05.222–00:19:08.012] 你是个蛤蟆，还终究是个蛤蟆。
[00:19:08.742–00:19:10.508] 一切都是虚假的。
[00:19:11.302–00:19:22.700] 然后他跟在那个拼命的跟在那个鱼鱼群的后面，哎呀，哎人家都在那表演舞蹈，表演这个是吧？排练好的各种民族舞。
[00:19:23.398–00:19:27.628] 他在后面啊呀，终于等到机会，结果是这番丑态。
[00:19:28.262–00:19:29.388] 结果是这番丑态。
[00:19:30.982–00:19:31.948] 做回自己。
[00:19:32.582–00:19:33.708] 你就是你。
[00:19:34.630–00:19:36.908] 你不用非又非要去。
[00:19:38.150–00:19:44.012] 成就别人的伟业，但是它的主题是什么呢？成就自己的伟业。
[00:19:45.862–00:19:47.212] 就是小朋友们啊。
[00:19:48.166–00:19:49.612] 反而最喜欢他。
[00:19:52.230–00:19:54.476] 为他鼓掌，为他喝彩。
[00:19:55.078–00:19:58.636] 他有他自己的精彩呀，谁说四条腿有。
[00:19:59.206–00:20:00.396] 啊，就不好看呢。
[00:20:01.062–00:20:02.988] 谁说这样就不帅呢？
[00:20:03.686–00:20:04.876] 他完全可以。
[00:20:06.438–00:20:08.108] 他一样可以窜出水面。
[00:20:09.062–00:20:09.548] 对吧。
[00:20:10.662–00:20:16.716] 它还可以一下蹦到这个玻璃墙壁上一蹬再弹回来，它可以做别的特技动作。
[00:20:18.278–00:20:22.668] 观赏鱼做不了的特技动作，小朋友们没有看过的特技动作。
[00:20:23.590–00:20:27.884] 所以他在开始难受，尴尬丢脸。
[00:20:28.550–00:20:35.500] 到慢慢的发现小孩子们在笑，并不是嘲笑，是开心的笑。
[00:20:37.254–00:20:40.140] 游着游着游出了自信，游出了洒脱。
[00:20:40.838–00:20:43.340] 甚至从排尾。
[00:20:45.030–00:20:47.308] 总教徒让他上去是，让他跟在后面的。
[00:20:48.422–00:20:49.804] 成为05啦。
[00:20:50.438–00:20:53.996] 他的领头大，其他的鱼群跟着它游了。
[00:20:54.982–00:20:58.444] 因为现场气氛嗨起来了，对吧？
[00:20:59.462–00:21:05.612] 他他在前面游了，姐妹们别害臊，别害臊，我跟你说啊，岁数都不小了，别害臊。
[00:21:06.150–00:21:14.092] 是吧他这这就这就搞起来了，这就是标准的愚者成功，就是丑小鸭反而成为了最美的天鹅。
[00:21:14.790–00:21:19.276] 你虽然还是丑小鸭，不用概变自己，你就是最美的。
[00:21:20.454–00:21:25.356] 好吧，你看愚热成功，这不就把小蝌蚪找妈妈做成喜剧片了吗？
[00:21:29.254–00:21:30.092] 被制度化。
[00:21:32.966–00:21:33.804] 被制度化。
[00:21:35.430–00:21:37.900] 我们说被制度化需要有一个群体。
[00:21:39.302–00:21:41.740] 就是有一个群体的行为模式。
[00:21:42.694–00:21:45.228] 然后我们的个体呢是其中的。
[00:21:46.310–00:21:47.020] 1元。
[00:21:48.454–00:21:49.228] 但是。
[00:21:53.126–00:21:54.188] 他面临了选择。
[00:21:55.046–00:21:55.788] 到底是。
[00:21:57.798–00:21:58.444] 做自己。
[00:21:59.238–00:22:02.188] 还是做群体的一员，屈从于群体。
[00:22:03.270–00:22:05.804] 然后在这个抗争中做出牺牲。
[00:22:06.374–00:22:07.244] 这种片子。
[00:22:07.878–00:22:09.420] 哎，普遍都是比较。
[00:22:10.118–00:22:11.948] 沉重严肃了那个教父。
[00:22:12.582–00:22:21.100] 飞跃疯人院，最后呢那那个那个飞跃疯人院，最后呢变傻了嘛，被人抓回来把把那个切掉之后变傻了嘛。
[00:22:22.438–00:22:24.972] 那么这个小蝌蚪找妈妈，我们也。
[00:22:25.702–00:22:26.316] 可以。
[00:22:26.886–00:22:27.660] 想想办法。
[00:22:31.910–00:22:33.484] 这里我们可以设的沉重一点。
[00:22:34.598–00:22:35.340] 比如说。
[00:22:39.174–00:22:40.108] 这些小蝌蚪。
[00:22:42.406–00:22:44.492] 小蝌蚪群体，一群小蝌蚪。
[00:22:51.334–00:22:53.068] 他们生活在一个轮胎印儿里。
[00:22:55.142–00:23:04.204] 就是下完雨之后，那个轮胎压的那个大大轮胎压的那个印儿，一个脏水坑，生活着一群一一群。
[00:23:05.094–00:23:05.964] 这个小蝌蚪。
[00:23:06.982–00:23:08.620] 他们是一个标准的一个群体。
[00:23:09.126–00:23:12.972] 然后呢，他们什么都没有见过，这是他们的全部世界。
[00:23:13.446–00:23:14.668] 也是全部人生。
[00:23:15.206–00:23:22.700] 他们就在这里机械的在这里找东西吃，在这里游水其实在一直在变少，就在这里等自己的命运。
[00:23:24.230–00:23:25.228] 等自己的命运。
[00:23:30.214–00:23:32.972] 加一个外部威胁，比如说有一只猫。
[00:23:33.478–00:23:34.604] 猫是吃蝌蚪物。
[00:23:35.398–00:23:36.396] 有一只猫。
[00:23:36.902–00:23:40.300] 每一天都过来吃掉五六只小蝌蚪。
[00:23:43.526–00:23:48.812] 所有人都都麻木了，都会觉得这小蝌蚪挤成一排都挤在这儿。
[00:23:49.510–00:23:50.156] 都觉得。
[00:23:51.334–00:23:52.012] 每天。
[00:23:53.094–00:23:57.804] 要被吃掉5个，每天要被吃掉5个，这是一种规矩，这是一种社会规则。
[00:23:58.502–00:24:01.356] 对吧猫就是比我们更上一层的。
[00:24:02.950–00:24:16.460] 这个这个阶层阶级，我们呢就属于这个水坑，我们就是要一个挤一个，因为水越来越少，他们全部挤在一块，见过那种水坑里面的呃蝌蚪吗？密密麻麻挤成一排。
[00:24:17.158–00:24:20.652] 他们觉得这就是我们的全部人生，我们就是活该这样。
[00:24:21.542–00:24:21.996] 对吧。
[00:24:22.662–00:24:25.132] 这就是就是这样喽，这是规矩啊。
[00:24:25.702–00:24:30.444] 每天来吃5个，每天来吃5个，只要我不是那5个就可以。我们这么多呢。
[00:24:30.918–00:24:32.236] 只要我不是那5个就可以。
[00:24:33.222–00:24:34.956] 就大家一直在这里。
[00:24:36.102–00:24:39.596] 只要就每个人都在侥幸的活着。
[00:24:40.230–00:24:41.324] 麻木的活着。
[00:24:43.046–00:24:47.468] 都会觉得我们这里有上千个小蝌蚪，每天吃5个。
[00:24:48.262–00:24:48.876] 说不定。
[00:24:49.638–00:24:50.796] 吃到我的概率不大。
[00:24:52.646–00:24:53.900] 就是在这样一个坑里。
[00:24:54.470–00:24:55.820] 一个麻木的群体。
[00:24:57.862–00:24:58.828] 大家都是韭菜。
[00:24:59.782–00:25:00.684] 等着被割。
[00:25:02.726–00:25:04.300] 我们的这个点点。
[00:25:04.966–00:25:10.284] 我们就点歌我们点歌啊点歌在这个群体里面。
[00:25:11.494–00:25:12.332] 他比较有脑子。
[00:25:13.542–00:25:14.668] 他比较擅长思考。
[00:25:15.558–00:25:16.684] 他就提出来了。
[00:25:17.766–00:25:19.692] 我们真的就没有其他选择了吗？
[00:25:21.606–00:25:23.148] 我们真的就没有其他选择了吗？
[00:25:24.262–00:25:30.924] 我们为什么要被那只猫吃？它是干嘛的？我们是谁？我们是干嘛的？我们来到这个世上。
