P017 第八课-勾勒画面8.3
[00:03:36.710–00:03:37.740] 再加上他。
[00:03:38.630–00:03:39.852] 在妻女那里。
[00:03:40.422–00:03:41.228] 的打击。
[00:03:42.246–00:03:49.324] 彻底被他在青云那里彻底被判了死刑，彻底被扫地出门，彻底毫无希望了。
[00:03:51.366–00:03:52.620] 他决定。
[00:03:56.070–00:03:57.004] 去找那个。
[00:03:57.894–00:03:59.180] 他放走的那个。
[00:04:00.198–00:04:02.252] 歹徒那个胸徒。
[00:04:03.238–00:04:04.652] 那个穷凶极恶的。
[00:04:05.510–00:04:08.716] 欺负他妈卖面小夫妻的那那个凶徒。
[00:04:09.222–00:04:12.716] 你如果觉得一个不够，那就三个三个胸图。
[00:04:13.766–00:04:14.444] 团伙。
[00:04:14.950–00:04:17.100] 反正他要去跟那个几个人对命。
[00:04:17.798–00:04:20.332] 他要去跟那几个人同归于尽。
[00:04:21.286–00:04:25.068] 然后在这里在做无效尝试的时候啊，可以他。
[00:04:25.830–00:04:27.468] 设计过一些机关。
[00:04:29.638–00:04:30.540] 明白这个意思吗？
[00:04:31.110–00:04:33.324] 就是他这里比如说他自己设计过炸弹。
[00:04:35.878–00:04:44.716] 或者是他在这里呃处理那个炸弹案件的时候啊，他认为炸弹同归于尽是一个很好的方法。在这里他又把炸弹给。
[00:04:45.414–00:04:45.996] 掏出来了。
[00:04:46.822–00:04:56.972] 这样就是有个呼应啊，他在这里的原罪，他真正想解决的时候，他用的这里的方法，这是一个剧本的前后呼应，这个就会比较漂亮。
[00:04:57.638–00:04:58.156] 那么。
[00:04:59.238–00:05:04.172] 最大的危机就是这个这个生命危险，对吧？
[00:05:05.318–00:05:06.924] 最大的危机就是这个生命危险。
[00:05:07.782–00:05:09.868] 那我们让他在这里决定。
[00:05:10.726–00:05:13.740] 决定这个这个铤而走险吧。
[00:05:14.470–00:05:19.244] 他因为这里受到刺激，在这里决定铤铤而走险，然后开始布置。
[00:05:20.102–00:05:21.740] 他现在是正式警察了呀。
[00:05:22.214–00:05:23.500] 开始做调查。
[00:05:24.358–00:05:32.972] 开始跟踪，你在这里就可以写调查的戏，到处走访跟踪，包括差点抓住其中一个。
[00:05:33.734–00:05:37.260] 跟人家过招了，但是因为自己。
[00:05:38.054–00:05:38.764] 确实。
[00:05:39.398–00:05:40.044] 不能打。
[00:05:40.710–00:05:41.836] 被人打了一顿。
[00:05:42.310–00:05:45.356] 对吧在这里都是可以在这个再转这里。
[00:05:46.374–00:05:47.308] 用这些事情。
[00:05:47.942–00:05:52.428] 往前推推到这个最大的危机就是他翻出了炸弹。
[00:05:53.542–00:06:01.100] 他决定那我本来也是打算死嘛，我想过死，只不过是暂时的升值，让我。
[00:06:01.574–00:06:03.756] 取得了一个叫叫虚假的胜利嘛。
[00:06:04.518–00:06:06.732] 我因为前面前段时间寻死。
[00:06:07.814–00:06:12.076] 行为过于英勇，在这里取得了一个虚假的胜利。就是。
[00:06:13.030–00:06:14.156] 生成正式警察了。
[00:06:14.662–00:06:18.636] 但其实这个并没有改变我的本质，我依然什么都不是。
[00:06:19.174–00:06:22.476] 他通过去找他妻儿，通过跟歹徒。
[00:06:23.270–00:06:27.916] 发生了第一次冲突，他发现我他妈什么还我还是什么都不是。
[00:06:28.774–00:06:30.540] 我根本不是个警察。
[00:06:32.326–00:06:38.252] 我是前面假装英勇得到了一个警察的头衔，我还是假的。
[00:06:39.846–00:06:41.452] 我在我老婆那是假的。
[00:06:42.694–00:06:44.396] 我不是个假的父亲。
[00:06:45.222–00:06:46.668] 我是个假的丈夫。
[00:06:47.398–00:06:48.652] 我是个假的警察。
[00:06:51.334–00:06:52.492] 就是他在这里。
[00:06:53.094–00:06:54.572] 最大的危机之前。
[00:06:55.974–00:06:58.604] 意识到自己什么都不是。
[00:07:00.934–00:07:01.612] 全是假的。
[00:07:02.502–00:07:04.940] 别人对我表彰，假的。
[00:07:05.542–00:07:07.788] 别人给我的荣誉，假的。
[00:07:08.518–00:07:11.116] 我的那些英勇的行为假的。
[00:07:12.294–00:07:15.244] 我甚至都是个假的丈夫，假的父亲。
[00:07:16.198–00:07:16.876] 的警察。
[00:07:18.374–00:07:20.012] 这里就是推到。
[00:07:20.934–00:07:24.108] 在危机之前，把这些主题推到巅峰了。
[00:07:25.574–00:07:27.628] 那他现在最大的诉求是什么？
[00:07:29.798–00:07:34.220] 假警察假丈夫假父亲，我要做一个真男人。
[00:07:34.918–00:07:35.596] 明白吗？
[00:07:36.678–00:07:38.828] 顶到这儿了，这里绝对顶到了。
[00:07:39.910–00:07:45.964] 全是假的，我就要做一个真真男人之前那套炸弹找出来绑在身上了。
[00:07:46.918–00:07:48.652] 对吧同归于尽嘛。
[00:07:49.414–00:07:54.764] 他在地铁那个那个那个银行爆炸案里面得到的那个那个那个灵感啊。
[00:07:55.942–00:08:13.132] 对吧同归于尽不就完了吗？炸弹最好使了，我打不过你怕什么？我只要离你足够近。他之前跟那个炸弹那个家伙谈判的时候得到了很多信息，说你只要离我3米远，我保证崩死你，对吧？那我只要走近他们三米不就完了吗？
[00:08:14.502–00:08:15.724] 绑上这身炸弹。
[00:08:16.198–00:08:17.228] 就去找他们呀。
[00:08:18.790–00:08:22.380] 所以最大的危机已经显现出来了，就是这个炸弹危机。
[00:08:23.014–00:08:29.516] 他要跟别人同归于尽，而且他这时候已经决定要做一个真男人了。你在这里要确保调动观众。
[00:08:30.438–00:08:31.180] 跟他的共情。
[00:08:31.878–00:08:33.420] 让这在这里让观众。
[00:08:34.662–00:08:37.580] 替他觉得不要死，别死别死别死。
[00:08:38.310–00:08:42.508] 然后能不能死？在这里就是最大的最大的危机，最大的考验嘛。
[00:08:44.038–00:08:45.996] 然后导入这里就是增加力度。
[00:08:47.206–00:08:47.948] 增加列度。
[00:08:51.078–00:08:54.412] 他现在有两个对手啊，明面上对手。
[00:08:55.078–00:08:55.660] 是。
[00:08:56.454–00:08:57.228] 那几个。
[00:08:58.342–00:08:59.564] 穷凶极恶的歹徒。
[00:09:00.422–00:09:03.756] 内内核上的对手是他鱼死亡。
[00:09:04.614–00:09:05.996] 到底是死还是不死？
[00:09:06.630–00:09:09.164] 那么你在这里增加列度，就从这两个。
[00:09:11.046–00:09:14.060] 这个这个方向入手。比如说。
[00:09:14.630–00:09:15.308] 在这里。
[00:09:17.286–00:09:19.628] 再次烘托对手的。
[00:09:20.358–00:09:24.396] 让对手也升一个级。比如说对手知道他要他要来了。
[00:09:25.126–00:09:28.332] 对吧他去他以为可以悄悄。
[00:09:28.838–00:09:30.476] 接近对手，但是对手。
[00:09:31.558–00:09:32.204] 已经。
[00:09:32.742–00:09:33.772] 知道他要来了。
[00:09:34.278–00:09:35.340] 不管是通过。
[00:09:36.070–00:09:57.660] 呃，小道消息还是通过他们在警察有眼线，还是通过偶然发现，还是通过他没有经验，不小心泄露了自己的行踪，反正这里让对手知道他的行踪，马上让观众会觉得哎呀耶这个任务更难完成了，裂度更大了，对吧？这是从对手的角度那入手。然后从死亡这个角度入手。
[00:09:57.926–00:10:00.204] 也可以呀，就是那些炸弹。
[00:10:00.870–00:10:03.244] 对吧那些炸弹本来是。
[00:10:03.750–00:10:05.324] 比如说本来是触发型呢。
[00:10:06.918–00:10:14.124] 他又不是炸弹专家，炸弹是从那个地铁炸弹那里跟那个跟那个歹徒学的呀，跟人家学的。
[00:10:15.110–00:10:18.028] 本来是这个这个比如说本来是。
[00:10:19.174–00:10:20.652] 手机触发的。
[00:10:21.542–00:10:21.996] 对吧。
[00:10:22.534–00:10:27.308] 结果去了去到地方，他准备去找那帮歹徒嘛他。
[00:10:28.038–00:10:33.452] 通过调查知道那帮歹徒在哪啊，去了之后发现手机没信号，比如故障。
[00:10:33.990–00:10:40.268] 故障了也可以增加烈度呀，然后他就着急了，他就摁了开始，摁了开始之后一看。
[00:10:42.022–00:10:47.852] 嗯，5分钟，比如说5分钟之内必须走进那那歹徒3米。
[00:10:48.518–00:10:55.468] 等于是把烈度增强，你在这里增导入事件就增强烈度嘛？歹徒知道他要来了，然后他自己还误操作。
[00:10:55.942–00:10:58.796] 又给自己加了一个时间锁，把猎度加强了。
[00:10:59.430–00:11:05.644] 对吧就炸弹这个这个危机列度加强，然后高潮事件就是他怎么。
[00:11:07.398–00:11:08.780] 被打成什么样？
[00:11:09.894–00:11:17.132] 如何冲进敌营，如何接近那些歹徒，如何想办法抱住其中一个的大腿。
[00:11:18.022–00:11:18.508] 对吧。
[00:11:19.142–00:11:25.484] 对方发现他身上有炸弹之后，人家就不揍他了，人家四散逃去，他如何。
[00:11:26.086–00:11:34.092] 这个拖着受伤的身体体力也不如人家怎么样从楼顶往下跳扑到一个人身上。
[00:11:34.694–00:11:36.012] 这里就是高潮事件。
[00:11:37.958–00:11:39.276] 他最后比如说就是。
[00:11:40.166–00:11:44.300] 人家就跑了，但是他从窗上三楼窗上看到。
[00:11:44.806–00:11:49.452] 对方他听着对方咚咚咚咚咚下楼梯，他就等着对方。
[00:11:50.598–00:11:51.084] 哭。
[00:11:51.782–00:11:58.156] 门门的这一瞬间，他从三楼一头栽下去，砸在这个歹徒的身上。
[00:11:59.558–00:12:04.940] 高手把这个核心问题解决的，我带着炸弹砸到你身上，我boss。
[00:12:05.766–00:12:08.844] 我就要怼死你，就要跟你同归一尽。
[00:12:14.822–00:12:15.820] 然后最后结局。
[00:12:16.326–00:12:16.876] 赠送。
[00:12:18.182–00:12:21.548] 赠送自己送看当时的情绪宣泄。
[00:12:22.310–00:12:24.172] 如果到那儿，你觉得需要他死。
[00:12:25.062–00:12:26.412] 那结局就是追悼会。
[00:12:27.302–00:12:28.716] 结局真的就是追悼会。
[00:12:30.534–00:12:30.956] 对吧？
[00:12:31.558–00:12:34.540] 追道会不是需要有几个人。
[00:12:36.390–00:12:37.484] 排他的遗体吗？
[00:12:38.662–00:12:42.412] 对吧就让他老婆女儿还有那一对父子。
[00:12:43.078–00:12:47.212] 四个人嘛抬四个奖，正好像就抬嘛，也代表。
[00:12:48.710–00:12:50.060] 他终于成为了一个。
[00:12:51.398–00:12:52.268] 真正的丈夫。
[00:12:54.214–00:12:54.892] 真正的。
[00:12:55.654–00:12:56.140] 父亲。
[00:12:56.646–00:12:57.516] 真正的警察。
[00:12:59.078–00:13:00.108] 但是死的人。
[00:13:01.830–00:13:08.972] 反过来了吗？她前面是一个假的丈夫，假的警察，假的父亲，但是他要做一个真的人。
[00:13:09.446–00:13:10.668] 最后他得到了什么呢？
[00:13:11.302–00:13:15.724] 得到了他成为一个真的丈夫，真的父亲真的警察，但是死的人。
[00:13:17.734–00:13:23.628] 对吧你如果觉得结局那里需要他死，你就会让他最后结局是追悼会。
[00:13:24.198–00:13:27.660] 当然了，你可以让他活。我说结局是赠送。
[00:13:28.230–00:13:29.836] 不是说现在写不出来。
[00:13:30.502–00:13:37.164] 是没有必要写。因为你要把前面这些事情穿明白了以后，你要看当时的情绪。
[00:13:38.758–00:13:40.428] 情绪或者叫气口。
[00:13:40.998–00:13:42.124] 你感觉哎。
[00:13:43.846–00:13:44.428] 别死了。
[00:13:45.510–00:13:47.180] 那就让他在医院醒过来。
[00:13:48.518–00:13:49.388] 这也是一种方法。
[00:13:50.438–00:13:52.908] 对吧你还要说哇你不行。
[00:13:53.510–00:13:58.252] 最后这个结局我写的太惨烈了，前面他被打的太惨了。
[00:13:58.822–00:14:05.100] 我醒过来也也无法让观众情绪平复，那就让他老婆女儿再回来嘛。
[00:14:05.958–00:14:06.732] 那最熟了。
[00:14:08.486–00:14:11.372] 是不是啊再回来嘛，围在他身边。
[00:14:12.390–00:14:13.228] 照顾他。
[00:14:14.406–00:14:17.292] 当然了，还有折中的办法，就是老婆回不来了。
[00:14:18.310–00:14:19.244] 女儿回来。
[00:14:20.262–00:14:20.780] 对吧。
[00:14:21.254–00:14:26.188] 都可以嘛，女儿终于认可他。比如说她在医院。
[00:14:26.950–00:14:30.572] 受了重伤嘛，昏迷了好几天醒来，然后。
[00:14:31.110–00:14:32.460] 那个那眯蜂的眼。
[00:14:34.758–00:14:37.036] 发现好像女儿来了。
[00:14:37.670–00:14:38.092] 对吧。
[00:14:38.758–00:14:40.268] 女儿在他身边照顾他。
[00:14:40.870–00:14:41.900] 然后女儿在那儿。
[00:14:43.110–00:14:44.076] 跟别人打电话。
[00:14:44.966–00:14:47.020] 吹自己的爸有多英勇，多牛逼。
[00:14:47.846–00:15:02.028] 这种喜剧结尾，然后他听着很满意，不想打着女儿，接着闭着眼装昏迷。因为女儿在吹牛逼，说夸他爹说他爹是英雄，让跟他同学吹牛逼嘛，说你看电视呀，那是我爹。
[00:15:03.334–00:15:06.860] 这种就比较喜剧处理，证明他女儿原谅他。
[00:15:08.678–00:15:13.836] 好吧，我们就暂时可以用这个结局，老婆是回不来了，那那大哥可能也。
[00:15:14.374–00:15:17.708] 人也还行是吧？就长得泪里流气的。
[00:15:18.758–00:15:21.324] 就让他跟那大哥吧，但女儿可以回来。
[00:15:22.086–00:15:22.700] 不耽误啥。
[00:15:23.622–00:15:25.356] 那咱们这个故事是不是就完整了？
[00:15:26.854–00:15:27.692] 完整了吧。
[00:15:28.422–00:15:31.052] 因刚才现想的啊现想的那么。
[00:15:32.614–00:15:33.676] 我们捋一遍啊。
[00:15:34.790–00:15:35.724] 1个序练。
[00:15:37.062–00:15:37.836] 开场戏。
[00:15:38.598–00:15:40.588] 路边摊吃宵夜。
[00:15:41.254–00:15:42.924] 遇到歹徒行凶。
[00:15:43.846–00:15:44.364] 他不管。
[00:15:45.638–00:15:48.076] 这时候观众不知道他是警察啊，注意啊。
[00:15:48.902–00:15:51.596] 明白吗？明白这个处理方式吗？
[00:15:53.126–00:16:00.780] 我们写梗盖的时候，你上来就写这是个警察。但是在剧本中，在大纲中，这个信息是没有透露给观众的。
[00:16:01.350–00:16:03.148] 他就是一个穿着便服。
[00:16:03.974–00:16:06.860] 在路边摊独自喝酒的中年男人。
[00:16:07.718–00:16:12.108] 后面有人打架，他可能看了一眼几个歹徒很凶恶。
[00:16:12.582–00:16:15.788] 不想买单，非说是菜不好，欺负这对。
[00:16:16.582–00:16:17.356] 在路边。
[00:16:18.918–00:16:19.980] 打拼了这对。
[00:16:21.702–00:16:22.444] 小夫妻。
[00:16:23.590–00:16:27.852] 当然你如果想增加烈度，小夫妻旁边在跟着一位5岁的儿子。
[00:16:28.870–00:16:31.500] 正在地上玩泥巴，对吧？
[00:16:32.230–00:16:37.196] 然后被吓得直哭，别打我妈了，别打我爸爸，你看多可怜。
[00:16:37.862–00:16:44.396] 他就是不动心，这时候观众已经有点生气了，觉得哎这个老爷们儿怎么不帮忙？
[00:16:45.606–00:16:59.084] 你下面上再挑逗一下观众，让观众更生气，就是有人报警了，对吧？那个比如说那个摊主那个老板娘，那个女的报警了，报完警之后，他的对讲机响了。
[00:17:01.798–00:17:21.788] 对吧春秀路路口春秀路路口夜市摊有人闹事，附近单位火速前往，附近单位火速前往，所有人都投来有的人投来希望的目光，希望他抱帮助，有人投来好奇的目光啊，原来这是个警察，有的人偷来惊恐的目光，我操，这有个警察，我们是不是应该逃，结果他把对讲机一关？
[00:17:22.278–00:17:25.516] 又打了一瓶啤酒，又开了一瓶啤酒继续喝。
[00:17:26.086–00:17:27.724] 然后那些歹徒继续行凶。
[00:17:29.382–00:17:30.572] 一场戏结束。
[00:17:33.350–00:17:33.868] 结束。
[00:17:35.174–00:17:40.460] 对吧他在之前喝酒的时候，可以尝试给他老婆打电话，但不接。
[00:17:40.966–00:17:42.284] 不接明白吗？
[00:17:43.622–00:17:47.180] 给他女儿也打电话，不接发信息不接。
[00:17:52.134–00:17:52.844] 第二场戏。
[00:17:53.862–00:17:55.276] 去上门。
[00:17:56.614–00:18:00.556] 第二天一早宿醉，穿着之前的衣服，对吧？
[00:18:01.382–00:18:02.156] 然后呢。
[00:18:03.142–00:18:04.108] 跑去找他。
[00:18:04.998–00:18:09.804] 前天头天晚上不接他电话呀，找他老那个老婆和女儿。
[00:18:10.790–00:18:12.588] 结果受到重创。
[00:18:13.478–00:18:17.196] 老婆女儿不光不搭理他，还跟一对父子同居。
[00:18:18.054–00:18:29.580] 他家的女人都搞了，对吧？一个是我跟我结婚20年的老婆，一个是我他妈如花似玉豆蔻年华的女儿含苞。
[00:18:30.054–00:18:30.988] 再创了啊。
[00:18:32.422–00:18:34.188] 被一对父子小流氓给搞了。
[00:18:34.758–00:18:38.572] 父子小流氓溜溜溜起的，对吧？还住着我的房子。
[00:18:40.134–00:18:40.844] 多生气。
[00:18:42.822–00:18:44.780] 不生气，然后女儿问他要学费。
[00:18:46.950–00:18:50.668] 给你机会让你当个爹，让你当回人，你都当不了。
[00:18:51.430–00:18:52.972] 对吧我要上大学。
[00:18:54.086–00:18:56.972] 我要去读音乐学院，实现我的音乐梦想。
[00:18:58.342–00:18:59.916] 对吧？也也不给钱。
[00:19:01.094–00:19:01.580] 出点。
[00:19:02.630–00:19:03.404] 基励时间。
[00:19:04.902–00:19:07.820] 回到警局，本来他妈身上就没揣钱。
[00:19:10.598–00:19:15.052] 一个募捐箱往那咔一放，嗖100块钱，吓一跳。
[00:19:16.646–00:19:19.980] 哪有地震了吗？还是哪有受灾的？
[00:19:21.862–00:19:23.052] 有人英勇就义了。
[00:19:23.558–00:19:25.260] 牺牲了有战友牺牲了。
[00:19:26.342–00:19:29.388] 这有牺牲，你说不出话呀，但是仔细一听。
[00:19:30.406–00:19:32.140] 隔壁县的也不认识。
[00:19:33.446–00:19:34.476] 但是你得捐呀。
[00:19:35.462–00:19:43.980] 而且听说不光捐款，还有抚恤金，对吧？抚恤金是官方发的，捐款呢是战友们的心意。
[00:19:45.414–00:19:46.188] 不牢少钱。
[00:19:47.878–00:19:51.788] 你说自己啥啥也不会，啥也不是钱也没有。
[00:19:52.294–00:19:53.772] 被这个刺激了一下。
[00:19:54.726–00:19:55.724] 然后开始。
[00:19:56.422–00:19:58.732] 萌生了这个念头，说我还不如死了呢。
[00:19:59.878–00:20:00.716] 我还不如死了。
[00:20:02.022–00:20:09.420] 当然如果这里有点突兀啊，你写到这里，你会觉得他如果突然想要自我训知有点突兀，你可以在这里让他打击更大。
[00:20:10.310–00:20:14.604] 就是让他找他妻儿的时候，打击更大，然后甚至让他。
[00:20:15.366–00:20:16.620] 短暂的想寻死。
[00:20:17.606–00:20:22.924] 被彻底打击了，再加上借着酒劲儿，他想跳楼，你可以让他就在楼边站一会儿。
[00:20:23.750–00:20:25.772] 但是不敢跳，觉得他嘛。
[00:20:26.438–00:20:28.172] 胆子小，但是。
[00:20:28.806–00:20:29.804] 就埋下了。
[00:20:30.406–00:20:37.964] 他有可能会一死了之的火种，就是你在这里可以加一场，他走到楼天台边上或者天桥边上。
[00:20:38.726–00:20:50.220] 看了看，有时候觉得还不如一下跳下去，但是呢没敢跳。那么在这里这个激励事件就劲儿就会更大，就发现我既然都动过死的念头了。
[00:20:51.270–00:20:59.596] 我应该以身殉职更好呀。有钱呀，眼睁睁的看着别人，对吧？这都捐款呢，而且各种荣誉。
[00:21:00.966–00:21:01.772] 吉利事件。
[00:21:02.278–00:21:04.716] 然后进展这里就是多次无效尝试。
[00:21:07.110–00:21:08.044] 救火。
[00:21:08.870–00:21:14.700] 爬高对吧？高处有一个什么危机，有人要跳楼。
[00:21:15.238–00:21:16.620] 他冲到高处。
[00:21:19.302–00:21:27.404] 本来是想就是我把他推回去，救了他的命，然后我掉下去，结果往回一救人家，人家把他也拽进去了。
[00:21:28.646–00:21:30.892] 对吧就几次无效的尝试。
[00:21:31.750–00:21:32.684] 全部失败。
[00:21:34.630–00:21:37.292] 一次重大尝试，就是有人。
[00:21:38.118–00:21:43.116] 身上绑绑着炸弹，想做大坏事儿，想炸人想行凶。
[00:21:43.814–00:21:47.212] 然后呢，阵仗很大，这是第一次大场面啊。
[00:21:47.718–00:21:51.756] 各种警车、狙击手、特警队谈判专家。
[00:21:52.294–00:21:57.164] 对吧围观群众他本来是协警嘛，本来是周边。
[00:21:57.926–00:21:59.628] 这个这个负责蓝群众的。
[00:22:00.422–00:22:02.380] 想想去他妈的棍一扔。
[00:22:02.950–00:22:03.628] 冲上去。
[00:22:05.542–00:22:06.124] 冲上去了。
[00:22:06.758–00:22:08.108] 结果给这歹徒吓坏了。
[00:22:08.966–00:22:10.124] 给这逮徒吓懵了。
[00:22:10.694–00:22:11.468] 放弃抵抗了。
[00:22:12.006–00:22:13.356] 他莫名其妙成了英雄。
[00:22:14.054–00:22:25.516] 对吧在这因素发生改变了，他不再是个协警，不再是一个没有人理，没有人搭理的人了。他成了一个受表扬的、受表彰的身为正式。
[00:22:26.150–00:22:31.500] 警员的一个人，让他享受短暂的胜利，短暂的。
[00:22:34.918–00:22:52.012] 那叫什么虚假胜利嘛，虚假的胜利，虚假胜利很容易做啊。就是在这里，比如说你前面铺一个他们警察局的前那个接待处啊，或者是办公室办公那个总务处呀，办公室主任是个女的，本来呢不太搭理他，然后叫错他名字。
[00:22:53.158–00:23:10.700] 眼里也没有他，但是呢长得风韵犹存，他其实老喜欢多看人家几眼，现在突然对他刮目相看，对吧？觉得你是个英雄了呀，就是通过这种事儿，你前面插一笔在这里反一下，就可以让他享受这个虚假的胜利，享受的更。
[00:23:11.942–00:23:13.420] 更更更具象化。
[00:23:14.278–00:23:25.292] 然后这些虚假的胜利包裹着他，但这些始终都是虚假的呀。办公室那老娘们对你再线殷勤，他也不是你老婆，他也不是你女儿呀。但这虚假的胜利先让他享受享受。
[00:23:26.502–00:23:44.556] 甚至开始也有就是那个以前啊以前就是协警跟协警一块吃饭，警察跟警察一块吃饭，吃的东西也不一样。现在警察下班之后，我说哎，今天晚上上哪去吃涮肉，搓一顿，就是哎老张老王老李一块去啊，哎，一块儿。
[00:23:45.350–00:23:48.428] 然后他转头看看之前的协警兄弟们。
[00:23:49.542–00:23:58.732] 跟着警察那一堆去吃了，对吧？这这都是虚假胜利，这里可以加上这种戏。
[00:24:00.134–00:24:01.708] 那就然后呢。
[00:24:02.534–00:24:04.140] 呃，把这个虚假给他。
[00:24:04.934–00:24:06.924] 戳破把这个泡沫戳破。
[00:24:07.462–00:24:09.676] 呃，去去找他老婆孩子。
[00:24:11.046–00:24:16.140] 还是不搭理他，甚至更不搭理他了。因为交学费的日期已经过了。
[00:24:16.902–00:24:19.596] 而且你刚生，你也拿不拿不出现钱嘛。
[00:24:20.294–00:24:20.940] 他就会。
[00:24:21.702–00:24:22.796] 彻底的被。
[00:24:23.974–00:24:24.684] 击溃。
[00:24:27.014–00:24:29.708] 一切都是假的，并没有实质性的改变。
[00:24:30.278–00:24:33.900] 然后这时候最大的打击，我们说最大的打击。
[00:24:36.102–00:24:53.260] 需要来自于原罪，需要来自于他本身，不可能是说横空出来一个坏人，横空出来一个坏人，他没有那么大的愧疚感。我说了要知造愧疚感，那就用第一场他目睹，但是放掉的那一个歹徒或者是几个歹徒。
[00:24:53.894–00:24:54.572] 重新做完了。
[00:24:56.294–00:24:59.404] 烈度你们自己去掌握这几个人是。
[00:25:00.326–00:25:01.260] 杀了人了。
[00:25:03.206–00:25:04.684] 还是奸杀了少女了。
[00:25:05.542–00:25:07.276] 还是奸杀了好几个少女了。
[00:25:07.750–00:25:08.844] 还是就监了。
[00:25:09.798–00:25:10.252] 对吧？
[00:25:11.814–00:25:21.548] 你们掌握一下，反正这几个人做出了一个让他无法原谅自己，无法走出心里折磨的一件事情。
[00:25:22.758–00:25:29.356] 你通过你的共情，通过你对这个角色的共情，他进展到这里犯了一件什么事情？
[00:25:30.406–00:25:35.916] 让他觉得无法原谅。当然了，也有丧心病狂的编剧，直接让这几个人把他女儿强奸了。
