P035 十五课-节拍器15.2
[00:08:13.318–00:08:19.916] 在25分钟这里啊，你经过这个推动加争执，强烈的刺激。
[00:08:20.454–00:08:23.948] 激励实件吗？必然对你带来强烈的刺激啊。
[00:08:24.486–00:08:27.468] 自激完了以后，你终于决定。
[00:08:28.422–00:08:30.540] 开启你的过激行为了。
[00:08:31.078–00:08:32.940] 正常行为你试过了。
[00:08:33.702–00:08:37.004] 你不干或开始你的过激行为了。
[00:08:37.926–00:08:41.068] 开始过激行为，这个事儿呢一般来说是比较大。
[00:08:42.758–00:08:44.396] 或者是说是比较重的。
[00:08:46.598–00:08:48.652] 甚至有时候是铤而走险的。
[00:08:49.126–00:08:49.708] 对不对？
[00:08:50.502–00:08:53.036] 那么在这里是需要有一点。
[00:08:54.022–00:08:54.732] 仪式感。
[00:08:56.262–00:08:57.836] 就假设你是离家出走。
[00:08:58.694–00:08:59.692] 那么在这里。
[00:09:00.486–00:09:01.676] 必然会有一场。
[00:09:02.502–00:09:03.916] 披星戴月的戏。
[00:09:05.158–00:09:08.140] 就是夜黑风高，披星戴月，就是那种。
[00:09:08.742–00:09:10.476] 雄赳赳气昂昂的心。
[00:09:12.006–00:09:18.220] 你可以想象成就是如果是一个古代的片子，那这在25分钟必然有一场。
[00:09:18.982–00:09:20.652] 我们的男主角骑着马。
[00:09:23.206–00:09:24.492] 走进夕阳。
[00:09:25.158–00:09:26.220] 的那么一个镜头。
[00:09:27.974–00:09:29.612] 放着悲怆的音乐。
[00:09:31.398–00:09:36.908] 会在25分钟出现，啥意思啊？就是得有点仪式感，让你的观众。
[00:09:37.734–00:09:41.100] 明确的知道我的角色上路了。
[00:09:41.670–00:09:42.764] 他上路了。
[00:09:47.462–00:09:53.196] 就是他做出决定了，被刺激了以后，做出决定了，在这里要搞一点仪式感。
[00:09:53.862–00:09:56.140] 就是在25分钟这个衔金点在这里。
[00:09:59.014–00:10:04.076] 所以这个斯迈德是说他这里叫一个什么新生活新开端。
[00:10:04.806–00:10:08.492] 啊，就是这个意思，他在这里开启一段新的旅程。
[00:10:09.126–00:10:21.356] 这么想，他不一定是上路啊，我们不能总理解为公路偏啊，就走出去了。很有可能就是开始筹划干毒死他干嘛也可以嘛，他不一定要离家出走啊。
[00:10:22.982–00:10:27.628] 然后B故事在30分钟做，我就说啥叫AB故事。
[00:10:29.030–00:10:31.916] 啥叫B故事？那那就得先说成啥叫A故事。
[00:10:33.446–00:10:36.748] 在在在在在这个教学中，他们经常提AB故事。
[00:10:40.550–00:10:45.804] A故事就是你这个故事呃，你这个电影表面的那个故事。
[00:10:48.198–00:10:49.804] 以小蝌蚪找妈妈为例。
[00:10:51.238–00:10:52.876] A故事就是小蝌蚪。
[00:10:53.510–00:10:58.924] 这一路上去寻找自己的妈妈，这整个旅程叫A故事。
[00:11:00.550–00:11:02.060] 我们说小蝌蚪找妈妈。
[00:11:02.662–00:11:04.076] 是是呃。
[00:11:06.246–00:11:09.292] 想找的妈妈是动作，他的欲望其实是。
[00:11:10.502–00:11:31.164] 事是是证明自己的身世啊，找自己的身世呃想知道自己是谁。我说我在那一节课中我说过，他最后可以没有找到妈妈，但是呢他证明了自己的价值，完成了自己的蜕变，成为了一个有担当的小蝌蚪，拯救甚至帮助了朋友，拯救了危机，啥啥的。
[00:11:31.366–00:11:43.820] 就是他完成了自己的蜕变。然后在这个成长和这个自我价值的体现面前，我的妈妈具体是谁？我究竟是个蛤蟆还是个青蛙，已经不重要。
[00:11:46.758–00:11:47.948] 这个就是B50。
[00:11:49.222–00:11:56.940] B故事A故事是表面故事的进展，B故事是内人物内心的旅程。你可以这么去理解。
[00:11:57.542–00:12:00.876] 或者是说叫人物湖光啊，人物弧线吧。
[00:12:02.118–00:12:13.676] 就是闭故式，就是他人他内在的成长，他内在这个这个旅程，你可以理解为闭故事。所以在30分钟这里是闭故式的起点。
[00:12:14.918–00:12:22.924] 就B故是开始开开启了，因为他前面没有成长啊，明白这个意思吗？他前面其实没有成长，他在他在受迫害呀。
[00:12:23.718–00:12:24.716] 他在遭罪呢。
[00:12:25.478–00:12:25.964] 对吧。
[00:12:26.534–00:12:27.468] 他在遭罪呢。
[00:12:28.710–00:12:32.876] 我不是说过吗？我说那个那个你要你的人物可怜可信可爱吗？
[00:12:33.414–00:12:34.668] 你不就是在这儿做吗？
[00:12:35.782–00:12:45.164] 前25分钟，我跟你说，你都很多同学说老师我这没有事儿，我没有事儿可写，我这哪那么填这个空，可怜可亲可爱不够，你忙活了。
[00:12:45.958–00:12:47.596] 你在这我跟你说，你都忙不过来。
[00:12:48.454–00:12:52.780] 你有可能都写超了，25分钟你都拦不住你，你就得做减法。
[00:12:53.478–00:12:54.092] 对吧。
[00:12:54.566–00:12:57.164] 你你在这里你你的主角。
[00:12:58.246–00:13:00.012] 这这这有的事儿可以做了。
[00:13:01.830–00:13:04.076] 然后在30分钟的时候。
[00:13:04.902–00:13:07.468] 你的庇护是要开始起点的。
[00:13:09.030–00:13:17.548] 就是他比如说他假设是小蝌蚪找妈妈这个故事，那在30分钟这里，他就要开始有一些自我价值认知的觉醒了。
[00:13:19.782–00:13:21.676] 就他开始感觉到哎。
[00:13:23.078–00:13:23.628] 诶。
[00:13:24.262–00:13:25.324] 我好像有价值。
[00:13:26.470–00:13:42.604] 刚刚开始啊，还没有证明自己很大的价值，但是感觉到自己有价值了。在30分钟这里，所以他专门在这里点一下B故事的起点。因为他觉得这个很重要。但其实在我们讲时序列的时候，我们也没有把人物弧光，人物弧线放弃。
[00:13:43.462–00:13:54.700] 懂这个意思吗？所以并不是说他这个更细，它练成15个就牛逼了吗？哎，不对不对不对，咱们这节课尊重斯莱德节待器啊，我又给忘了，这里是闭故式的起点。
[00:13:55.398–00:14:00.972] 好吧，大家理解一下，然后游戏很多人不理解啊，啥叫游戏？
[00:14:01.798–00:14:07.948] 30到50分钟，顺便说一句啊，B故式的起点这里啊往往也是。
[00:14:10.022–00:14:11.116] 感情线的起点。
[00:14:12.646–00:14:21.516] 感情线的起点就说他如果你这个主角是一个人开始是一个人登场上路，那么他的爱情发生在。
[00:14:22.406–00:14:23.468] 必不是起待这里。
[00:14:24.070–00:14:26.764] 感情这，因为一般啊你的。
[00:14:27.238–00:14:34.252] 你如果把你的爱情做进故事里了啊，就是你这个故事里面你有涉计爱情的话，那么你这个人物成长是伴随着爱情的。
[00:14:34.822–00:14:50.092] 是伴随着爱情的，或或者伴随着感情的，伴随着兄弟情也可以。就是说因为你的人物成长也是需要个轨迹，需要个依托嘛。你是你如果是有有感情线的话，那在比谷时就要萌发了。要么是你这个爱情对象。
[00:14:50.886–00:14:51.436] 登场。
[00:14:52.198–00:14:57.196] 要不是你俩啊呃擦擦擦出点花，你正好也上路了嘛。
[00:14:57.830–00:15:18.332] 正好你们离家出走也上路了嘛？25分钟的时候离家出走了，到30分钟差不多。哎，第一次在外面过夜了嘛，在一个那个呃那个路边草房子里，对吧？就天降大雨，点上了一团篝火，然后说哥哥温了，然后脱了衣服给你烤一烤，就在30分钟这里烤，明白吗？
[00:15:18.438–00:15:20.204] 在30分钟内烤个火。
[00:15:20.774–00:15:23.436] 冷呀怎么办？那只能抱着取暖了。
[00:15:24.550–00:15:31.276] 好吧，这是呃这个B股市这个这个B股市起点，这里呃也是感情线的一个大点。
[00:15:31.750–00:15:33.548] 啊，这里多提一句啊。
[00:15:34.086–00:15:36.780] 游戏时间游戏时间是啥呢？
[00:15:37.478–00:15:39.180] 而且你看啊30到50。
[00:15:39.782–00:15:41.580] 20分钟的游戏时间呀。
[00:15:42.118–00:15:45.036] 25分钟的游戏时间怎么这么长呢？
[00:15:45.734–00:15:48.044] 这里是干啥？是泄力的。
[00:15:49.414–00:16:06.732] 我说过，你看啊，咱们前前面这个企啊其实是很很很沉重的对吧？然后呢，到了25分钟到30这一段呢，其实事儿也挺多的，你又要做仪式感，又要开启闭故式感情线，就你一直在给观众不停的在传达信息。
[00:16:07.526–00:16:08.524] 观众挺累的。
[00:16:09.318–00:16:10.252] 观众挺累的。
[00:16:10.790–00:16:13.932] 所以就是用20分钟的时间让观众休息。
[00:16:14.822–00:16:24.716] 用观众休息如何才能让观众休息啊？不是说让观众给观众看一些没用的东西，就让观众休息了。什么叫让观众休息？
[00:16:25.510–00:16:31.948] 我以前也讲过，所以说思老师这套东西我以前其实都讲过，什么叫让观众休息？
[00:16:33.542–00:16:34.156] 我在。
[00:16:34.854–00:16:36.300] 八要素的时候就是讲过。
[00:16:36.870–00:16:40.396] 就是什么啊？就是满足观众的预期。
[00:16:41.798–00:16:43.660] 符合观众的预期。
[00:16:45.094–00:16:47.340] 这就是要让观众去休息。
[00:16:48.006–00:16:49.164] 让观众休息。
[00:16:50.790–00:16:52.652] 就是所谓的游戏时间。
[00:16:56.550–00:16:58.220] 我们就以离家出走为例。
[00:16:59.590–00:17:03.116] 假设啊你跟别人说，哎，我给你讲一个。
[00:17:03.750–00:17:14.220] 有一个少少年，有个小伙嗯，12岁一个小男孩，后他他这个后妈对他不好，然后呢他。
[00:17:14.822–00:17:17.420] 离家出走了，他准备到远方。
[00:17:19.846–00:17:20.684] 找他亲吧。
[00:17:21.478–00:17:22.796] 比如说他发现一个线索。
[00:17:23.558–00:17:25.260] 大概知道他亲妈在哪。
[00:17:26.470–00:17:27.532] 菊次郎的夏天。
[00:17:28.134–00:17:30.060] 当然沮丧的夏天人没有后妈虐待。
[00:17:31.110–00:17:32.332] 我就说那他离家出走。
[00:17:33.606–00:17:37.132] 到一个远方的城市，从从一个小山村到一个远方城市。
[00:17:37.990–00:17:42.156] 来，我跟你说，我给你讲一个这样的故事，你脑子里面出现的第一个画面是什么？
[00:17:43.846–00:17:54.348] 你脑子里面出现的第一个画面是一个绿色的大山，一个蜿蜒的小路，然后一个孤独的小男孩，有小背影在那个小路上，你知道吗？甚至还拎着一个小包。
[00:17:54.854–00:17:56.428] 或许还带着一个草帽。
[00:17:57.126–00:18:03.340] 然后呢，就这么一个孤独的小背影，穿着一个白T恤，一个小短，一个蓝色的短裤。
[00:18:03.910–00:18:06.700] 拎着一个小包，脑子里想的就是这个。
[00:18:07.942–00:18:23.980] 对吧我说1个12岁的少年被人虐待，在一个小山村里，他要到远方的城市里去找他亲妈，独自上路。你脑子里有没有想到就是这个小男孩呃，在一个大山的一个蜿蜒的路上，一个背影，风餐露宿，对吧？
[00:18:24.518–00:18:26.540] 然后呢，赤路边的。
[00:18:27.494–00:18:28.364] 摘的玉米。
[00:18:29.286–00:18:30.252] 摘着苹果。
[00:18:31.558–00:18:34.636] 你脑子里面会想到这些第一时间想到的这些东西。
[00:18:35.590–00:18:37.964] 就是你对这个故事的期待。
[00:18:39.398–00:18:39.980] 就在这。
[00:18:40.902–00:18:44.652] 所以它叫游戏，哎，确实像游戏啊，摘苹果抓蚂蚱。
[00:18:45.126–00:18:52.364] 躲雨到呃因为离开家了，不能在浴室洗澡了，要在河里洗澡。
[00:18:53.414–00:18:57.548] 路边的河里瀑布，洗个澡，啊一下跳进去。
[00:18:58.790–00:18:59.916] 这不就是游戏吗？
[00:19:00.710–00:19:01.772] 游戏时间。
[00:19:03.622–00:19:12.012] 但是说游戏时间不太好理解，你就理解成什么啊，满足观众对这个戏这个题材的想象。
[00:19:13.318–00:19:14.892] 对这个题材的想象。
[00:19:18.118–00:19:18.732] 20度。
[00:19:21.318–00:19:28.268] 如果是一个那种片啊，还有经常不一定是做游戏啊。如果是一个我们说哎那个有一个。
[00:19:29.798–00:19:30.444] 嗯。
[00:19:31.590–00:19:41.260] 星仔要我们给你讲一个故事，一个送外卖的星仔，因为因为爱情要跟世界空手道冠军断水流大师兄打一架。
[00:19:43.046–00:19:45.772] 你脑子里想象的游戏时间一定是他在训练。
[00:19:46.310–00:19:55.308] 就说你这外卖仔怎么打打钻石流亚石油，因为他同他用中国股权法，你想的就是训练，所以30到50就是训练。
[00:19:56.550–00:20:01.740] 就是他在先练腿，再练手，再练吊在吊车上，然后再练无敌风火轮。
[00:20:02.214–00:20:03.500] 就是他的训练过程。
[00:20:04.422–00:20:06.092] 也相当于是游戏这过程。
[00:20:06.694–00:20:08.940] 所以在这一段呢，在这个过程。
[00:20:09.510–00:20:14.892] 一般还会配一些就节奏会快起来轻快，因为它信息量太少。
[00:20:15.942–00:20:20.044] 就是他对大剧情其实是没有帮助的，它是让观众休息的。
[00:20:20.518–00:20:24.524] 往往就是它出镜头会比较快，甚至配一些比较欢快的。
[00:20:24.998–00:20:26.348] 呃，背景音乐。
[00:20:27.014–00:20:29.452] 就知道一下啊，这就是所谓的。
[00:20:30.214–00:20:39.244] 游戏时间啊，对，这个斯戴德先生的教材里面啊，对这个游戏时间还有一个有趣的描述，就是他说就是拍你电影海报上的画面。
[00:20:39.974–00:20:41.996] 说的挺准的。
[00:20:42.566–00:20:49.580] 说的挺准的，你知道吗？就是你海你这个电影海报的画面不就是观众对你这个电影的想象。
[00:20:50.054–00:20:55.628] 那个小孤嘟的小男孩在这个小山路上拎了一个小包，是不是背这个小双肩包？
[00:20:56.550–00:20:58.060] 孤独的小男孩，一个小背影。
[00:20:58.790–00:21:05.420] 你拍1个12岁小男孩离家出走的电影，因为后妈打他离家出走的电影，你的海报一定是这个。
[00:21:06.214–00:21:11.628] 一定是他一个弱小的小背影，然后背这个小包在那个一条蜿蜒的小路上。
[00:21:12.198–00:21:20.044] 跋设那条路一直通往天边，跟跟蓝天相连，对不对？你一定要找一条这样的路。
[00:21:20.518–00:21:21.708] 还一个小男孩的背影。
[00:21:23.174–00:21:32.076] 他如果有伙伴，那就拉着一个那个他妹妹的小手更可怜，对不对？所以赛德先生说游戏时间就是拍你的海报。
[00:21:32.582–00:21:35.820] 来，围着你的海报拍也是对的。
[00:21:36.326–00:21:36.876] 对的。
[00:21:37.734–00:21:38.284] 海报。
[00:21:39.366–00:21:46.188] 这个说法也很有趣啊。然后我们说55分钟的时候，你看253055分钟终点。
[00:21:47.174–00:21:47.948] 重点。
[00:21:49.766–00:21:52.684] 我们在实序列中，我们管终点叫转折点。
[00:21:54.534–00:21:55.340] 转折点。
[00:21:57.414–00:22:01.132] 确实呀在这里要转折了呀，你他妈爽到现在了。
[00:22:01.606–00:22:02.604] 那还爽吗？
[00:22:03.590–00:22:04.524] 闯到头了。
[00:22:05.478–00:22:06.252] 爽到头了。
[00:22:08.710–00:22:14.348] 所以5分55分钟这个打点，斯耐德先生管他叫终点，然后他对这个终点的定义。
[00:22:15.494–00:22:17.324] 他的原话叫伪胜利。
[00:22:20.166–00:22:20.908] 伪胜率。
[00:22:22.534–00:22:24.780] 其实也就是虚假的成功。
[00:22:25.542–00:22:26.540] 你可以这么理解。
[00:22:27.270–00:22:32.492] 虚假的一个小甜头，阶段性的一个小成果，但是是假的。
[00:22:37.702–00:22:38.924] 就是你。
[00:22:41.574–00:22:43.788] 如愿以偿一件事情。
[00:22:44.326–00:22:48.652] 假的胜利，你开始追求一个虚假的一个东西，先得到。
[00:22:54.054–00:22:56.140] 然后在菊次郎的夏天里面。
[00:22:56.710–00:22:59.436] 在这里基本上他就是到了目的地了。
[00:23:00.710–00:23:01.836] 他不是要找他妈吗？
[00:23:03.462–00:23:05.772] 到城里去找他亲妈妈。
[00:23:10.374–00:23:12.204] 但是他的亲妈并不是。
[00:23:15.686–00:23:16.716] 他听说的那样。
[00:23:18.182–00:23:18.924] 呃，在。
[00:23:19.942–00:23:22.700] 城里打工挣钱，为了养活他。
[00:23:23.718–00:23:24.844] 他起码早就不咬他。
[00:23:26.598–00:23:28.268] 早就又生小孩了。
[00:23:29.414–00:23:30.316] 也是个小男孩。
[00:23:32.006–00:23:39.820] 因为他们起妈已经不要他了，他起妈知道他在农村也从来不去看他，他起妈也不苦，过着很好的生活，住打别墅。
[00:23:40.838–00:23:41.324] 所以。
[00:23:42.374–00:23:47.276] 这里就是一个虚假的胜利，就是在55分钟里找到他起码了。
[00:23:50.054–00:23:50.604] 找到他去。
[00:23:51.526–00:23:52.076] 虚假的。
[00:23:52.646–00:23:53.132] 这利。
[00:23:55.366–00:24:01.676] 当然这是一种处理方式啊，还有常见的处理处理方式，就是在这里嗯获得了一个。
[00:24:02.214–00:24:04.492] 短暂的甜头，但是辜负了朋友。
[00:24:05.126–00:24:09.036] 就你我两个人上路的，在这里基本上跟你朋友闹掰了。
[00:24:09.734–00:24:10.924] 因为选择闹掰了。
[00:24:11.622–00:24:14.540] 比如说面对一个选择，你认为。
[00:24:15.270–00:24:17.484] 哎，这里嗯。
[00:24:18.534–00:24:19.468] 这于这个。
[00:24:20.134–00:24:21.260] 走这条路更好。
[00:24:22.086–00:24:24.172] 对吧走这条路有几个人愿意帮我？
[00:24:25.190–00:24:36.172] 他们这个这个这个可以帮我快速的实现后面的目标。然后但是你的朋友不同意，你的朋友说那几个人不像好人，你不要跟他们走。
[00:24:36.934–00:24:37.996] 但是你不听。
[00:24:38.726–00:24:39.468] 然后呢。
[00:24:40.038–00:24:43.468] 就跟那几个人走了，你在这里辜负了朋友。
[00:24:44.390–00:24:49.452] 但这这里是一个虚假的胜利，为什么？是因为你的选择战胜了你朋友的选择，你把它说服了嘛。
[00:24:49.958–00:24:51.052] 所以你们选择了。
[00:24:51.686–00:24:53.804] 这条路径你认为对的路径。
[00:24:55.302–00:25:03.276] 这也是一种虚假的胜利。终点就你跟你朋友打打闹闹很欢乐。到这里的时候，有一个虚假的胜利，就是你你。
[00:25:03.846–00:25:08.172] 你做出的选择是你认为是对的，然后听了你的。
[00:25:08.774–00:25:18.892] 但是埋下了原罪，埋下了伏笔，而且你伤害了朋友，这也是一种处理方式，但这这也不绝对啊。我就说在终点这里啊一般会遇到什么事儿。
[00:25:22.662–00:25:26.700] 所以在这里啊就是一个假胜利，但是要埋伏笔埋伏笔。
[00:25:27.398–00:25:29.036] 这就是到55站。
[00:25:29.894–00:25:33.260] 然后接下来又是1个30分钟，都有啥呢？我们说。
[00:25:33.862–00:25:37.548] 这里是55，所以这到这里是85啊，我们说。
[00:25:40.006–00:25:41.388] 55到75。
[00:25:42.054–00:25:43.436] 叫坏蛋逼进呢。
[00:25:47.462–00:25:50.764] 坏蛋逼竟他他说是55到75。
[00:25:55.142–00:25:56.556] 55到75。
[00:25:57.158–00:26:01.292] 然后一无所有，那75这里就一无所有了。
[00:26:06.246–00:26:07.660] 75这里就一无所有了。
[00:26:08.230–00:26:11.052] 坏蛋过来75分钟把你干到。
[00:26:12.198–00:26:12.908] 干趴下。
[00:26:13.670–00:26:17.676] 然后75到85就是到85，这儿75。
[00:26:18.694–00:26:19.500] 到85。
[00:26:20.262–00:26:22.348] 这里就是我们经常说的。
[00:26:23.270–00:26:24.460] 灵魂黑夜。
[00:26:26.214–00:26:29.388] 就是经常会提到的灵魂黑夜，就是在这10分钟。
[00:26:32.070–00:26:41.388] 所以在这个转这里啊，为什么叫转啊？就是情况急转直下，这里是情况是昂扬向上的，转这里情情况急转直下。
[00:26:42.790–00:26:59.980] 首先55到275有个长达20分钟的坏蛋逼近，在这里可以是有战斗的啊，不不一定非得是偷偷逼近，可以是有摩擦，可以开始逃，对吧？气氛开始紧张起来了，一一次、两次、二次三次的来来呃给你。
[00:27:00.550–00:27:02.924] 我们说坏蛋其实就是给你阻力嘛。
