P029 十三课-电视剧13.2
[00:01:42.822–00:01:48.812] 以前是美剧并没有很牛逼啊，咱们是这几年觉得啊这么这那么多好看的美剧，以前并不牛逼。
[00:01:50.022–00:01:50.892] 这几年。
[00:01:51.494–00:01:59.884] 你像罪业之奔开始，然后纸排污啊，权利的游戏啊，美剧已经完全就是电影的级别，电影的规格。
[00:02:01.158–00:02:02.060] 非常的好看。
[00:02:04.582–00:02:12.012] 而且这是世界范围内的。你看韩剧，韩剧你一直就很强，但是曾经我们可以跟他并驾齐驱的。
[00:02:12.774–00:02:19.340] 现在他他远远的甩掉我们了。你看这几年呃，韩军的请回答系列。
[00:02:20.934–00:02:23.404] 前几年的什么星星的你之类的。
[00:02:24.838–00:02:26.764] 都是亚洲范围内。
[00:02:27.558–00:02:28.652] 大火的剧啊。
[00:02:29.286–00:02:31.564] 他们的制作水准，他们的制作理念。
[00:02:34.054–00:02:35.724] 已经远远把我们甩掉了。
[00:02:37.510–00:02:40.172] 已经远远把我们甩掉了。所以说世界范围内。
[00:02:41.350–00:02:42.636] 连续剧的市场。
[00:02:43.750–00:02:46.092] 在蓬勃的发展非常的厉害。
[00:02:47.430–00:02:51.724] 但是中国的电视剧这几年萎缩的很厉害。
[00:02:52.550–00:02:54.764] 那同学肯定就要问了，为什么萎缩了？
[00:02:55.430–00:02:56.908] 老师，你给说说呗。
[00:02:59.238–00:03:02.060] 我还在行业中啊，我又没有退休。
[00:03:02.534–00:03:04.716] 你让我说这个事儿。
[00:03:05.190–00:03:07.020] 不太好说，为什么萎缩啊？
[00:03:10.726–00:03:11.276] 说一下。
[00:03:13.254–00:03:14.412] 我认为审查。
[00:03:15.558–00:03:16.652] 是很重要的一个原因。
[00:03:17.734–00:03:18.572] 我不是说。
[00:03:19.622–00:03:21.996] 首先我声明一下，我不是说电视剧不用审查。
[00:03:23.718–00:03:24.748] 我也不是说。
[00:03:25.766–00:03:28.396] 审查太严，让电视剧变得质量太差。
[00:03:29.606–00:03:30.572] 我没有这个意思。
[00:03:31.590–00:03:32.876] 我想说的是什么呢？
[00:03:34.150–00:03:36.556] 审查现在不明确。
[00:03:37.382–00:03:37.836] 导致。
[00:03:40.070–00:03:43.116] 这才是最大的问题。就说审查不怕严。
[00:03:44.006–00:03:50.956] 所有的从业人员或者说很多从业人员观点都跟我一样的啊，就审查不怕严，你拿出文来。
[00:03:52.358–00:03:54.668] 明文规定，比如说第一条。
[00:03:55.366–00:04:04.396] 不许小三上位，第二条不许穿越，第三条不许呃篡改历史。第四条什么？就你如果明确出来。
[00:04:07.014–00:04:07.852] 那也没问题。
[00:04:08.614–00:04:15.980] 那也有法可依。现在其实状况是什么啊？现在其实状况是没有一直没有很明确的。
[00:04:16.710–00:04:17.292] 规定。
[00:04:18.374–00:04:23.180] 网上经常传说，广电今年1有10个禁令，或者是有什么样的。
[00:04:24.134–00:04:27.724] 那些其实都不是红头文件，都真的就是网传而已。
[00:04:29.798–00:04:30.572] 但是呢。
[00:04:32.166–00:04:34.956] 也绝不是无中生有，明白这个意思吗？
[00:04:35.462–00:04:38.188] 比如说今年不提倡，说不提倡穿越。
[00:04:38.790–00:04:40.588] 来，你作为一个民营的。
[00:04:42.118–00:04:44.396] 制作单位你穿越，你今年敢拍吗？
[00:04:45.318–00:04:48.044] 一拍一亿花进去，然后全部打雪漂。
[00:04:48.774–00:04:50.732] 所有参与的公司全部被破产。
[00:04:51.398–00:04:52.364] 全部都被扩产。
[00:04:53.190–00:04:54.348] 多少人倾家荡产？
[00:04:55.334–00:04:55.980] 你敢拍吗？
[00:04:56.582–00:04:57.132] 就这个问题。
[00:04:58.918–00:05:03.980] 所以说咱这儿就不多说了，好吧，因为关于审查啊，我是。
[00:05:05.766–00:05:07.596] 我是经历很很丰富的啊。
[00:05:08.230–00:05:09.964] 我经常到广电去。
[00:05:11.846–00:05:12.460] 什片子。
[00:05:13.542–00:05:16.364] 我还记得我第一次去送审的时候啊，给大家讲个小故事。
[00:05:16.902–00:05:18.252] 我第一次送审的时候。
[00:05:18.854–00:05:21.772] 当时上海我从上海到北京广电。
[00:05:23.526–00:05:26.156] 两个片子从上海一块过来，一个是我们。
[00:05:26.726–00:05:27.692] 还有另外一个片子。
[00:05:28.806–00:05:29.324] 然后。
[00:05:30.246–00:05:32.012] 拿到拿到意见之后呢。
[00:05:32.518–00:05:33.804] 我愁眉不展啊。
[00:05:34.662–00:05:42.412] 我觉得哎呀我的天哪，这哎呀，这是审查意见，我记得非常清楚，16页纸手写的正反面。
[00:05:43.526–00:05:45.740] 手写的正反面，当时有什么？
[00:05:47.174–00:05:47.564] 干部。
[00:05:48.646–00:05:49.356] 他手写。
[00:05:50.406–00:05:53.260] 十6页纸，然后跟我一块出来的呢。
[00:05:54.022–00:05:56.332] 一个片子，然后我就问他，我说你的。
[00:05:56.870–00:05:57.836] 这审查意见。
[00:05:58.662–00:06:01.100] 怎么这么单薄啊？他说对，就一张。
[00:06:01.766–00:06:04.012] 我还说我的天哪，你太幸运了。
[00:06:04.774–00:06:10.284] 那个我这儿你看，哎呀，我天哪，16页我怎么弄啊，正反面。
[00:06:11.366–00:06:12.588] 然后那个老师呢。
[00:06:13.670–00:06:18.572] 他就跟我说，他说小伙子，你是第一次审片吧，我说我对啊，我是第一次。
[00:06:19.334–00:06:21.708] 他说那你就真不懂了，他说你这个片子过了。
[00:06:22.662–00:06:34.572] 我说为啥呀？说说你别看你十6页纸，16页纸恰恰是写了修改意见，怎么修改？你虽然改起来很心痛，会把很多地方改的不精彩，但是至少可以改。
[00:06:35.174–00:06:40.652] 我这一张纸，你看看写了什么，不建议播出。
[00:06:41.862–00:06:42.284] 嗯。
[00:06:43.078–00:06:45.164] 后来他那部片子真的就没审过。
[00:06:46.278–00:06:48.652] 没审过那部片子叫蜗居。
[00:06:50.694–00:06:51.404] 叫蜗苣。
[00:06:54.406–00:06:59.436] 没审过没办法呀，然后拿回去改，然后那个送地方。
[00:07:00.134–00:07:03.180] 没有上卫星，蜗居等于是帝王台播的。
[00:07:04.710–00:07:06.988] 他没有拿到上星的牌照。
[00:07:08.998–00:07:10.476] 哎呀，所以你说。
[00:07:12.358–00:07:13.356] 这个审查呀。
[00:07:15.206–00:07:26.892] 确实是我们当时在审查意见啊呢，这十六爷子，我给你给你讲几个例子，亲嘴肯定不能亲，这就别说了啊，就写了多细啊，就没有明文规定说电视剧不许亲嘴儿。
[00:07:27.558–00:07:30.540] 其实一直没有这个规定，但时就给。
[00:07:31.078–00:07:32.684] 写出来了，说这里低俗。
[00:07:33.158–00:07:39.820] 对吧，然后就去讨价还价，说那我拍个后脑勺，拍后脑勺，最后商量的是必须是醇厚。
[00:07:40.582–00:07:41.676] 明白这个意思吗？
[00:07:42.502–00:08:01.516] 就说我稍微侧一点，带到一点对方的脸表达一下，这是亲嘴，不可以，只能拍醇厚。我说醇厚，你还能看出这是在亲嘴吗？完全挡住了另外一个演员了，你懂我意思吧？后来只能保留那样的镜头，还有什么？就马桶不能拍。
[00:08:02.278–00:08:03.340] 我有一场戏。
[00:08:03.846–00:08:15.916] 这个这个男女主角因为来人了，然后他们躲在马桶里，呃，不是躲在马桶里，躲在厕所里，躲在厕所里，等于是被被困在厕所了。困在厕所呢在厕所这场戏。
[00:08:16.966–00:08:18.252] 肯定会带到马桶嘛。
[00:08:19.398–00:08:22.668] 然后呢，这个修改意见里面说这场戏。
[00:08:24.934–00:08:25.420] 不雅。
[00:08:26.246–00:08:33.932] 这议删掉，然后我呢就当时我年轻啊，特别不份儿，我还跟他讨价还价，我说我没有拉屎呀。
[00:08:34.598–00:08:40.844] 对不对？我没有上厕所呀，我只是困在厕所里，厕所里有个马桶。
[00:08:41.350–00:08:55.116] 角色因为被困在厕所里时间很长，所以他会在麻桶上转一会儿，但是没有掀盖，你明白我意思吗？我也没有拉屎。而且我认为啊上厕所就电视剧中即便偶然出现上厕所。
[00:08:56.358–00:09:00.140] 我只要不对着拍，里面上了点什么东西。
[00:09:00.934–00:09:02.348] 我觉得也无上大雅。
[00:09:04.774–00:09:06.156] 更何况我没上啊。
[00:09:07.110–00:09:10.444] 然后就跟后来的不行，还是删掉了这场戏。
[00:09:11.750–00:09:12.812] 审查就是。
[00:09:13.990–00:09:14.444] 这样。
[00:09:15.206–00:09:16.140] 这不叫演。
[00:09:16.742–00:09:20.364] 因为我跟你说，你去看电视剧，有有的时候会出现马桶。
[00:09:20.934–00:09:22.924] 会出现甚至坐在马桶上都有。
[00:09:23.718–00:09:24.204] 会的。
[00:09:27.270–00:09:29.548] 所以说他有时候他不是盐的问题。
[00:09:30.438–00:09:31.660] 他是不统一。
[00:09:32.678–00:09:43.276] 你如果说真的是来假设有一本书这么厚都没有关系，说是中国电视剧省片规则大全，上面有写马桶不能出现。
[00:09:44.262–00:09:49.164] 或者是马桶出不能出现超过呃3秒钟，没问题。
[00:09:50.086–00:09:51.468] 你你可以。
[00:09:51.974–00:09:52.556] 可以呀。
[00:09:53.702–00:09:54.284] 可以呀。
[00:09:57.286–00:09:58.828] 但问题是没有这个规定。
[00:09:59.526–00:10:02.284] 那你拍了，如果这场戏就恰好很重要。
[00:10:05.638–00:10:08.716] 所以这里我就不多说了啊，反正我就告诉你。
[00:10:09.638–00:10:12.396] 有很多这个外行人觉得。
[00:10:12.966–00:10:16.172] ，你们就会找审查的理由，老说是审查审查。
[00:10:17.030–00:10:18.252] 审查真的挺。
[00:10:19.014–00:10:19.788] 挺头疼的。
[00:10:20.934–00:10:22.668] 不是嫌他严。
[00:10:23.974–00:10:24.684] 他没有。
[00:10:25.702–00:10:26.412] 明确的。
[00:10:27.782–00:10:30.252] 你就像穿越剧，我们又说了。
[00:10:30.758–00:10:32.652] 去年还是前年那个庆余年。
[00:10:33.318–00:10:35.404] 挺火的吧，至少当时来说挺火的。
[00:10:36.454–00:10:37.516] 很多人都说多牛逼。
[00:10:40.486–00:10:41.516] 当时那一年。
[00:10:43.014–00:10:44.396] 是说不提倡穿越的。
[00:10:46.022–00:10:47.020] 不提倡穿越。
[00:10:48.422–00:10:53.324] 但是穿越剧是刚需，我就这么跟你说吧，穿越剧是网剧的刚需。
[00:10:55.750–00:10:57.324] 什么时候拍，什么时候有人愿意看。
[00:11:00.902–00:11:02.124] 别人都不不不能拍。
[00:11:02.854–00:11:03.436] 就他上了。
[00:11:05.510–00:11:06.604] 这就是标准不同一。
[00:11:08.262–00:11:11.692] 当然可以说青云年拍的也不错，挺好的对吧？
[00:11:14.054–00:11:14.572] 但是。
[00:11:15.174–00:11:15.948] 你怎么说呢？
[00:11:16.774–00:11:20.332] 就像咱们一块去钓鱼，一块儿去一个地方钓鱼。
[00:11:21.702–00:11:24.908] 都知道那个坑鱼多鱼大好钓。
[00:11:25.958–00:11:38.316] 不让我们去钓啊，就他一个人在那钓，然后我们在一个很浅的水流很急的那个小河这小河里钓，那我们钓上来确实就是小泥鳅呀。
[00:11:39.046–00:11:43.692] 他钓上来一个这么大的鱼，然后你能说啊，人家你看人家这技术真棒。
[00:11:44.614–00:11:53.868] 不是这么说，我没在那个坑里掉了呀，是不是这个不多说了啊，说多矫情。我就告诉你告诉你说现在中国电视剧。
[00:11:54.982–00:11:55.500] 非常差。
[00:11:56.070–00:11:57.676] 低谷，而且。
[00:11:58.694–00:12:04.300] 是不正常的低谷。因为因为从世界范围内来说，电视剧正在经历。
[00:12:04.806–00:12:07.756] 非常上扬的一个发展期，在蓬勃的发展。
[00:12:09.510–00:12:14.060] 为什么蓬勃的发展？哎，你说国外的电视剧为什么这两年蓬勃的发展？
[00:12:15.078–00:12:17.516] 就是因为现在电视剧不是广告的弟弟了。
[00:12:19.142–00:12:23.308] 为什么电视剧在向电影看齐，他的制作规格越来越像电影了呢？
[00:12:24.294–00:12:26.092] 因为电视剧的观看方式也。
[00:12:26.694–00:12:27.724] 也像电影了呀。
[00:12:28.198–00:12:33.452] 越来越像了呀，你现在看电视剧是主动观看的呢，不是。
[00:12:34.406–00:12:46.476] 人家强迫你看的不是人家呃给你打麻药，让你看广告，你想看什么电视剧，你点播什么电视剧，你是自主选择了，这一点跟电影一样了吧？自主选择啊。第二。
[00:12:47.174–00:12:48.428] 你甚至付费了呀。
[00:12:49.062–00:12:51.372] 你想看那电视剧，你开始要花点钱了吧。
[00:12:51.846–00:13:01.292] 你付费看电视剧，看电影也是付费吗，又跟看电影又一样了。第三，你的观看设备越来越大，那个分辨率越来越高。
[00:13:02.086–00:13:02.988] 看的很清楚。
[00:13:03.846–00:13:08.588] 声音也越来越好，不是我小时候看的那个那个那个。
[00:13:09.222–00:13:11.564] 像微波炉一样的电视机啦。
[00:13:12.518–00:13:12.940] 对吧。
[00:13:13.510–00:13:27.468] 所以你一切的体验开始向电影看齐了。那你的制作规格、制作内容就我所以我说电视剧一直在发展变化，它在根据这个这个呃时代的不同，形态在发展变化。
[00:13:28.262–00:13:33.804] 就是这个原因，他他现在就是牛逼起来了，电视剧就是牛逼起来了。
[00:13:36.390–00:13:39.084] 所以你看以前多么高傲的那些。
[00:13:39.686–00:13:41.932] 所谓的骑实链说永远不碰。
[00:13:42.630–00:13:48.492] 电视剧的那些电影演员或者电影导演，他们没有碰电视剧，他们直接拍网剧了。
[00:13:49.542–00:13:50.540] 是吧。
[00:13:51.622–00:13:53.484] 因为时代不同了。
[00:13:54.438–00:13:59.884] 它就一样了。所以说电视剧一直在变化，好吧，这就是电视剧的现在的情况。
[00:14:00.486–00:14:03.116] 国内很低，但是国际上在迅猛的发展。
[00:14:03.590–00:14:07.628] 肉眼可见的牛逼啊，美剧韩剧你看这几年非常厉害。
[00:14:10.022–00:14:14.508] 那说完这些，我们说那第咱们中国电视剧还有未来吗？
[00:14:15.046–00:14:16.076] 就咱们。
[00:14:16.902–00:14:20.556] 还在那叭叭学电视剧的写法呢，中国电视剧还有未来。
[00:14:23.846–00:14:24.652] 非常有。
[00:14:25.510–00:14:26.412] 百分之百有。
[00:14:26.982–00:14:29.100] 我跟你说，电视剧的未来在哪？
[00:14:29.926–00:14:30.732] 就在。
[00:14:31.686–00:14:33.580] 未来就在技术变革。
[00:14:34.246–00:14:37.036] 之中，每次技术变革都是机会。
[00:14:38.118–00:14:38.924] 啥意思啊？
[00:14:40.870–00:14:42.860] 就是电视剧现在。
[00:14:43.366–00:14:54.732] 他理应的就是从国际上来看，他应该达到的水平在这儿。但是中国的电视剧水平现在在这儿，中间这个巨大的差距就是巨大的势能啊。
[00:14:55.654–00:15:00.076] 它是巨大的机会，你懂我意思吧？勤劳勇敢的中国的劳动人民。
[00:15:00.582–00:15:01.356] 怎么会。
[00:15:01.894–00:15:06.188] 做事不管呢，肯定会把这个巨大的吃能和机会给他吃掉的呀。
[00:15:06.854–00:15:10.188] 一定会的，但是机会出在哪呢？就出在。
[00:15:11.910–00:15:13.132] 技术变革的时候。
[00:15:14.342–00:15:17.708] 现在我们就面临着很多技术变革呀，短视频出来了吧。
[00:15:18.726–00:15:19.916] 5G马上来了吧。
[00:15:20.838–00:15:27.884] VR也马上起来了吧，这些就是技术变革呀，技术变革就永远带来内容的变化，内容的机会。
[00:15:29.222–00:15:31.436] 我就是通过技术变革入行的。
[00:15:32.742–00:15:35.564] 我拍戏的时候啊，我刚拍戏的时候。
[00:15:36.902–00:15:38.252] 当时刚有视频网站。
[00:15:39.878–00:15:40.716] 明白这意思吗？
[00:15:41.254–00:15:44.652] 当时刚有优酷啊这些视频网站还没爱奇艺呢。
[00:15:45.734–00:15:46.604] 刚刚有视频网站。
[00:15:47.686–00:15:48.364] 但是。
[00:15:49.062–00:15:50.924] 视频网站是没有钱的。
[00:15:51.782–00:15:57.132] 他是不会买你的剧的，你的电视剧还你的剧还是要送到电视台。
[00:15:57.638–00:15:58.764] 但视频网站呢。
[00:15:59.334–00:16:01.548] 视频网站会干嘛呢？视频网站会。
[00:16:02.278–00:16:03.404] 当时那叫什么？
[00:16:04.230–00:16:04.908] 就盗版。
[00:16:05.606–00:16:13.292] 明白这意思吗？他就拿去播，他不给你钱，他拿去播。然后大部分的电视剧呃是起诉他们。
[00:16:14.566–00:16:22.764] 跟他们干知道吧？跟网站干，然后网站就耍赖，我还是我不管，我没钱，就网站刚出来的时候。
[00:16:23.750–00:16:44.636] 就就就那肯定耍赖，一个东西刚出来的时候都是耍赖的，淘宝刚出来的时候也耍赖卖假货，对吧？就就就硬卖呗，你能拿啥怎么着？然后那个呃视频网站刚出来的时候就是放盗版，就播盗版，你能拿啥怎么着，很不受待见。圈子人员人还抵制人家呢，抵制视频网站，哎呀这些。
[00:16:44.774–00:16:45.516] 什么呢？
[00:16:46.182–00:17:05.420] 我呢当时刚入行，我们的剧呢反其道而行之。为啥？因为我们在电视台不受待见，然后我们就去找那些网站说哎哎哎哎，别跑别跑回来，哎呀，不是打你，你回来啊，有库人啊，不是打我啊，你有什么事，不说你不是在放我们的剧吗？
[00:17:05.958–00:17:07.852] 你放我们的剧的时候，你不需要点。
[00:17:08.454–00:17:09.836] 宣传资料啊。
[00:17:10.438–00:17:14.764] 这个这个海报呀、演员的采访呀，你不需要吗？
[00:17:15.366–00:17:16.172] 他说啊。
[00:17:17.894–00:17:18.668] 可以吗？
[00:17:19.238–00:17:38.380] 我说怎么不可以呀，来吧，给你呀，我把演演员也不出名呀。当时我说你把演员叫来就一块上节目，一块整起来呀，是不是我说啊，是啊？我说还有你那你那放的那些片儿，那都从电视台翻录的那什么清晰度啊？我把高清的素材给你呀。
[00:17:40.102–00:17:45.964] 对吧然后就呃跟网站建立个紧密的合作，而且我印象非常之深。
[00:17:47.334–00:17:48.364] 电视台后来。
[00:17:49.958–00:17:51.788] 实在是可能是不好意思了啊。
[00:17:52.774–00:17:59.308] 可能时代也到那儿了，就是他们开始有点钱了，有点版权意识了。他说那样这样吧，我一级给你15000。
[00:18:00.774–00:18:03.756] 一集15000就一集电视剧给我们15000的。
[00:18:04.454–00:18:05.324] 版权费。
[00:18:06.054–00:18:11.660] 这对于一个电视剧来说就可以忽略不计，你知道吧？一级15000啊，一级15000够干嘛呢？
[00:18:13.702–00:18:14.412] 然后呢。
[00:18:15.430–00:18:17.708] 我记得非常清楚，就是一级1500。
[00:18:18.502–00:18:19.436] 建立了合作。
[00:18:20.966–00:18:22.764] 然后后来呢我们又又拍一部。
[00:18:24.102–00:18:25.388] 又拍下一季的时候。
[00:18:26.406–00:18:27.788] 然后呢，这家网站又来找我们。
[00:18:28.326–00:18:33.356] 说哎，你们要拍下季了，说对对对的，但是还没开始拍呢，他说没没关系。
[00:18:34.022–00:18:35.180] 现在就签合同。
[00:18:36.038–00:18:40.492] 我说那着什么急啊，他说那就没事啊，咱们老朋友了，现在签呀。
[00:18:41.318–00:18:43.756] 说那多多少钱一集啊？
[00:18:45.062–00:18:47.372] 我给大说真实数字啊，我那说。
[00:18:48.326–00:18:49.548] 150万亿级。
[00:18:50.502–00:18:53.164] 你知道当时电视台收电视剧。
[00:18:53.702–00:18:54.956] 是一级20万。
[00:18:56.262–00:19:00.012] 四个电视台就给你80万，明白这意思吗？因为是四星联播嘛。
[00:19:02.278–00:19:04.844] 三星或四星啊，卖有时候卖不了四星。
[00:19:05.574–00:19:06.124] 然后呢。
[00:19:06.630–00:19:08.364] 他给你150万亿级。
[00:19:09.990–00:19:10.764] 天价。
[00:19:11.558–00:19:12.812] 就惊了，你知道吗？
[00:19:13.862–00:19:17.932] 然后我就说我天哪，你这是发了呀，视频网站的。
[00:19:18.694–00:19:22.892] 潮流来了，你知道吗？但我们外界还没有感受到他们。
[00:19:23.622–00:19:25.804] 的时代来了，他们可能内部感受到了。
[00:19:26.374–00:19:35.884] 然后我就说那赶紧签呀，150万卖给他了，然后条约那合约啊也没怎么仔细看。那因为真金白银啊，有什么好聊的，人家给你钱呀，就签了。
[00:19:38.022–00:19:39.148] 但是我们当时还没拍。
[00:19:39.814–00:19:46.892] 就等于是连拍在做后期，相当于接近一年以后才能给他东西。但是他提前跟你签了合同。
[00:19:47.494–00:19:48.364] 150万亿。
[00:19:49.798–00:19:51.756] 但是你知道时代发展有多么快吗？
[00:19:53.830–00:19:55.084] 后来我们片子。
[00:19:56.230–00:19:57.036] 播的时候。
[00:19:58.214–00:20:02.220] 这家150万亿级买我们片子的这个平台。
[00:20:02.918–00:20:03.692] 不说他叫下。
[00:20:05.126–00:20:06.380] 他没有放我们的剧。
[00:20:07.974–00:20:10.412] 他450万亿级转手卖给别人。
[00:20:13.030–00:20:15.628] 这就是当时的时代发展就是那么快。
[00:20:16.838–00:20:17.452] 网站。
[00:20:18.694–00:20:20.332] 突然变成主力平台了。
[00:20:21.158–00:20:22.924] 就是网站突然变成。
[00:20:24.102–00:20:25.036] 有话语权的了。
[00:20:27.430–00:20:29.004] 然后造就了一批人。
[00:20:30.566–00:20:37.036] 出来了，入行了，本来挤电视台挤不进去啊，我第一次去电视台卖片。
[00:20:40.134–00:20:42.220] 不说哪个片子的，踩着一箱白酒卖。
[00:20:44.422–00:20:49.452] 电视台的台长一我一句一个干娘，一句一个干娘叫着，然后踩着一箱白酒。
[00:20:53.862–00:21:01.324] 但是时代就是发展那么快，技术变革出来网站谁能成想开始的时候圈子里还抵制呢？
[00:21:02.726–00:21:07.180] 抵制网站说这些人是盗版啊，是影视圈的吸血虫。
[00:21:07.718–00:21:09.196] 现在是影视圈的爸爸。
[00:21:10.214–00:21:10.572] 是吧。
[00:21:11.782–00:21:12.300] 所以说。
[00:21:12.870–00:21:14.092] 未来机会在哪？
[00:21:14.918–00:21:15.724] 技术变革呀。
[00:21:17.414–00:21:26.348] 以前技术变革可能20年一次，十年一次，现在技术变革是他妈两年一次、三年一次，你懂我意思吧？短视频出来之后层蹭的，我跟你说。
[00:21:26.950–00:21:31.820] 现在哎现在网站又变成以前的电视台了，就又开始坐那扭起来了。
[00:21:32.422–00:21:34.252] 放的片子越来越差，越来越像。
[00:21:34.726–00:21:37.388] 越来越那个店大欺客了嘛。
[00:21:38.758–00:21:40.396] 那你说短视频平台干不掉他们？
[00:21:40.934–00:21:41.676] 你有没有想过？
[00:21:42.182–00:21:46.604] 你以为短视频平台放不了电视剧吗？还是放不了电影吗？
[00:21:47.974–00:21:49.580] 他只是现在没动这个念头。
[00:21:50.822–00:21:53.836] 我跟你说，短视频哪怕只有3分钟一段。
[00:21:54.918–00:21:57.996] 他也可以放一部电影或者一整部剧。
[00:21:59.046–00:22:05.964] 你只需要加一个小按钮，抖音现在如果加一个小按钮，爱奇艺就慌了，加一个什么按钮连续播放。
[00:22:08.518–00:22:10.924] 就我拍一部剧，我放在抖音上。
[00:22:11.718–00:22:14.412] 虽然3分钟一段，但是可以连续播放。
[00:22:14.886–00:22:22.572] 两个视频之间只有0.01秒的一个蹭的一下就过去了，就很顺滑的接到下一段不行吗？
[00:22:24.454–00:22:25.228] 也可以吧。
[00:22:27.110–00:22:31.084] 那不就是又是一个新平台吗？那不就又会产生一种新模式吗？
[00:22:32.582–00:22:34.348] 所以那5G出来之后。
[00:22:34.982–00:22:35.724] 会有什么变化？
[00:22:36.198–00:22:37.676] VR出来之后会有什么变化？
[00:22:38.470–00:22:39.084] 可以说。
[00:22:40.358–00:22:45.964] 这都是机会呀，你说变化太快了，我抓不住呀。你只要掌握内容就可以了呀。
[00:22:47.686–00:22:53.516] 你只要掌握内容不就行了吗？内容捏在你手里，内容永远是王道，永远是根本。
[00:22:54.662–00:22:56.076] 你把内容捏在手里。
[00:22:57.062–00:22:59.596] 然后跟上每次技术变革的。
[00:23:00.390–00:23:01.068] 的步伐。
[00:23:01.606–00:23:06.092] 不要嫌弃新技术。我跟你说，一个新技术出来的时候会有点丑陋。
[00:23:07.750–00:23:09.804] 网络刚出来的时候，淘宝刚出来的时候。
[00:23:10.886–00:23:12.204] 我年轻的时候。
[00:23:13.094–00:23:16.684] 他说21世纪初的时候啊，0几年的时候。
[00:23:17.830–00:23:21.036] 我跟我同学说聊天，说哎，你这双鞋哪买的？
[00:23:22.630–00:23:23.276] 想买它。
[00:23:24.262–00:23:26.252] 说这句话的时候，他会羞涩。
[00:23:27.654–00:23:28.204] 为啥？
[00:23:28.966–00:23:49.820] 言外之意就是我这双鞋是假的，网上买的，淘宝买的，一些淘宝货就代表假货，就这个意思。一个新技术出来的时候，必然会有一些不规范的行为。因为一个新大陆刚发现，首先冲过去的都是罪犯。都是野蛮人，明白了吗？
[00:23:50.694–00:23:52.556] 都是野蛮人呀，是吧？
[00:23:54.534–00:23:58.476] 所以一个新技术出来的时候，网剧刚出来的时候，那些网剧也不堪入目。
[00:24:01.670–00:24:17.484] 什么上尉拍的全是伪三级片，我当时管那种片子叫伪三级片，你知道吗？就起一个三级片的名字，然后吸引眼球，但是很很短暂那个时代很短暂，然后迅速的就回归回归这个内容为王。
[00:24:18.118–00:24:25.932] 所以我在这里说，未来是有机会的，就是大家不要看现在真的很差，就失去信心。你只要坚持做内容。
[00:24:27.078–00:24:33.708] 电视剧还是大有可为，因为电视剧是有它的优势的，他现在已经不是广告的弟弟了。
[00:24:34.630–00:24:35.148] 懂吗？
[00:24:36.358–00:24:41.708] 他是有它的优势的那我们具体有什么优势，具体什么写法呢？我们接着说。
