part,cid,title,source_file,source_sha256,video_acquired,raw_asr,review_status,clean_transcript,method_status
18,170763096,第九课-谈谈人物9.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第九课-谈谈人物9.1.mp4,19d92692647c258e01a062c54abf94f54f70297ecd063630a3fb9a820823b389,verified,,not studied this round,not completed,not extracted
19,170789570,第九课-谈谈人物9.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第九课-谈谈人物9.2.mp4,caa48c8a16b489750a2671015ecfe35d2fb30bfe1c930e594b49f65870a5b558,verified,,not studied this round,not completed,not extracted
20,171645463,第十课-复杂叙事10.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第十课-复杂叙事10.1.mp4,78a430657540cc3792eaed6a70534904cb185179122cdd03dea8dbf44e83c15f,verified,,not studied this round,not completed,not extracted
21,171668148,第十课-复杂叙事10.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第十课-复杂叙事10.2.mp4,bc09ce03da5493738b3d07a2e9e8d336cb80cafccccd07caaabe05d35cd9a1ad,verified,,not studied this round,not completed,not extracted
22,173862838,十一课-类型片11.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.1.mp4,af64702ef007143c1b946c5531ec334bdd3be1badba6a8613b545534f90cfeb8,verified,,not studied this round,not completed,not extracted
23,173863407,十一课-类型片11.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.2.mp4,41efb3d590247c7d836559ed90329a54fab5cf3206deab265f8f956f8ca0b720,verified,,not studied this round,not completed,not extracted
24,173861080,十一课-类型片11.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十一课-类型片11.3.mp4,fc4117928e8c7289d35b3f020c84db35f75745bf2751c73cd2377619f28762ef,verified,,not studied this round,not completed,not extracted
25,174056852,十二课-小蝌蚪找妈妈12.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.1.mp4,8edd6c88edf1b3a2c7b070c7eaf31a503928e12334f0da4c3d06927138c15c3b,verified,,not studied this round,not completed,not extracted
26,174057044,十二课-小蝌蚪找妈妈12.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.2.mp4,91bad7ec7532d5fd236f88532ee03800dcabb3f143ac29d77912756952b79535,verified,,not studied this round,not completed,not extracted
27,174057108,十二课-小蝌蚪找妈妈12.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十二课-小蝌蚪找妈妈12.3.mp4,40c08b3f8edaae7f9ce37287988988813cd36ad94f1456974cf6404ade85d541,verified,,not studied this round,not completed,not extracted
28,177384361,十三课-电视剧13.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.1.mp4,0e8f0e3f7b8bdd76c4e2fec2fb16e999e3d1414fe6c7e329d7ef5ea83320cbe4,verified,,not studied this round,not completed,not extracted
29,177383899,十三课-电视剧13.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.2.mp4,ad67524f07dcd68e3f2de61641b1029028807e0a8de0f8749362855b82a64d27,verified,,not studied this round,not completed,not extracted
30,177384367,十三课-电视剧13.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.3.mp4,d25b5de88a8be6fc90d552eb6a87eed2d0425a27213d956c7342de3d3367678b,verified,,not studied this round,not completed,not extracted
31,177384393,十三课-电视剧13.4,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十三课-电视剧13.4.mp4,b4364df80510c0d3f45082ef2eab0950c0bec0217f3ac625baa4e18e0de215d5,verified,,not studied this round,not completed,not extracted
32,181727234,十四课-场景与对白14.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十四课-场景与对白14.1.mp4,9000277988599c352f30c945e3a51a41786519224203aa462fbab5f748225a8f,verified,,not studied this round,not completed,not extracted
33,181763918,十四课-场景与对白14.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十四课-场景与对白14.2.mp4,800ec7bda7b267df2fe58fab6bffbedfb02cc0095e8dd2a88d56fd052256146e,verified,,not studied this round,not completed,not extracted
34,190273161,十五课-节拍器15.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.1.mp4,d49a311f98b6c59bacf3ffb0d0b83ca8a42243b82736f58d18da082d7169b6c2,verified,,not studied this round,not completed,not extracted
35,190303059,十五课-节拍器15.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.2.mp4,85079d1274510a69db6f670e573915fcf7ac5665dbb50afaf09ef9e9d8fd2dbf,verified,,not studied this round,not completed,not extracted
36,190316428,十五课-节拍器15.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.3.mp4,2582c41c032bc237c6c96322b07fc14ef3a4bf4f85756beeefd6ee39b0418f57,verified,,not studied this round,not completed,not extracted
37,190331356,十五课-节拍器15.4,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十五课-节拍器15.4.mp4,5993c16f3eec2afdf25ecafef65aae2c7fd176910841918808ea61c1547e2c84,verified,,not studied this round,not completed,not extracted
38,202189245,十六课-悬念与反转16,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十六课-悬念与反转16.mp4,db7c58257802fa24aeafcbfdad84fbb4ab9c0926098c76857f174557d5586ed2,verified,,not studied this round,not completed,not extracted
39,202545835,十七课-新手跳坑17,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十七课-新手跳坑17.mp4,7e96b07bb4336f97344f4d269a0f50aef4acdee1f14cca603b3c0b7014cca47d,verified,,not studied this round,not completed,not extracted
40,207918303,十八课-拿人的开场18.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十八课-拿人的开场18.1.mp4,670b8270f8a8d58d02158771a2bc8485347be0a00ab27eb37417f2e8abb96072,verified,,not studied this round,not completed,not extracted
41,207918389,十八课-拿人的开场18.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十八课-拿人的开场18.2.mp4,1de95aafd44f9c72013abe2ab006e43cd7a6f080b8dd85e31f0140acb3a72827,verified,,not studied this round,not completed,not extracted
42,212090316,十九课-怎么撰写项目提案19,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/十九课-怎么撰写项目提案19.mp4,846214c5522ff7377c4490541b10f00db6bd8b623156173664efa58ef834a955,verified,,not studied this round,not completed,not extracted
43,227072905,二十课-编剧拉片20,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十课-编剧拉片20.mp4,e4033027c4ed5f08d60c527e2f9eef2120480a49d99f9a029e5b32cbdcdca59c,verified,,not studied this round,not completed,not extracted
44,239866710,二十一课-谈几个进阶问题（上）21.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十一课-谈几个进阶问题（上）21.1.mp4,2c4065db4fc85fdbd08c25467365d74189ee3bd1549ec71dc4c3125230d86107,verified,,not studied this round,not completed,not extracted
45,239868634,二十一课-谈几个进阶问题（下）21.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十一课-谈几个进阶问题（下）21.2.mp4,7218b44713d213a0b0ababfd15f7dc3b1924ac6a12c289a9f0a91079a5f3a688,verified,,not studied this round,not completed,not extracted
46,252711256,二十二课-G潮上不去？（上）22.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十二课-G潮上不去？（上）22.1.mp4,b9d0ff82a460b8618adf925555bb1cff7133306552c95ebbcc96a31dda09aa1a,verified,,not studied this round,not completed,not extracted
47,252782284,二十二课-G潮上不去？（下）22.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十二课-G潮上不去？（下）22.2.mp4,c5b00bc3f40ff535ee4f4bb781625da9ad51d8accfd7bd056bfff98f83264eef,verified,,not studied this round,not completed,not extracted
48,254049644,二十三课-怎么写喜剧？(上）23.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十三课-怎么写喜剧？(上）23.1.mp4,e43a8971541575554c55e0ec652878c2de1d30e268e7588de3e64cf43012df1a,verified,,not studied this round,not completed,not extracted
49,254051910,二十三课-怎么写喜剧？（下）23.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十三课-怎么写喜剧？（下）23.2.mp4,16a6f9c95ec2f426edb770a451755933236fe758ef37a86ffbe8424da1115e26,verified,,not studied this round,not completed,not extracted
50,266235698,二十四课-剖析烂片24,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十四课-剖析烂片24.mp4,774a1d8c55812c91f96f24ab9a32657b62696624a831da7476a8052c2e16f732,verified,,not studied this round,not completed,not extracted
51,272336072,二十五课-观影情绪节拍表25,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十五课-观影情绪节拍表25.mp4,8d0dd3fc95304c6fc43a7fca9a2ad7bcbf8648183da4304a92f968a78f957044,verified,,not studied this round,not completed,not extracted
52,275889704,二十六课-从容应对文艺凡尔赛26,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十六课-从容应对文艺凡尔赛26.mp4,26150ee339509a4bdbd1e8756b2dc5035c4d9a9bd3ca7f07d2ab3fc6a21c37e7,verified,,not studied this round,not completed,not extracted
53,310082561,二十七课-剧本的叙事视角27,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十七课-剧本的叙事视角27.mp4,f0ecf56d1f05f4b424a7b60bf033d85568f5890a493708b1a8d3adf5678a2b68,verified,,not studied this round,not completed,not extracted
54,327535922,二十八课-编剧课科目三28,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十八课-编剧课科目三28.mp4,bcad727ba5dbaf6c7b7e9c834751ddb8c7354f9345c5c80ee3488096ad21b493,verified,,not studied this round,not completed,not extracted
55,333133917,二十九课-剧情要有攻击性29,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/二十九课-剧情要有攻击性29.mp4,5dbba6748263f98bf2986a913d53726633244ab0c966296176e408575f056ba0,verified,,not studied this round,not completed,not extracted
56,383686698,三十课-人类为什么需要影视剧30,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十课-人类为什么需要影视剧30.mp4,df5e7224ccbb7655819337cfd86025020819fb337506d6ed565b7dd82c40a016,verified,,not studied this round,not completed,not extracted
57,385383259,三十一课-单元剧的创作理念31,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十一课-单元剧的创作理念31.mp4,a53067980ceaa87d4bfa2eecad08783ac7ffbf6f17581e9b3f3be875f9e2e19b,verified,,not studied this round,not completed,not extracted
58,425876128,三十二课-跟《鱿鱼游戏》学写强设定,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十二课-跟《鱿鱼游戏》学写强设定.mp4,cb227f0ec42dc29efb775e77f20bed696f23f44f514f2dcede65574289570107,verified,,not studied this round,not completed,not extracted
59,542014362,三十三课-怎样克服拖延症,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十三课-怎样克服拖延症.mp4,4827174ce92498b86f2e7ca0b0742251b65068466be7edd563d64114d256639e,verified,,not studied this round,not completed,not extracted
60,713227009,三十四课-查理小三角创作法,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/三十四课-查理小三角创作法.mp4,8614f394e619f763777124605d5e11513d1729eb103aa78fc7c94ead6810a2d9,verified,,not studied this round,not completed,not extracted
61,1118879677,《让子弹飞》直播拉片,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/《让子弹飞》直播拉片.mp4,58d008f275c0f9dfab57f4ad5cc3213bbeced83da1c7942df3385192786b0b1c,verified,,not studied this round,not completed,not extracted
62,1348722777,查理老师告诉你，短剧为什么这么火！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/查理老师告诉你，短剧为什么这么火！.mp4,a05e26501fa760e344bcfcecd91528ecaf88b0947cbb593adade74e0aad894e5,verified,,not studied this round,not completed,not extracted
63,30110452996,职业编剧怎么用ai写剧本,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/职业编剧怎么用ai写剧本.mp4,e8a0cce7392a0e7b334644569ce766a65f96d9c487e52f33b53be53d88890266,verified,,not studied this round,not completed,not extracted
64,26532774570,如何写好单场戏，让每一集都有钩子？,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/如何写好单场戏，让每一集都有钩子？.mp4,a5fec8e260dc6770cd43873e873cc7d4a6a8fdcbafdfe8fc067456af4a13f61c,verified,,not studied this round,not completed,not extracted
65,28739110936,编剧的第一性原理,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧的第一性原理.mp4,449fa78c61e242f8cf12b0f13cb3758a1dd23179fb8deb553e62d21995b75d34,verified,,not studied this round,not completed,not extracted
66,31421369184,写了剧本怎么投稿,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/写了剧本怎么投稿.mp4,4b26ad960171ee1f171ca512b6682f6f4c3ade24eb07e6033289690d6f2d704f,verified,,not studied this round,not completed,not extracted
67,33428148085,编剧库3.0大升级来了！快来参与普查，订单主动找你对接,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧库3.0大升级来了！快来参与普查，订单主动找你对接.mp4,b8c50d3d6b4954166ed183234239923f9e6d6efc253f371edbf6f399ab2d4ec0,verified,,not studied this round,not completed,not extracted
68,26225279963,无论看多少次都觉得超级！无敌！治愈！《玩具总动员》拉片解读，独特视角（一）,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/无论看多少次都觉得超级！无敌！治愈！《玩具总动员》拉片解读，独特视角（一）.mp4,af72ac798c554c74ff29ccdaf3b4797c6232a77c3dddc0d42fd0313531e2787b,verified,,not studied this round,not completed,not extracted
69,26255689411,【编剧视角拉片】保姆级拆解《玩具总动员》看完你也能复刻！（二）,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/【编剧视角拉片】保姆级拆解《玩具总动员》看完你也能复刻！（二）.mp4,182b72f7d8ea206a52016f1a1e77e9a56eb4f6d079c18116b5a663b38d555cdd,verified,,not studied this round,not completed,not extracted
70,26314736392,【编剧拉片】麻花喜剧巅峰神作！《夏洛特烦恼》逐帧分析创作思路，颠覆你的认知！（一）,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/【编剧拉片】麻花喜剧巅峰神作！《夏洛特烦恼》逐帧分析创作思路，颠覆你的认知！（一）.mp4,04d64c047198445db52cc50a7f3019ee74b269d35d3ac0a4e9cd4a8ce7b2b86b,verified,,not studied this round,not completed,not extracted
71,29819406039,编剧视角拉片《夏洛特烦恼》逐帧分析创作思路！全程干货拉满！（二））,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《夏洛特烦恼》逐帧分析创作思路！全程干货拉满！（二））.mp4,710425654af931bf89fb1426f13cf8505480a06f430a55bd147fcd8adc40c384,verified,,not studied this round,not completed,not extracted
72,26454394257,【专业编剧带你拉片】科幻神作！细读《星际穿越》，爱是唯一可以超越时间与空间的事,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/【专业编剧带你拉片】科幻神作！细读《星际穿越》，爱是唯一可以超越时间与空间的事.mp4,8116f583120ffde48080157495b0d74c3a994677b25c7b3998da58445216bcf5,verified,,not studied this round,not completed,not extracted
73,27089243632,编剧视角拉片《无间道》，双雄戏悬疑戏跟它学就对了！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《无间道》，双雄戏悬疑戏跟它学就对了！.mp4,5d3f507074cbdb14f9e8aa791658bd3e24b63d4c45737603b09a560021165169,verified,,not studied this round,not completed,not extracted
74,27089765971,编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧.mp4,57894f2128a78ef730b5da1112bab3d058dce964731b8aa98056ee44d8fb0dfb,verified,,not studied this round,not completed,not extracted
75,27433699594,编剧视角拉片《男妇女主任》小品型电影看完你就会写了！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《男妇女主任》小品型电影看完你就会写了！.mp4,574db593645d04ba4d0f79c6d25ce3c2d51f8fd7ada7afc4e2aa50e5cab8eb37,verified,,not studied this round,not completed,not extracted
